"ID","asset","scale","offsetX","offsetY","offsetZ","rotationX","rotationY","rotationZ"
59,"Art\Prop\Constructed\DisplayCase\Sanctuary\PRP_DisplayCase_SanctuaryCommon_Brown_001.m3",1,0,0,0,0,0,0
60,"Art\Prop\Constructed\FirePit\Marauder\PRP_Marauder_BBQ_000.m3",1,0,0,0,0,0,0
61,"Art\Prop\Constructed\FlowerPot\SanctuaryCommon\PRP_FlowerPot_SanctuaryCommonMedium_Grey_000.m3",1,0,0,0,0,0,0
62,"Art\Prop\Constructed\GoodieBag\PRP_GoodieBag_Skeetch_YellowGreen_000.m3",1,0,0,0,0,0,0
63,"Art\Prop\Constructed\Hammock\Marauders\PRP_Hammock_HoverHammock_Yellow_000.m3",0.666667,0,0,0,0,0,0
64,"Art\Prop\Constructed\Hookah\Lopp\PRP_Hookah_LoppCarrot_000.m3",1,0,0,0,0,0,0
65,"Art\Prop\Constructed\Horn\Falkrin\PRP_Horn_FalkrinSmallHorn_001.m3",1,0,0,0,0,0,0
66,"Art\Prop\Constructed\Light\Marauder\PRP_Light_HoverLamp_000.m3",1,0,0,0,0,0,0
67,"Art\Prop\Constructed\Lootpile\PRP_LootPile_Generic_Gold_000.m3",1,0,0,0,0,0,0
68,"Art\Prop\Constructed\MachineGun\Marauder\PRP_Marauder_TripodGun_000.m3",1,0,0,0,0,0,0
69,"Art\Prop\Constructed\Machinery\Protostar\PRP_Machinery_ProtostarCollectorStorage_000.m3",1,0,0,0,0,0,0
70,"Art\Prop\Constructed\MeatPile\PRP_MeatPile_Skeetch_RedPink_000.m3",1,0,0,0,0,0,0
71,"Art\Prop\Constructed\Rocket\PRP_Rocket_000.m3",1,0,0,0,0,0,0
72,"Art\Prop\Constructed\Rug\Drakken\PRP_FurRug_Drakken_000.m3",1,0,-0.209051,0,0,0,0
73,"Art\Prop\Constructed\Shrine\Murgh\PRP_Shrine_Murgh_000.m3",1,0,0,0,0,0,0
74,"Art\Prop\Constructed\StewPot\PRP_StewPot_Skeetch_GreenBlack_000.m3",1,0,0,0,0,0,0
75,"Art\Prop\Constructed\Stoves\PRP_Stove_BarrelBelledHood_Grey_000.m3",1,0,0,0,0,0,0
76,"Art\Prop\Constructed\Stoves\PRP_Stove_CurvedLegWallHooded_Grey_000.m3",1,0,0,0,0,0,0
77,"Art\Prop\Constructed\Stoves\PRP_Stove_HoodedLongStove_Grey_001.m3",1,-0.174647,0,-0.0815607,0,0,0
78,"Art\Prop\Constructed\Stoves\PRP_Stove_HoodedLongStove_Grey_001.m3",1,-0.174647,0,-0.0815607,0,0,0
79,"Art\Prop\Constructed\Television\Marauders\PRP_Television_Marauders_000.m3",1,0,0,0,0,0,0
80,"Art\Prop\Constructed\Tools\Ladder\PRP_Tools_Ladder_Tan_000.m3",1,0,0,0,0,0,0
81,"Art\Prop\Constructed\Banner\Falkrin\PRP_Falkrin_FeatheredBanner_001.m3",1,0,0,0,90,0,0
82,"Art\Prop\Constructed\Bar\SanctuaryCommon\PRP_Bar_SanctuaryCommon_Brown_000.m3",1,0,0,0,0,0,0
83,"Art\Prop\Constructed\Busts\SanctuaryCommon\PRP_Bust_AnimalHead_BlueGreyPink_001.m3",1,0,0,0,90,0,0
84,"Art\Prop\Constructed\Drapes\SanctuaryCommon\PRP_Drapes_BayWindowLong_White_001.m3",1,0.153545,0.105679,-0.0928946,90,0,0
85,"Art\Prop\Constructed\Light\Aurin\PRP_Light_Aurin_WallLamp_005.m3",1,0,0.00493492,0.000569841,90,0,0
86,"Art\Prop\Constructed\Light\Aurin\PRP_Light_Aurin_WallLamp_002.m3",1,0,0.00515828,0.00424525,90,0,0
87,"Art\Prop\Constructed\Light\SanctuaryCommon\PRP_Lantern_SCHangingWall_Yellow_001.m3",1,0,0.0277757,1.722e-05,90,0,0
88,"Art\Prop\Constructed\Sign\Freebot\PRP_Sign_Poster_Freebot_000.mexp",1,0,0,0,0,0,0
89,"Art\Prop\Constructed\Sign\Freebot\PRP_Sign_Poster_Freebot_002.m3",1,0,0,0,0,0,0
90,"Art\Prop\Constructed\Sign\Freebot\PRP_Sign_Poster_Freebot_003.m3",1,0,0,0,0,0,0
91,"Art\Prop\Constructed\Sign\Freebot\PRP_Sign_Poster_Freebot_004.m3",1,0,0,0,0,0,0
92,"Art\Prop\Constructed\Sign\Freebot\PRP_Sign_Poster_Freebot_005.m3",1,0,0,0,0,0,0
93,"Art\Prop\Constructed\BeerTap\SanctuaryCommon\PRP_SanctuaryCommon_BeerTap_Black_001.m3",1,0,0,0,0,180,180
94,"Art\Prop\Constructed\Food\Pell\PRP_Food_PellHangingLizard_001.m3",1,0,0,0,180,0,0
95,"Art\Prop\Constructed\Light\Aurin\PRP_Light_AurinHangingLamp_001.m3",1,0,0.191384,0,0,180,180
96,"Art\Prop\Constructed\Light\Protostar\PRP_Light_ProtostarSolar_000.m3",0.4,0,0,0,0,0,0
97,"Art\Prop\Constructed\DisplayCase\Sanctuary\PRP_DisplayCase_SanctuaryCommon_Brown_002.m3",1,0,0,0,0,0,0
98,"Art\Prop\Housing\Decor\Door\PRP_Door_SancCommon_003.m3",1,0,0,0,0,0,0
101,"Art\Prop\Housing\Decor\Door\PRP_Door_SancCommon_001.m3",1,0,4.53766,0,90,0,0
102,"Art\Prop\Housing\Roofs\Square\PRP_Roof_Aurin_SmSquare_001.m3",1,0,0,0,0,0,0
103,"Art\Prop\Housing\Roofs\Square\PRP_Roof_Vault_SmSquare_001.m3",1,0,0,0,0,0,0
104,"Art\Prop\Housing\Roofs\Turn\PRP_Roof_Aurin_MedTurn_001.m3",1,0,0,0,0,0,0
105,"Art\Prop\Housing\Roofs\Turn\PRP_Roof_Vault_MedTurn_001.m3",1,0,0,0,0,0,0
106,"Art\Prop\Constructed\Birdhouse\PRP_Accent_BirdHouse_003.m3",1,0,0.129724,0,90,0,0
107,"Art\Prop\Constructed\Flags\Generic\PRP_Accent_Flag_002.m3",1,0,0,0,90,0,0
109,"Art\Prop\Housing\Decor\Greenery\PRP_Greenery_HangingPlant_001.m3",1,0,0.117071,0.117071,90,0,0
110,"Art\Prop\Housing\Decor\Entry\PRP_EntryMed_SancCommon_001.m3",1,0,0,0,0,0,0
111,"Art\Prop\Housing\Decor\Entry\PRP_EntryMed_SancCommon_002.m3",1,0,0,0,0,0,0
112,"Art\Prop\Housing\Decor\Entry\PRP_EntryMed_SancCommon_003.m3",1,0,0,0,0,0,0
136,"Art\Prop\Housing\Decor\Entry\PRP_EntrySmall_SancCommon_001.m3",1,0,0,0,0,0,0
137,"Art\Prop\Housing\Decor\Entry\PRP_EntrySmall_SancCommon_002.m3",1,0,0,0,0,0,0
138,"Art\Prop\Housing\Decor\Entry\PRP_EntrySmall_SancCommon_003.m3",1,0,0,0,0,0,0
139,"Art\Prop\Housing\Decor\Entry\PRP_EntryLrg_SancCommon_001.m3",1,0,0,0,0,0,0
140,"Art\Prop\Housing\Decor\Entry\PRP_EntryLrg_SancCommon_002.m3",1,0,0,0,0,0,0
141,"Art\Prop\Housing\Decor\Entry\PRP_EntryLrg_SancCommon_003.m3",1,0,0,0,0,0,0
142,"Art\Prop\Constructed\Generator\SanctuaryCommon\WallMounted\PRP_Generator_SCWallMounted_001.m3",1,1.67897,1.2523,-0.343188,90,0,0
143,"Art\Prop\Housing\Decor\Greenery\Trellis\PRP_Greenery_Trellis_001.m3",1,0,0,0,90,0,0
144,"Art\Prop\Constructed\Sign\PRP_Sign_SCArmorShop_BronzeBlue_001.m3",0.555556,0.161266,0.00641669,0.14975,90,0,0
145,"Art\Prop\Constructed\Sign\PRP_Sign_SCGunShop_RedBlue_001.m3",1,0,0,0,90,0,0
146,"Art\Prop\Constructed\Sign\PRP_Sign_SCMagicShop_BlueTan_002.m3",0.555556,0.0253235,0.0271635,0.0152211,90,0,0
147,"Art\Prop\Constructed\Sign\PRP_Sign_SCWeaponShop_BlueOrange_001.m3",0.666667,0,0,0,90,0,0
148,"Art\Prop\Constructed\Light\SanctuaryCommon\PRP_Lantern_SCHangingWall_Yellow_001.m3",1,0,0.0277757,1.722e-05,90,0,0
149,"Art\Prop\Constructed\Light\SanctuaryCommon\PRP_Light_BarWallLamp_000_Bronze.m3",1,0,0.0107011,-5.95633e-05,90,0,0
150,"Art\Prop\Constructed\Light\Defiance\PRP_SpotLight_DefianceTower_Animated_001.m3",1,0,0,-0.299395,90,0,0
153,"Art\Prop\Constructed\Food\Pell\PRP_Food_PellHangingFruit_001.m3",1,-0.000132708,0.101505,0,0,180,180
156,"Art\Prop\Constructed\Busts\SanctuaryCommon\PRP_Bust_AccentMount_001.m3",1,0,0,4.48911e-05,90,0,0
157,"Art\Prop\Constructed\Busts\SanctuaryCommon\PRP_Bust_AccentMount_002.m3",1,0,0,-0.000247462,90,0,0
158,"Art\Prop\Constructed\Busts\SanctuaryCommon\PRP_Bust_AccentMount_003.m3",1,0,0,0.000179741,90,0,0
159,"Art\Prop\Constructed\Busts\SanctuaryCommon\PRP_Bust_AccentMount_004.m3",1,0,0,0.000101699,90,0,0
160,"Art\Prop\Housing\Decor\Window\PRP_WindowSmallGrp_SancCom_001.m3",1,0,0,0,90,0,0
161,"Art\Prop\Housing\Decor\Window\PRP_WindowSmallGrp_SancComFlowerBox_001.m3",1,0,0,0,90,0,0
162,"Art\Prop\Housing\Decor\Window\PRP_WindowSmallGrp_SancComShutter_001.m3",1,0,0,0,90,0,0
163,"Art\Prop\Housing\Decor\Window\PRP_WindowMedGrp_SancCom_002.m3",0.666667,0,0,0,0,0,0
165,"Art\Prop\Housing\Decor\Window\PRP_WindowMedGrp_SancCom_001.m3",0.666667,0,0,0,90,0,0
172,"Art\Prop\Housing\Decor\Window\PRP_Window_MedFlowerBox_001.m3",0.666667,0,0,0,90,0,0
175,"Art\Prop\Housing\Decor\Window\PRP_WindowLrgGrp_SancCom_002.m3",0.666667,0,0,0,90,0,0
176,"Art\Prop\Housing\Decor\Window\PRP_WindowLrgGrp_SancComFlowerBox_002.m3",0.666667,0,0,0,90,0,0
177,"Art\Prop\Housing\Decor\Window\PRP_WindowLrgGrp_SancComShutters_002.m3",0.666667,0,0,0,90,0,0
180,"Art\Prop\Housing\Decor\Window\PRP_WindowMedGrp_SancComFlowerBox_001.m3",0.666667,0,0,0,90,0,0
181,"Art\Prop\Constructed\Sign\PRP_Sign_SCInn_RedBeige_001.m3",1,0,0,0,90,0,0
182,"Art\Prop\Constructed\Plushies\PRP_Plushie_Boulderback_000.m3",1,0,0,0,0,0,0
183,"Art\Prop\Constructed\Plushies\PRP_Plushie_Chompacabra_000.m3",1,0,0,0,0,0,0
184,"Art\Prop\Constructed\Plushies\PRP_Plushie_Freebot_000.m3",1,0,0,0,0,0,0
185,"Art\Prop\Constructed\Plushies\PRP_Plushie_Rootbrute_000.m3",1,0,0,0,0,0,0
186,"Art\Prop\Constructed\Plushies\PRP_Plushie_ShadowMauler_000.m3",1,0,0,0,0,0,0
187,"Art\Prop\Constructed\Plushies\PRP_Plushie_Shellark_000.m3",1,0,0,0,0,0,0
188,"Art\Prop\Constructed\Plushies\PRP_Plushie_Skeetch_000.m3",1,0,0,0,0,0,0
189,"Art\Prop\Constructed\Plushies\PRP_Plushie_Spikehoard_000.m3",1,0,0,0,0,0,0
190,"Art\Prop\Constructed\Plushies\PRP_Plushie_Stemdragon_000.m3",1,0,0,0,0,0,0
191,"Art\Prop\Constructed\Plushies\PRP_Plushie_Sunfish_000.m3",1,0,0,0,0,0,0
192,"Art\Prop\Constructed\Plushies\PRP_Plushie_Vind_000.m3",1,0,0,0,0,0,0
194,"Art\Prop\Housing\Decor\Furniture\Sofas\PRP_Sofa_BenchSeat_000.m3",1,0,0,0,0,0,0
195,"Art\Prop\Housing\Decor\Furniture\Sofas\PRP_Sofa_BenchSeat_001.m3",1,0,0,0,0,0,0
196,"Art\Prop\Housing\Decor\Furniture\Sofas\PRP_Sofa_BenchSeat_002.m3",1,0,0,0,0,0,0
197,"Art\Prop\Housing\Decor\Furniture\Tables\PRP_CoffeeTable_CarTheme_000.m3",1.25,0.0102118,0,0.296453,0,90,0
198,"Art\Prop\Housing\Decor\Furniture\Tables\PRP_CoffeeTable_CarTheme_Graffiti_000.m3",1.25,0,0,0.238392,0,90,0
199,"Art\Prop\Constructed\ControlPanel\PRP_Accent_ControlPanel_002.m3",1,0,0,0,0,0,0
200,"Art\Prop\Housing\Decor\Furniture\Chairs\PRP_Chair_Nautical_001.m3",1,0,0,0,0,0,0
201,"Art\Prop\Housing\Decor\Furniture\Bed\PRP_Bed_Nautical_001.m3",0.909091,0,0,0,0,0,0
202,"Art\Prop\Housing\Decor\Furniture\Sofas\PRP_Sofa_Nautical_001.m3",1,0,0,0,0,0,0
203,"Art\Prop\Housing\Decor\Roof\Granok\PRP_Roof_GranokMedium_A.m3",1,-1.33014,9.62392,0,0,0,0
204,"Art\Prop\Housing\Decor\Door\Granok\PRP_Door_Granok_A.m3",1,0,5,0,90,0,0
205,"Art\Prop\Housing\Decor\Entry\Granok\PRP_Entry_Granok_A.m3",1,0,5,0,90,0,0
206,"Art\Prop\Housing\Decor\Furniture\Chairs\PRP_Chair_Heart_001.m3",1,0,0,0,0,0,0
207,"Art\Prop\Housing\Decor\Furniture\Dressers\PRP_Dresser_Generic_000.m3",1,0,0,0,0,0,0
208,"Art\Prop\Housing\Decor\Furniture\Tables\PRP_CoffeeTable_Heart_001.m3",1,0,0,0,0,0,0
209,"Art\Prop\Housing\Decor\Furniture\Tables\PRP_SideTable_Heart_001.m3",1,0,0,0,0,0,0
210,"Art\Prop\Housing\Decor\Lighting\Floor\PRP_Lighting_ShadowFloorLamp_000.m3",2,0,0,0.193551,0,0,0
211,"Art\Prop\Housing\Decor\Lighting\Table\PRP_TableLamp_CarTheme_000.m3",1,0,0,0,0,0,0
212,"Art\Prop\Housing\Decor\Lighting\Table\PRP_TableLamp_Heart_001.m3",1,0,0,0,0,0,0
213,"Art\Prop\Housing\Decor\Roof\Granok\PRP_Roof_GranokMedium_B.m3",1,-1.33014,17.7222,0,0,0,0
214,"Art\Prop\Housing\Decor\Door\Aurin\PRP_Door_Aurin_A.m3",1,0,5,0,90,0,0
215,"Art\Prop\Housing\Decor\Entry\Aurin\PRP_Entry_Aurin_A.m3",1,0,5,0,90,0,0
216,"Art\Prop\Housing\Decor\Roof\Exile\PRP_Roof_ExileMedium_A.m3",1,3.33987,25.1711,-2.68925,0,0,0
217,"Art\Prop\Housing\Decor\Entry\Exile\PRP_Entry_Exile_A.m3",1,0,5,0,90,0,0
218,"Art\Prop\Housing\Decor\Door\PRP_Door_Assorted_Stone_000.m3",1,0,2.62122,-0.364209,90,0,0
219,"Art\Prop\Housing\Decor\Roof\Exile\PRP_Roof_ExileMedium_B.m3",1,3.33987,25.1711,-2.68925,0,0,0
220,"Art\FX\Housing\Hook_SquarePlacement\Hook_SquarePlacement.m3",1,0,0,0,0,0,0
221,"Art\FX\Housing\Smoke_SpawnIn\Smoke_SpawnIn.m3",1,0,0,0,0,0,0
222,"Art\Prop\Housing\Decor\Window\HauntedWindow\PRP_HauntedWindow.m3",1,0,0,0,90,0,0
223,"Art\Prop\Housing\Decor\Window\HauntedWindow\PRP_HauntedWindow_Train.m3",1,0,0,0,90,0,0
224,"Art\Prop\Housing\Decor\Roof\Aurin\PRP_Roof_Aurin_Small_A.m3",1,0.433799,12.0334,-3.50592,0,0,0
225,"Art\Prop\Constructed\Fence\Falkrin_Murgh\PRP_Fence_FalkrinMurghHornedRope_001.m3",1,0,0,0,0,0,0
226,"Art\Prop\Constructed\Fence\Marauder\PRP_Fence_MarauderElectroFence_000.m3",1,0,0,0,0,0,0
227,"Art\Prop\Constructed\Fence\Lopp\PRP_Lopp_Fence_000.m3",1,0,0,0,0,0,0
228,"Art\Prop\Constructed\Fence\Murkmire\PRP_Murkmire_BigRustedBent_GrayBlue_001.m3",1,0,0,0,0,0,0
229,"Art\Prop\Constructed\Fence\Marauder\PRP_Fence_MarauderElectroFence_002.m3",1,0,0,0,0,0,0
230,"Art\Prop\Constructed\Fence\SanctuaryCommon\PRP_Fence_SanctuaryCommonWooden_Brown_002.m3",1,0,0,0,0,0,0
231,"Art\Prop\Natural\Bush\BrambleHedge\PRP_Bush_BrambleHedge_Green_001.m3",1,0,0,0,0,0,0
232,"Art\Prop\Natural\Bush\BrambleHedge\PRP_Bush_BrambleHedge_Green_002.m3",1,0,0,0,0,0,0
233,"Art\Prop\Natural\Plant\BullRush\PRP_Plant_BullRush_LilyPadFlower_Green_000.m3",1,0.1,0,0,0,0,0
234,"Art\Prop\Natural\Tree\TallStraight_Multiple\PRP_Tree_TallStraight_Multiple_Green_001.m3",1,0,0,0,0,0,0
235,"Art\Prop\Natural\Tree\Bent_Fan_Deciduous\PRP_Tree_BentFanDeciduous_000.m3",1,0,0,0,0,0,0
236,"Art\Prop\Natural\Tree\Swirly_Orchard_Cypress\PRP_Tree_SwirlyOrchardCypress_001.m3",1,0,0,0,0,0,0
237,"Art\Prop\Natural\Tree\Decidous_Midsize_Twisted_LoopyBranches\PRP_Tree_Decidous_Midsize_Twisted_LoopyBranches_dera_000.m3",1,0,0,0,0,0,0
238,"Art\Prop\Natural\Tree\Decidous_Midsize_Twisted_LoopyBranches\PRP_Tree_Decidous_Midsize_Twisted_LoopyBranches_001.m3",1,0,0,0,0,0,0
239,"Art\Prop\Natural\Bush\VindThorn\Prp_Bush_VindThorn_000.m3",1,0,0,0,0,0,0
240,"Art\Prop\Natural\Bush\VindThorn\Prp_Bush_VindThorn_002.m3",1,0,0,0,0,0,0
241,"Art\Prop\Natural\Bush\TallGrass\Deradune_TallGrass\PRP_Bush_TallGrassDeradune_Green_001.m3",1,0,0,0,0,0,0
242,"Art\Prop\Natural\Bush\TallGrass\Deradune_TallGrass\PRP_Bush_TallGrassDeradune_Brown_001.m3",1,0,0,0,0,0,0
243,"Art\Prop\Natural\Bush\TallGrass\PRP_Bush_TallGrassDead_Brown_000.m3",1,0,0,0,0,0,0
244,"Art\Prop\Natural\Bush\Small_Bushberry_Green\PRP_Plant_Small_Bushberry_Green_000.m3",1,0,0,0,0,0,0
245,"Art\Prop\Natural\Bush\Small_Bushberry_Green\PRP_Plant_Small_Bushberry_Green_001.m3",1,0,0,0,0,0,0
246,"Art\Prop\Constructed\FirePit\Falkrin\PRP_FirePit_FalkrinHornBase_001.m3",0.8,0,0,0,0,0,0
247,"Art\Prop\Constructed\Statue\Owl_Round\PRP_Statue_OwlRound_Small_GrayDark_000.m3",1,0,0,0,0,0,0
248,"Art\Prop\Constructed\LampPost\Marauder\PRP_LampPost_MarauderTall_000.m3",1,0,0,0,0,0,0
249,"Art\Prop\Constructed\LampPost\PRP_LampPost_AurinCurledHanging_005.m3",0.5,1.20707,0,1.24258,0,0,0
250,"Art\Prop\Constructed\Bomb\PRP_Bomb_SCRocketBombs_000.m3",2,0,0,0,0,0,0
251,"Art\Prop\Constructed\Cannon\Defiance\PRP_Rocketlauncher_Defiance_000.m3",1,0,0,0,0,0,0
252,"Art\Prop\Constructed\LampPost\Dreadmoore\PRP_LampPost_Dreadmoore_003.m3",1,0,0,0,0,0,0
253,"Art\Prop\Constructed\Tank\Defiance\PRP_Tank_Defiance_Rocketattachment_000.m3",1,0,0,0,0,0,0
254,"Art\Prop\Constructed\Fountain\CryingLady\PRP_CryingLady_CryingFountainDead_gray_000.m3",1,0,0,0,0,0,0
255,"Art\Prop\Constructed\Bench\Drakken\PRP_Bench_Drakken_000.m3",0.667,0,0,0,0,0,0
256,"Art\Prop\Constructed\Bench\Defiance\PRP_Bench_Defiance_000.m3",1,0,0,0,0,0,0
257,"Art\Prop\Constructed\Light\SanctuaryCommon\PRP_Lantern_SCHangingWall_Yellow_001.m3",1,0,0.0277757,1.722e-05,90,0,0
258,"Art\Prop\Constructed\Light\SanctuaryCommon\PRP_Light_BarWallLamp_000_Bronze.m3",1,0,0.0107011,-5.95633e-05,90,0,0
259,"Art\Prop\Housing\Decor\Roof\Aurin\PRP_Roof_Aurin_Small_B.m3",1,0.433799,12.0334,-3.50592,0,0,0
260,"Art\Prop\Housing\Decor\Door\PRP_Door_Assorted_wood_000.m3",1,0,2.62905,0,90,0,0
261,"Art\Prop\Housing\Decor\Door\PRP_Door_Assorted_Metal_000.m3",1,0,2.63468,0,90,0,0
262,"Art\Prop\Constructed\Drapes\PRP_Drape_White_001.m3",1,0,-0.0180372,-0.0222269,90,0,0
263,"Art\Prop\Constructed\Drapes\PRP_Drape_Red_001.m3",1,0,0,0,90,0,0
264,"Art\Prop\Constructed\Drapes\SanctuaryCommon\PRP_Drapes_BayWindowLong_Red_000.m3",1,0,9.77257,-0.803209,90,0,0
265,"Art\Prop\Constructed\Bench\PRP_Bench_SancCommonWooden_Brown_000.m3",1,0,0,0,0,0,0
266,"Art\Prop\Constructed\Bench\PRP_Bench_SancCommonWoodenGranok_Brown_000.m3",1,0,0,0,0,0,0
