"ID","housingPlugItemId","maintenanceCost","upgradeCost00","upgradeCost01","upgradeCost02","spell4IdAbility00","spell4IdAbility01","spell4IdAbility02","spell4IdAbility03","spell4IdAbility04","spell4IdAbility05","spell4IdAbility06","spell4IdAbility07","spell4IdAbility08","spell4IdAbility09","spell4IdAbility10","spell4IdAbility11"
32,430,0,0,210,275,46680,46680,46680,46686,46686,46686,46682,46682,46682,46684,46684,46684
33,435,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
34,436,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
35,437,0,0,215,280,53745,53745,53745,53755,53755,53755,53748,53748,53748,53751,53751,53751
36,438,0,0,215,280,53746,53746,53746,53756,53756,53756,53749,53749,53749,53752,53752,53752
37,431,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
38,432,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
39,433,0,0,200,270,46679,46679,46679,46685,46685,46685,46681,46681,46681,46683,46683,46683
40,434,0,0,200,270,46680,46680,46680,46686,46686,46686,46682,46682,46682,46684,46684,46684
41,422,0,0,145,210,0,0,0,0,0,0,0,0,0,0,0,0
42,423,0,0,145,210,0,0,0,0,0,0,0,0,0,0,0,0
43,501,0,0,655,800,62963,63078,63080,62962,63077,63079,0,0,0,0,0,0
44,502,0,0,655,800,62963,63078,63080,62962,63077,63079,0,0,0,0,0,0
45,420,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
46,421,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
47,410,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
48,411,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
49,412,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
50,413,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
51,414,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
52,415,0,0,110,130,0,0,0,0,0,0,0,0,0,0,0,0
53,416,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
54,417,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
55,418,0,0,115,135,0,0,0,0,0,0,0,0,0,0,0,0
56,424,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
57,425,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
58,426,0,0,155,220,0,0,0,0,0,0,0,0,0,0,0,0
59,443,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
60,444,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
61,445,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
62,446,0,0,200,270,46679,46679,46679,46685,46685,46685,46681,46681,46681,46683,46683,46683
63,447,0,0,200,270,46680,46680,46680,46686,46686,46686,46682,46682,46682,46684,46684,46684
64,448,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
65,449,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
66,450,0,0,200,270,46290,46290,46290,46613,46613,46613,46517,46517,46517,46612,46612,46612
67,451,0,0,200,270,46679,46679,46679,46685,46685,46685,46681,46681,46681,46683,46683,46683
68,452,0,0,200,270,46680,46680,46680,46686,46686,46686,46682,46682,46682,46684,46684,46684
69,453,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
70,454,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
71,455,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
72,456,0,0,215,280,53745,53745,53745,53755,53755,53755,53748,53748,53748,53751,53751,53751
73,457,0,0,215,280,53746,53746,53746,53756,53756,53756,53749,53749,53749,53752,53752,53752
74,458,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
75,459,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
76,460,0,0,215,280,53744,53744,53744,53753,53753,53753,53747,53747,53747,53750,53750,53750
77,461,0,0,215,280,53745,53745,53745,53755,53755,53755,53748,53748,53748,53751,53751,53751
78,462,0,0,215,280,53746,53746,53746,53756,53756,53756,53749,53749,53749,53752,53752,53752
79,463,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
80,464,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
81,469,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
82,465,0,0,230,290,53758,53758,53758,53767,53767,53767,53761,53761,53761,53764,53764,53764
83,466,0,0,230,290,53759,53759,53759,53768,53768,53768,53762,53762,53762,53765,53765,53765
84,467,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
85,468,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
86,470,0,0,230,290,53757,53757,53757,53766,53766,53766,53760,53760,53760,53763,53763,53763
87,471,0,0,230,290,53758,53758,53758,53767,53767,53767,53761,53761,53761,53764,53764,53764
88,472,0,0,230,290,53759,53759,53759,53768,53768,53768,53762,53762,53762,53765,53765,53765
89,473,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
90,474,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
91,475,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
92,476,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
93,477,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
94,478,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
95,479,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
96,480,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
97,481,0,0,195,255,0,0,0,0,0,0,0,0,0,0,0,0
98,486,0,0,545,640,53020,54510,54511,53023,54512,54513,0,0,0,0,0,0
99,487,0,0,545,640,53020,54510,54511,53023,54512,54513,0,0,0,0,0,0
100,488,0,0,545,640,53020,54510,54511,53023,54512,54513,0,0,0,0,0,0
101,489,0,0,545,640,54514,54515,54516,54519,54519,54521,0,0,0,0,0,0
102,490,0,0,545,640,54523,54524,54525,54526,54527,54528,0,0,0,0,0,0
103,496,0,0,575,670,56441,56456,56457,56441,56456,56457,0,0,0,0,0,0
104,497,0,0,575,670,56441,56456,56457,56441,56456,56457,0,0,0,0,0,0
105,498,0,0,575,670,56441,56456,56457,56441,56456,56457,0,0,0,0,0,0
106,499,0,0,575,670,56460,56461,56462,56460,56461,56462,0,0,0,0,0,0
107,500,0,0,575,670,56463,56464,56465,56463,56464,56465,0,0,0,0,0,0
108,491,0,0,575,670,56380,56562,56563,56379,56560,56561,0,0,0,0,0,0
109,492,0,0,575,670,56380,56562,56563,56379,56560,56561,0,0,0,0,0,0
110,493,0,0,575,670,56380,56562,56563,56379,56560,56561,0,0,0,0,0,0
111,494,0,0,575,670,56565,56566,56567,56568,56569,56570,0,0,0,0,0,0
112,495,0,0,575,670,56571,56572,56573,56574,56575,56576,0,0,0,0,0,0
