"ID","icon","unitPropertyMultiplier000","unitPropertyMultiplier001","unitPropertyMultiplier002","unitPropertyMultiplier003","unitPropertyMultiplier004","unitPropertyMultiplier005","unitPropertyMultiplier006","unitPropertyMultiplier007","unitPropertyMultiplier008","unitPropertyMultiplier009","unitPropertyMultiplier010","unitPropertyMultiplier011","unitPropertyMultiplier012","unitPropertyMultiplier013","unitPropertyMultiplier014","unitPropertyMultiplier015","unitPropertyMultiplier016","unitPropertyMultiplier017","unitPropertyMultiplier018","unitPropertyMultiplier019","unitPropertyMultiplier020","unitPropertyMultiplier021","unitPropertyMultiplier022","unitPropertyMultiplier023","unitPropertyMultiplier024","unitPropertyMultiplier025","unitPropertyMultiplier026","unitPropertyMultiplier027","unitPropertyMultiplier028","unitPropertyMultiplier029","unitPropertyMultiplier030","unitPropertyMultiplier031","unitPropertyMultiplier032","unitPropertyMultiplier033","unitPropertyMultiplier034","unitPropertyMultiplier035","unitPropertyMultiplier036","unitPropertyMultiplier037","unitPropertyMultiplier038","unitPropertyMultiplier039","unitPropertyMultiplier040","unitPropertyMultiplier041","unitPropertyMultiplier042","unitPropertyMultiplier043","unitPropertyMultiplier044","unitPropertyMultiplier045","unitPropertyMultiplier046","unitPropertyMultiplier047","unitPropertyMultiplier048","unitPropertyMultiplier049","unitPropertyMultiplier050","unitPropertyMultiplier051","unitPropertyMultiplier052","unitPropertyMultiplier053","unitPropertyMultiplier054","unitPropertyMultiplier055","unitPropertyMultiplier056","unitPropertyMultiplier057","unitPropertyMultiplier058","unitPropertyMultiplier059","unitPropertyMultiplier060","unitPropertyMultiplier061","unitPropertyMultiplier062","unitPropertyMultiplier063","unitPropertyMultiplier064","unitPropertyMultiplier065","unitPropertyMultiplier066","unitPropertyMultiplier067","unitPropertyMultiplier068","unitPropertyMultiplier069","unitPropertyMultiplier070","unitPropertyMultiplier071","unitPropertyMultiplier072","unitPropertyMultiplier073","unitPropertyMultiplier074","unitPropertyMultiplier075","unitPropertyMultiplier076","unitPropertyMultiplier077","unitPropertyMultiplier078","unitPropertyMultiplier079","unitPropertyMultiplier080","unitPropertyMultiplier081","unitPropertyMultiplier082","unitPropertyMultiplier083","unitPropertyMultiplier084","unitPropertyMultiplier085","unitPropertyMultiplier086","unitPropertyMultiplier087","unitPropertyMultiplier088","unitPropertyMultiplier089","unitPropertyMultiplier090","unitPropertyMultiplier091","unitPropertyMultiplier092","unitPropertyMultiplier093","unitPropertyMultiplier094","unitPropertyMultiplier095","unitPropertyMultiplier096","unitPropertyMultiplier097","unitPropertyMultiplier098","unitPropertyMultiplier099","unitPropertyMultiplier100","unitPropertyMultiplier101","unitPropertyMultiplier102","unitPropertyMultiplier103","unitPropertyMultiplier104","unitPropertyMultiplier105","unitPropertyMultiplier106","unitPropertyMultiplier107","unitPropertyMultiplier108","unitPropertyMultiplier109","unitPropertyMultiplier110","unitPropertyMultiplier111","unitPropertyMultiplier112","unitPropertyMultiplier113","unitPropertyMultiplier114","unitPropertyMultiplier115","unitPropertyMultiplier116","unitPropertyMultiplier117","unitPropertyMultiplier118","unitPropertyMultiplier119","unitPropertyMultiplier120","unitPropertyMultiplier121","unitPropertyMultiplier122","unitPropertyMultiplier123","unitPropertyMultiplier124","unitPropertyMultiplier125","unitPropertyMultiplier126","unitPropertyMultiplier127","unitPropertyMultiplier128","unitPropertyMultiplier129","unitPropertyMultiplier130","unitPropertyMultiplier131","unitPropertyMultiplier132","unitPropertyMultiplier133","unitPropertyMultiplier134","unitPropertyMultiplier135","unitPropertyMultiplier136","unitPropertyMultiplier137","unitPropertyMultiplier138","unitPropertyMultiplier139","unitPropertyMultiplier140","unitPropertyMultiplier141","unitPropertyMultiplier142","unitPropertyMultiplier143","unitPropertyMultiplier144","unitPropertyMultiplier145","unitPropertyMultiplier146","unitPropertyMultiplier147","unitPropertyMultiplier148","unitPropertyMultiplier149","unitPropertyMultiplier150","unitPropertyMultiplier151","unitPropertyMultiplier152","unitPropertyMultiplier153","unitPropertyMultiplier154","unitPropertyMultiplier155","unitPropertyMultiplier156","unitPropertyMultiplier157","unitPropertyMultiplier158","unitPropertyMultiplier159","unitPropertyMultiplier160","unitPropertyMultiplier161","unitPropertyMultiplier162","unitPropertyMultiplier163","unitPropertyMultiplier164","unitPropertyMultiplier165","unitPropertyMultiplier166","unitPropertyMultiplier167","unitPropertyMultiplier168","unitPropertyMultiplier169","unitPropertyMultiplier170","unitPropertyMultiplier171","unitPropertyMultiplier172","unitPropertyMultiplier173","unitPropertyMultiplier174","unitPropertyMultiplier175","unitPropertyMultiplier176","unitPropertyMultiplier177","unitPropertyMultiplier178","unitPropertyMultiplier179","unitPropertyMultiplier180","unitPropertyMultiplier181","unitPropertyMultiplier182","unitPropertyMultiplier183","unitPropertyMultiplier184","unitPropertyMultiplier185","unitPropertyMultiplier186","unitPropertyMultiplier187","unitPropertyMultiplier188","unitPropertyMultiplier189","unitPropertyMultiplier190","unitPropertyMultiplier191","unitPropertyMultiplier192","unitPropertyMultiplier193","unitPropertyMultiplier194","unitPropertyMultiplier195","unitPropertyMultiplier196","unitPropertyMultiplier197","unitPropertyMultiplier198","unitPropertyMultiplier199"
11,"ClientSprites:Icon_ArchetypeUI_CRB_MeleeDPS",1.06,1.06,1.06,1.06,1.06,1,1,0.73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.45,0.45,0.45,1,1,1,1,1,1,1.06,1.06,1,1,1,1,0.23,0.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"",0.55,0.55,0.55,0.55,0.55,1,1,2.175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,0.55,1,1,1,1,0.725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,"ClientSprites:Icon_ArchetypeUI_CRB_RangedDPS",1.1,1.1,1.1,1.1,1.1,1,1,0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,1,1,1,1,1,1,1.1,1.1,1,1,1,1,0.22,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,"ClientSprites:Icon_ArchetypeUI_CRB_RangedDPS",1.1,1.1,1.1,1.1,1.1,1,1,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,1,1,1,1,1,1,1.1,1.1,1,1,1,1,0,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,"ClientSprites:Icon_ArchetypeUI_CRB_RangedDPS",0.95,0.95,0.95,0.95,0.95,1,1,0.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,1.05,1.05,1,1,1,1,1,1,0.95,0.95,1,1,1,1,0.26,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,"ClientSprites:Icon_ArchetypeUI_CRB_Tank",0.95,0.95,0.95,0.95,0.95,1,1,1.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05,1.05,1.05,1,1,1,1,1,1,0.95,0.95,1,1,1,1,0,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,"ClientSprites:Icon_ArchetypeUI_CRB_Vehicle",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,"TargetFrameSprites:sprRoleMeleeHeavy",0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.17647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,"TargetFrameSprites:sprRoleMeleeHeavy",1,1,1,1,1,1,1,0.09,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,"ClientSprites:Icon_ArchetypeUI_CRB_Tank",0.9,0.9,0.9,0.9,0.9,1,1,1.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1,1,1,1,1,1,0.9,0.9,1,1,1,1,0,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,"ClientSprites:Icon_ArchetypeUI_CRB_Tank",0.9,0.9,0.9,0.9,0.9,1,1,0.77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1,1,1,1,1,1,0.9,0.9,1,1,1,1,0.27,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,"TargetFrameSprites:sprRoleSummoner",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,"ClientSprites:Icon_ArchetypeUI_CRB_Townie",1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,"TargetFrameSprites:sprRoleSummoner",1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,"ClientSprites:Icon_ArchetypeUI_CRB_Townie",1,1,1,1,1,1,1,1.405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,"",1,1,1,1,1,1,1,1.405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,"ClientSprites:Icon_ArchetypeUI_CRB_Townie",0.35,0.35,0.35,0.35,0.35,1,1,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.35,0.35,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,"ClientSprites:ClientSprites:Icon_ArchetypeUI_CRB_Townie",1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.5,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,"ClientSprites:ClientSprites:Icon_ArchetypeUI_CRB_Townie",1,1,1,1,1,1,1,1.405,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,"ClientSprites:Icon_ArchetypeUI_CRB_Guard",1.405,1.405,1.405,1.405,1.405,1,1,1.405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.405,1.405,1,1,1,1,1.405,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,"",0.55,0.55,0.55,0.55,0.55,1,1,2.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.55,0.55,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
