"ID","tradeSkillTierId","achievementId","iconPath","localizedTextIdName","localizedTextIdTooltip","tradeskillBonusEnum00","tradeskillBonusEnum01","tradeskillBonusEnum02","objectIdPrimary00","objectIdPrimary01","objectIdPrimary02","objectIdSecondary00","objectIdSecondary01","objectIdSecondary02","objectIdTertiary00","objectIdTertiary01","objectIdTertiary02","value00","value01","value02","valueInt00","valueInt01","valueInt02"
282,0,0,"ClientSprites:Icon_SkillIce_UI_srcr_iceshrds",509112,509113,6,0,0,1,0,0,0,0,0,309,0,0,2,0,0,0,0,0
334,0,0,"IconSprites:Icon_ItemMisc_TechTotem",711555,711556,21,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,0,0,"IconSprites:Icon_TradeskillAdditiveTechnology_Water_03",498943,498944,15,28,0,16,16,0,0,0,0,1,0,0,1.25,1,0,0,0,0
265,0,0,"ClientSprites:Icon_ItemMisc_tool_0002",498953,498954,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,"IconSprites:Icon_SkillEngineer_Shock_Pulse",740459,740460,8,13,0,14,14,0,0,0,0,0,0,0,10,0,0,0,0,0
317,0,0,"IconSprites:Icon_SkillEngineer_Shock_Pulse",711521,711522,8,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0
199,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",474976,474977,61,0,0,1,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0
348,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",711583,711584,3,0,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0
248,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Special_1",491544,491545,60,0,0,12,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0
148,0,0,"IconSprites:Icon_TradeskillMisc_CookRecipe",413761,413762,20,16,0,2,2,0,0,0,0,0,0,0,1.25,0.75,0,0,0,0
116,0,0,"ClientSprites:Icon_ItemArmorNeck_UI_Item_Neck_004",506416,506417,13,26,0,17,17,0,0,0,0,0,0,0,1,1,0,0,0,0
331,0,0,"IconSprites:Icon_ItemMisc_BioMemeticMud",711549,711550,6,6,0,14,1,0,0,0,0,523,540,0,1,1,0,0,0,0
231,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",486142,486143,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Tempestuous",711515,711516,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
182,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",464306,464421,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,37,0,0
163,0,0,"IconSprites:Icon_ItemMisc_Pudding",413813,413818,14,15,16,2,2,2,0,0,0,4,4,4,0.9,1.2,0.9,0,0,0
332,0,0,"IconSprites:Icon_ItemMisc_Generic_isolinear_chip",711551,711552,9,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
217,0,0,"ClientSprites:Icon_ItemMisc_letter_0003",486018,486019,5,64,0,14,14,0,0,0,0,0,0,0,1.05,0.5,0,0,0,0
297,0,0,"",0,596230,57,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0
183,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",464308,464410,6,0,0,21,0,0,0,0,0,382,0,0,2,0,0,0,0,0
197,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Gears",474972,474973,58,0,0,1,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0
166,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_Spice_Shaker_RockSalt",413832,413833,14,15,16,2,2,2,0,0,0,2,2,2,0.9,1.2,0.9,0,0,0
114,0,0,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",506411,506410,16,14,0,17,17,0,0,0,0,4,4,0,1.1,0.526,0,0,0,0
355,0,0,"IconSprites:Icon_TradeskillTalent_Maker_Mark",735887,735888,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,"ClientSprites:Icon_ItemMisc_letter_0002",463966,463967,65,0,0,21,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
221,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Green",486044,486045,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,34,0,0
344,0,0,"IconSprites:Icon_ItemMisc_Generic_rope_02",711575,711576,6,6,0,21,21,0,0,0,0,524,540,0,1,1,0,0,0,0
201,0,0,"ClientSprites:Icon_ItemMisc_tool_0004",474985,474986,57,57,57,1,1,1,46,204,45,0,0,0,1.06,1.06,1.06,0,0,0
244,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",491536,491537,63,0,0,12,0,0,0,0,0,0,0,0,0,0,0,35,0,0
301,0,0,"",0,608922,57,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0
146,0,0,"IconSprites:Icon_TradeskillTalent_Discount_Overlay",413755,413756,14,0,0,2,0,0,0,0,0,4,0,0,0.9,0,0,0,0,0
335,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",711557,711558,3,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",486152,486153,6,0,0,14,0,0,0,0,0,386,0,0,2,0,0,0,0,0
78,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Special_2",464397,464398,61,0,0,21,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0
321,0,0,"IconSprites:Icon_ItemMisc_TechTotem",711529,711530,21,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",464408,464409,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,"ClientSprites:Icon_ItemArmorChest_shirt_0001",506406,506407,6,0,0,17,0,0,0,0,0,211,0,0,1,0,0,0,0,0
353,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Tempestuous",711593,711594,12,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
330,0,0,"IconSprites:Icon_SkillEngineer_Shock_Pulse",711547,711548,8,0,0,14,0,0,0,0,0,0,0,0,10,0,0,0,0,0
67,0,0,"IconSprites:Icon_TradeskillAdditiveTechnology_Fire_03",498947,498948,15,28,0,16,16,0,0,0,0,3,0,0,1.25,1,0,0,0,0
319,0,0,"IconSprites:Icon_ItemMisc_Generic_isolinear_chip",711525,711526,9,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",506384,506385,16,14,0,17,17,0,0,0,0,1,1,0,1.05,0.8,0,0,0,0
187,0,0,"",474026,474027,57,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0
287,0,0,"",522196,522197,57,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
310,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Infernal",711507,711508,12,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
362,0,0,"IconSprites:Icon_SkillEngineer_Shock_Pulse",740451,740452,8,13,0,12,12,0,0,0,0,0,0,0,10,0,0,0,0,0
176,0,0,"ClientSprites:Icon_ItemMisc_tool_0004",464252,464253,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,"IconSprites:Icon_ItemMisc_Stoutroot_plant",413779,413780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Stick",506402,506403,6,0,0,17,0,0,0,0,0,219,0,0,1,0,0,0,0,0
196,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Technology",474969,474970,58,0,0,1,0,0,298,0,0,0,0,0,0.86,0,0,0,0,0
253,0,0,"ClientSprites:Icon_ItemMisc_tool_0004",491554,491555,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,"",0,596231,57,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0
119,0,0,"ClientSprites:Icon_ItemArmorFace_UI_Item_Battle_Face",506414,506415,16,14,0,17,17,0,0,0,0,2,2,0,1.1,0.526,0,0,0,0
305,0,0,"IconSprites:Icon_ItemMisc_Wire",711497,711498,6,6,0,1,1,0,0,0,0,521,540,0,1,1,0,0,0,0
219,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",486031,486032,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,32,0,0
328,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Inspiring",711543,711544,12,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0
60,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Medpack",498935,498936,11,11,0,16,16,0,328,329,0,202,202,0,0.15,0.05,0,0,0,0
226,0,0,"ClientSprites:Icon_ItemArmorChest_shirt_0002",486130,486131,57,57,0,14,14,0,8,9,0,0,0,0,1.05,1.05,0,0,0,0
203,0,0,"ClientSprites:Icon_ItemMisc_tool_0002",474989,474990,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,"IconSprites:Icon_TradeskillTalent_Discount_Overlay",413800,413801,14,0,0,2,0,0,0,0,0,1,0,0,0.9,0,0,0,0,0
303,0,0,"IconSprites:Icon_SkillWarrior_Polarity_Field",711493,711494,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
103,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Candles",506386,506387,16,14,0,17,17,0,0,0,0,3,3,0,1.05,0.8,0,0,0,0
346,0,0,"IconSprites:Icon_ItemMisc_Generic_Battery_02",711579,711580,2,0,0,21,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
246,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",491540,491541,63,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,0,0
266,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",498955,498956,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,"ClientSprites:Icon_ItemArmorLegs_pants_0004",464402,464403,57,57,0,21,21,0,2,5,0,0,0,0,1.05,1.05,0,0,0,0
366,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",740461,740462,3,13,0,14,14,0,0,0,0,0,0,0,1,0,0,0,0,0
249,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Special_2",491546,491547,61,0,0,12,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0
180,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",464303,464419,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,35,0,0
349,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Infernal",711585,711586,12,0,0,21,0,0,4,0,0,0,0,0,0,0,0,0,0,0
300,0,0,"",0,608921,57,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0
200,0,0,"ClientSprites:Icon_ItemMisc_tool_0001",474983,474984,57,57,57,1,1,1,51,48,79,0,0,0,1.06,1.06,1.06,0,0,0
312,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Verdant",711511,711512,12,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
360,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",740443,740444,3,13,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
260,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",491568,491569,6,0,0,12,0,0,0,0,0,384,0,0,2,0,0,0,0,0
369,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",740467,740468,3,13,0,21,21,0,0,0,0,0,0,0,1,0,0,0,0,0
151,0,0,"IconSprites:Icon_ItemMisc_Stir_Fried_Bugs",413773,413774,11,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
194,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",474958,474959,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,34,0,0
192,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",474954,474955,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0
228,0,0,"ClientSprites:Icon_ItemArmorFace_UI_Item_Arcane_Face",486135,486136,57,57,0,14,14,0,10,11,0,0,0,0,1.05,1.05,0,0,0,0
62,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Gears",498939,498940,6,0,0,16,0,0,365,0,0,214,0,0,1,0,0,0,0,0
285,0,0,"",522192,522193,57,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
162,0,0,"IconSprites:Icon_ItemMisc_Burger",413811,413812,10,0,0,2,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0
76,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Special_1",464244,464245,60,0,0,21,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0
251,0,0,"ClientSprites:Icon_ItemArmor_Heavy_Armor_Chest_02",491550,491551,56,56,56,12,12,12,15,17,20,0,0,0,5,5,5,0,0,0
53,0,0,"IconSprites:Icon_TradeskillAdditiveTechnology_Earth_04",498925,498926,14,0,0,16,0,0,0,0,0,4,0,0,0.85,0,0,0,0,0
337,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Geomatic",711561,711562,12,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0
351,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Verdant",711589,711590,12,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0
294,0,0,"",0,596234,57,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
117,0,0,"ClientSprites:Icon_ItemArmorNeck_UI_Item_Neck_002",506419,506418,13,16,0,17,17,0,0,0,0,0,0,0,1,1.333,0,0,0,0
326,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Ethereal",711539,711540,12,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0
324,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Geomatic",711535,711536,12,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0
75,0,0,"ClientSprites:Icon_ItemArmorChest_shirt_0002",464209,464210,13,63,63,21,21,21,0,0,0,0,0,0,1,0,0,0,8,76
158,0,0,"IconSprites:Icon_TradeskillTalent_Increase_Medishot_Ingredients",413795,413796,26,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",464093,464094,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,32,0,0
189,0,0,"ClientSprites:Icon_ItemMisc_letter_0002",474941,474942,65,60,0,1,1,0,0,0,0,0,0,0,1.05,0.94,0,0,0,0
258,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",491564,491565,63,0,0,12,0,0,0,0,0,0,0,0,0,0,0,34,0,0
358,0,0,"IconSprites:Icon_TradeskillTalent_Maker_Mark",735893,735894,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,"IconSprites:Icon_TradeskillAdditiveTechnology_Air_04",498927,498928,14,0,0,16,0,0,0,0,0,2,0,0,0.85,0,0,0,0,0
156,0,0,"IconSprites:Icon_TradeskillTalent_Discount_Overlay",413788,413789,14,0,0,2,0,0,0,0,0,2,0,0,0.9,0,0,0,0,0
207,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",474997,474998,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0
256,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",491560,491561,63,0,0,12,0,0,0,0,0,0,0,0,0,0,0,32,0,0
342,0,0,"IconSprites:Icon_SkillWarrior_Polarity_Field",711571,711572,1,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,0,0
356,0,0,"IconSprites:Icon_TradeskillTalent_Maker_Mark",735889,735890,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Technology",486122,486123,57,0,0,14,0,0,299,0,0,0,0,0,1.08,0,0,0,0,0
290,0,0,"",591861,591863,55,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
339,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Ethereal",711565,711566,12,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0
357,0,0,"IconSprites:Icon_TradeskillTalent_Maker_Mark",735891,735892,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Dexterity_Blue",464095,464098,63,0,0,21,0,0,0,0,0,0,0,0,0,0,0,33,0,0
105,0,0,"ClientSprites:Icon_ItemMisc_pick_0001",506392,506393,17,0,0,17,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
205,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Stamina_Blue",474993,474994,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0
291,0,0,"",0,594917,57,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0
242,0,0,"ClientSprites:Icon_ItemArmorLegs_pants_0004",491532,491533,57,57,0,12,12,0,16,19,0,0,0,0,1.05,1.05,0,0,0,0
308,0,0,"IconSprites:Icon_ItemMisc_TechTotem",711503,711504,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Verdant",711537,711538,12,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0
222,0,0,"ClientSprites:Icon_ItemArmorLegs_pants_0002",486046,486047,13,63,63,14,14,14,0,0,0,0,0,0,1,0,0,0,8,76
108,0,0,"IconSprites:Icon_TradeskillTalent_Tradeskill_Experience_Income_Up",506398,506399,11,5,0,17,17,0,164,164,0,197,0,0,0.05,1.15,0,0,0,0
225,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Crafting_Special_3",486126,486127,55,0,0,14,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0
106,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Hand",506394,506395,11,0,0,17,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0
155,0,0,"IconSprites:Icon_CraftingUI_Item_Crafting_Powder_RefinedSugar",413786,413787,15,16,0,2,2,0,0,0,0,4,4,0,1.2,0.9,0,0,0,0
255,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",491558,491559,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,"",0,0,57,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
241,0,0,"ClientSprites:Icon_ItemArmorChest_shirt_0002",491530,491531,57,57,0,12,12,0,15,20,0,0,0,0,1.05,1.05,0,0,0,0
341,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Inspiring",711569,711570,12,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0
190,0,0,"ClientSprites:Icon_ItemMisc_letter_0003",474944,474945,5,60,0,1,1,0,0,0,0,0,0,0,1.05,0.94,0,0,0,0
359,0,0,"IconSprites:Icon_SkillEngineer_Shock_Pulse",740440,740441,8,13,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0
307,0,0,"IconSprites:Icon_ItemMisc_Generic_Battery_02",711501,711502,2,0,0,1,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0
259,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Blueprints",491566,491567,6,0,0,12,0,0,0,0,0,385,0,0,2,0,0,0,0,0
322,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",711531,711532,3,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0
208,0,0,"ClientSprites:Icon_SkillNature_UI_srcr_dstdvl",475003,475004,6,0,0,1,0,0,0,0,0,308,0,0,2,0,0,0,0,0
309,0,0,"IconSprites:Icon_ItemMisc_StructuralCarbonRod",711505,711506,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
257,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Dexterity_Blue",491562,491563,63,0,0,12,0,0,0,0,0,0,0,0,0,0,0,33,0,0
223,0,0,"ClientSprites:Icon_SkillEnergy_UI_srcr_elctrcshck",486117,486118,59,0,0,14,0,0,299,0,0,0,0,0,1,0,0,0,0,0
340,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Tempestuous",711567,711568,12,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,0,0,"",591844,591845,57,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0
306,0,0,"IconSprites:Icon_ItemMisc_Generic_isolinear_chip",711499,711500,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
323,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Infernal",711533,711534,12,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0
227,0,0,"ClientSprites:Icon_ItemArmorLegs_pants_0004",486132,486133,57,57,0,14,14,0,12,13,0,0,0,0,1.05,1.05,0,0,0,0
204,0,0,"ClientSprites:Icon_ItemMisc_tool_0003",474991,474992,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,"ClientSprites:Icon_SkillMind_UI_espr_cnfs",498937,498938,20,0,0,16,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0
104,0,0,"ClientSprites:Icon_ItemMisc_UI_Item_Parchment",506390,506391,20,5,0,17,17,0,0,0,0,0,0,0,1.2,1.05,0,0,0,0
288,0,0,"",591841,591842,57,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0
188,0,0,"",474613,474614,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
311,0,0,"IconSprites:Icon_ItemMisc_WeaponEffects_Geomatic",711509,711510,12,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
234,0,0,"ClientSprites:Icon_CraftingUI_Item_Crafting_Strength_Blue",486150,486151,63,0,0,14,0,0,0,0,0,0,0,0,0,0,0,37,0,0
