"ID","enumName","combatMessageTypeEnum","localizedTextIdDisplayText","soundEventId"
80,"Caster_MustBe_Disarm",48,119750,0
81,"Caster_CannotBe_Silence",48,119751,0
82,"Caster_MustBe_Silence",48,119752,0
83,"Caster_CannotBe_Pacify",48,119753,0
84,"Caster_MustBe_Pacify",48,119754,0
85,"Caster_CannotBe_Fear",48,119755,0
86,"Caster_MustBe_Fear",48,119756,0
87,"Caster_CannotBe_Confuse",48,119757,0
88,"Caster_MustBe_Confuse",48,119758,0
89,"TargetGroup",50,119759,0
90,"TargetUnknown",49,119760,0
91,"NoTarget",49,119761,0
92,"Target_ImmuneToSpellType",50,119762,0
93,"Target_ImmuneToSpell",50,119763,0
94,"Target_ImmuneToSpellGroupList",50,119764,0
95,"Target_ImmuneToSpellGroup",50,119765,0
96,"Target_Invulnerable",50,119766,0
97,"TargetMaxTarget",49,119767,0
98,"TargetVital",49,119768,0
99,"TargetFaction",50,119769,0
100,"TargetIsNotUseable",50,119770,0
101,"TargetOrientation",49,119771,0
102,"TargetCannotBePlayer",50,119772,0
103,"TargetCannotBeNpc",50,119773,0
104,"TargetRangeMin",50,119774,0
105,"TargetRangeMax",50,119775,0
106,"Target_CannotBeDead",50,119776,0
107,"Target_MustBeDead",50,119777,0
108,"Target_CannotBeInCombat",50,119778,0
109,"Target_MustBeInCombat",50,119779,0
112,"Target_CannotBe_Moving",50,119782,0
113,"Target_MustBe_Moving",50,119783,0
114,"Target_CannotBe_Stealth",50,119784,0
115,"Target_MustBe_Stealth",50,119785,0
116,"Target_CannotBe_Piloting",50,119786,0
117,"Target_MustBe_Piloting",50,119787,0
118,"Target_CannotBe_Embarked",50,119788,0
119,"Target_MustBe_Embarked",50,119789,0
120,"Target_CannotBe_Taxi",50,119790,0
121,"Target_MustBe_Taxi",50,119791,0
122,"Target_CannotBe_Stun",50,119793,0
123,"Target_MustBe_Stun",50,119794,0
124,"Target_CannotBe_Sleep",50,119795,0
125,"Target_MustBe_Sleep",50,119796,0
126,"Target_CannotBe_Root",50,119797,0
127,"Target_MustBe_Root",50,119798,0
128,"Target_CannotBe_Disarm",50,119799,0
129,"Target_MustBe_Disarm",50,119800,0
130,"Target_CannotBe_Silence",50,119801,0
131,"Target_MustBe_Silence",50,119803,0
132,"Target_CannotBe_Pacify",50,119804,0
133,"Target_MustBe_Pacify",50,119805,0
134,"Target_CannotBe_Fear",50,119806,0
135,"Target_MustBe_Fear",50,119807,0
136,"Target_CannotBe_Confuse",50,119808,0
137,"Target_MustBe_Confuse",50,119809,0
138,"Target_CannotBe_Swimming",50,119810,0
139,"Target_MustBe_Swimming",50,119811,0
140,"InWrongWorldZone",50,119812,0
141,"DuelOver",49,119813,0
142,"UNUSED142",49,119814,0
143,"UNUSED143",49,119815,0
144,"MissingResult",49,119816,0
145,"IsP2PTrading",47,119863,0
146,"ClientSideInteractionFail",47,0,0
147,"StackingRefreshExistingSpell",49,119854,0
148,"StackingTargetHasMorePowerfulSpells",50,119855,0
149,"StackingCasterHasMorePowerfulSpells",49,119845,0
150,"StackingError",49,119853,0
151,"Prereq_CasterCast",49,119860,0
152,"CCKnockdown",48,412967,0
153,"CCVulnerability",48,412968,0
154,"Target_MustBe_Knockdown",48,0,0
155,"Target_MustBe_Vulnerability",48,0,0
156,"Caster_MustBe_Vulnerability",48,0,0
157,"Caster_MustBe_Knockdown",48,0,0
158,"Caster_CannotBe_Knockdown",48,0,0
159,"Caster_CannotBe_Vulnerability",48,0,0
160,"Target_CannotBe_Vulnerability",48,0,0
161,"Target_CannotBe_Knockdown",48,0,0
162,"MissingReagent_Item",48,0,0
163,"MissingReagent_ItemFamily",48,0,0
164,"MissingReagent_ItemCategory",48,0,0
165,"MissingReagent_ItemType",48,0,0
166,"Caster_Needs_LoS",47,484592,0
167,"CasterVitalCostFocus",50,151788,0
168,"TargetImmuneToSpellEffect",48,0,0
169,"WeaponSlot",48,459827,0
170,"Caster_MustBe_Jumping",48,154968,0
171,"Caster_CannotBe_Jumping",48,154970,0
172,"Target_CannotBe_Jumping",48,154971,0
173,"Target_MustBe_Jumping",48,154973,0
174,"InvalidPosition",48,179828,0
175,"CasterVitalCost",48,179829,0
176,"CasterVitalCostShieldCapacity",48,179830,0
177,"CasterVitalCostResource7",48,179831,0
178,"FailSpecialRestrictions",48,179832,0
179,"NoValidActivateSpell",48,190106,0
180,"SchematicAlreadyKnown",48,196708,0
181,"TradeskillTier",48,196709,0
182,"SpellNoCharges",49,347055,0
183,"TargetRangeVertical",49,0,0
184,"StackingDuplicateDurationalSpell",49,0,0
185,"SpellMaxPhaseReached",49,0,0
186,"CCVulnerabilityWithAct",49,412969,0
187,"CCDisorient",49,412970,0
188,"CCDisable",49,412971,0
189,"CCTaunt",49,412972,0
190,"CCDeTaunt",49,412973,0
191,"CCBlind",49,412974,0
192,"CCKnockback",49,412977,0
193,"CCPushback",49,412978,0
194,"CCPull",49,412979,0
195,"CCPositionSwitch",49,412981,0
196,"CCTether",49,412982,0
197,"CCSnare",49,412983,0
198,"Caster_MustBe_Polymorph",49,0,0
199,"Target_MustBe_Polymorph",49,0,0
200,"Caster_CannotBe_Polymorph",49,0,0
201,"Target_CannotBe_Polymorph",49,0,0
202,"Caster_MustBe_Hold",49,0,0
203,"Target_MustBe_Hold",49,0,0
204,"Caster_CannotBe_Hold",49,0,0
205,"Target_CannotBe_Hold",49,0,0
206,"Caster_MustBe_Disorient",49,0,0
207,"Target_MustBe_Disorient",49,0,0
208,"Caster_CannotBe_Disorient",49,0,0
209,"Target_CannotBe_Disorient",49,0,0
210,"Caster_MustBe_Disable",49,0,0
211,"Target_MustBe_Disable",49,0,0
212,"Caster_CannotBe_Disable",49,0,0
213,"Target_CannotBe_Disable",49,0,0
214,"Caster_MustBe_Taunt",49,0,0
215,"Target_MustBe_Taunt",49,0,0
216,"Caster_CannotBe_Taunt",49,0,0
217,"Target_CannotBe_Taunt",49,0,0
218,"Caster_MustBe_DeTaunt",49,0,0
219,"Target_MustBe_DeTaunt",49,0,0
220,"Caster_CannotBe_DeTaunt",49,0,0
221,"Target_CannotBe_DeTaunt",49,0,0
222,"Caster_MustBe_Blind",49,0,0
223,"Target_MustBe_Blind",49,413031,0
224,"Caster_CannotBe_Blind",49,0,0
225,"Target_CannotBe_Blind",49,413032,0
226,"Caster_MustBe_Knockback",49,0,0
227,"Target_MustBe_Knockback",49,0,0
228,"Caster_CannotBe_Knockback",49,0,0
229,"Target_CannotBe_Knockback",49,0,0
230,"Caster_MustBe_Pushback",49,0,0
231,"Target_MustBe_Pushback",49,0,0
232,"Caster_CannotBe_Pushback",49,0,0
233,"Target_CannotBe_Pushback",49,0,0
234,"Caster_MustBe_Pull",49,0,0
235,"Target_MustBe_Pull",49,0,0
236,"Caster_CannotBe_Pull",49,0,0
237,"Target_CannotBe_Pull",49,0,0
238,"Caster_MustBe_PositionSwitch",49,0,0
239,"Target_MustBe_PositionSwitch",49,0,0
240,"Caster_CannotBe_PositionSwitch",49,0,0
241,"Target_CannotBe_PositionSwitch",49,0,0
242,"Caster_MustBe_Tether",49,413013,0
243,"Target_MustBe_Tether",49,413014,0
244,"Caster_CannotBe_Tether",49,413015,0
245,"Target_CannotBe_Tether",49,413016,0
246,"Caster_MustBe_Snare",49,0,0
247,"Target_MustBe_Snare",49,0,0
248,"Caster_CannotBe_Snare",49,0,0
249,"Target_CannotBe_Snare",49,0,0
250,"CasterVitalCostInterruptArmor",49,0,0
251,"CCNoAbilities",49,0,0
252,"Blacklisted",49,0,0
253,"TargetCannotBePickup",49,413033,0
254,"CasterVitalCostAbsorption",49,0,0
255,"Target_MustBe_CastersPet",49,413034,0
256,"Target_MustBe_CastersMaster",49,413035,0
257,"CCInterrupt",49,0,0
258,"Caster_MustBe_Interrupt",49,0,0
259,"Target_MustBe_Interrupt",49,0,0
260,"Caster_CannotBe_Interrupt",49,0,0
261,"Target_CannotBe_Interrupt",49,0,0
262,"CSICooldown",49,420936,0
263,"CCDaze",49,412984,0
264,"Caster_MustBe_Daze",49,0,0
265,"Target_MustBe_Daze",49,413037,0
266,"Caster_CannotBe_Daze",49,0,0
267,"Target_CannotBe_Daze",49,413036,0
268,"CCSubdue",49,412985,0
269,"Caster_MustBe_Subdue",49,0,0
270,"Target_MustBe_Subdue",49,413038,0
271,"Caster_CannotBe_Subdue",49,0,0
272,"Target_CannotBe_Subdue",49,413039,0
273,"Target_CannotBe_Evading",49,413040,0
274,"Target_StructuredPlugBenefitRestricted",49,0,0
275,"CasterVitalCostPublicResource0",49,545681,0
276,"CasterVitalCostPublicResource1",49,545680,0
277,"CasterVitalCostPublicResource2",49,545682,0
278,"InactiveInnateAbilitySpell",49,0,0
279,"Caster_CannotBe_Swimming",49,409568,0
280,"Caster_MustBe_Swimming",49,409569,0
281,"Prereq_TargetCast",49,409603,0
282,"Prereq_CasterPersistence",49,409604,0
283,"Prereq_TargetPersistence",49,409605,0
284,"Prereq_Trap",49,409606,0
285,"IllegalSpellCast",47,411601,0
286,"TargetNotInSameGroup",48,418248,0
287,"BossToken_Permission",48,423531,0
288,"BossToken_NotReady",48,423534,0
289,"CCGrounded",49,430607,0
290,"Caster_MustBe_Grounded",49,0,0
291,"Target_MustBe_Grounded",49,430608,0
292,"Caster_CannotBe_Grounded",49,0,0
293,"Target_CannotBe_Grounded",49,430609,0
294,"CCDisableCinematic",49,438465,0
295,"Caster_MustBe_DisableCinematic",49,0,0
296,"Target_MustBe_DisableCinematic",49,0,0
297,"Caster_CannotBe_DisableCinematic",49,0,0
298,"Target_CannotBe_DisableCinematic",49,0,0
299,"CCAbilityRestriction",49,441266,0
300,"Caster_MustBe_AbilityRestriction",49,0,0
301,"Target_MustBe_AbilityRestriction",49,0,0
302,"Caster_CannotBe_AbilityRestriction",49,0,0
303,"Target_CannotBe_AbilityRestriction",49,0,0
304,"Target_VehicleBenefitRestricted",49,0,0
305,"TargetCannotBePet",49,483027,0
306,"Target_HostileInvulnerability",49,484558,0
307,"Target_InvulnerableToOther",49,484559,0
308,"Target_BeneficialInvulnerability",49,484560,0
309,"Caster_MustBe_Falling",48,487851,0
310,"Caster_CannotBe_Falling",48,487853,0
311,"Target_CannotBe_Falling",48,487860,0
312,"Target_MustBe_Falling",48,487861,0
313,"Caster_MustBe_Sprinting",48,487862,0
314,"Caster_CannotBe_Sprinting",48,487863,0
315,"Target_CannotBe_Sprinting",48,487864,0
316,"Target_MustBe_Sprinting",48,487865,0
317,"Queued",49,0,0
318,"ItemWrongRace",47,541736,0
319,"ItemWrongClass",47,541737,0
320,"ItemAlreadyUnlocked",0,574048,0
321,"PlayerSpellPending",49,577735,0
322,"Target_MustBe_PvpFlagged",48,579591,0
323,"Caster_MustBe_PvpFlagged",48,579592,0
325,"Target_OutsideTelegraph",49,0,0
326,"ShieldsOverloaded",49,584674,0
327,"CasterVitalCostResource8",48,650300,0
328,"CasterVitalCostResource9",48,650301,0
329,"CasterVitalCostResource10",48,650302,0
330,"RapidTransport_Invalid",25,718462,0
331,"ServiceTokens_InsufficentFunds",25,718463,0
