"ID","worldSocketId","plotType","housingPropertyInfoId","housingPropertyPlotIndex","housingPlugItemIdDefault"
293,1316,1,56,2,0
294,1317,1,56,3,0
295,1318,1,56,4,0
296,1319,1,56,5,0
297,1320,42,57,0,0
298,1321,2,57,1,0
299,1322,1,57,2,0
300,1323,1,57,3,0
301,1324,1,57,4,0
302,1325,1,57,5,0
303,1326,42,58,0,0
304,1327,2,58,1,0
305,1328,1,58,2,0
306,1329,1,58,3,0
307,1330,1,58,4,0
308,1331,1,58,5,0
309,1332,42,59,0,0
310,1333,2,59,1,0
311,1334,1,59,2,0
312,1335,1,59,3,0
313,1336,1,59,4,0
314,1337,1,59,5,0
315,1338,42,60,0,0
316,1339,2,60,1,0
317,1340,1,60,2,0
318,1341,1,60,3,0
319,1342,1,60,4,0
320,1343,1,60,5,0
321,1376,42,61,0,0
322,1377,2,61,1,0
323,1378,1,61,2,0
324,1379,1,61,3,0
325,1380,1,61,4,0
326,1381,1,61,5,0
327,1374,9,94,0,119
328,1386,4,94,1,105
329,1375,7,94,2,104
330,1387,4,94,3,113
331,1385,42,94,4,106
332,1384,1,94,5,109
333,1389,7,94,6,117
334,1388,7,94,7,114
335,1696,42,94,8,110
336,1699,42,94,9,112
337,1383,42,94,10,108
338,1390,2,94,11,116
339,1391,7,94,12,115
340,1382,46,94,13,120
341,1449,42,62,0,0
342,1450,2,62,1,0
343,1451,1,62,2,0
344,1452,1,62,3,0
345,1453,1,62,4,0
346,1454,1,62,5,0
347,1455,42,63,0,0
348,1456,2,63,1,0
349,1457,1,63,2,0
350,1458,1,63,3,0
351,1459,1,63,4,0
352,1460,1,63,5,0
353,1461,42,64,0,0
354,1462,2,64,1,0
355,1463,1,64,2,0
356,1464,1,64,3,0
357,1465,1,64,4,0
358,1466,1,64,5,0
359,1467,42,65,0,0
360,1468,2,65,1,0
361,1469,1,65,2,0
362,1470,1,65,3,0
363,1471,1,65,4,0
364,1472,1,65,5,0
365,1473,42,66,0,0
366,1474,2,66,1,0
367,1475,1,66,2,0
368,1476,1,66,3,0
369,1477,1,66,4,0
370,1478,1,66,5,0
371,1479,42,67,0,0
372,1480,2,67,1,0
373,1481,1,67,2,0
374,1482,1,67,3,0
375,1483,1,67,4,0
376,1484,1,67,5,0
377,1485,42,68,0,0
378,1486,2,68,1,0
379,1487,1,68,2,0
380,1488,1,68,3,0
381,1489,1,68,4,0
382,1490,1,68,5,0
383,1491,42,69,0,0
384,1492,2,69,1,0
385,1493,1,69,2,0
386,1494,1,69,3,0
387,1495,1,69,4,0
388,1496,1,69,5,0
389,1497,42,70,0,0
390,1498,2,70,1,0
391,1499,1,70,2,0
392,1500,1,70,3,0
393,1501,1,70,4,0
394,1502,1,70,5,0
395,1503,42,71,0,0
396,1504,2,71,1,0
397,1505,1,71,2,0
398,1506,1,71,3,0
399,1507,1,71,4,0
400,1508,1,71,5,0
401,1509,42,72,0,0
402,1510,2,72,1,0
403,1511,1,72,2,0
404,1512,1,72,3,0
405,1513,1,72,4,0
406,1514,1,72,5,0
407,1515,42,73,0,0
408,1516,2,73,1,0
409,1517,1,73,2,0
410,1518,1,73,3,0
411,1519,1,73,4,0
412,1520,1,73,5,0
413,1521,42,74,0,0
414,1522,2,74,1,0
415,1523,1,74,2,0
416,1524,1,74,3,0
417,1525,1,74,4,0
418,1526,1,74,5,0
419,1527,42,75,0,0
420,1528,2,75,1,0
421,1529,1,75,2,0
422,1530,1,75,3,0
423,1531,1,75,4,0
424,1532,1,75,5,0
425,1533,42,76,0,0
426,1534,2,76,1,0
427,1535,1,76,2,0
428,1536,1,76,3,0
429,1537,1,76,4,0
430,1538,1,76,5,0
431,1539,42,77,0,0
432,1540,2,77,1,0
433,1541,1,77,2,0
434,1542,1,77,3,0
435,1543,1,77,4,0
436,1544,1,77,5,0
437,1545,42,78,0,0
438,1546,2,78,1,0
439,1547,1,78,2,0
440,1548,1,78,3,0
441,1549,1,78,4,0
442,1550,1,78,5,0
443,1551,42,79,0,0
444,1552,2,79,1,0
445,1553,1,79,2,0
446,1554,1,79,3,0
447,1555,1,79,4,0
448,1556,1,79,5,0
449,1557,42,80,0,0
450,1558,2,80,1,0
451,1559,1,80,2,0
452,1560,1,80,3,0
453,1561,1,80,4,0
454,1562,1,80,5,0
455,1563,42,81,0,0
456,1564,2,81,1,0
457,1565,1,81,2,0
458,1566,1,81,3,0
459,1567,1,81,4,0
460,1568,1,81,5,0
461,1569,42,82,0,0
462,1570,2,82,1,0
463,1571,1,82,2,0
464,1572,1,82,3,0
465,1573,1,82,4,0
466,1574,1,82,5,0
467,1575,42,83,0,0
468,1576,2,83,1,0
469,1577,1,83,2,0
470,1578,1,83,3,0
471,1579,1,83,4,0
472,1580,1,83,5,0
473,1581,42,84,0,0
474,1582,2,84,1,0
475,1583,1,84,2,0
476,1584,1,84,3,0
477,1585,1,84,4,0
478,1586,1,84,5,0
479,1587,42,85,0,0
480,1588,2,85,1,0
481,1589,1,85,2,0
482,1590,1,85,3,0
483,1591,1,85,4,0
484,1592,1,85,5,0
485,1593,42,86,0,0
486,1594,2,86,1,0
487,1595,1,86,2,0
488,1596,1,86,3,0
489,1597,1,86,4,0
490,1598,1,86,5,0
491,1601,42,87,0,0
492,1602,2,87,1,0
493,1603,1,87,2,0
494,1604,1,87,3,0
495,1605,1,87,4,0
496,1606,1,87,5,0
497,1744,1,0,1,0
498,1745,42,0,0,0
500,1747,1,0,3,0
501,1600,9,95,0,127
502,1612,4,95,1,105
503,1613,7,95,2,104
504,1617,4,95,3,113
505,1611,42,95,4,106
506,1610,1,95,5,109
507,1607,7,95,6,117
508,1616,7,95,7,114
509,1615,42,95,8,110
510,1614,42,95,9,112
511,1609,42,95,10,108
512,1608,2,95,11,116
513,1618,7,95,12,115
514,1599,46,95,13,120
515,1761,1,0,2,0
516,1841,42,99,0,0
517,1842,2,99,1,0
518,1843,1,99,2,0
519,1844,1,99,3,0
520,1845,1,99,4,0
521,1846,1,99,5,0
554,1852,2,35,6,0
555,1814,47,98,1,0
556,1816,49,98,2,0
557,1817,50,98,3,0
558,1820,48,98,4,0
562,1824,50,98,5,0
564,1826,49,98,6,0
565,1813,51,98,7,0
570,1856,53,98,8,0
571,1794,47,97,1,0
572,1796,49,97,2,0
573,1797,50,97,3,0
574,1800,48,97,4,0
578,1804,50,97,5,0
580,1806,49,97,6,0
581,1793,51,97,7,0
586,1855,53,97,8,0
587,1863,47,96,1,0
588,1864,49,96,2,0
589,1857,50,96,3,0
590,1858,48,96,4,0
594,1862,50,96,5,0
596,1866,49,96,6,0
597,1872,51,96,7,0
602,1870,53,96,8,0
603,1873,52,97,0,0
604,1874,52,98,0,0
605,1875,52,96,0,0
606,2304,42,100,0,0
607,2305,2,100,1,0
608,2307,1,100,2,0
609,2308,1,100,3,0
610,2309,1,100,4,0
611,2310,1,100,5,0
612,2306,2,100,6,0
613,2311,42,101,0,0
614,2312,2,101,1,0
615,2314,1,101,2,0
616,2315,1,101,3,0
617,2316,1,101,4,0
618,2317,1,101,5,0
619,2313,2,101,6,0
620,2318,42,102,0,0
621,2319,2,102,1,0
622,2321,1,102,2,0
623,2322,1,102,3,0
624,2323,1,102,4,0
625,2324,1,102,5,0
626,2320,2,102,6,0
627,2325,42,103,0,0
628,2326,2,103,1,0
629,2328,1,103,2,0
630,2329,1,103,3,0
631,2330,1,103,4,0
632,2331,1,103,5,0
633,2327,2,103,6,0
634,2332,42,104,0,0
635,2333,2,104,1,0
636,2335,1,104,2,0
637,2336,1,104,3,0
638,2337,1,104,4,0
639,2338,1,104,5,0
640,2334,2,104,6,0
642,2381,54,105,0,0
