"ID","classId","characterLevel","prerequisiteId","spell4Id","costMultiplier"
1088,4,7,0,41551,1
1089,4,1,0,42352,1
1090,4,22,0,41533,1
1091,3,12,0,33081,1
1100,3,9,0,36821,1
1101,7,16,24725,38905,1
1107,7,12,0,58428,1
1109,3,22,0,43568,1
1110,7,20,0,36052,1
1111,2,1,0,42276,1
1113,2,8,0,34836,1
1114,2,16,24296,38036,1
1119,4,12,0,38279,1
1131,7,18,0,38881,1
1142,7,7,0,39068,1
1144,7,6,0,39092,1
1145,7,9,0,35870,1
1146,7,16,24726,39116,1
1147,7,14,0,39134,1
1148,7,6,0,39132,1
1150,5,6,0,39157,1
1152,7,10,0,39121,1
1153,7,22,0,39063,1
1154,5,18,0,39180,1
1155,7,6,0,38507,1
1157,5,10,0,39246,1
1158,5,12,0,39268,1
1159,5,16,24735,38973,1
1160,5,14,0,38825,1
1161,7,14,0,39330,1
1163,5,22,0,39671,1
1165,5,10,0,39361,1
1166,5,6,0,39366,1
1167,5,20,0,39372,1
1168,5,22,0,39371,1
1171,7,24,0,35170,1
1172,5,6,0,39561,1
1173,5,24,0,50184,1
1174,5,16,24736,39642,1
1175,5,24,0,39581,1
1177,7,22,0,39646,1
1185,2,1,0,41276,1
1186,2,14,0,41341,1
1187,2,6,0,41275,1
1188,2,1,0,41438,1
1191,4,6,0,41333,1
1192,4,16,24295,40653,1
1193,4,14,0,78081,1
1194,4,6,0,41382,1
1195,4,18,0,30354,1
1197,4,24,0,41398,1
1198,4,16,24294,41416,1
1199,4,18,0,41420,1
1200,2,6,0,41426,1
1201,2,20,0,41429,1
1206,2,9,0,41477,1
1207,2,7,0,41484,1
1211,2,14,0,41623,1
1212,4,20,0,41603,1
1215,2,12,0,41543,1
1216,2,5,0,41756,1
1217,2,16,24297,41815,1
1218,2,20,0,42572,1
1219,2,9,0,41864,1
1220,4,10,0,41926,1
1221,4,6,0,58841,1
1222,2,24,0,42585,1
1224,4,14,0,42596,1
1226,4,24,0,42241,1
1228,2,12,0,42894,1
1229,2,22,0,42833,1
1230,2,4,0,42814,1
1231,2,16,24298,42810,1
1232,2,18,0,42803,1
1235,7,18,0,43326,1
1236,7,1,0,34355,1
1237,7,24,0,43570,1
1238,7,9,0,43609,1
1239,3,1,0,32812,1
1244,2,10,0,44471,1
1254,7,10,0,46160,1
1255,3,20,0,33345,1
1262,5,9,0,48033,1
1263,5,7,0,48117,1
1264,5,5,0,48584,1
1265,5,20,0,39565,1
1266,2,10,0,51605,1
1267,3,24,0,32818,1
1268,2,18,0,52133,1
1269,7,16,24727,52233,1
1270,7,5,0,46690,1
1276,1,50,44234,87964,1
1282,1,50,44245,88046,1
1283,1,50,44245,88047,1
1284,1,50,44245,88048,1
1285,1,50,44245,88049,1
1286,1,50,44249,88050,1
1287,1,50,44249,88051,1
1288,1,50,44249,88052,1
1289,1,50,44249,88053,1
1290,1,50,44250,88012,1
1292,1,50,44251,88111,1
1293,1,50,44251,88112,1
1294,1,50,44251,88113,1
1295,1,50,44251,88114,1
1296,1,50,44255,88115,1
1297,1,50,44255,88116,1
1298,1,50,44255,88117,1
1299,1,50,44255,88118,1
1300,2,50,44234,87977,1
1301,2,50,44245,87983,1
1302,2,50,44245,87984,1
1303,2,50,44245,87985,1
1304,2,50,44245,87986,1
1305,2,50,44249,87987,1
1306,2,50,44249,87988,1
1307,2,50,44249,87989,1
1308,2,50,44249,87990,1
1309,2,50,44250,88033,1
1310,2,50,44251,88135,1
1311,2,50,44251,88136,1
1312,2,50,44251,88137,1
1313,2,50,44251,88138,1
1314,2,50,44255,88139,1
1315,2,50,44255,88140,1
1316,2,50,44255,88141,1
1317,2,50,44255,88142,1
1318,3,50,44234,87947,1
1319,3,50,44245,88244,1
1320,3,50,44245,88245,1
1321,3,50,44245,88246,1
1322,3,50,44245,88247,1
1323,3,50,44249,88248,1
1324,3,50,44249,88249,1
1325,3,50,44249,88250,1
1326,3,50,44249,88251,1
1327,3,50,44250,88558,1
1328,3,50,44251,88559,1
1329,3,50,44251,88560,1
1330,3,50,44251,88561,1
1331,3,50,44251,88562,1
1332,3,50,44255,88563,1
1333,3,50,44255,88564,1
1334,3,50,44255,88565,1
1335,3,50,44255,88566,1
1336,4,50,44234,88169,1
1337,4,50,44245,88220,1
1338,4,50,44245,88221,1
1339,4,50,44245,88222,1
1340,4,50,44245,88223,1
1341,4,50,44249,88224,1
1342,4,50,44249,88225,1
1343,4,50,44249,88226,1
1344,4,50,44249,88227,1
1345,4,50,44250,88568,1
1346,4,50,44251,88571,1
1347,4,50,44251,88572,1
1348,4,50,44251,88573,1
1349,4,50,44251,88574,1
1350,4,50,44255,88575,1
1351,4,50,44255,88576,1
1352,4,50,44255,88577,1
1353,4,50,44255,88578,1
1354,5,50,44234,88168,1
1355,5,50,44245,88228,1
1356,5,50,44245,88229,1
1357,5,50,44245,88230,1
1358,5,50,44245,88231,1
1359,5,50,44249,88232,1
1360,5,50,44249,88233,1
1361,5,50,44249,88234,1
1362,5,50,44249,88235,1
1363,5,50,44250,88219,1
1364,5,50,44251,88236,1
1365,5,50,44251,88237,1
1366,5,50,44251,88238,1
1367,5,50,44251,88239,1
1368,5,50,44255,88240,1
1369,5,50,44255,88241,1
1370,5,50,44255,88242,1
1371,5,50,44255,88243,1
1372,7,50,44234,88040,1
1373,7,50,44245,88151,1
1374,7,50,44245,88152,1
1375,7,50,44245,88153,1
1376,7,50,44245,88154,1
1377,7,50,44249,88155,1
1378,7,50,44249,88156,1
1379,7,50,44249,88157,1
1380,7,50,44249,88158,1
1381,7,50,44250,88020,1
1382,7,50,44251,88119,1
1383,7,50,44251,88120,1
1384,7,50,44251,88121,1
1385,7,50,44251,88122,1
1386,7,50,44255,88123,1
1387,7,50,44255,88124,1
1388,7,50,44255,88125,1
1389,7,50,44255,88126,1
