"ID","localizedTextIdDisplayString","type","data0","data1","data2","data3","data4","data5","data6"
209,0,9,4310,4311,4312,0,0,0,0
216,0,9,4363,4364,4365,4366,4367,4368,0
229,0,9,4641,0,0,0,0,0,0
230,0,1,4521,0,0,0,0,0,0
236,0,9,4960,4961,4962,4963,4964,4965,4966
237,0,11,207,236,0,0,0,0,0
265,0,3,478,0,0,0,0,0,0
275,0,3,473,0,0,0,0,0,0
281,0,1,3056,0,0,0,0,0,0
300,0,9,4912,0,0,0,0,0,0
302,0,9,4941,4942,4943,0,0,0,0
307,0,1,5006,5007,0,0,0,0,0
310,0,1,5138,0,0,0,0,0,0
320,0,1,5021,0,0,0,0,0,0
329,0,1,5155,0,0,0,0,0,0
369,49194,1,0,4987,4988,0,0,0,0
371,0,9,2367,2369,2370,0,0,0,0
372,0,11,71,371,0,0,0,0,0
374,0,9,2273,2274,2275,2276,0,0,0
401,0,1,3444,0,0,0,0,0,0
402,0,3,274,0,0,0,0,0,0
404,53323,9,4318,4319,4320,4867,0,0,0
405,53324,11,206,404,0,0,0,0,0
406,0,3,189,190,0,0,0,0,0
407,0,3,463,248,249,284,473,523,0
408,0,3,192,193,510,0,0,0,0
409,0,3,201,202,0,0,0,0,0
410,0,3,198,199,0,0,0,0,0
417,0,3,257,258,0,0,0,0,0
418,0,1,5694,0,0,0,0,0,0
419,0,1,5694,5810,5811,5812,5813,5814,0
420,0,1,5462,5463,5464,0,0,0,0
422,0,1,5453,0,0,0,0,0,0
423,0,1,5699,0,0,0,0,0,0
424,0,1,5699,0,0,0,0,0,0
426,0,1,5704,0,0,0,0,0,0
427,0,1,5705,5706,5707,0,0,0,0
428,54865,1,5865,0,0,0,0,0,0
429,0,9,5539,5540,0,0,0,0,0
430,0,1,5444,0,0,0,0,0,0
431,0,1,5769,0,0,0,0,0,0
432,0,1,5451,5452,0,0,0,0,0
433,0,1,5768,0,0,0,0,0,0
435,0,3,521,0,0,0,0,0,0
436,54866,10,428,435,0,0,0,0,0
437,55361,1,5718,0,0,0,0,0,0
438,0,9,2410,2411,3866,2467,0,0,0
439,0,11,66,438,0,0,0,0,0
441,0,9,5945,0,0,0,0,0,0
445,0,1,5867,0,0,0,0,0,0
452,268807,1,5713,6204,6205,6206,0,0,0
453,268808,1,5713,0,0,0,0,0,0
454,56287,1,6204,6205,6206,0,0,0,0
455,268809,1,5715,0,0,0,0,0,0
456,56291,1,5726,0,0,0,0,0,0
458,56485,9,5543,5544,0,0,0,0,0
459,0,1,5719,5847,0,0,0,0,0
461,0,1,5882,5936,5937,0,0,0,0
465,0,1,5981,0,0,0,0,0,0
466,0,1,5981,0,0,0,0,0,0
468,58713,9,5554,5555,5556,5557,5558,5559,5559
471,58718,1,5984,0,0,0,0,0,0
473,0,1,6019,0,0,0,0,0,0
474,0,1,6020,0,0,0,0,0,0
475,59404,9,5606,5601,5602,5605,6207,6208,0
476,59426,1,6086,6166,6168,6171,0,0,0
477,59463,1,5484,5485,0,0,0,0,0
478,0,1,6065,6066,6067,6068,0,0,0
479,59697,9,5588,5589,5590,5591,5592,5593,0
480,59704,1,5474,5475,5476,0,0,0,0
482,268810,1,5499,5498,5497,0,0,0,0
483,59793,9,5588,5589,5590,0,0,0,0
486,0,9,5670,0,0,0,0,0,0
488,0,9,6161,6160,0,0,0,0,0
492,0,1,6114,0,0,0,0,0,0
493,61044,9,6207,6208,5601,5602,5603,5600,6209
496,61292,9,5600,5604,0,0,0,0,0
497,61306,1,6163,0,0,0,0,0,0
498,268811,1,6164,0,0,0,0,0,0
501,61498,3,468,0,0,0,0,0,0
504,62002,1,5507,0,0,0,0,0,0
506,62060,1,6249,0,0,0,0,0,0
507,62064,1,6249,0,0,0,0,0,0
508,61330,1,6271,0,0,0,0,0,0
509,0,1,6306,0,0,0,0,0,0
510,0,1,0,0,0,0,0,0,0
512,62456,1,6329,0,0,0,0,0,0
520,63233,1,5459,0,0,0,0,0,0
521,63250,1,6381,0,0,0,0,0,0
522,63324,1,6386,0,0,0,0,0,0
523,63408,9,0,0,0,0,0,0,0
525,63433,9,5594,5595,5596,5597,5598,5599,0
526,63603,1,5484,5485,0,0,0,0,0
527,0,1,6422,0,0,0,0,0,0
529,0,9,6511,6512,6513,6514,6515,0,0
532,64086,1,5468,0,0,0,0,0,0
533,0,1,6436,0,0,0,0,0,0
534,0,1,6511,0,0,0,0,0,0
535,0,1,6441,0,0,0,0,0,0
536,64676,3,183,0,0,0,0,0,0
537,64742,1,5484,5485,0,0,0,0,0
538,0,1,6540,0,0,0,0,0,0
541,0,3,166,0,0,0,0,0,0
543,0,1,6556,6652,6653,6654,0,0,0
544,65252,1,5500,5501,5502,0,0,0,0
550,0,1,6607,0,0,0,0,0,0
551,0,9,0,0,0,0,0,0,0
555,66233,1,6645,6647,5086,6620,6621,0,0
556,268813,1,6645,6647,6620,6621,0,0,0
557,268814,1,6645,6647,6621,0,0,0,0
558,66386,9,5562,5563,5564,5565,5566,5567,0
559,66387,9,5568,5569,0,0,0,0,0
560,66388,11,558,559,0,0,0,0,0
562,0,1,6006,0,0,0,0,0,0
568,0,1,6786,6787,6788,6791,6792,6793,0
569,67070,9,6865,0,0,0,0,0,0
574,0,1,6820,0,0,0,0,0,0
576,0,1,6901,6902,6903,6904,0,0,0
577,0,1,6901,6902,6903,6904,0,0,0
579,67781,1,6923,6931,6932,6933,6934,0,0
580,67797,1,6931,6932,6933,6934,0,0,0
582,0,1,6941,6942,0,0,0,0,0
583,0,1,6941,6942,0,0,0,0,0
584,68011,1,6577,0,0,0,0,0,0
587,68159,1,6155,0,0,0,0,0,0
588,68268,1,6974,0,0,0,0,0,0
589,68305,1,6974,0,0,0,0,0,0
590,0,1,6939,6940,0,0,0,0,0
592,68699,1,7005,0,0,0,0,0,0
593,0,9,0,0,0,0,0,0,0
594,0,11,523,593,0,0,0,0,0
600,69162,1,7059,7060,7061,7062,7063,7064,7065
601,69163,1,7066,7067,7068,7069,7070,7071,7072
602,69164,1,7073,7074,0,0,0,0,0
603,69165,11,600,601,602,0,0,0,0
605,69216,5,1,2,3,4,0,0,0
606,69217,1,6062,0,0,0,0,0,0
607,69218,11,605,606,0,0,0,0,0
608,69383,1,6513,6514,6515,6516,0,0,0
610,69594,9,3866,0,0,0,0,0,0
611,0,1,7189,7190,7191,0,0,0,0
614,0,1,7316,7480,7481,7808,7791,8304,8985
616,70706,1,7213,7214,7215,0,0,0,0
617,70887,1,7374,0,0,0,0,0,0
618,70961,1,7404,0,0,0,0,0,0
619,0,9,7188,7194,7196,7197,0,0,0
620,70977,1,7408,0,0,0,0,0,0
621,0,1,7417,7418,7419,7420,7421,0,0
622,71063,1,7106,7107,7108,7109,0,0,0
623,0,1,5525,0,0,0,0,0,0
624,268820,1,7512,0,0,0,0,0,0
625,71155,1,7303,0,0,0,0,0,0
626,71268,1,3848,0,0,0,0,0,0
627,71271,11,116,626,0,0,0,0,0
628,71403,9,7137,7138,7143,7145,7144,7146,0
629,71574,3,167,0,0,0,0,0,0
631,71771,1,7285,7286,0,0,0,0,0
632,0,9,7257,7258,7259,7260,0,0,0
633,71910,1,7409,7410,7407,0,0,0,0
635,72250,1,7430,0,0,0,0,0,0
637,72412,1,7428,0,0,0,0,0,0
638,0,1,7538,0,0,0,0,0,0
640,0,1,7542,0,0,0,0,0,0
641,268819,1,7342,0,0,0,0,0,0
642,72651,1,7555,7556,0,0,0,0,0
644,0,9,7840,7842,0,0,0,0,0
647,73100,1,7605,7606,0,0,0,0,0
649,0,1,7627,0,0,0,0,0,0
650,73440,1,7641,0,0,0,0,0,0
651,0,1,7643,0,0,0,0,0,0
652,0,1,7642,0,0,0,0,0,0
653,73676,1,7670,7671,7670,0,0,0,0
654,0,1,7685,0,0,0,0,0,0
655,0,1,7685,0,0,0,0,0,0
656,0,1,4564,4568,4569,4570,0,0,0
658,268818,1,6933,6934,0,0,0,0,0
659,73998,1,3899,3991,7944,0,0,0,0
660,74002,1,7689,0,0,0,0,0,0
661,74271,1,7745,0,0,0,0,0,0
662,74427,1,6917,6918,6919,6920,6921,6922,0
664,74500,1,7784,0,0,0,0,0,0
666,0,1,7728,0,0,0,0,0,0
667,74650,1,7765,0,0,0,0,0,0
668,0,9,7132,7133,7134,7135,0,0,0
669,0,1,7828,0,0,0,0,0,0
670,75264,1,7268,7269,0,0,0,0,0
671,75271,1,7238,7239,7240,0,0,0,0
672,0,1,7824,0,0,0,0,0,0
673,0,1,7849,0,0,0,0,0,0
674,75408,1,7834,0,0,0,0,0,0
675,0,9,7156,0,0,0,0,0,0
676,75469,1,7852,0,0,0,0,0,0
677,75491,9,7154,7155,7156,7157,7158,7159,0
678,75538,9,7204,7205,7206,7207,7208,7209,0
680,0,1,7881,0,0,0,0,0,0
681,75713,1,7220,0,0,0,0,0,0
682,75722,1,7205,7206,7207,7208,8936,0,0
684,75809,1,7842,0,0,0,0,0,0
686,75938,1,7846,0,0,0,0,0,0
687,76009,1,7845,0,0,0,0,0,0
688,76014,1,7322,0,0,0,0,0,0
689,0,1,7913,0,0,0,0,0,0
690,76086,1,7915,7916,0,0,0,0,0
693,0,1,7938,0,0,0,0,0,0
694,76480,9,7378,7379,7381,7382,7383,0,0
695,0,1,7961,0,0,0,0,0,0
696,0,1,7951,0,0,0,0,0,0
699,0,9,7400,7401,7402,7403,7404,7405,0
703,71152,1,7430,0,0,0,0,0,0
706,77481,9,7378,7379,7381,7382,7383,0,0
707,0,1,8063,0,0,0,0,0,0
708,0,1,8076,0,0,0,0,0,0
709,0,1,8063,0,0,0,0,0,0
710,0,1,8084,0,0,0,0,0,0
712,77901,9,7291,7292,7293,7294,0,0,0
713,78298,1,8119,0,0,0,0,0,0
715,78716,1,7255,7256,0,0,0,0,0
716,78770,1,8156,8163,8164,0,0,0,0
717,0,1,8157,0,0,0,0,0,0
718,0,1,8162,0,0,0,0,0,0
719,85662,1,8915,0,0,0,0,0,0
720,79138,1,8186,8187,0,0,0,0,0
721,79139,1,8038,0,0,0,0,0,0
722,79216,1,7249,7250,0,0,0,0,0
723,79260,1,8201,0,0,0,0,0,0
724,0,9,5022,5023,5024,8357,5025,5026,5027
725,79890,1,7249,7250,0,0,0,0,0
726,0,1,8249,0,0,0,0,0,0
727,80131,1,7745,0,0,0,0,0,0
728,0,9,7429,7430,7431,7432,0,0,0
729,80169,1,8260,0,0,0,0,0,0
730,80384,1,8261,0,0,0,0,0,0
731,80446,9,8430,8431,8432,8433,0,0,0
732,0,9,8438,0,0,0,0,0,0
733,0,1,8308,0,0,0,0,0,0
735,80780,9,7497,7498,7499,7501,7500,7502,0
736,0,1,8249,0,0,0,0,0,0
737,80972,1,8346,0,0,0,0,0,0
738,81045,1,8354,8335,8334,0,0,0,0
739,81131,1,8282,0,0,0,0,0,0
740,0,1,8417,0,0,0,0,0,0
741,0,1,8426,0,0,0,0,0,0
743,0,1,8465,8520,0,0,0,0,0
744,82015,9,7334,7335,7336,7337,7338,0,0
745,0,1,8535,8536,0,0,0,0,0
746,0,9,7212,7213,7214,0,0,0,0
747,82261,9,7486,7489,7490,7487,7488,0,0
748,82278,1,8539,8549,8551,8552,8553,8554,0
749,82335,1,8546,0,0,0,0,0,0
750,0,1,8545,0,0,0,0,0,0
751,0,1,8545,0,0,0,0,0,0
753,0,9,7303,7304,0,0,0,0,0
754,0,1,8567,0,0,0,0,0,0
755,0,1,8581,0,0,0,0,0,0
756,0,1,8582,0,0,0,0,0,0
757,82596,1,8589,0,0,0,0,0,0
758,0,1,4567,0,0,0,0,0,0
759,82673,1,8598,8601,8602,0,0,0,0
760,82829,1,7144,0,0,0,0,0,0
762,0,9,7577,7578,7579,7583,7584,7585,7586
764,83550,1,8667,8668,8440,8441,8447,8448,0
765,0,1,8671,0,0,0,0,0,0
766,83643,1,8702,0,0,0,0,0,0
767,0,1,8696,0,0,0,0,0,0
768,0,1,8709,0,0,0,0,0,0
769,268822,9,7334,7335,7336,7337,7338,7339,7340
771,83825,9,7341,7342,7343,7346,7347,7348,7349
772,268821,1,8711,0,0,0,0,0,0
773,0,1,8717,0,0,0,0,0,0
774,0,1,8713,0,0,0,0,0,0
775,84000,1,7381,0,0,0,0,0,0
776,84235,1,8769,0,0,0,0,0,0
777,84356,1,8769,0,0,0,0,0,0
780,84634,1,7270,7271,7272,7273,7274,7276,7277
781,84659,1,8810,0,0,0,0,0,0
782,84812,1,7338,7340,7341,0,0,0,0
784,84895,1,8826,0,0,0,0,0,0
786,0,1,7914,0,0,0,0,0,0
787,0,1,8582,0,0,0,0,0,0
788,85265,1,8888,0,0,0,0,0,0
789,85269,1,8888,0,0,0,0,0,0
790,85307,1,8891,0,0,0,0,0,0
791,85311,1,8891,0,0,0,0,0,0
792,0,1,7130,0,0,0,0,0,0
793,85338,4,312,430,0,0,0,0,0
795,85340,10,793,0,0,0,0,0,0
796,85382,1,8892,0,0,0,0,0,0
797,85385,9,7519,7520,7521,7522,0,0,0
798,0,1,8905,0,0,0,0,0,0
799,0,1,8916,0,0,0,0,0,0
800,0,9,8858,8859,8860,8861,0,0,0
801,0,1,8943,8944,8945,0,0,0,0
802,0,1,8954,0,0,0,0,0,0
803,85997,9,7554,7555,7556,7557,7558,0,0
804,0,1,8964,0,0,0,0,0,0
805,86073,9,7541,7542,7543,7544,7545,7546,0
806,0,1,8956,0,0,0,0,0,0
807,86216,1,7613,7614,0,0,0,0,0
808,86263,1,8629,0,0,0,0,0,0
809,86297,1,9001,0,0,0,0,0,0
810,86358,9,8922,8923,8924,8925,8926,8927,8902
811,0,1,8609,0,0,0,0,0,0
812,0,1,8611,0,0,0,0,0,0
813,0,1,8612,0,0,0,0,0,0
814,86399,9,8928,0,0,0,0,0,0
815,86426,1,9017,0,0,0,0,0,0
817,86758,1,9065,0,0,0,0,0,0
818,86974,1,8277,0,0,0,0,0,0
819,87016,1,4784,3185,3188,4826,0,0,0
820,87042,1,8123,8125,8124,0,0,0,0
822,87382,1,9120,0,0,0,0,0,0
823,0,1,7165,0,0,0,0,0,0
824,87630,1,8673,0,0,0,0,0,0
826,0,9,9288,9289,9290,9291,9292,0,0
827,0,9,9268,9269,0,0,0,0,0
828,87710,1,4820,4852,3209,3189,3189,3188,4858
831,88019,1,9259,0,0,0,0,0,0
832,268823,1,9258,0,0,0,0,0,0
833,88251,1,9295,0,0,0,0,0,0
834,88519,9,5608,5609,5610,0,0,0,0
835,88689,9,9424,9425,9426,9427,9428,0,0
836,0,1,9382,9369,9391,9530,10086,10087,10088
837,0,1,9372,0,0,0,0,0,0
838,0,1,9382,0,0,0,0,0,0
839,0,1,9394,0,0,0,0,0,0
840,0,1,9488,0,0,0,0,0,0
841,0,1,9391,0,0,0,0,0,0
842,0,1,9410,9413,9416,9428,9432,9436,0
843,89287,9,9579,0,0,0,0,0,0
844,89298,9,4113,0,0,0,0,0,0
845,89375,9,9589,0,0,0,0,0,0
846,89487,1,9572,0,0,0,0,0,0
847,0,3,248,0,0,0,0,0,0
848,89892,1,9445,0,0,0,0,0,0
849,89947,1,9542,9545,9544,9546,0,0,0
850,89981,1,9697,9699,9700,0,0,0,0
851,90059,1,9712,0,0,0,0,0,0
852,90200,9,9694,0,0,0,0,0,0
853,90209,1,9591,9592,9593,9596,9570,9573,9574
854,90558,1,9636,9637,0,0,0,0,0
855,90574,9,9758,9759,9760,9761,10190,10191,0
856,90615,3,518,0,0,0,0,0,0
857,268825,9,9754,9755,9873,9874,10208,10209,10210
858,90737,1,9768,0,0,0,0,0,0
859,0,1,9462,9460,9454,0,0,0,0
860,0,1,9423,9422,0,0,0,0,0
861,0,1,9429,9430,9431,0,0,0,0
862,0,3,651,0,0,0,0,0,0
863,0,3,274,0,0,0,0,0,0
864,0,3,340,0,0,0,0,0,0
865,91395,1,9801,9802,0,0,0,0,0
866,91472,1,9885,0,0,0,0,0,0
867,0,1,9889,0,0,0,0,0,0
868,0,1,9888,0,0,0,0,0,0
869,0,1,9886,0,0,0,0,0,0
870,0,9,9846,9847,0,0,0,0,0
871,91929,11,853,940,9107,9140,12561,12564,12617
872,91930,1,9752,9751,0,0,0,0,0
873,268826,9,9816,9885,9886,9887,9888,9889,0
874,90736,11,857,873,915,0,0,0,0
875,93037,1,9591,9592,9593,9596,9752,9751,50809
876,268827,1,9570,9573,9574,23319,61494,0,0
877,0,1,10003,0,0,0,0,0,0
878,0,1,10036,0,0,0,0,0,0
879,0,1,10037,0,0,0,0,0,0
880,93523,1,9613,9614,9615,9616,9619,9620,0
881,93809,1,9603,9591,9592,9593,9596,9603,0
882,93815,1,9635,0,0,0,0,0,0
883,0,1,10186,0,0,0,0,0,0
884,94139,1,9747,0,0,0,0,0,0
885,94328,1,9760,9766,0,0,0,0,0
886,94346,1,9759,0,0,0,0,0,0
887,94619,1,9622,0,0,0,0,0,0
888,94637,1,9542,0,0,0,0,0,0
889,94641,1,15600,0,0,0,0,0,0
890,94685,1,10125,10150,0,0,0,0,0
891,94793,1,10264,0,0,0,0,0,0
892,268834,1,9591,9592,9593,9596,9752,9751,61480
893,94893,1,9570,9573,9574,61494,10283,10284,10285
894,94947,1,9633,9634,61532,0,0,0,0
895,94958,1,9597,9598,9599,9800,0,0,0
896,268835,1,9752,9751,9800,9635,10108,10107,0
897,95061,9,9668,9669,9670,9671,9672,29541,51200
898,268828,1,9657,9727,9728,9729,9801,9853,0
899,94974,1,10106,10356,10109,10818,0,0,0
900,95165,11,896,899,1037,0,0,0,0
901,268829,1,9680,9681,9682,9683,9684,9802,9842
902,268830,1,9843,9844,9846,9860,9939,0,0
903,268831,11,901,902,0,0,0,0,0
904,268832,1,9562,9563,10148,10163,10230,10231,0
905,268833,1,10154,10337,10338,10339,10341,0,0
906,0,3,307,306,327,651,248,0,0
907,0,3,652,0,0,0,0,0,0
908,0,2,10263,10353,0,0,0,0,0
909,0,10,906,908,0,0,0,0,0
910,95444,1,9597,9598,9599,10529,9800,10530,61486
911,0,3,307,0,0,0,0,0,0
912,0,1,10375,0,0,0,0,0,0
913,96124,1,9636,9637,9739,0,0,0,0
914,96391,1,10402,0,0,0,0,0,0
915,96396,9,9875,10211,10218,10219,9884,10220,9839
916,0,1,10121,10122,10401,0,0,0,0
917,97176,9,3914,3915,3916,3917,3950,0,0
920,97474,1,10519,0,0,0,0,0,0
921,97476,1,10509,0,0,0,0,0,0
922,0,1,9591,9592,9593,9596,9752,9751,61480
923,97478,1,10520,0,0,0,0,0,0
924,97509,11,9158,920,0,925,0,0,0
925,97510,1,9570,9573,23319,9574,61494,0,0
931,0,1,10576,0,0,0,0,0,0
932,0,3,166,167,390,0,0,0,0
933,98696,9,10367,10368,10369,10370,0,0,0
934,268836,9,10371,10372,10373,10374,0,0,0
935,268837,9,10204,10205,10207,10206,0,0,0
936,0,3,631,0,0,0,0,0,0
937,0,3,613,0,0,0,0,0,0
939,99098,1,9604,10179,0,0,0,0,0
940,268824,1,10265,10283,10284,10285,23319,0,0
941,99118,1,4974,0,0,0,0,0,0
944,99330,1,9630,9631,61530,0,0,0,0
946,99964,1,9610,10793,15600,61531,61490,61492,0
948,100271,1,9606,10356,0,0,0,0,0
952,101646,1,10960,0,0,0,0,0,0
955,101845,1,9347,9348,9349,9350,9351,0,0
956,101987,9,10709,0,0,0,0,0,0
957,104265,1,11179,0,0,0,0,0,0
958,0,9,11567,0,0,0,0,0,0
959,0,9,11560,12351,12434,12435,12601,0,0
960,0,1,11907,11910,11912,11913,11917,36884,0
961,0,9,11587,11588,11589,11590,11591,11592,11593
963,104847,1,11202,0,0,0,0,0,0
964,104887,1,11203,0,0,0,0,0,0
965,0,1,3064,11250,0,0,0,0,0
966,0,1,11179,0,0,0,0,0,0
967,105148,3,662,0,0,0,0,0,0
968,105166,9,10970,0,0,0,0,0,0
969,105179,1,11251,11695,11696,0,0,0,0
970,105226,1,11248,0,0,0,0,0,0
971,105405,11,972,975,974,981,1032,0,0
972,105412,1,11124,11125,11126,0,0,0,0
973,105416,1,11170,11171,11174,11178,0,0,0
974,105423,1,11193,0,0,0,0,0,0
975,105424,1,11166,11167,11168,11169,0,0,0
976,105431,1,11161,11162,11163,11164,0,0,0
977,105432,1,0,0,0,0,0,0,0
978,105456,11,972,973,980,982,1032,0,0
979,105458,11,976,977,0,0,0,0,0
980,105644,1,11123,0,0,0,0,0,0
981,105646,1,11327,0,0,0,0,0,0
982,105647,1,11332,0,0,0,0,0,0
983,105649,1,11333,0,0,0,0,0,0
984,105717,1,11379,0,0,0,0,0,0
985,268838,1,11396,0,0,0,0,0,0
986,0,9,10775,10776,10777,10778,10779,10780,0
987,0,9,10781,10782,10975,0,0,0,0
988,0,11,986,987,0,0,0,0,0
989,0,11,990,991,0,0,0,0,0
990,0,9,10783,10785,10786,10787,10789,10790,10791
991,0,9,10792,0,0,0,0,0,0
992,0,11,993,994,0,0,0,0,0
993,0,9,10788,10793,10794,10795,10796,10797,10799
994,0,9,10799,10800,10802,0,0,0,0
995,0,11,996,997,0,0,0,0,0
996,0,9,10868,10869,10870,10871,10872,10873,10874
997,0,9,10875,10876,10877,10910,0,0,0
998,0,11,999,1000,1001,1002,0,0,0
999,0,9,10843,10844,10845,10846,10847,10848,10866
1000,0,9,10867,10852,10853,10854,10855,10856,10857
1001,0,9,10858,10859,10905,10906,10907,10908,10909
1002,0,9,10860,10861,10862,10863,10864,10865,10867
1003,0,11,1004,1005,1006,0,0,0,0
1004,0,9,10812,10813,10814,10815,10816,10817,10818
1005,0,9,10819,10821,10822,10823,10824,10825,10826
1006,0,9,10827,10828,0,0,0,0,0
1007,0,11,1008,1009,0,0,0,0,0
1008,0,9,10890,10891,10892,10893,10894,10895,10896
1009,0,9,10897,10898,10899,10900,10901,0,0
1011,0,9,10884,10885,10886,10887,10888,10889,0
1012,105952,1,11335,0,0,0,0,0,0
1013,106155,9,10870,10871,10872,10844,10845,0,0
1014,106195,3,660,219,0,0,0,0,0
1015,0,1,11418,0,0,0,0,0,0
1016,106336,1,11446,0,0,0,0,0,0
1017,0,11,986,987,0,0,0,0,0
1018,106702,3,673,674,0,0,0,0,0
1019,268812,1,11496,0,0,0,0,0,0
1020,0,1,11512,12977,0,0,0,0,0
1021,0,11,999,1000,1001,1002,0,0,0
1022,107414,1,1939,0,0,0,0,0,0
1023,107475,3,219,0,0,0,0,0,0
1025,107744,1,11123,0,0,0,0,0,0
1026,107777,1,11170,11171,11174,11178,0,0,0
1027,0,1,11379,0,0,0,0,0,0
1029,107992,1,11691,0,0,0,0,0,0
1030,108032,1,11278,0,0,0,0,0,0
1034,108342,11,894,1035,1036,0,0,0,0
1035,108344,1,9636,9637,9773,11128,11130,11131,11132
1036,108345,1,11133,11134,11135,11136,0,0,0
1037,108346,1,11270,11187,11186,11514,0,0,0
1038,108374,1,11161,11162,11163,11164,0,0,0
1039,108381,1,11170,11171,11174,11178,0,0,0
1040,108388,1,11166,11167,11168,11169,0,0,0
1041,108399,1,11138,11140,11143,11144,11145,11146,11147
1042,108400,1,11149,11153,11150,11151,11152,11184,11185
1043,108402,1,11148,11183,11154,11155,11156,11157,11158
1044,108404,1,11192,11284,11514,0,0,0,0
1045,108405,11,1041,1042,1043,1044,0,0,0
1046,108470,2,11192,0,0,0,0,0,0
1047,108471,10,967,1046,0,0,0,0,0
1056,0,9,11440,11441,11442,11443,11444,11512,0
1057,111336,1,11987,0,0,0,0,0,0
1063,0,9,11435,11436,11437,11438,11439,11632,11633
1064,0,9,11634,11635,11636,11637,11638,11639,11640
1065,0,9,11641,11642,11643,11644,11645,11646,11730
1066,0,11,1063,1064,1065,0,0,0,0
1070,0,1,11935,11936,11937,11938,0,0,0
1071,112086,1,11790,11791,11792,0,0,0,0
1072,112091,1,11766,0,0,0,0,0,0
1073,112093,1,11850,11851,11852,11861,12080,0,0
1074,112094,1,11853,11854,11855,12081,0,0,0
1075,268841,1,11799,11800,11801,11802,12104,0,0
1079,112468,1,12075,12110,0,0,0,0,0
1080,112469,11,0,0,0,0,0,0,0
1084,112473,1,12104,12081,12076,12077,12078,12079,11118
1085,112474,1,12080,12070,12071,12072,12073,12074,12075
1086,112475,11,1084,1085,0,0,0,0,0
