"ID","dataint0","dataint01","dataint02","dataint03","dataint04","datafloat0","datafloat01","datafloat02","datafloat03","datafloat04"
97,15000,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,4000,0,0,0,0,0,0,0,0,0
101,30000,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,1.5,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,1,1.05,1.15,1.3,0
110,0,0,0,0,0,1.4,0.75,0,0,0
111,9,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,1.5,0,0,0,0
114,0,0,0,0,0,3,0,0,0,0
115,0,0,0,0,0,10,0,0,0,0
116,0,0,0,0,0,25,0,0,0,0
117,0,0,0,0,0,100,0,0,0,0
118,0,0,0,0,0,200,0,0,0,0
119,0,0,0,0,0,1000,0,0,0,0
120,10000,0,0,0,0,0,0,0,0,0
121,4000,50,0,0,0,0,0,0,0,0
122,10000,0,0,0,0,0,0,0,0,0
123,10000,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,75,0,0,0,0
125,255,0,0,0,0,0,0,0,0,0
126,5000,1000,0,0,0,0,0,0,0,0
127,0,0,0,0,0,1,1,0,0,0
133,13000,11000,9000,7000,0,5000,0,0,0,0
134,5,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0.75,0,0,0,0
138,0,0,0,0,0,10,0,0,0,0
139,0,0,0,0,0,3,0,0,0,0
140,0,0,0,0,0,0.25,0,0,0,0
141,0,0,0,0,0,0.8,0,0,0,0
142,100,105,115,130,0,0.436294,0,0,0,0
143,75,0,0,0,0,0,0,0,0,0
144,4,0,0,0,0,0,0,0,0,0
145,50,0,0,0,0,0,0,0,0,0
146,64,0,0,0,0,0,0,0,0,0
147,5000,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0.5,0,0,0,0
149,1,0,0,0,0,1,0,0,0,0
150,0,0,0,0,0,0.1,0,0,0,0
151,150,0,0,0,0,0,0,0,0,0
152,250,0,0,0,0,0,0,0,0,0
153,30000,0,0,0,0,0,0,0,0,0
154,300000,0,0,0,0,0,0,0,0,0
155,150,0,0,0,0,0,0,0,0,0
156,250,0,0,0,0,0,0,0,0,0
157,180000,0,0,0,0,0,0,0,0,0
158,30000,0,0,0,0,0,0,0,0,0
159,20000,0,0,0,0,0,0,0,0,0
160,60000,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,1,0,0,0,0
162,0,0,0,0,0,10,0,0,0,0
163,150,0,0,0,0,0,0,0,0,0
164,250,0,0,0,0,0,0,0,0,0
165,1500,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,2.815,1.5,350,0,0
167,10,0,0,0,0,0,0,0,0,0
168,10,0,0,0,0,0,0,0,0,0
170,1000,0,0,0,0,0,0,0,0,0
171,80,0,0,0,0,0,0,0,0,0
172,7,0,0,0,0,0,0,0,0,0
173,10,0,0,0,0,0,0,0,0,0
174,50,0,0,0,0,0,0,0,0,0
175,60000,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0.8,0,0,0,0
179,0,0,0,0,0,0.1,0,0,0,0
180,0,0,0,0,0,0.2,0,0,0,0
181,0,0,0,0,0,45,0,0,0,0
182,0,0,0,0,0,2.5,0,0,0,0
183,10000,0,0,0,0,0,0,0,0,0
184,8000,0,0,0,0,0,0,0,0,0
185,500,0,0,0,0,0,0,0,0,0
186,500,0,0,0,0,0,0,0,0,0
188,2500,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0.1,0,0,0,0
190,0,0,0,0,0,0.1,0,0,0,0
191,1000,0,0,0,0,0,0,0,0,0
192,300,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0.1,0,0,0,0
194,1,2,3,0,0,0,0,0,0,0
197,0,0,0,0,0,10,0,0,0,0
198,0,0,0,0,0,25,0,0,0,0
199,0,0,0,0,0,25,0,0,0,0
200,0,0,0,0,0,25,0,0,0,0
201,0,0,0,0,0,20,0,0,0,0
202,0,0,0,0,0,75,0,0,0,0
203,0,0,0,0,0,75,0,0,0,0
204,0,0,0,0,0,75,0,0,0,0
205,2,0,0,0,0,0,0,0,0,0
206,1,0,0,0,0,0,0,0,0,0
207,5,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,0,0,0
209,5,0,0,0,0,0,0,0,0,0
210,1,0,0,0,0,0,0,0,0,0
211,5,0,0,0,0,0,0,0,0,0
212,1,0,0,0,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0,0
214,1,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,0,0,0,0
217,1,0,0,0,0,0,0,0,0,0
218,1,0,0,0,0,0,0,0,0,0
219,1,0,0,0,0,0,0,0,0,0
220,5,0,0,0,0,0,0,0,0,0
221,2,0,0,0,0,0,0,0,0,0
222,2,0,0,0,0,0,0,0,0,0
223,2,0,0,0,0,0,0,0,0,0
224,5,0,0,0,0,0,0,0,0,0
225,2,0,0,0,0,0,0,0,0,0
226,2,0,0,0,0,0,0,0,0,0
227,2,0,0,0,0,0,0,0,0,0
228,10,0,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,0,0,0,0
237,20,0,0,0,0,20,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,1,0,0,0,0
241,0,0,0,0,0,1,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,1,0,0,0,0
251,0,0,0,0,0,1,0,0,0,0
252,0,0,0,0,0,0.55,0.55,0,0,0
253,130,0,0,0,0,47.2,0.006,0,0,0
254,192,0,0,0,0,0,0,0,0,0
255,193,0,0,0,0,0,0,0,0,0
256,195,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0.1,0,0,0,0
258,194,0,0,0,0,0,0,0,0,0
259,500,0,0,0,0,0.3,0,0,0,0
262,0,0,0,0,0,1,0,0,0,0
263,0,0,0,0,0,1.5,0,0,0,0
264,1000,0,0,0,0,0,0,0,0,0
265,100,0,0,0,0,0,0,0,0,0
266,400,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,20,18,0,0,0
268,500,500,0,0,0,0,0,0,0,0
269,1500,0,0,0,0,0,0,0,0,0
270,250,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,-2.5,0,0,0,0
272,0,0,0,0,0,-1.25,0,0,0,0
273,1,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0
275,5,0,0,0,0,0,0,0,0,0
276,8000,0,0,0,0,0,0,0,0,0
277,10,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0.05,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,1,0,0,0,0
282,500,0,0,0,0,0,0,0,0,0
283,500,0,0,0,0,0,0,0,0,0
284,14,0,0,0,0,2,0,0,0,0
286,1500,0,0,0,0,0,0,0,0,0
288,3000,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0.5,0,0,0,0
290,1000,0,0,0,0,0,0,0,0,0
291,250,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,1,0,0,0,0
293,0,0,0,0,0,1.875,0,0,0,0
294,0,0,0,0,0,3.75,0,0,0,0
295,0,0,0,0,0,0.25,0,0,0,0
296,500,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,100,0,0,0,0
298,0,0,0,0,0,1,0,0,0,0
299,0,0,0,0,0,1,0,0,0,0
301,0,0,0,0,0,0,0,0,0,0
307,7000,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,1.5,7,15,0,0
309,0,0,0,0,0,5,10,20,0,0
317,1,0,0,0,0,0,0,0,0,0
318,2,0,0,0,0,0,0,0,0,0
319,100,0,0,0,0,0,0,0,0,0
320,5,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,70,0,0,0,0
322,3000,0,0,0,0,0,0,0,0,0
323,5000,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,5,0,0,0,0
326,0,0,0,0,0,30,0,0,0,0
329,1500,0,0,0,0,0,0,0,0,0
330,100,200,0,250,0,0,0,0,0,0
331,7000,0,0,0,0,0,0,0,0,0
332,50,0,0,0,0,0,0,0,0,0
333,10000,0,0,0,0,0,0,0,0,0
334,5000,0,0,0,0,0,0,0,0,0
335,8000,0,0,0,0,0,0,0,0,0
336,8000,0,0,0,0,0,0,0,0,0
337,10000,0,0,0,0,0,0,0,0,0
338,5000,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0.5,0.5,0.5,0,0
340,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0.5,0.5,0.5,0,0
342,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0.5,0.5,0.5,0,0
344,5,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0.5,0.5,0.5,0,0
346,0,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
351,720,720,0,0,0,0,0,0,0,0
352,0,0,0,0,0,1,0,0,0,0
353,0,0,0,0,0,2,0,0,0,0
355,0,0,0,0,0,0,50,500,0,0
356,0,0,0,0,0,0,50,500,0,0
357,100,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,4,0,0,0,0
359,10000,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0.2,0,0,0,0
361,0,0,0,0,0,0.15,0,0,0,0
362,0,0,0,0,0,0.5,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0
364,2053,503,0,0,0,0,0,0,0,0
365,2056,503,0,0,0,0,0,0,0,0
366,2057,503,0,0,0,0,0,0,0,0
367,2188,503,0,0,0,0,0,0,0,0
368,2058,503,0,0,0,0,0,0,0,0
369,2059,503,0,0,0,0,0,0,0,0
370,2060,503,0,0,0,0,0,0,0,0
371,2054,503,0,0,0,0,0,0,0,0
372,2174,503,0,0,0,0,0,0,0,0
373,2175,503,0,0,0,0,0,0,0,0
374,2055,503,0,0,0,0,0,0,0,0
375,2837,502,0,0,0,0,0,0,0,0
376,3000,0,0,0,0,0,0,0,0,0
377,10000,0,0,0,0,0,0,0,0,0
378,25,0,0,0,0,0,0,0,0,0
380,2839,502,0,0,0,0,0,0,0,0
381,2840,502,0,0,0,0,0,0,0,0
382,2846,502,0,0,0,0,0,0,0,0
383,2841,502,0,0,0,0,0,0,0,0
384,2842,502,0,0,0,0,0,0,0,0
385,2843,502,0,0,0,0,0,0,0,0
386,2838,502,0,0,0,0,0,0,0,0
387,2844,502,0,0,0,0,0,0,0,0
388,2845,502,0,0,0,0,0,0,0,0
389,1771,502,0,0,0,0,0,0,0,0
390,2847,501,0,0,0,0,0,0,0,0
391,2849,501,0,0,0,0,0,0,0,0
392,2850,501,0,0,0,0,0,0,0,0
393,2856,501,0,0,0,0,0,0,0,0
394,2851,501,0,0,0,0,0,0,0,0
395,2852,501,0,0,0,0,0,0,0,0
396,2853,501,0,0,0,0,0,0,0,0
397,2848,501,0,0,0,0,0,0,0,0
398,2854,501,0,0,0,0,0,0,0,0
399,2855,501,0,0,0,0,0,0,0,0
400,2857,501,0,0,0,0,0,0,0,0
413,1,0,0,0,0,0,0,0,0,0
414,8,0,0,0,0,0,0,0,0,0
415,1316,56621,45956,56476,0,0,0,0,0,0
416,1842,0,0,0,0,0,0,0,0,0
417,70386,0,0,0,0,0,0,0,0,0
418,11820,0,0,0,0,0,0,0,0,0
419,25293,45648,0,0,0,0,0,0,0,0
420,25294,45649,0,0,0,0,0,0,0,0
421,25295,45650,0,0,0,0,0,0,0,0
422,25296,45651,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,1,0,0,0,0
425,5000,0,0,0,0,0,0,0,0,0
426,9220,9217,9216,9219,0,9218,0,0,0,0
427,300000,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,2,0,0,0,0
429,0,0,0,0,0,40,0,0,0,0
430,0,0,0,0,0,10,0,0,0,0
431,0,0,0,0,0,1,0,0,0,0
432,0,0,0,0,0,1,0,0,0,0
433,500,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0.85,0,0,0,0
435,30000,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0.05,0,0,0,0
437,0,0,0,0,0,0.05,0,0,0,0
438,0,0,0,0,0,30,0,0,0,0
439,0,0,0,0,0,160,0,0,0,0
440,0,0,0,0,0,6,0,0,0,0
441,0,0,0,0,0,6,0,0,0,0
442,500,0,0,0,0,0,0,0,0,0
445,15,0,0,0,0,0,0,0,0,0
447,3340,626,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0.2,1,0,0,0
451,0,0,0,0,0,10,0,0,0,0
452,5,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,50,0,0,0,0
454,20231,0,0,0,0,0,0,0,0,0
455,20238,0,0,0,0,0,0,0,0,0
456,20233,0,0,0,0,0,0,0,0,0
457,20240,0,0,0,0,0,0,0,0,0
458,20232,0,0,0,0,0,0,0,0,0
459,20239,0,0,0,0,0,0,0,0,0
460,20237,0,0,0,0,0,0,0,0,0
461,20241,0,0,0,0,0,0,0,0,0
462,1,5,0,0,0,0,0,0,0,0
463,1,0,0,0,0,0,0,0,0,0
464,1,0,0,0,0,0,0,0,0,0
465,1,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0.5,0,0,0,0
467,0,0,0,0,0,0.3,0,0,0,0
468,1000,0,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0.3,0,0,0,0
470,0,0,0,0,0,0.1,0,0,0,0
471,0,0,0,0,0,0.99,0.3,0,0,0
472,8566,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,50,15,0,0,0
474,0,0,0,0,0,200,0,0,0,0
475,30,0,0,0,0,30,0,0,0,0
476,214,0,0,0,0,0,0,0,0,0
477,28770,0,0,0,0,0,0,0,0,0
478,28771,0,0,0,0,0,0,0,0,0
479,28772,0,0,0,0,0,0,0,0,0
480,28773,0,0,0,0,0,0,0,0,0
481,0,0,0,0,0,11.6,0,0,0,0
482,600,0,0,0,0,0,0,0,0,0
483,500,0,0,0,0,0,0,0,0,0
485,1000,0,0,0,0,0,0,0,0,0
486,9500,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,0.05,0,0,0,0
488,19962,34979,0,0,0,0,0,0,0,0
489,19961,34893,0,0,0,0,0,0,0,0
490,0,0,0,0,0,64,0,0,0,0
491,0,0,0,0,0,28,0,0,0,0
492,100,100,125,0,0,0,0,0,0,0
493,250,0,0,0,0,0,0,0,0,0
494,40,0,0,0,0,0,0,0,0,0
495,0,0,0,0,0,10,0,0,0,0
496,5000,0,0,0,0,0,0,0,0,0
497,1665,0,0,0,0,0,0,0,0,0
498,10,0,0,0,0,0,0,0,0,0
499,0,0,0,0,0,10,0,0,0,0
500,0,0,0,0,0,50,0,0,0,0
501,60000,0,0,0,0,0,0,0,0,0
502,5000,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,30,0,0,0,0
504,60000,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,128,0,0,0,0
506,600,0,0,0,0,0,0,0,0,0
507,400,0,0,0,0,0,0,0,0,0
508,4912,0,0,0,0,0,0,0,0,0
509,300000,0,0,0,0,0,0,0,0,0
510,30000,0,0,0,0,0,0,0,0,0
511,12973,0,0,0,0,0,0,0,0,0
512,12988,0,0,0,0,0,0,0,0,0
513,12989,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0.1,0,0,0,0
515,50,0,0,0,0,0,0,0,0,0
516,1,0,0,0,0,0,0,0,0,0
517,0,0,0,0,0,10,0,0,0,0
518,10000,0,0,0,0,0,0,0,0,0
519,13311,13312,13313,0,0,0,0,0,0,0
520,1000,2000,3000,0,0,0,0,0,0,0
521,13314,13315,13316,0,0,0,0,0,0,0
522,500,0,0,0,0,0,0,0,0,0
523,10000,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,1,1.1,1.2,1.3,0
525,60000,0,0,0,0,0,0,0,0,0
526,12047,34944,0,0,0,0,0,0,0,0
527,12047,34944,0,0,0,0,0,0,0,0
528,4,0,0,0,0,0,0,0,0,0
529,500,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,1.93,0,0,0,0
531,0,0,0,0,0,1,0,0,0,0
532,0,0,0,0,0,100,0,0,0,0
533,0,0,0,0,0,28,0,0,0,0
534,86400000,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,7,0,0,0,0
536,300000,0,0,0,0,0,0,0,0,0
537,300,4294965496,0,0,0,25,0,0,0,0
538,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,0,0,0
542,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,0,0,0
544,0,0,0,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,0,0
547,0,0,0,0,0,0,0,20,1,0
548,0,0,0,0,0,0,0,225,1,0
549,0,0,0,0,0,0,0,3.6,1,0
550,0,0,0,0,0,25,0,0,0,0
551,1,0,0,0,0,0,0,0,0,0
552,5,0,0,0,0,0,0,0,0,0
553,100,0,0,0,0,0,0,0,0,0
554,28142,0,0,0,0,0,0,0,0,0
555,28161,0,0,0,0,0,0,0,0,0
556,28162,0,0,0,0,0,0,0,0,0
557,0,0,0,0,0,20,0,0,0,0
558,1,0,0,0,0,0,0,0,0,0
559,5000,20,0,0,0,0.015,0.01,0.0362,0.25,0
560,5,0,0,0,0,0,0,0,0,0
561,1000,0,0,0,0,0,0,0,0,0
562,14936,0,0,0,0,0,0,0,0,0
563,0,0,0,0,0,0.5,1,1.5,2,0
564,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
566,0,0,0,0,0,0,0,0,0,0
567,0,0,0,0,0,0.5,0.5,0.5,0,0
568,3600,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0.5,0.5,0.5,0,0
570,0,0,0,0,0,20,0,0,0,0
571,300000,0,0,0,0,0,0,0,0,0
572,14173,503,0,0,0,0,0,0,0,0
573,14172,502,0,0,0,0,0,0,0,0
574,14171,501,0,0,0,0,0,0,0,0
575,299,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0.1,0,0,0,0
577,0,0,0,0,0,1,0,0,0,0
578,0,0,0,0,0,1.5,0,0,0,0
579,0,0,0,0,0,2,0,0,0,0
580,0,0,0,0,0,5,0,0,0,0
581,1,0,0,0,0,0.643695,1,0,0,0
586,0,0,0,0,0,0.7,0,0,0,0
587,0,0,0,0,0,1,0,0,0,0
588,0,0,0,0,0,0.2,0,0,0,0
589,0,0,0,0,0,1,0,0,0,0
590,0,0,0,0,0,0.2,0,0,0,0
593,0,0,0,0,0,1,0,0,0,0
594,0,0,0,0,0,0.2,0,0,0,0
595,0,0,0,0,0,0.2,0,0,0,0
596,0,0,0,0,0,1,0,0,0,0
597,0,0,0,0,0,1,0,0,0,0
598,0,0,0,0,0,0.2,0,0,0,0
599,1,0,0,0,0,0,0,0,0,0
600,80,0,0,0,0,0,0,0,0,0
601,30,0,0,0,0,0,0,0,0,0
602,384,256,128,0,0,5,-10,10,0,0
603,30000,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0.1,0,0,0,0
605,1,0,0,0,0,0.4,0,0,0,0
607,35921,0,0,0,0,0,0,0,0,0
608,60075,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,1.5,0,0,0,0
611,35962,83403,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0.3,0,0,0,0
613,15000,0,0,0,0,0,0,0,0,0
614,900,0,0,0,0,0,0,0,0,0
615,2,0,0,0,0,0,0,0,0,0
616,391,0,0,0,0,0,0,0,0,0
617,392,0,0,0,0,0,0,0,0,0
618,60000,30000,0,0,0,0,0,0,0,0
619,16046,503,0,0,0,0,0,0,0,0
620,16045,502,0,0,0,0,0,0,0,0
621,16044,501,0,0,0,0,0,0,0,0
622,60000,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0.025,0,0,0,0
641,0,0,0,0,0,0.025,0,0,0,0
642,7000,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,0.2,0,0,0,0
644,128,0,0,0,0,0,0,0,0,0
645,75000,18750000,1999,47,0,1,0.12,0,0,0
646,33916,0,0,0,0,0,0,0,0,0
647,0,0,0,0,0,0.1,0,0,0,0
648,0,0,0,0,0,0.5,0,0,0,0
649,0,0,0,0,0,0,0,0,0,0
650,0,0,0,0,0,0.0025,0,0,0,0
651,0,0,0,0,0,5,0,0,0,0
652,0,0,0,0,0,0.001,0,0,0,0
653,35832,0,0,0,0,0,0,0,0,0
654,1200000,0,0,0,0,0,0,0,0,0
655,40,0,0,0,0,0,0,0,0,0
656,300000,0,0,0,0,0,0,0,0,0
657,38056,0,0,0,0,0,0,0,0,0
658,4,0,0,0,0,0,0,0,0,0
659,5,0,0,0,0,0,0,0,0,0
660,6,0,0,0,0,0,0,0,0,0
661,7,0,0,0,0,0,0,0,0,0
662,250,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,1.1,0,0,0,0
664,0,0,0,0,0,1.68,0,0,0,0
665,0,0,0,0,0,1.68,0,0,0,0
666,0,0,0,0,0,0,0,0,0,0
667,1,0,0,0,0,0,0,0,0,0
668,1,0,0,0,0,0,0,0,0,0
669,3,0,0,0,0,0,0,0,0,0
670,0,0,0,0,0,1.68,0,0,0,0
671,250,0,0,0,0,30,30,30,30,0
672,250,1500,42908,0,0,23,0,0,0,0
673,3000,0,0,0,0,0,0,0,0,0
674,0,0,0,0,0,15,0,0,0,0
678,60000,0,0,0,0,0,0,0,0,0
679,34619,0,0,0,0,0,0,0,0,0
680,20,0,0,0,0,0,0,0,0,0
681,50,0,0,0,0,0,0,0,0,0
682,100,0,0,0,0,0,0,0,0,0
683,4,0,0,0,0,0.2,0,0,0,0
684,10,0,0,0,0,0.3,0,0,0,0
685,25,0,0,0,0,0.5,0,0,0,0
686,35,0,0,0,0,0.8,0,0,0,0
687,40,0,0,0,0,1.25,0,0,0,0
688,15,0,0,0,0,1.8,0,0,0,0
689,300000,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0.45,2,20,2,0
691,0,0,0,0,0,0.5,2,0,1,0
692,0,0,0,0,0,0.5,4,0,1,0
693,0,0,0,0,0,0.45,2,20,2,0
696,0,0,0,0,0,0.002,400,50,1,0
697,0,0,0,0,0,0.005,100,100,2,0
698,0,0,0,0,0,0,1,200,250,0
699,1,1000,0,0,0,0,0,0,0,0
700,1,100000,0,0,0,0,0,0,0,0
701,1,150000,0,0,0,0,0,0,0,0
702,1,250000,0,0,0,0,0,0,0,0
703,1,500000,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0,0,0
708,114,0,0,0,0,0,0,0,0,0
709,3487,0,0,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0,0,0,0
711,0,0,0,0,0,0,0,0,0,0
712,0,0,0,0,0,70,100,1,1,0
713,1097,0,0,0,0,0,0,0,0,0
714,1098,0,0,0,0,0,0,0,0,0
715,8,0,0,0,0,0,0,0,0,0
716,9,0,0,0,0,0,0,0,0,0
717,0,0,0,0,0,0,0,0,0,0
718,200,0,0,0,0,0,0,0,0,0
