"ID","assetPath","flags","type","screenPath","screenModelPath","chunkBounds00","chunkBounds01","chunkBounds02","chunkBounds03","plugAverageHeight","localizedTextIdName","minItemLevel","maxItemLevel","primeLevelOffset","primeLevelMax","veteranTierScalingType","heroismMenaceLevel","rewardRotationContentId"
70,"Map\smorettestworld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
76,"Map\WholeNewWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
77,"Map\ZonePaintTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
105,"Map\booger",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
141,"Map\Loren",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
142,"Map\LorenBad",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
152,"Map\MiliziaSpeedTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
156,"Map\tinland",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
159,"Map\AlgorocPlundererCamp",0,4,"","",1168,903,1169,904,0,0,0,0,0,0,0,0,0
160,"Map\AlgorocArcheologistCamp2",0,4,"","",1168,903,1169,904,0,0,0,0,0,0,0,0,0
161,"Map\AlgorocTownCrier",0,4,"","",1152,899,1152,899,0,0,0,0,0,0,0,0,0
162,"Map\JaysTestingWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
163,"Map\LandOfWang",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
164,"Map\DomTestWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
165,"Map\jacktestworld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
166,"Map\jackworld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
167,"Map\jack",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
168,"Map\jkj",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
169,"Map\Cloftopia",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
170,"Map\DesignerIsland",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
172,"Map\NorthernWildsYeti",0,4,"","",1156,852,1158,854,16383,0,0,0,0,0,0,0,0
174,"Map\mmocarski",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
177,"Map\GalerianPipesFalkrinControlled",0,4,"","",1194,946,1195,947,16383,0,0,0,0,0,0,0,0
178,"Map\GalerianPipesDefianceControlled",0,4,"","",1194,946,1195,947,16383,0,0,0,0,0,0,0,0
179,"Map\GalerasCrashedShipEvent",0,4,"","",1185,939,1187,941,16383,0,0,0,0,0,0,0,0
180,"Map\NorthernWildsShip",0,4,"","",1155,852,1157,854,16383,0,0,0,0,0,0,0,0
181,"Map\VindBallField",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
182,"Map\MiniGameHub",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
183,"Map\SquidBane",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
184,"Map\SquidBane00",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
185,"Map\SquidBane01",0,0,"","",1019,1017,1034,1026,0,0,0,0,0,0,0,0,0
186,"Map\SquidBane02",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
187,"Map\DefendTheFarm",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
188,"Map\RobertLandPlugTest",0,4,"","",1026,1021,1027,1022,16383,0,0,0,0,0,0,0,0
189,"Map\Siege",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
190,"Map\SoundDesignerIsland",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
191,"Map\Test",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
192,"Map\Anna",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
193,"Map\Gavin",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
194,"Map\Gavin2",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
195,"Map\MurghCamp1",0,4,"","",1180,961,1181,962,16383,0,0,0,0,0,0,0,0
197,"Map\FreebotBattleFieldFreebots",0,4,"","",1180,918,1183,921,16383,0,0,0,0,0,0,0,0
203,"Map\CopyofTestofSomething",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
204,"Map\FreebotBattleFieldStemdragon",0,4,"","",1180,918,1183,921,16383,0,0,0,0,0,0,0,0
205,"Map\FreebotBattleFieldFalkrin",0,4,"","",1180,918,1183,921,16383,0,0,0,0,0,0,0,0
207,"Map\FreebotBattleFieldProto",0,4,"","",1180,918,1183,921,16383,0,0,0,0,0,0,0,0
208,"Map\Figure8",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
210,"Map\AlgorocCrashedShip",0,4,"","",1160,892,1161,893,16383,0,0,0,0,0,0,0,0
211,"Map\AlgorocCrashedShip1",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
212,"Map\AlgorocCrashedShip1",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
213,"Map\AlgorocCrashedShip1",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
214,"Map\FarmBarracksTestFarm",0,4,"","",1013,1011,1017,1014,16383,0,0,0,0,0,0,0,0
218,"Map\AnnasTestPlug2",0,4,"","",1227,961,1228,962,16383,0,0,0,0,0,0,0,0
219,"Map\KroggSpawnFarmTest",0,4,"","",1011,1012,1012,1013,16383,0,0,0,0,0,0,0,0
220,"Map\KroggStopSpawnTestFarm",0,4,"","",1011,1012,1012,1013,16383,0,0,0,0,0,0,0,0
221,"Map\KroggControlledBarracksTest",0,4,"","",1013,1011,1017,1014,16383,0,0,0,0,0,0,0,0
222,"Map\GabeTestPlug",0,4,"","",1023,1024,1024,1025,16383,0,0,0,0,0,0,0,0
223,"Map\WillTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
224,"Map\WillMiningOps",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
225,"Map\housingTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
226,"Map\Willtest2",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
227,"Map\Willsurvival",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
228,"Map\GridTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
229,"Map\galeras",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
230,"Map\dungeonTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
231,"Map\Willgrid",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
233,"Map\Willstealth",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
246,"Map\dungeonTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
247,"Map\dungeonTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
249,"Map\smorenewplugmaptest",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
250,"Map\smorenewplugmaptest",0,4,"","",4,1,5,2,16383,0,0,0,0,0,0,0,0
254,"Map\HousingTestPlugMap",0,4,"","",1,1,2,2,16387,0,0,0,0,0,0,0,0
255,"Map\HousingTestPlugMap",0,4,"","",1,4,2,5,16383,0,0,0,0,0,0,0,0
258,"Map\PewPewPlugMap",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
259,"Map\PewPewPlugMap",0,4,"","",5,1,7,3,16383,0,0,0,0,0,0,0,0
261,"Map\Eastern51Plugs",0,4,"","",1,1,2,2,8191,0,0,0,0,0,0,0,0
262,"Map\Eastern51Plugs",0,4,"","",4,1,5,2,8191,0,0,0,0,0,0,0,0
263,"Map\Eastern51Plugs",0,4,"","",1,4,2,5,8191,0,0,0,0,0,0,0,0
264,"Map\Eastern51Plugs",0,4,"","",4,4,5,5,8191,0,0,0,0,0,0,0,0
265,"Map\Western",0,0,"UI\Screens\UI_CRB_WorldID22_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Olyssia_000.m3",0,0,2048,2048,0,0,0,0,0,0,0,0,0
266,"Map\AuroriaDynamicKroggFarm",0,4,"","",1,1,4,7,16383,0,0,0,0,0,0,0,0
267,"Map\AuroriaDynamicKroggFarm",0,4,"","",6,1,9,3,16383,0,0,0,0,0,0,0,0
272,"Map\AuroriaDynamicKroggFarm",0,4,"","",10,1,14,2,16383,0,0,0,0,0,0,0,0
273,"Map\AuroriaDynamicKroggFarm",0,4,"","",7,4,8,5,16383,0,0,0,0,0,0,0,0
274,"Map\smorenewplugmaptest",0,4,"","",1,4,2,5,16383,0,0,0,0,0,0,0,0
275,"Map\Westernheighttest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
276,"Map\Westerntest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
277,"Map\PewPewPlugMap",0,4,"","",1,5,3,7,16383,0,0,0,0,0,0,0,0
278,"Map\SocketTestR",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
279,"Map\PewPewPlugMap",0,4,"","",4,4,5,5,16383,0,0,0,0,0,0,0,0
280,"Map\PewPewPlugMap",0,4,"","",10,1,14,2,16383,0,0,0,0,0,0,0,0
281,"Map\PewPewPlugMap",0,4,"","",7,4,8,5,16383,0,0,0,0,0,0,0,0
282,"Map\DynamicEventShipCrash",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
283,"Map\DynamicEventShipCrash",0,4,"","",4,1,5,2,16383,0,0,0,0,0,0,0,0
284,"Map\PewPewPlugMap",0,4,"","",10,4,11,5,16383,0,0,0,0,0,0,0,0
285,"Map\DynamicEventShipCrash",0,4,"","",1,4,2,5,16383,0,0,0,0,0,0,0,0
286,"Map\DynamicEventShipCrash",0,4,"","",4,4,5,5,16383,0,0,0,0,0,0,0,0
287,"Map\DynamicEventShipCrash",0,4,"","",7,1,8,2,16383,0,0,0,0,0,0,0,0
288,"Map\HousingTest2",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
289,"Map\PewPewPlugMap",0,4,"","",1,9,3,11,16383,0,0,0,0,0,0,0,0
290,"Map\SocketPlugCreationMap",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
291,"Map\GenericShipPlugMap",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
292,"Map\Housingplugfarm",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
293,"Map\Housingplugfarm",0,4,"","",5,1,7,3,16383,0,0,0,0,0,0,0,0
294,"Map\Ryanhouseplugtest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
295,"Map\Housingplugfarm",0,4,"","",1,5,3,7,16383,0,0,0,0,0,0,0,0
296,"Map\GenericShipPlugMap",0,4,"","",5,1,7,3,16383,0,0,0,0,0,0,0,0
297,"Map\GenericShipPlugMap",0,4,"","",1,5,3,7,16383,0,0,0,0,0,0,0,0
298,"Map\Housingplugfarm",0,4,"","",5,5,7,7,16383,0,0,0,0,0,0,0,0
299,"Map\BanditCampTest",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
301,"Map\Housingplugfarm",0,4,"","",13,1,15,3,16383,0,0,0,0,0,0,0,0
302,"Map\GenericShipPlugMap",0,4,"","",5,5,7,7,16383,0,0,0,0,0,0,0,0
303,"Map\GenericShipPlugMap",0,4,"","",10,1,11,2,16383,0,0,0,0,0,0,0,0
304,"Map\Housingplugfarm",0,4,"","",10,4,14,5,16383,0,0,0,0,0,0,0,0
305,"Map\Tower001",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
306,"Map\CampPlugs",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
307,"Map\AuroriaDynamicKroggFarm",0,4,"","",11,5,14,7,16383,0,0,0,0,0,0,0,0
308,"Map\CampPlugs",0,4,"","",4,1,5,2,16383,0,0,0,0,0,0,0,0
309,"Map\CampPlugs",0,4,"","",1,4,2,5,16383,0,0,0,0,0,0,0,0
310,"Map\GenericShipPlugMap",0,4,"","",13,1,15,3,16383,0,0,0,0,0,0,0,0
311,"Map\CampPlugs",0,4,"","",4,4,5,5,16383,0,0,0,0,0,0,0,0
312,"Map\GenericShipPlugMap",0,4,"","",10,4,12,6,16383,0,0,0,0,0,0,0,0
313,"Map\AuroriaBingberryOrchard",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
314,"Map\AuroriaBingberryOrchard",0,4,"","",5,1,7,3,16383,0,0,0,0,0,0,0,0
315,"Map\AuroriaBingberryOrchard",0,4,"","",1,5,3,7,16383,0,0,0,0,0,0,0,0
316,"Map\CampPlugs",0,4,"","",7,1,8,2,16383,0,0,0,0,0,0,0,0
317,"Map\CampPlugs",0,4,"","",10,1,11,2,16383,0,0,0,0,0,0,0,0
318,"Map\CampPlugs",0,4,"","",7,4,8,5,16383,0,0,0,0,0,0,0,0
319,"Map\CampPlugs",0,4,"","",10,4,11,5,16383,0,0,0,0,0,0,0,0
320,"Map\CampPlugs",0,4,"","",1,7,2,8,16383,0,0,0,0,0,0,0,0
321,"Map\CampPlugs",0,4,"","",4,7,5,8,16383,0,0,0,0,0,0,0,0
322,"Map\robogolf",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
323,"Map\Housingplugfarm",0,4,"","",9,1,11,3,16383,0,0,0,0,0,0,0,0
324,"Map\spawnHeightTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
325,"Map\Eastern51Plugs",0,4,"","",9,1,11,3,8191,0,0,0,0,0,0,0,0
327,"Map\dynamicDungeonTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
328,"Map\dynamicDungeonTestPlugs",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
329,"Map\AssetWorld",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
330,"Map\dynamicDungeonTestPlugs",0,4,"","",4,1,5,2,16383,0,0,0,0,0,0,0,0
331,"Map\dynamicDungeonTestPlugs",0,4,"","",6,1,9,4,16383,0,0,0,0,0,0,0,0
332,"Map\dynamicDungeonTestPlugs",0,4,"","",1,6,4,9,16383,0,0,0,0,0,0,0,0
333,"Map\DynamicEventPlugs",0,4,"","",1,1,2,2,8191,0,0,0,0,0,0,0,0
334,"Map\DynamicEventPlugs",0,4,"","",4,1,5,2,8191,0,0,0,0,0,0,0,0
335,"Map\dynamicDungeonTestPlugs",0,4,"","",6,6,9,9,16383,0,0,0,0,0,0,0,0
336,"Map\dynamicDungeonTestPlugs",0,4,"","",11,6,14,9,16383,0,0,0,0,0,0,0,0
338,"Map\Eastern",0,0,"UI\Screens\UI_CRB_WorldID22_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Alizar_000.m3",0,0,2048,2048,0,0,0,0,0,0,0,0,0
339,"Map\ranchTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
340,"Map\ranchTestPlugs",0,4,"","",1,1,2,2,16383,0,0,0,0,0,0,0,0
341,"Map\ranchTestPlugs",0,4,"","",4,1,5,2,16383,0,0,0,0,0,0,0,0
342,"Map\ranchTestPlugs",0,4,"","",1,4,2,5,16383,0,0,0,0,0,0,0,0
343,"Map\ranchTestPlugs",0,4,"","",4,4,5,5,16383,0,0,0,0,0,0,0,0
345,"Map\DynamicEventPlugs",0,4,"","",1,4,2,5,8191,0,0,0,0,0,0,0,0
346,"Map\DynamicEventPlugs",0,4,"","",4,4,5,5,8191,0,0,0,0,0,0,0,0
347,"Map\DynamicEventPlugs",0,4,"","",7,1,8,2,8191,0,0,0,0,0,0,0,0
348,"Map\DynamicEventPlugs",0,4,"","",10,1,11,2,8191,0,0,0,0,0,0,0,0
349,"Map\DynamicEventPlugs",0,4,"","",7,4,8,5,8191,0,0,0,0,0,0,0,0
350,"Map\DynamicEventPlugs",0,4,"","",10,4,11,5,8191,0,0,0,0,0,0,0,0
351,"Map\ThorneRealm",0,1,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
352,"Map\ranchTest2",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
356,"Map\DynamicEventPlugs",0,4,"","",1,7,2,8,8191,0,0,0,0,0,0,0,0
357,"Map\DynamicEventPlugs",0,4,"","",4,7,5,8,8191,0,0,0,0,0,0,0,0
358,"Map\DynamicEventPlugs",0,4,"","",1,10,2,11,8191,0,0,0,0,0,0,0,0
359,"Map\DynamicEventPlugs",0,4,"","",4,10,5,11,8191,0,0,0,0,0,0,0,0
360,"Map\DynamicEventPlugs",0,4,"","",7,7,8,8,8191,0,0,0,0,0,0,0,0
361,"Map\DynamicEventPlugs",0,4,"","",10,7,11,8,8191,0,0,0,0,0,0,0,0
362,"Map\DynamicEventPlugs",0,4,"","",7,10,8,11,8191,0,0,0,0,0,0,0,0
363,"Map\DynamicEventPlugs",0,4,"","",10,10,11,11,8191,0,0,0,0,0,0,0,0
364,"Map\DynamicEventPlugs",0,4,"","",13,10,14,11,8191,0,0,0,0,0,0,0,0
365,"Map\DynamicEventPlugs",0,4,"","",10,13,11,14,8191,0,0,0,0,0,0,0,0
366,"Map\DynamicEventPlugs",0,4,"","",13,13,14,14,8191,0,0,0,0,0,0,0,0
367,"Map\DynamicEventPlugs",0,4,"","",16,1,17,2,8191,0,0,0,0,0,0,0,0
368,"Map\DynamicEventPlugs",0,4,"","",19,1,20,2,8191,0,0,0,0,0,0,0,0
369,"Map\DynamicEventPlugs",0,4,"","",16,4,17,5,8191,0,0,0,0,0,0,0,0
370,"Map\DynamicEventPlugs",0,4,"","",19,4,20,5,8191,0,0,0,0,0,0,0,0
371,"Map\DynamicEventPlugs",0,4,"","",22,1,23,2,8191,0,0,0,0,0,0,0,0
372,"Map\DynamicEventPlugs",0,4,"","",25,1,26,2,8191,0,0,0,0,0,0,0,0
373,"Map\DynamicEventPlugs",0,4,"","",22,4,23,5,8191,0,0,0,0,0,0,0,0
374,"Map\DynamicEventPlugs",0,4,"","",25,4,26,5,8191,0,0,0,0,0,0,0,0
375,"Map\DynamicEventPlugs",0,4,"","",16,7,17,8,8191,0,0,0,0,0,0,0,0
376,"Map\DynamicEventPlugs",0,4,"","",19,7,20,8,8191,0,0,0,0,0,0,0,0
377,"Map\DynamicEventPlugs",0,4,"","",16,10,17,11,8191,0,0,0,0,0,0,0,0
378,"Map\DynamicEventPlugs",0,4,"","",19,10,20,11,8191,0,0,0,0,0,0,0,0
379,"Map\DynamicEventPlugs",0,4,"","",22,7,23,8,8191,0,0,0,0,0,0,0,0
380,"Map\DynamicEventPlugs",0,4,"","",25,7,26,8,8191,0,0,0,0,0,0,0,0
382,"Map\EthnDunon",320,11,"UI\Screens\UI_CRB_WorldID22_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Dungeon_000.m3",1010,1014,1033,1038,0,768685,0,0,0,15,1,0,12
383,"Map\DynamicEventPlugs",0,4,"","",22,10,23,11,8191,0,0,0,0,0,0,0,0
384,"Map\DynamicEventPlugs",0,4,"","",25,10,26,11,8191,0,0,0,0,0,0,0,0
386,"Map\DynamicEventPlugs",0,4,"","",28,10,29,11,8191,0,0,0,0,0,0,0,0
387,"Map\DynamicEventPlugs",0,4,"","",25,13,26,14,8191,0,0,0,0,0,0,0,0
388,"Map\DynamicEventPlugs",0,4,"","",28,13,29,14,8191,0,0,0,0,0,0,0,0
391,"Map\DynamicEventPlugs",0,4,"","",1,16,2,17,8191,0,0,0,0,0,0,0,0
392,"Map\RussellCTest02",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
393,"Map\WaterPreview",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
395,"Map\DerekTestMap",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
396,"Map\DynamicEventPlugs",0,4,"","",6,16,9,19,8191,0,0,0,0,0,0,0,0
397,"Map\RyanWhiteValeTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
398,"Map\Happyfuntime",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
399,"Map\3x3testRyan",0,4,"","",1,1,4,4,16383,0,0,0,0,0,0,0,0
401,"Map\Snakeye",0,1,"UI\Screens\UI_CRB_AlgorocInstanceScreen.tex","",1008,992,1050,1037,0,0,0,0,0,0,0,0,0
402,"Map\DynamicEventPlugs",0,4,"","",4,16,5,17,8191,0,0,0,0,0,0,0,0
403,"Map\smorenewplugmaptest",0,4,"","",4,4,5,5,16383,0,0,0,0,0,0,0,0
404,"Map\AdamPVPTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
405,"Map\LandofWhatnot",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
408,"Map\YetiCaves",0,1,"UI\Screens\UI_CRB_BorealCavernsLoadScreen.tex","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
409,"Map\Alphaville",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
411,"Map\spawn3Demo",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
412,"Map\TimTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
413,"Map\TimTest2",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
414,"Map\TimTest3",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
422,"Map\TimTest2b",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
423,"Map\TimTest2b",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
424,"Map\TimTest2c",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
426,"Map\Eastern",0,0,"UI\Screens\UI_CRB_GenericLoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_StarterPack_000.m3",1135,833,1188,871,0,0,0,0,0,0,0,0,0
428,"Map\WhitevaleRotationTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
429,"Map\Sparkletown",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
430,"Map\VortexPVP",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
431,"Map\Somethin",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
432,"Map\Deathsplayground",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
433,"Map\coryowns",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
434,"Map\NeighborhoodTest001",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
435,"Map\HousingStrikeTeam",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
436,"Map\SteveTest",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
437,"Map\HousingPlugs00",0,4,"","",7,7,9,9,8191,0,0,0,0,0,0,0,0
438,"Map\HousingPlugs00",0,4,"","",23,7,25,9,8191,0,0,0,0,0,0,0,0
439,"Map\HousingPlugs00",0,4,"","",6,20,9,28,8191,0,0,0,0,0,0,0,0
440,"Map\HousingPlugs00",0,4,"","",22,22,26,26,8191,0,0,0,0,0,0,0,0
441,"Map\HousingPlugs00",0,4,"","",39,7,41,9,8191,0,0,0,0,0,0,0,0
442,"Map\HousingPlugs00",0,4,"","",54,6,57,9,8191,0,0,0,0,0,0,0,0
443,"Map\HousingPlugs00",0,4,"","",38,22,41,25,8191,0,0,0,0,0,0,0,0
444,"Map\HousingPlugs00",0,4,"","",55,23,56,24,8191,0,0,0,0,0,0,0,0
445,"Map\HousingPlugs",0,4,"UI\Screens\UI_CRB_WorldID22_LoadScreen.tex","Art\Prop\Character_Creation\Loading\PRP_Loading_Housing_000.m3",0,0,2048,2048,8191,0,0,0,0,0,0,0,0
446,"Map\HousingPlugSets",0,4,"","",1,1,3,2,8191,0,0,0,0,0,0,0,0
447,"Map\4x4HousingTestPlug",0,4,"","",1,1,3,3,16383,0,0,0,0,0,0,0,0
448,"Map\MmocarskiSockets",0,0,"","",0,0,2048,2048,0,0,0,0,0,0,0,0,0
449,"Map\HousingPlugSets",0,4,"","",5,2,7,4,16395,0,0,0,0,0,0,0,0
450,"Map\HousingPlugSets",0,4,"","",1,4,3,5,16385,0,0,0,0,0,0,0,0
451,"Map\HousingPlugs00",0,4,"","",7,39,8,40,8193,0,0,0,0,0,0,0,0
452,"Map\HousingPlugs00",0,4,"","",23,39,24,40,8191,0,0,0,0,0,0,0,0
454,"Map\HousingPlugs00",0,4,"","",7,55,9,56,8191,0,0,0,0,0,0,0,0
455,"Map\HousingPlugSets",0,4,"","",10,1,11,2,16385,0,0,0,0,0,0,0,0
