"ID","unitPropertyValue00","unitPropertyValue01","unitPropertyValue02","unitPropertyValue03","unitPropertyValue04","unitPropertyValue05","unitPropertyValue06","unitPropertyValue07","unitPropertyValue08","unitPropertyValue09","unitPropertyValue10","unitPropertyValue11","unitPropertyValue12","unitPropertyValue13","unitPropertyValue14","unitPropertyValue15","unitPropertyValue16","unitPropertyValue17","unitPropertyValue18","unitPropertyValue19","unitPropertyValue20","unitPropertyValue21","unitPropertyValue22","unitPropertyValue23","unitPropertyValue24","unitPropertyValue25","unitPropertyValue26","unitPropertyValue27","unitPropertyValue28","unitPropertyValue29","unitPropertyValue30","unitPropertyValue31","unitPropertyValue32","unitPropertyValue33","unitPropertyValue34","unitPropertyValue35","unitPropertyValue36","unitPropertyValue37","unitPropertyValue38","unitPropertyValue39","unitPropertyValue40","unitPropertyValue41","unitPropertyValue42","unitPropertyValue43","unitPropertyValue44","unitPropertyValue45","unitPropertyValue46","unitPropertyValue47","unitPropertyValue48","unitPropertyValue49","unitPropertyValue50","unitPropertyValue51","unitPropertyValue52","unitPropertyValue53","unitPropertyValue54","unitPropertyValue55","unitPropertyValue56","unitPropertyValue57","unitPropertyValue58","unitPropertyValue59","unitPropertyValue60","unitPropertyValue61","unitPropertyValue62","unitPropertyValue63","unitPropertyValue64","unitPropertyValue65","unitPropertyValue66","unitPropertyValue67","unitPropertyValue68","unitPropertyValue69","unitPropertyValue70","unitPropertyValue71","unitPropertyValue72","unitPropertyValue73","unitPropertyValue74","unitPropertyValue75","unitPropertyValue76","unitPropertyValue77","unitPropertyValue78","unitPropertyValue79","unitPropertyValue80","unitPropertyValue81","unitPropertyValue82","unitPropertyValue83","unitPropertyValue84","unitPropertyValue85","unitPropertyValue86","unitPropertyValue87","unitPropertyValue88","unitPropertyValue89","unitPropertyValue90","unitPropertyValue91","unitPropertyValue92","unitPropertyValue93","unitPropertyValue94","unitPropertyValue95","unitPropertyValue96","unitPropertyValue97","unitPropertyValue98","unitPropertyValue99"
11,111.742,111.742,111.742,111.742,111.742,0,0,3282.78,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,446.966,446.966,0,0,0,68.25,3282.78,753.06,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,123.179,123.179,123.179,123.179,123.179,0,0,3826.13,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,492.714,492.714,0,0,0,74.5,3826.13,808.5,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,134.833,134.833,134.833,134.833,134.833,0,0,4648.99,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,539.332,539.332,0,0,0,81,4648.99,893.296,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,155.723,155.723,155.723,155.723,155.723,0,0,5128.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,622.89,622.89,0,0,0,89.75,5128.7,1182.82,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,173.414,173.414,173.414,173.414,173.414,0,0,6062.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,693.658,693.658,0,0,0,98.5833,6062.7,1254.6,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,186.384,186.384,186.384,186.384,186.384,0,0,6781.31,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,745.536,745.536,0,0,0,106.25,6781.31,1323.99,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,199.615,199.615,199.615,199.615,199.615,0,0,7900.28,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,798.461,798.461,0,0,0,113.114,7900.28,1393.38,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,213.281,213.281,213.281,213.281,213.281,0,0,8795.78,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,853.125,853.125,0,0,0,119.49,8795.78,1463.57,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,226.52,226.52,226.52,226.52,226.52,0,0,9776.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,906.082,906.082,0,0,0,126.757,9776.6,1532.96,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,240.469,240.469,240.469,240.469,240.469,0,0,10341.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,961.874,961.874,0,0,0,133.786,10341.6,1603.15,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,256.424,256.424,256.424,256.424,256.424,0,0,11134.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1025.7,1025.7,0,0,0,141.651,11134.1,1672.54,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,274.92,274.92,274.92,274.92,274.92,0,0,12012.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1099.68,1099.68,0,0,0,150.9,12012.8,1743.52,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,288.36,288.36,288.36,288.36,288.36,0,0,12495,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1153.44,1153.44,0,0,0,158.572,12495,1812.12,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,319.796,319.796,319.796,319.796,319.796,0,0,13018.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1279.18,1279.18,0,0,0,168.455,13018.7,2255.58,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,337.37,337.37,337.37,337.37,337.37,0,0,13752,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1349.48,1349.48,0,0,0,177.444,13752,2338.52,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,355.189,355.189,355.189,355.189,355.189,0,0,14278.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1420.76,1420.76,0,0,0,188.241,14278.7,2423.06,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,371.45,371.45,371.45,371.45,371.45,0,0,14698.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1485.8,1485.8,0,0,0,198.634,14698.8,2507.62,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,387.415,387.415,387.415,387.415,387.415,0,0,15329.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1549.66,1549.66,0,0,0,206.59,15329.1,2590.56,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,401.832,401.832,401.832,401.832,401.832,0,0,16371.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1607.33,1607.33,0,0,0,214.615,16371.5,2673.5,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,421.741,421.741,421.741,421.741,421.741,0,0,17350,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1686.96,1686.96,0,0,0,224.304,17350,2758.06,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,438.691,438.691,438.691,438.691,438.691,0,0,17881,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1754.76,1754.76,0,0,0,231.42,17881,2841,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,457.236,457.236,457.236,457.236,457.236,0,0,18390.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1828.94,1828.94,0,0,0,239.668,18390.8,2925.54,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,475.92,475.92,475.92,475.92,475.92,0,0,18953.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1903.68,1903.68,0,0,0,249.461,18953.2,3010.1,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,494.888,494.888,494.888,494.888,494.888,0,0,19546.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,1979.55,1979.55,0,0,0,260.438,19546.2,3091.44,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510.754,510.754,510.754,510.754,510.754,0,0,20768.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2043.02,2043.02,0,0,0,267.838,20768.4,3175.98,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,528.034,528.034,528.034,528.034,528.034,0,0,21485.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2112.14,2112.14,0,0,0,276.248,21485.7,3260.54,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,551.78,551.78,551.78,551.78,551.78,0,0,22024.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2207.12,2207.12,0,0,0,289.045,22024.4,3343.48,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,572.173,572.173,572.173,572.173,572.173,0,0,23204.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2288.69,2288.69,0,0,0,301.615,23204.7,3428.02,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,591.552,591.552,591.552,591.552,591.552,0,0,23802.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2366.21,2366.21,0,0,0,312.916,23802.8,3509.38,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,610.527,610.527,610.527,610.527,610.527,0,0,25488.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2442.11,2442.11,0,0,0,332.159,25488.1,3593.92,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,631.33,631.33,631.33,631.33,631.33,0,0,26641.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2525.32,2525.32,0,0,0,343.015,26641.2,3678.46,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,657.372,657.372,657.372,657.372,657.372,0,0,27682,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2629.49,2629.49,0,0,0,357.001,27682,3761.42,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,676.993,676.993,676.993,676.993,676.993,0,0,28893.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2707.97,2707.97,0,0,0,369.024,28893.4,3845.96,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,696.92,696.92,696.92,696.92,696.92,0,0,30785.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2787.68,2787.68,0,0,0,382.135,30785.2,3928.9,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,723.362,723.362,723.362,723.362,723.362,0,0,31909.7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2893.45,2893.45,0,0,0,400.954,31909.7,4011.86,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,748.943,748.943,748.943,748.943,748.943,0,0,32825.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,2995.77,2995.77,0,0,0,415.408,32825.6,4096.4,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,777.681,777.681,777.681,777.681,777.681,0,0,34290.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,3110.72,3110.72,0,0,0,428.553,34290.5,4180.94,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,801.009,801.009,801.009,801.009,801.009,0,0,35420.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,3204.04,3204.04,0,0,0,443.435,35420.5,4288.48,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,825.195,825.195,825.195,825.195,825.195,0,0,37185.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,3300.78,3300.78,0,0,0,458.348,37185.6,4403.18,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,880.707,880.707,880.707,880.707,880.707,0,0,39706.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,3522.83,3522.83,0,0,0,500.383,39706.2,4625.4,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,880.707,880.707,880.707,880.707,880.707,0,0,39706.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0,0,3522.83,3522.83,0,0,0,500.383,39706.2,4625.4,0,1,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
