"ID","quest2Id","quest2RewardTypeId","objectId","objectAmount","flags"
2222,5021,1,13468,1,1
2223,4786,1,28047,1,1
2225,5261,1,28063,1,1
2228,4520,1,28043,1,1
2231,3930,3,1,2500,0
2238,7620,1,28010,1,1
2240,3765,1,13058,1,1
2244,3777,1,28048,1,1
2245,4525,1,28046,1,1
2246,3765,1,12693,1,1
2247,5408,1,28062,1,1
2248,5408,1,12730,1,1
2249,5408,1,13471,1,1
2253,4530,1,28051,1,1
2254,3770,1,28067,1,1
2255,3770,1,28033,1,1
2265,3765,1,17939,1,1
2267,3889,1,28022,1,1
2271,4999,2,171,200,0
2293,4506,1,28346,1,1
2294,4508,1,28355,1,1
2295,4511,1,17944,1,1
2299,4511,1,17945,1,1
2301,4511,1,28335,1,1
2302,5255,1,28336,1,1
2308,4516,1,28326,1,1
2310,4516,1,28327,1,1
2314,4506,1,28345,1,1
2316,4532,1,13552,1,1
2317,4733,1,28328,1,1
2319,4733,1,28329,1,1
2320,4733,1,28356,1,1
2321,4670,1,28358,1,1
2322,4997,1,28351,1,1
2323,4997,1,28357,1,1
2324,4666,1,28361,1,1
2326,4666,1,12973,1,1
2327,4666,1,12977,1,1
2328,4666,1,12988,1,1
2332,4532,1,12993,1,1
2338,4670,1,28359,1,1
2339,4670,1,35078,1,1
2340,4670,1,35079,1,1
2344,5327,1,35083,1,3
2346,5332,1,35084,1,1
2348,5332,1,35085,1,1
2349,5332,1,35086,1,1
2350,7631,1,8539,1,1
2351,7631,1,12956,1,1
2352,5267,1,12969,1,1
2353,5267,1,13494,1,1
2354,4674,1,35087,1,1
2364,4749,1,28331,1,1
2368,2909,1,13005,1,1
2369,2909,1,6998,1,1
2370,2909,1,179,1,0
2381,5203,1,13036,1,0
2388,3777,1,28031,1,1
2401,5083,2,838,300,0
2430,3886,1,13332,1,1
2431,7282,3,4,10,0
2433,7620,1,28011,1,1
2434,5276,2,817,1000,0
2435,5276,1,12631,1,0
2438,4990,1,28332,1,1
2441,4967,1,8473,1,1
2442,4967,1,8479,1,1
2463,5081,2,838,501,0
2466,5081,4,1,50,0
2471,5084,4,1,50,0
2472,5083,4,1,50,0
2476,3479,1,1375,1,1
2479,3479,1,13335,1,1
2480,3797,1,13333,1,1
2481,3673,1,13328,1,1
2482,3797,1,27870,1,1
2485,5081,1,13376,1,0
2486,5084,1,13375,1,0
2491,5091,3,4,111,0
2498,5471,1,6225,1,0
2505,5459,1,175,1,1
2507,5473,2,609,5161,0
2508,5473,1,8609,1,1
2509,5473,1,13371,1,1
2528,3770,1,28018,1,1
2529,4520,1,28032,1,1
2557,5503,4,1,100,0
2559,5503,4,5,100,1
2560,3765,1,12694,1,1
2561,3786,1,28053,1,1
2564,3753,1,14486,1,1
2565,5750,1,14507,1,1
2566,3753,1,14512,1,1
2567,3902,1,15728,1,1
2568,5621,1,28650,1,1
2569,5615,1,15732,1,1
2570,3889,1,28038,1,1
2571,3889,1,28039,1,1
2573,3765,1,17938,1,1
2574,4530,1,28034,1,1
2575,7620,1,28028,1,1
2578,6671,1,16319,1,1
2579,6671,1,27896,1,1
2580,6671,1,27897,1,1
2581,7858,1,28749,1,1
2582,7723,1,22311,1,1
2583,7871,1,16398,1,1
2584,7870,1,16414,1,1
2586,3170,1,11625,1,1
2589,4967,1,8538,1,1
2590,4961,1,28352,1,1
2593,4961,1,28362,1,1
2594,4758,1,1201,1,1
2596,4767,1,13520,1,1
2598,4767,1,17926,1,1
2606,4767,1,17927,1,1
2613,4926,1,28321,1,1
2620,4961,1,28349,1,1
2625,5172,1,8481,1,1
2626,4909,1,13506,1,1
2627,5172,1,8549,1,1
2629,4812,1,8557,1,1
2630,4806,1,28350,1,1
2631,4806,1,28353,1,1
2633,4806,1,28354,1,1
2634,7631,1,28360,1,1
2636,5267,1,13529,1,1
2638,4847,1,13553,1,1
2641,4847,1,28333,1,1
2645,4812,1,12983,1,1
2648,4812,1,12984,1,1
2649,4802,1,12987,1,1
2651,4812,1,8558,1,1
2652,4812,1,12967,1,1
2654,4812,1,12975,1,1
2656,4990,1,28338,1,1
2657,4990,1,28339,1,1
2660,4516,1,13545,1,1
2661,4516,1,28325,1,1
2666,5255,1,28337,1,1
2668,4967,1,8556,1,1
2674,3170,1,11626,1,1
2676,3170,1,11629,1,1
2677,5420,1,11631,1,1
2678,5420,1,11632,1,1
2679,5420,1,11633,1,1
2681,3171,1,11635,1,1
2682,3171,1,11636,1,1
2683,3171,1,11637,1,1
2684,5600,1,11638,1,1
2685,5600,1,11639,1,1
2686,5260,1,14040,1,1
2687,5600,1,11640,1,1
2689,5474,1,11642,1,1
2691,5474,1,11644,1,1
2693,5474,1,11646,1,1
2695,5477,1,11648,1,1
2697,5477,1,11659,1,1
2699,5477,1,11661,1,1
2700,3304,1,11662,1,1
2701,3304,1,11663,1,1
2702,5420,1,16572,1,1
2703,3304,1,11664,1,1
2704,3304,1,11665,1,1
2705,5444,1,11666,1,1
2729,8959,1,28400,1,1
2730,8959,1,28596,1,1
2731,5374,1,28599,1,1
2732,8958,1,28381,1,1
2733,5160,1,28410,1,1
2734,5160,1,28413,1,1
2735,5160,1,28417,1,1
2736,5041,1,28386,1,1
2737,5260,1,14042,1,1
2738,5374,1,28607,1,1
2739,5374,1,14154,1,1
2740,5387,1,14156,1,1
2741,5387,1,14436,1,1
2742,5387,1,28676,1,1
2743,5377,1,28387,1,1
2744,5377,1,28420,1,1
2745,5377,1,28441,1,1
2746,5041,1,28415,1,1
2747,5041,1,28384,1,1
2748,5057,1,28365,1,1
2749,5057,1,14046,1,1
2750,5057,1,14019,1,1
2751,5253,1,28433,1,1
2752,5253,1,28434,1,1
2753,5253,1,28435,1,1
2754,5068,1,28371,1,1
2755,5068,1,14022,1,1
2756,5068,1,14047,1,1
2757,5078,1,28394,1,1
2758,5078,1,28392,1,1
2759,5078,1,28393,1,1
2760,5263,1,14026,1,1
2761,5263,1,28368,1,1
2762,5263,1,28411,1,1
2763,5064,1,28373,1,1
2764,5064,1,28366,1,1
2765,5064,1,28367,1,1
2766,5111,1,28369,1,1
2767,5111,1,28383,1,1
2768,5111,1,28385,1,1
2769,5111,1,14025,1,1
2770,5360,1,28424,1,1
2771,5360,1,28425,1,1
2772,5360,1,28426,1,1
2773,5360,1,28427,1,1
2774,5260,1,14043,1,1
2775,5260,1,14044,1,1
2776,8958,1,28379,1,1
2777,8958,1,28380,1,1
2778,5360,1,28428,1,1
2779,5360,1,28429,1,1
2780,5356,1,14038,1,1
2781,5356,1,28390,1,1
2782,5356,1,14160,1,1
2783,5361,1,28589,1,1
2784,5361,1,28590,1,1
2785,5453,1,14161,1,1
2786,5453,1,14448,1,1
2787,5453,1,14451,1,1
2788,8959,1,28442,1,1
2789,5028,1,28407,1,1
2790,5126,1,14049,1,1
2791,5126,1,28389,1,1
2792,5260,1,14045,1,1
2793,5028,1,28405,1,1
2794,5835,1,14177,1,1
2795,5835,1,14178,1,1
2796,5835,1,14432,1,1
2797,5835,1,14433,1,1
2798,5534,1,28670,1,3
2799,5534,1,28671,1,3
2800,5547,1,28414,1,1
2801,5547,1,28437,1,1
2802,5547,1,28439,1,1
2803,5755,1,28659,1,3
2806,5535,1,28681,1,3
2807,5535,1,28691,1,3
2808,5535,1,28692,1,3
2809,5755,1,28695,1,3
2812,5541,1,28402,1,1
2813,5541,1,28409,1,1
2814,5541,1,28404,1,1
2815,5545,1,28418,1,1
2816,5755,1,28714,1,3
2817,5755,1,28658,1,3
2818,5547,1,28603,1,1
2819,5835,1,14176,1,1
2820,5835,1,14434,1,1
2823,5578,1,28419,1,1
2824,5028,1,28406,1,1
2825,5578,1,28375,1,1
2827,5578,1,28403,1,1
2828,5578,1,14036,1,1
2829,5587,1,14158,1,1
2830,5587,1,14162,1,1
2831,5707,1,28656,1,1
2832,4967,1,12945,1,1
2835,5772,4,9,50,0
2836,5772,1,12542,4,0
2837,7283,3,4,10,0
2838,7284,3,4,10,0
2839,7285,3,4,10,0
2840,7286,3,4,10,0
2841,7287,3,4,10,0
2842,5444,1,11667,1,1
2843,5444,1,11668,1,1
2844,5607,1,11669,1,3
2845,5607,1,11670,1,3
2846,5607,1,11671,1,3
2847,5607,1,11672,1,3
2848,3166,1,11673,1,1
2850,5390,1,28395,1,1
2851,5696,1,11675,1,1
2852,5696,1,11677,1,1
2853,5696,1,11678,1,1
2854,5766,1,11679,1,1
2855,5766,1,11680,1,1
2856,5766,1,11681,1,1
2857,5766,1,11691,1,1
2858,5751,1,11692,1,1
2860,5751,1,11693,1,1
2861,5751,1,11694,1,1
2866,5765,1,11695,1,1
2867,5765,1,11696,1,1
2868,5765,1,11697,1,1
2869,7026,1,11698,1,1
2870,7026,1,11699,1,1
2871,7026,1,11700,1,1
2872,5626,1,11701,1,1
2873,5626,1,11702,1,1
2875,5628,1,11704,1,1
2876,5628,1,11705,1,1
2877,5628,1,11706,1,1
2878,5628,1,11707,1,1
2881,5707,1,28657,1,1
2882,5390,1,28397,1,1
2884,5545,1,28416,1,1
2885,5545,1,28432,1,1
2887,5840,1,28699,1,1
2888,5840,1,28700,1,1
2889,5840,1,28677,1,1
2890,9041,1,28684,1,1
2891,9041,1,28682,1,1
2892,9041,1,14443,1,1
2893,9042,1,28666,1,1
2894,9042,1,28668,1,1
2895,9042,1,28672,1,1
2896,5854,1,28683,1,1
2897,5854,1,14480,1,1
2898,5884,1,28696,1,1
2899,5884,1,14481,1,1
2900,5884,1,28694,1,1
2901,5826,1,14476,1,1
2902,5896,1,28591,1,1
2903,5896,1,28693,1,1
2904,5896,1,28716,1,1
2905,5894,1,14477,1,1
2906,5893,1,28594,1,1
2908,5390,1,28399,1,1
2909,5851,1,28398,1,1
2912,5887,1,28601,1,1
2913,5851,1,28685,1,1
2914,5851,1,28715,1,1
2915,5854,1,28597,1,1
2916,5887,1,28605,1,1
2917,5887,1,28664,1,1
2918,5347,1,28401,1,1
2920,5826,1,28710,1,1
2921,5826,1,28674,1,1
2922,5935,1,28689,1,1
2923,5935,1,28690,1,1
2924,5935,1,14450,1,1
2925,5932,1,28702,1,1
2926,5932,1,28703,1,1
2927,5932,1,28704,1,1
2928,5643,1,14494,1,1
2929,5653,1,28634,1,1
2930,5653,1,14498,1,1
2931,5653,1,14484,1,1
2932,5555,1,28632,1,1
2933,5555,1,14487,1,1
2934,5555,1,14485,1,1
2935,5347,1,28595,1,1
2936,5643,1,14491,1,1
2937,5643,1,14492,1,1
2938,5750,1,14509,1,1
2939,5552,1,15699,1,1
2940,5648,1,28630,1,1
2941,5648,1,14503,1,1
2942,5750,1,14508,1,1
2943,3896,1,16361,1,1
2944,5621,1,14497,1,1
2945,5671,1,14483,1,1
2946,5621,1,14502,1,1
2947,5671,1,14488,1,1
2948,3902,1,15715,1,1
2949,5671,1,28633,1,1
2950,5347,1,28598,1,1
2951,3902,1,16362,1,1
2952,6346,1,28648,1,1
2953,5843,1,15691,1,1
2954,3902,1,16326,1,1
2955,5750,1,14505,1,1
2956,5843,1,14514,1,1
2957,3891,1,14513,1,1
2958,5979,1,28631,1,1
2959,5980,1,16341,1,1
2960,5643,1,14495,1,1
2961,5932,1,28705,1,1
2962,5932,1,28706,1,1
2964,5932,1,28707,1,1
2965,7288,3,4,10,0
2966,7289,3,4,10,0
2967,7870,1,22296,1,1
2968,7884,1,28751,1,1
2969,7884,1,16386,1,1
2970,7884,1,16384,1,1
2971,7871,1,26316,1,1
2972,7864,1,16372,1,1
2973,7723,1,16397,1,1
2974,7858,1,16379,1,1
2975,7865,1,26286,1,1
2976,7726,1,28755,1,1
2977,7997,1,22304,1,1
2978,7865,1,22307,1,1
2979,7739,1,22310,1,1
2980,7927,1,16383,1,1
2981,7865,1,26304,1,1
2982,7864,1,16375,1,1
2984,5595,1,81343,1,1
2986,5596,1,14569,1,1
2987,5596,1,27920,1,1
2988,5604,1,27927,1,1
2989,5573,1,81343,1,1
2990,5350,1,28600,1,1
2991,5573,1,81340,1,1
2992,5573,1,81338,1,1
2993,5575,1,27914,1,1
2994,5575,1,27916,1,1
2995,5575,1,27915,1,1
2996,5604,1,27912,1,1
2997,5584,1,27931,1,1
3000,5597,1,81917,1,0
3001,3673,1,14571,1,1
3003,7019,1,8469,1,1
3004,7019,1,8470,1,1
3005,5580,1,14574,1,1
3006,5350,1,28602,1,1
3007,5580,1,14572,1,1
3008,5580,1,14575,1,1
3009,5580,1,14576,1,1
3010,5580,1,14577,1,1
3011,5580,1,17966,1,1
3012,7019,1,8474,1,1
3013,7019,1,8476,1,1
3014,7019,1,8480,1,1
3030,5819,1,81824,4,0
3031,5819,1,81868,2,0
3033,5872,4,8,100,0
3047,5848,4,46,100,0
3048,5873,1,4686,1,0
3049,5873,1,14182,1,0
3050,5875,1,81827,4,0
3075,1808,2,260,200,0
3077,5877,1,14700,3,0
3078,5511,1,11708,1,1
3079,5511,1,11709,1,1
3080,5856,1,27941,1,1
3081,5856,1,15563,1,1
3082,5856,1,27939,1,1
3083,5868,1,81343,1,1
3084,5868,1,81340,1,1
3085,5868,1,81338,1,1
3087,5511,1,11710,1,1
3088,5515,1,11711,1,1
3090,5959,1,27944,1,1
3091,5959,1,15562,1,1
3092,5960,1,27946,1,1
3094,5960,1,27940,1,1
3095,5515,1,11712,1,1
3096,5515,1,11713,1,1
3097,5858,1,15554,1,1
3098,5858,1,15568,1,1
3099,5858,1,27947,1,1
3100,5864,1,15572,1,1
3101,5864,1,15577,1,1
3102,5864,1,15576,1,1
3103,5864,1,15573,1,1
3104,5864,1,15575,1,1
3105,5864,1,15574,1,1
3107,5866,1,27950,1,1
3108,5866,1,15580,1,1
3109,7864,1,16376,1,1
3110,7871,1,22308,1,1
3114,5515,1,11714,1,1
3115,5515,1,11724,1,1
3117,5350,1,28604,1,1
3123,5392,1,28606,1,1
3124,5515,1,11725,1,1
3125,5650,1,11726,1,1
3126,5650,1,11727,1,1
3127,5650,1,11728,1,1
3129,6047,1,11730,1,1
3130,6047,1,11731,1,1
3131,5922,1,11732,1,1
3133,5922,1,11733,1,1
3134,5922,1,11734,1,1
3135,5925,1,11735,1,1
3136,5925,1,11736,1,1
3152,3902,1,15718,1,1
3153,3891,1,15696,1,1
3154,6215,1,28616,1,1
3155,6425,1,16342,1,1
3156,6425,1,28651,1,1
3157,6215,1,28615,1,1
3158,6425,1,16338,1,1
3159,6466,1,28641,1,1
3160,5392,1,14439,1,1
3161,6331,1,16367,1,1
3162,6397,1,15704,1,1
3163,5980,1,16365,1,1
3165,6346,1,16351,1,1
3166,6397,1,15702,1,1
3167,5980,1,15711,1,1
3168,3905,1,14482,1,1
3169,7726,1,16392,1,1
3170,7865,1,22323,1,1
3171,7927,1,16409,1,1
3172,7739,1,26287,1,1
3173,7738,1,16382,1,1
3174,7727,1,16412,1,1
3175,8002,1,26306,1,1
3176,5750,1,14510,1,1
3177,6724,1,15710,1,1
3178,8106,1,15698,1,1
3180,5979,1,15727,1,1
3181,3905,1,14500,1,1
3182,6397,1,15705,1,1
3184,5615,1,14499,1,1
3186,5971,1,17812,1,1
3187,6295,1,28640,1,1
3188,8106,1,28638,1,1
3189,3896,1,15726,1,1
3190,6331,1,28647,1,1
3191,6245,1,28619,1,1
3192,6752,1,28617,1,1
3193,6006,1,28636,1,1
3194,7865,1,16388,1,1
3195,7942,1,26351,1,1
3196,7943,1,28752,1,1
3197,7943,1,16368,1,1
3198,7943,1,16391,1,1
3199,7948,1,28753,1,1
3200,7948,1,16389,1,1
3201,7997,1,26289,1,1
3202,6151,1,16403,1,1
3205,7727,1,22297,1,1
3206,7738,1,16369,1,1
3207,7922,1,28750,1,1
3208,7864,1,16374,1,1
3209,8014,1,22302,1,1
3210,6182,1,16410,1,1
3211,7885,1,22314,1,1
3219,6463,1,28739,1,1
3220,6463,1,26311,1,1
3221,6460,1,26312,1,1
3222,6460,1,26337,1,1
3223,6529,1,22303,1,1
3224,6529,1,36362,1,1
3225,7864,1,16373,1,1
3226,6472,1,28764,1,1
3227,8014,1,26291,1,1
3228,7722,1,16381,1,1
3229,6472,1,28767,1,1
3230,7885,1,26290,1,1
3231,8002,1,16395,1,1
3232,7922,1,16380,1,1
3233,6185,1,28761,1,1
3234,8014,1,26308,1,1
3235,7948,1,16413,1,1
3236,8009,1,16415,1,1
3237,8009,1,22305,1,1
3239,6724,1,15729,1,1
3240,5988,1,81918,2,0
3241,7885,1,26319,1,1
3244,6156,1,22320,1,1
3245,6156,1,16406,1,1
3248,6097,4,34,100,0
3249,6098,4,34,166,0
3256,5925,1,11737,1,1
3257,5927,1,11738,1,1
3258,5927,1,11739,1,1
3259,5927,1,11740,1,1
3260,5920,1,11741,1,1
3262,5920,1,11743,1,1
3263,5920,1,11744,1,1
3264,3651,1,11745,1,1
3265,3651,1,11746,1,1
3267,5907,1,11757,1,1
3268,6298,1,81334,1,1
3269,6298,1,81331,1,1
3270,6302,1,16301,1,1
3271,6302,1,16302,1,1
3272,6302,1,16297,1,1
3274,6303,1,16311,1,1
3275,6303,1,16305,1,1
3276,6305,1,27894,1,1
3278,7540,1,16309,1,1
3279,7540,1,27892,1,1
3280,7540,1,27893,1,1
3284,6310,1,16313,1,1
3285,6310,1,16314,1,1
3286,6310,1,16315,1,1
3287,6310,1,16316,1,1
3288,6310,1,16317,1,1
3289,6310,1,16318,1,1
3291,6312,1,27901,1,1
3292,6312,1,16320,1,1
3293,6182,1,28760,1,1
3294,6164,1,28744,1,1
3295,6164,1,22299,1,1
3296,6164,1,22321,1,1
3297,6752,1,28628,1,1
3298,8106,1,15714,1,1
3299,6010,1,28629,1,1
3300,6295,1,16350,1,1
3301,6719,1,28612,1,1
3303,6714,1,9891,1,1
3304,6706,1,28620,1,1
3305,7640,1,28649,1,1
3306,6010,1,28643,1,1
3307,3905,1,15694,1,1
3308,6708,1,9861,1,1
3309,6724,1,28625,1,1
3310,6006,1,15701,1,1
3311,6719,1,28613,1,1
3312,6010,1,15697,1,1
3313,6397,1,15707,1,1
3314,6403,1,28611,1,1
3315,6403,1,17823,1,1
3316,6706,1,28621,1,1
3317,6750,1,9887,1,1
3318,6750,1,9888,1,1
3319,7651,1,28644,1,1
3320,7651,1,15731,1,1
3321,6719,1,28614,1,1
3322,6466,1,16334,1,1
3323,6466,1,16337,1,1
3324,7640,1,16343,1,1
3325,7640,1,16360,1,1
3326,6329,1,28622,1,1
3327,6329,1,28623,1,1
3330,6708,1,28626,1,1
3331,6708,1,28627,1,1
3332,6714,1,9889,1,1
3333,6724,1,8441,1,1
3334,6397,1,15706,1,1
3335,5648,1,14501,1,1
3336,3902,1,28642,1,1
3337,5643,1,14490,1,1
3338,5643,1,14493,1,1
3389,6400,1,16429,1,1
3390,6400,1,16435,1,1
3391,6400,1,16447,1,1
3392,6400,1,27036,1,1
3393,6400,1,27013,1,1
3394,6400,1,27061,1,1
3395,6400,1,27021,1,1
3396,6400,1,27030,1,1
3397,6400,1,16426,1,1
3398,6400,1,16432,1,1
3399,6400,1,16444,1,1
3400,8112,1,16466,1,1
3401,8112,1,27051,1,1
3402,8112,1,16450,1,1
3403,6227,1,27066,1,1
3404,6227,1,16454,1,1
3405,6227,1,27039,1,1
3406,6227,1,27042,1,1
3407,6227,1,27073,1,1
3408,6227,1,16438,1,1
3409,6227,1,16457,1,1
3410,6227,1,27015,1,1
3411,6227,1,27056,1,1
3412,6271,1,27037,1,1
3413,6271,1,16430,1,1
3414,6372,1,16436,1,1
3415,6372,1,16464,1,1
3416,6372,1,27016,1,1
3417,6372,1,27062,1,1
3418,6374,1,16439,1,1
3419,6221,1,16445,1,1
3420,6221,1,16448,1,1
3421,6221,1,27022,1,1
3422,6271,1,27031,1,1
3423,8914,1,16467,1,1
3424,8914,1,27052,1,1
3425,8914,1,16424,1,1
3426,6173,1,27019,1,1
3427,6175,1,27074,1,1
3428,6175,1,16427,1,1
3429,8914,1,16433,1,1
3431,6173,1,27057,1,1
3432,6374,1,16442,1,1
3433,6374,1,27040,1,1
3434,6175,1,27043,1,1
3455,6227,1,16441,1,1
3456,6227,1,27018,1,1
3457,6227,1,27059,1,1
3458,6400,1,16463,1,1
3459,7662,1,37726,1,1
3460,7662,1,37727,1,1
3462,7664,1,37729,1,1
3463,7664,1,37730,1,1
3464,7664,1,37731,1,1
3465,7664,1,37732,1,1
3466,7664,1,37733,1,1
3467,7664,1,37734,1,1
3468,7664,1,37735,1,1
3469,7664,1,37736,1,1
3470,7664,1,37737,1,1
3471,7664,1,37738,1,1
3472,7664,1,37739,1,1
3473,7664,1,37740,1,1
3475,7677,1,37741,1,1
3476,3741,1,29614,1,0
3477,7677,1,37742,1,1
3478,7677,1,37743,1,1
3479,7678,1,37744,1,1
3480,7678,1,37745,1,1
3481,7678,1,37746,1,1
3482,8052,1,37747,1,1
3483,8052,1,37748,1,1
3485,8054,1,37750,1,1
3486,8054,1,37751,1,1
3487,8054,1,37752,1,1
3488,8054,1,37753,1,1
3489,8054,1,37754,1,1
3490,8054,1,37755,1,1
3491,8054,1,37756,1,1
3492,8054,1,37757,1,1
3493,8054,1,37758,1,1
3494,8054,1,37759,1,1
3495,8054,1,37760,1,1
3496,8054,1,37761,1,1
3497,8133,1,37762,1,1
3498,8133,1,37763,1,1
3499,8133,1,37764,1,1
3500,8134,1,37765,1,1
3502,8134,1,37766,1,1
3503,8134,1,37767,1,1
3504,7675,1,37768,1,1
3505,7675,1,37769,1,1
3506,7675,1,37770,1,1
3507,7675,1,37771,1,1
3508,7675,1,37772,1,1
3509,7674,1,37773,1,1
3510,7674,1,37774,1,1
3511,7674,1,37775,1,1
3513,8132,1,37777,1,1
3514,8132,1,37778,1,1
3516,8132,1,37780,1,1
3517,8132,1,37781,1,1
3518,8130,1,37782,1,1
3519,8130,1,37783,1,1
3520,8130,1,37784,1,1
3523,7705,1,37787,1,1
3524,7705,1,37788,1,1
3525,7705,1,37789,1,1
3526,7705,1,37790,1,1
3527,7708,1,37791,1,1
3529,7708,1,37793,1,1
3530,7708,1,37794,1,1
3532,8031,1,37796,1,1
3533,8031,1,37797,1,1
3534,8031,1,37798,1,1
3535,8031,1,37799,1,1
3536,8034,1,37800,1,1
3539,8034,1,37802,1,1
3540,8034,1,37803,1,1
3542,7896,1,37805,1,1
3543,7896,1,37806,1,1
3549,7896,1,37808,1,1
3551,7710,1,37810,1,1
3552,7710,1,37811,1,1
3553,7710,1,37812,1,1
3554,7710,1,37813,1,1
3555,7710,1,37814,1,1
3556,8040,1,37815,1,1
3558,8040,1,37817,1,1
3560,8040,1,37819,1,1
3562,8036,1,37821,1,1
3563,8036,1,37822,1,1
3564,8036,1,37823,1,1
3565,8036,1,37824,1,1
