"ID","Description","HeightScale","HeightOffset","ParallaxScale","ParallaxOffset","MetersPerTextureTile","ColorMapPath","NormalMapPath","AverageColor","Projection","materialType","worldClutterId00","worldClutterId01","worldClutterId02","worldClutterId03","specularPower","emissiveGlow","scrollSpeed00","scrollSpeed01"
22,"Charred_Ground",3,0,-0.05,0.025,8,"Art\Terrain\Scorched\Terrain_Scorched_CharredDirtGravel_BlackAsh_000_Color.tex","Art\Terrain\Scorched\Terrain_Scorched_CharredDirtGravel_BlackAsh_000_Normal.tex",2165905689,0,7,28,289,290,291,0,0,0,0
23,"Ellevar_Moss",1,1,-0.15,0.075,8,"Art\Terrain\Moss\Terrain_Moss_BubbleySoft_GreenDark_000_Color.tex","Art\Terrain\Moss\Terrain_Moss_BubbleySoft_GreenDark_000_Normal.tex",2150261306,0,8,5,268,269,270,0,0,0,0
24,"REPLACEME6",1,1,0,0.05,4,"Art\Terrain\Sand\Terrain_Sand_RoundPebbled_TanMedium_000_Color.tex","Art\Terrain\Sand\Terrain_Sand_RoundPebbled_TanMedium_000_Normal.tex",1448825154,0,8,0,0,0,0,0,0,0,0
25,"NOTINUSEGoldenGrass",1,0,-1,0.5,32,"Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",2520399162,1,11,0,0,0,0,0,0,0,0
26,"Auroria_Stream_Gravel",1,0,-1,0.5,8,"Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundLargeStones_BrownGrey_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundLargeStones_BrownGrey_000_Normal.tex",2153992506,0,11,0,0,0,0,0,0,0,0
27,"Ellevar_MountainStone_ZY",3,0,0.1,-0.05,128,"Art\terrain\rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\terrain\rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",3444266331,2,11,0,0,0,0,0,0,0,0
28,"REPLACEME4",5,0,0,0,8,"Art\Terrain\Road\Terrain_Road_EldanRuneRoad_TanDark_000_Color.tex","Art\Terrain\Road\Terrain_Road_EldanRuneRoad_TanDark_000_Normal.tex",2269267250,0,11,0,0,0,0,0,0,0,0
29,"REPLACEME",2,0,-2,1,8,"Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundLargeStones_TanLight_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundLargeStones_TanLight_000_Normal.tex",1547845946,0,11,0,0,0,0,0,0,0,0
30,"SMORET - Test Layer 00",0,1,0,1,16,"Art\Terrain\Grass\Terrain_Grass_CrispLongDirectional_GreenDark_000_Color.tex","Art\Terrain\Grass\Terrain_Grass_CrispLongDirectional_CoolGreenDark_000_Normal.tex",2152951305,0,8,16,21,37,56,0,0,12,0
31,"Test_ Grass",0,0,0,0,4,"Art\Terrain\_Wilderun\Terrain_Moss_Flattener_Wilderun_001_Color.tex","Art\Terrain\_Wilderun\Terrain_Moss_Flattener_Wilderun_001_Normal.tex",2152428082,0,8,318,0,0,0,0,0,0,0
33,"Ellevar_MountainStone_Small_ZY",1,0,0.1,-0.05,32,"Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",3444266331,2,11,0,0,0,0,0,0,0,0
34,"REPLACEME10",1,0,0.1,-0.05,4,"Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyMedium_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyMedium_000_Normal.tex",1245330754,0,0,0,0,0,0,0,0,0,0
35,"REPLACEME9",1,0,0.1,-0.05,4,"Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyMedium_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_SmoothSlateMacro_GreyMedium_000_Normal.tex",1245330754,1,0,0,0,0,0,0,0,0,0
42,"Algoroc_Rock_Small",3,0,-1,-0.5,8,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",2104177953,0,11,0,0,0,0,48,0,0,0
43,"Algoroc_Rock_Smooth",2,0,0,0,32,"Art\Terrain\Rock\Terrain_Rock_MicroTilingSandstoneSmooth_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroTilingSandstoneSmooth_Rust_000_Normal.tex",2154902561,0,11,28,182,0,0,0,0,0,0
44,"Algoroc_Rock_Large",1,0,-1,0,32,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",2104177953,0,11,0,0,0,0,48,0,0,0
45,"Algoroc_Dirt_Clumpy",1,0,0,0,8,"Art\Terrain\_Algoroc\Terrain_Algoroc_Dirt_DryGravelBits_Rust_000_Color.tex","Art\Terrain\_Algoroc\Terrain_Algoroc_Dirt_DryGravelBits_Rust_000_Normal.tex",2153987361,0,7,181,182,183,184,0,0,0,0
46,"Algoroc_SandStone_Stepped",3,0,-2,0.25,8,"Art\Terrain\Rock\Terrain_Rock_MicroSteppedShapedSandstone_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSteppedShapedSandstone_Rust_000_Normal.tex",1802780961,0,11,0,0,0,0,0,0,0,0
50,"Algoroc_Gravel",5,0,-1,0.5,8,"Art\Terrain\Gravel\Terrain_Gravel_SandstoneCut_Rust_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SandstoneCut_Rust_000_Normal.tex",2171156519,0,15,15,136,0,0,48,0,0,0
51,"Algoroc_Dirt_DryRippled",1,0,0,0,8,"Art\Terrain\_Algoroc\Terrain_Algoroc_Dirt_Dry_000_Diffuse.tex","Art\Terrain\_Algoroc\Terrain_Algoroc_Dirt_Dry_000_Normal.tex",2138325281,0,7,187,169,170,186,48,0,0,0
52,"OBSOLETE_Algoroc_Flowers_Blue",3,0,0,0,4,"Art\Terrain\Flower\Terrain_Flower_PettledVShape_Blue_000_Color.tex","Art\Terrain\Flower\Terrain_Flower_PettledVShape_Blue_000_Normal.tex",2134005050,0,8,15,0,0,0,0,0,0,0
53,"OBSOLETE_Algoroc_Test_flowers",1,0,0,0,4,"Art\Terrain\Flower\Terrain_Flower_PettledVShape_Blue_000_Color.tex","Art\Terrain\Flower\Terrain_Flower_PettledVShape_Blue_000_Normal.tex",2134005050,0,8,16,0,0,0,12,0,0,0
54,"Algoroc_DeadGrass",2.01,0,0,0,4,"Art\Terrain\_Algoroc\Terrain_Grass_Dead_Color.tex","Art\Terrain\_Algoroc\Terrain_Grass_Dead_Normal.tex",2172413457,0,8,139,140,141,0,12,0,0,0
55,"Test_SteveLayer",1,0,0,0,8,"Art\Terrain\Mud\Terrain_Mud_DriedBubbly_BrownDark_000_Color.tex","Art\Terrain\Mud\Terrain_Mud_DriedBubbly_BrownDark_000_Normal.tex",1347110194,0,0,27,0,0,0,0,0,0,0
56,"Designer_Grid_XZ",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
57,"Designer_Grid_XY",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Normal.tex",0,1,0,0,0,0,0,0,0,0,0
58,"Designer_Grid_ZY",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_TestGrid_Gold_000_Normal.tex",0,2,0,0,0,0,0,0,0,0,0
59,"Algoroc_Road",3,0,-1,-1,8,"Art\Terrain\Road\Terrain_Road_Algeroc_RustGrey_000_Color.tex","Art\Terrain\Road\Terrain_Road_Algeroc_RustGrey_000_Normal.tex",2154513714,0,13,18,0,0,0,0,0,0,0
60,"Dev_1",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_1_Color.tex","Art\Terrain\Dev\Terrain_Dev_1_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
61,"Dev_2",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_2_Color.tex","Art\Terrain\Dev\Terrain_Dev_2_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
62,"Dev_3",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_3_Color.tex","Art\Terrain\Dev\Terrain_Dev_3_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
63,"Dev_4",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_4_Color.tex","Art\Terrain\Dev\Terrain_Dev_4_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
64,"Dev_5",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_5_Color.tex","Art\Terrain\Dev\Terrain_Dev_5_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
65,"Dev_6",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_6_Color.tex","Art\Terrain\Dev\Terrain_Dev_6_Normal.tex",0,0,0,0,0,0,0,0,0,0,0
66,"Undecided_Ice_cracked",1,0,-16,16,8,"Art\Terrain\Ice\Terrain_Ice_CrackedSmooth_BlueDark_000_Color.tex","Art\Terrain\Ice\Terrain_Ice_CrackedSmooth_BlueDark_000_Normal.tex",2052811396,0,9,0,0,0,0,0,0,0,0
67,"OBSOLETE_SnowIce_mounds",2,0,-2,8,8,"Art\Terrain\Ice\Terrain_Ice_WithSnowMounds_BlueSteelLight_000_Color.tex","Art\Terrain\Ice\Terrain_Ice_WithSnowMounds_BlueSteelLight_000_Normal.tex",950384598,0,6,0,0,0,0,0,0,0,0
68,"OBSOLETE_Snow_Rough",1,0,-1,1,8,"Art\Terrain\Snow\Terrain_Snow_Rough_BlueLight_000_Color.tex","Art\Terrain\Snow\Terrain_Snow_Rough_BlueLight_000_Normal.tex",1925631999,0,6,0,0,0,0,0,0,0,0
69,"Whitevale_Ice_Aerated",3,0,-16,16,8,"Art\Terrain\Ice\Terrain_Ice_SmoothAerated_Blue_000_Color.tex","Art\Terrain\Ice\Terrain_Ice_SmoothAerated_Blue_000_Normal.tex",2155121317,0,9,0,0,0,0,0,0,0,0
70,"Undecided_Ice_Mottled",1,0,0,0,8,"Art\Terrain\Ice\Terrain_Ice_SmoothMottled_Blue_000_Color.tex","Art\Terrain\Snow\Terrain_Snow_LightSoftPowder_BlueLight_000_Normal.tex",2439214741,0,9,0,0,0,0,0,0,0,0
71,"Snogeroc_Road",1,0,-1,0,8,"Art\Terrain\Road\Terrain_Road_NothernWilds_BrownSteelBlue_000_Color.tex","Art\Terrain\Road\Terrain_Road_NothernWilds_BrownSteelBlue_000_Normal.tex",2152416587,0,11,0,0,0,0,0,0,0,0
72,"OBSOLETE_Snogeroc_Stone_Snowy",1,0,1,0,128,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Normal.tex",2170769763,1,11,0,0,0,0,0,0,0,0
73,"Snogeroc_Stone",1,0,0,0,8,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Red_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",3293783338,0,11,0,0,0,0,0,0,0,0
74,"Loren_XZ_test",1,0,-1,0,8,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Normal.tex",2170769763,0,0,27,0,0,0,0,0,0,0
75,"Loren_XY_Test",1,0,-1,0,8,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Normal.tex",0,1,0,0,0,0,0,0,0,0,0
76,"Loren_ZY_Test",1,0,-3,0,8,"Art\Terrain\Dev\Terrain_Dev_1_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSnowy_Red_000_Normal.tex",0,2,0,0,0,0,0,0,0,0,0
77,"Snogeroc_SmoothStone",1,0,0,0,8,"","",0,0,11,0,0,0,0,0,0,0,0
78,"Algoroc_Rock_Huge",1,0,0,0,64,"Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",3295359274,0,11,0,0,0,0,0,0,0,0
79,"OBSOLETE_Snogeroc_snowyshapething",1,0,0,0,128,"Art\Terrain\Snow\Terrain_Snow_LightSoftPowder_BlueLight_000_Color.tex","Art\Terrain\Snow\Terrain_Snow_DriftsCrispArcing_BlueLight_000_Normal.tex",1808191479,0,6,0,0,0,0,0,0,0,0
80,"Snogeroc_Rock_Huge",1,0,0,0,64,"Art\Terrain\Rock\Terrain_Rock_MicroSandstone_Pink_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroSandstoneSmooth_Rust_000_Normal.tex",3297011299,0,11,0,0,0,0,0,0,0,0
81,"Snogeroc_Rock_Flat",1,0,0,0,8,"Art\Terrain\Rock\Terrain_Rock_MicroTilingSandstoneSmooth_Pink_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_MicroTilingSandstoneSmooth_Rust_000_Normal.tex",2273600099,0,11,0,0,0,0,0,0,0,0
82,"Galeras_Grass",1,0,0,0,2,"Art\Terrain\_Galeras\Terrain_Galeras_Grass_WavyThin_GreenYellow_000_Color.tex","Art\Terrain\_Galeras\Terrain_Galeras_Grass_WavyThin_GreenYellow_000_Normal.tex",2136697353,0,8,19,147,148,149,0,0,0,0
83,"Galeras_mud",1,0,0,0,8,"Art\Terrain\_Galeras\Terrain_Galeras_DryDirt_000_Color.tex","Art\Terrain\_Galeras\Terrain_Galeras_DryDirt_000_Normal.tex",2169718826,0,17,166,164,165,0,0,0,0,0
84,"Galeras_Rock_Olive_small",3,0,0,0,16,"Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Normal.tex",2907917618,0,11,0,0,0,0,0,0,0,0
85,"Galeras_Rock_Grey_Smooth",1,0,0,0,8,"Art\Terrain\Rock\Terrain_Rock_SmoothAngular_GreyDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_SmoothAngular_GreyDark_000_Normal.tex",3577362738,0,11,0,0,0,0,0,0,0,0
86,"Galeras_Rock_Straited_XY",1,0,-7,0,128,"Art\Terrain\Rock\Terrain_Rock_StriatedCracked_GreyDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_StriatedCracked_GreyDark_000_Normal.tex",3694278962,1,11,0,0,0,0,0,0,0,0
87,"Galeras_Sand",0.5,0.5,0,0,8,"Art\Terrain\Sand\Terrain_Sand_WavyWRockbits_TanGrey_000_Color.tex","Art\Terrain\Sand\Terrain_Sand_WavyWRockbits_TanGrey_000_Normal.tex",2140112497,0,10,189,157,158,159,0,0,0,0
88,"Galeras_Rock_Cracked",1,0,0,0,8,"Art\Terrain\Rock\Terrain_Rock_AngularCracked_GreyDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_AngularCracked_GreyDark_000_Normal.tex",3376035114,0,11,0,0,0,0,0,0,0,0
89,"Galeras_Rock_Shattered",3,0,-1,0,16,"Art\Terrain\Rock\Terrain_Rock_ShatteredSmooth_Olive_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_ShatteredSmooth_Olive_000_Normal.tex",2134521138,0,11,28,190,0,0,0,0,0,0
90,"Dev_NormalTester",1,0,-10,0,8,"Art\Terrain\Dev\Terrain_Dev_Default_MidGrey_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_NormalTester_Normal.tex",2625929860,0,0,0,0,0,0,0,0,0,0
91,"Dev_NormalTester_XY",1,0,-10,0,8,"Art\Terrain\Dev\Terrain_Dev_Default_MidGrey_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_NormalTester_Normal.tex",2625929860,1,0,0,0,0,0,0,0,0,0
92,"Dev_NormalTester_ZY",1,0,-10,0,8,"Art\Terrain\Dev\Terrain_Dev_Default_MidGrey_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_NormalTester_Normal.tex",2625929860,2,0,0,0,0,0,0,0,0,0
93,"Galeras_RockSmooth_Green",1,0,0,0,128,"Art\Terrain\Rock\Galeras_Rock_WavySmooth_Green_000_Color.tex","Art\Terrain\Rock\Galeras_Rock_WavySmooth_Green_000_Normal.tex",2134522162,0,11,0,0,0,0,0,0,0,0
94,"Galeras_Rock_Olive_Wavy_64_XY",3,0,-0.5,0,64,"Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Normal.tex",2251963698,1,11,0,0,0,0,0,0,0,0
95,"Galeras_Rock_Straited_ZY",1,0,0,0,16,"Art\Terrain\Rock\Terrain_Rock_StriatedCracked_GreyDark_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_StriatedCracked_GreyDark_000_Normal.tex",3694278962,2,11,0,0,0,0,0,0,0,0
96,"Ellevar_RoundStones",3,0,-2,1,8,"Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundStonesMossy_GreyGreen_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundStonesMossy_GreyGreen_000_Normal.tex",2151696701,0,11,20,20,20,20,0,0,0,0
97,"REPLACEME11",1,0,-2,0,16,"Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundStonesMossy_GreyGreen_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SmoothRoundStonesMossy_GreyGreen_000_Normal.tex",1128417594,0,11,0,0,0,0,0,0,0,0
98,"Ellevar_MountainStone_XY",3,0,0,0,128,"Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",3444266331,1,11,0,0,0,0,0,0,0,0
99,"Ellevar_MountainStone_Small_XZ",1,0,0,0,16,"Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_color.tex","Art\Terrain\Rock\Terrain_Rock_JaggedAngularBumped_GreyLight_000_Normal.tex",2135643483,0,11,0,0,0,0,0,0,0,0
100,"Auroria_Dirt_Clumpy",1,1,-0.5,0,8,"Art\Terrain\_Auroria\Terrain_Dirt_DryFertile_Auroria_000_redo_Color.tex","Art\Terrain\_Auroria\Terrain_Dirt_DryFertile_Auroria_000_Normal.tex",2153661735,0,7,309,280,281,282,0,0,0,0
101,"Auroria_Hay",1,1,0,0,4,"Art\Terrain\Grass\Terrain_Grass_HayLongDirectional_Gold_000_Color.tex","Art\Terrain\Grass\Terrain_Grass_HayLongDirectional_Gold_000_Normal.tex",2156158506,0,8,21,109,286,279,0,0,0,0
102,"Galeras_Rock_Olive_Wavy_128_ZY",4,0,-0.5,0,128,"Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Normal.tex",2907917618,2,11,0,0,0,0,0,0,0,0
103,"Galeras_Rock_Olive_Wavy_128_XY",4,0,-0.5,0,128,"Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Color.tex","Art\Terrain\Rock\Terrain_Rock_WavyCracked_Olive_000_Normal.tex",2907917618,1,11,0,0,0,0,0,0,0,0
104,"Auroria_GreenGrass",2,0,0,0,4,"Art\Terrain\Grass\Terrain_Grass_LongDirectional_YellowGreen_000_Color.tex","Art\Terrain\Grass\Terrain_Grass_LongDirectional_YellowGreen_000_Normal.tex",2154524193,0,8,22,106,107,188,0,0,0,0
105,"Auroria_Crop",3,0,0,0,4,"Art\Terrain\Plant\Terrain_Plant_CropLeafy_Green_000_Color.tex","Art\Terrain\Plant\Terrain_Plant_CropLeafy_Green_000_Normal.tex",1028346145,0,8,23,110,111,112,0,0,0,0
106,"Auroria_Gravel_Obsidian_with_Dirt",3,0,0,0,16,"Art\Terrain\Gravel\Terrain_Gravel_ObsidianCutDirt_GreyDarkBrown_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_ObsidianCutDirt_GreyDarkBrown_000_Normal.tex",1481326914,0,15,35,0,0,0,0,0,0,0
107,"Galeras_Gravel_Sand",4,0,0,0,16,"Art\Terrain\Gravel\Terrain_Gravel_SlateCutSand_GreyDarkTan_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_SlateCutSand_GreyDarkTan_000_Normal.tex",2151826746,0,15,178,179,185,190,0,0,0,0
108,"Auroria_ParchedEarth",3,0,-0.5,0,8,"Art\Terrain\Dirt\Terrain_Dirt_CrackedParched_Tan_000_Color.tex","Art\Terrain\_NorthernWilds\Terrain_Dirt_DryGravelBits_Nwilds_000_Normal.tex",2169716001,0,7,28,283,284,285,0,0,0,0
109,"Galeras_Thorny_Roots",3,0,0,0,16,"Art\Terrain\Roots\Terrain_Roots_ThornyTwisty_TanGreen_000_Color.tex","Art\Terrain\Roots\Terrain_Roots_ThornyTwisty_TanGreen_000_Normal.tex",2151821593,0,7,197,197,0,0,0,0,0,0
110,"Dev_Grey_Midtone",1,0,0,0,8,"Art\Terrain\Dev\Terrain_Dev_Default_MidGrey_000_Color.tex","Art\Terrain\Dev\Terrain_Dev_1_Normal.tex",1837400708,0,0,0,0,0,0,0,0,0,0
111,"Galeras_Mud_Nasty",3,0,0,0,8,"Art\Terrain\_Galeras\Terrain_Galeras_WetMud_000_Color.tex","Art\Terrain\_Galeras\terrain_galeras_wetmud_000_dxtnormal.tex",2150969375,0,17,167,161,162,163,0,0,0,0
112,"Galeras_Gravel_Dirt",4,0,0,0,16,"Art\Terrain\Gravel\Terrain_Gravel_WavyCutSand_GreenBrown_000_Color.tex","Art\Terrain\Gravel\Terrain_Gravel_WavyCutSand_GreenBrown_000_Normal.tex",2135048498,0,15,178,179,185,0,0,0,0,0
