"ID","displayType","displayValue","modelCameraId","localizedTextIdName"
207,1,72590,5,730562
208,1,72593,5,730563
209,1,72589,5,730564
210,1,72588,5,730565
211,1,72591,5,730566
212,1,72592,5,730567
213,1,72590,5,730568
214,1,72593,5,730569
215,1,72589,5,730570
216,3,0,55,730634
217,1,72548,5,730639
218,1,72549,5,730640
219,1,72550,5,730641
220,1,72105,5,730642
221,4,44433,5,731056
222,1,72637,5,731057
223,1,72638,5,731058
224,1,72778,5,731059
225,3,72155,5,731060
226,1,72237,5,731351
229,4,58633,5,733315
230,1,72412,5,734177
231,1,72413,5,734178
232,4,57578,5,735302
233,4,57580,5,735303
234,4,57579,5,735304
238,3,0,5,735353
240,3,0,5,735355
241,3,0,5,735356
242,3,0,5,735357
243,3,0,5,735358
244,1,72537,5,736087
245,1,72579,5,736368
246,1,72587,5,736392
247,1,72395,5,736403
248,1,72429,5,736410
249,1,72594,5,736425
250,1,72605,5,736595
251,1,72606,5,736596
252,4,58926,5,736628
253,4,58928,5,736642
256,4,58415,5,738040
257,1,72639,5,738222
258,1,72163,5,738289
259,2,1886,5,738365
260,2,1887,5,738366
261,2,1890,5,738367
262,2,1892,5,738368
263,2,1893,5,738369
264,2,1888,5,738370
265,2,1154,5,738371
266,1,72659,5,738423
267,2,2466,5,738526
268,2,2467,5,738527
269,2,2468,5,738528
270,2,2469,5,738536
271,2,2470,5,738542
272,1,72567,0,738544
273,2,1597,5,738637
274,2,1508,5,738638
275,2,1646,5,738639
276,2,1692,5,738640
277,2,1693,5,738641
278,2,1891,5,738642
279,2,1861,5,738651
280,2,1862,5,738652
281,2,1863,5,738653
282,2,2339,5,738654
283,2,2342,5,738655
284,2,1864,5,738656
285,2,1865,5,738666
286,2,1882,5,738667
287,2,1883,5,738668
288,2,2340,5,738669
289,2,2343,5,738670
290,2,2344,5,738672
291,2,1856,5,738684
292,2,1858,5,738685
293,2,1859,5,738686
294,2,1866,5,738687
295,2,1867,5,738688
296,2,1872,5,738689
297,2,2345,5,738690
298,2,2346,5,738691
299,2,1874,5,738770
300,2,1876,5,738771
301,2,1877,5,738772
302,2,1878,5,738773
303,2,1879,5,738774
304,2,1880,5,738775
305,2,2347,5,738776
306,2,2348,5,738777
307,2,1881,5,738786
308,2,1875,5,738787
309,2,2341,5,738788
310,2,1857,5,738789
311,2,1870,5,738790
312,2,1869,5,738791
313,2,2349,5,738792
314,2,1873,5,738905
315,2,1884,5,738906
316,2,1885,5,738907
317,2,1889,5,738909
318,2,1860,5,738910
319,2,1868,5,738914
320,2,2350,5,738918
321,2,1871,5,738926
322,1,72725,5,738976
323,1,72726,5,738977
324,1,72727,5,738978
325,1,72728,5,738979
326,1,72731,5,739000
327,1,72732,5,739002
328,4,58960,5,739003
329,3,0,5,739143
330,3,0,5,739147
331,1,72736,5,739188
332,1,72737,5,739190
333,4,57565,5,739191
334,1,72791,5,739675
335,2,2176,5,741667
336,2,2177,5,741668
337,2,2178,5,741669
338,2,2180,5,741670
339,2,2252,5,741702
340,2,2253,5,741703
341,2,2254,5,741704
342,2,2255,5,741705
343,2,2256,5,741706
344,2,2534,5,741721
345,2,2197,5,741816
346,2,2198,5,741817
347,2,2199,5,741818
348,2,2200,5,741819
349,2,2201,5,741821
350,2,2202,5,741822
351,1,73018,5,741965
352,1,73019,5,741977
353,2,2446,5,742213
354,2,2447,5,742214
355,2,2448,5,742215
356,2,2449,5,742216
357,4,59220,5,742568
358,2,1338,5,742854
359,1,73100,5,742856
360,1,73106,5,742891
361,1,73102,5,742892
362,1,73108,5,742898
363,1,73149,5,743501
364,1,72386,5,743593
365,1,72387,5,743747
366,1,72161,5,743832
367,1,72160,5,743840
368,1,73217,5,743898
369,1,73218,5,743899
370,1,73219,5,743900
371,1,73220,5,743901
372,1,73226,5,743952
373,1,73243,5,744062
374,4,59342,5,744503
376,4,59400,5,744835
377,1,72778,5,745182
378,1,73393,5,746086
379,1,73394,5,746087
380,1,73400,5,746318
381,1,73417,5,746469
382,1,73444,5,747985
383,1,73445,5,747996
384,4,60567,5,748437
385,4,60633,5,749733
386,4,60771,5,749877
387,2,3134,5,750098
388,2,3135,5,750099
389,2,3136,5,750100
390,2,3137,5,750101
392,2,3047,5,750282
423,1,73718,5,750411
424,1,73731,5,750544
425,1,73732,5,750545
426,1,73733,5,750546
427,4,60865,5,750563
428,4,60873,5,750624
429,3,0,5,750641
1428,3,0,5,751701
1429,4,61946,5,753150
1430,4,61954,5,753179
1431,4,62020,5,753542
1432,2,2634,5,753668
1433,2,2635,5,753669
1434,2,2636,5,753670
1435,2,2637,5,753671
1436,2,2638,5,753672
1437,2,2639,5,753674
1438,1,73130,5,753678
1439,1,73129,5,753679
1440,1,73131,5,753680
1441,2,2640,5,753682
1442,4,62046,5,753747
1443,1,74895,5,753816
1444,1,74907,5,753920
1445,1,74911,5,753963
1446,1,74912,5,753964
1447,1,74913,5,753965
1448,1,74914,5,753966
1449,1,74915,5,753967
1450,1,74916,5,753968
1451,1,74928,5,754041
1452,4,60736,5,754075
1453,1,75031,5,754798
1454,1,75032,5,754800
1455,1,73719,5,755031
1456,1,73719,5,755119
1457,4,62118,5,755179
1458,4,62123,5,755204
1459,1,73284,5,755213
1460,2,3156,5,755234
1461,2,3157,5,755248
1462,2,3158,5,755255
1463,2,3159,5,755259
1464,2,3160,5,755262
1465,2,3161,5,755276
1466,2,3162,5,755329
1467,2,3163,5,755338
1468,4,60644,5,755416
1469,1,75111,5,755471
1470,1,75110,5,755472
1471,1,75112,5,755473
1472,1,75113,5,755474
1473,1,75114,5,755475
1474,4,62140,5,755491
1475,3,0,5,756680
1476,3,0,5,756681
1477,3,0,5,756682
1478,3,0,5,756683
1479,3,0,5,756686
1480,4,62176,5,756711
1481,1,73370,5,756726
1482,1,75140,5,756791
1483,4,62204,5,756806
1484,4,62211,5,756901
1485,2,1154,5,756907
1486,2,2383,5,756929
1487,1,75137,5,756947
1488,1,75144,5,756952
1489,1,75170,5,757112
1490,1,75171,5,757113
1491,1,75172,5,757114
1492,1,75173,5,757115
1493,1,75174,5,757116
1494,1,75175,5,757117
1495,4,60711,5,757190
1496,1,75185,5,757226
1497,1,75187,5,757229
1498,4,62257,5,757381
1499,1,72592,5,757510
1500,1,72593,5,757511
1501,1,72591,5,757512
1502,1,72590,5,757513
1503,1,72589,5,757514
1504,1,72588,5,757515
1505,1,75194,5,757569
1506,1,75196,5,757570
1507,1,75197,5,757680
1508,4,54977,5,758003
1509,4,62332,5,758415
1510,1,69551,5,758465
1511,1,69478,5,758467
1512,1,69416,5,758472
1513,1,69488,5,758475
1514,4,48181,5,758481
1515,1,75211,5,758612
1516,1,75215,5,758839
1517,4,58132,5,758840
1518,4,56035,5,758841
1519,1,71389,5,758842
1520,2,284,5,758859
1521,2,873,5,758860
1522,2,1745,5,758861
1523,2,3196,5,758865
1524,2,3197,5,758868
1525,2,1283,5,758869
1526,2,3198,5,758872
1527,2,727,5,758873
1528,2,727,5,758874
1529,2,1616,5,758881
1530,2,1563,5,758883
1531,2,166,5,758884
1532,2,157,5,758885
1533,1,69413,5,758894
1534,1,69521,5,758895
1535,3,0,5,758910
1536,4,62377,5,758955
1537,3,0,5,758962
1538,1,75220,5,758978
1539,2,3199,5,758996
1540,2,3200,5,758997
1541,2,3201,5,758998
1542,1,75225,5,759008
1543,1,75226,5,759010
1544,1,72110,5,759016
1546,5,75324,5,759108
1547,5,75323,5,759109
1548,5,75322,5,759110
1549,5,75321,5,759111
1550,5,75319,5,759112
1551,5,75320,5,759119
1552,1,75237,5,759126
1553,2,3202,5,759204
1554,2,3203,5,759205
1555,2,3204,5,759206
1556,2,3205,5,759207
1557,2,3206,5,759208
1558,2,3207,5,759209
1559,2,3208,5,759210
1560,2,3209,5,759211
1561,2,3210,5,759212
1562,2,3211,5,759213
1563,2,3212,5,759214
1564,2,3213,5,759215
1565,2,3214,5,759216
1566,2,3215,5,759217
1567,2,3216,5,759218
1568,2,3217,5,759219
1569,2,3218,5,759220
1570,1,72589,5,759340
1571,1,72593,5,759341
1572,1,72590,5,759342
1573,1,72592,5,759343
1574,1,72591,5,759344
1575,1,72588,5,759345
1576,1,75243,5,759464
1577,1,75283,5,759775
1578,1,75284,5,759776
1579,1,75285,5,759778
1580,4,62446,5,759874
1581,3,0,5,759884
1582,3,0,5,759898
1583,4,62471,5,760046
1584,3,0,5,760192
1585,3,0,5,760201
1586,1,69492,5,760205
1587,1,75297,5,760224
1588,4,57692,5,760225
1589,3,0,5,760242
1590,2,3264,5,760291
1591,2,3265,5,760292
1592,2,3266,5,760293
1593,2,3267,5,760294
1594,2,3268,5,760295
1595,2,3269,5,760296
1596,2,3270,5,760297
1597,2,3271,5,760298
1598,2,3272,5,760299
1599,2,3273,5,760300
1600,2,3274,5,760301
1601,2,3275,5,760302
1602,2,3276,5,760303
1603,2,3277,5,760304
1604,2,3278,5,760305
1605,2,3279,5,760306
1606,1,75312,5,760451
1607,2,3280,5,760476
1608,2,3281,5,760477
1609,2,3282,5,760478
1610,2,3283,5,760479
1611,2,3284,5,760480
1612,2,3285,5,760481
1613,2,3286,5,760482
1614,2,3287,5,760483
1615,2,3288,5,760484
1616,4,62495,5,760505
1617,2,3289,5,760525
1618,2,3290,5,760526
1619,2,3291,5,760527
1620,2,3292,5,760528
1621,2,3293,5,760529
1622,2,3294,5,760530
1623,2,3295,5,760531
1624,2,3296,5,760532
1625,1,75316,5,760679
1626,1,75317,5,760680
1627,1,75318,5,760681
1628,1,75327,5,760705
1629,1,75106,5,760722
1630,1,75339,5,760832
1631,4,62547,5,760870
1632,2,3300,5,761040
1633,2,3301,5,761041
1634,2,3302,5,761042
1635,2,3303,5,761043
1636,2,3304,5,761044
1637,2,3305,5,761045
1638,2,3306,5,761046
1639,2,3318,5,761168
1640,2,3319,5,761169
1641,2,3320,5,761170
1642,2,3321,5,761171
1643,2,3322,5,761172
1644,2,3323,5,761173
1645,2,3324,5,761174
1646,2,3325,5,761175
1647,2,3326,5,761176
1648,2,3327,5,761177
1649,2,3328,5,761178
1650,2,3329,5,761179
1651,2,3346,5,761315
1652,2,3347,5,761316
1653,2,3348,5,761317
1654,2,3349,5,761318
1655,2,3350,5,761319
1656,3,0,5,761415
1657,1,19236,5,761457
1658,1,72447,5,762138
1659,2,3390,5,762224
1660,2,3391,5,762225
1661,2,3392,5,762256
1662,2,3393,5,762257
1663,2,3395,5,762258
1664,2,3397,5,762259
1665,2,3398,5,762260
1666,2,3399,5,762261
1667,2,3400,5,762262
1668,2,3401,5,762263
1669,2,3402,5,762264
1670,2,3408,5,762412
1671,2,3409,5,762413
1672,2,3410,5,762414
1673,2,3411,5,762415
1674,2,3412,5,762416
1675,2,3413,5,762417
1676,2,3414,5,762418
1677,1,75454,5,762579
1678,1,75455,5,762580
1679,1,75456,5,762581
1680,1,75457,5,762582
1681,2,3146,5,762613
1682,2,3147,5,762614
1683,2,3148,5,762616
1684,2,3149,5,762617
1685,2,3150,5,762618
1686,2,3152,5,762619
1687,2,3151,5,762620
1688,2,3417,5,762621
1689,2,3418,5,762622
1690,2,3419,5,762623
1691,2,3420,5,762624
1692,2,3421,5,762625
1693,1,75528,5,763240
1694,3,75316,5,763244
1695,3,75316,5,763247
1696,3,75316,5,763299
1697,1,75529,5,763304
1698,3,75316,5,763312
1699,4,62695,5,763345
1700,2,3451,5,763466
1701,2,3452,5,763467
1702,2,3453,5,763468
1703,2,3454,5,763469
1704,2,3455,5,763470
1705,2,3456,5,763471
1706,2,3457,5,763472
1707,2,3458,5,763473
1708,2,3459,5,763474
1709,2,3460,5,763475
1710,2,3461,5,763476
1711,2,3462,5,763477
1712,2,3463,5,763478
1713,2,3464,5,763479
1714,2,3465,5,763480
1715,2,3466,5,763481
1716,2,3467,5,763482
1717,2,3468,5,763483
1718,2,3469,5,763484
1719,2,3470,5,763485
1720,1,75534,5,763486
1721,1,75535,5,763487
1722,1,75536,5,763488
1723,1,75537,5,763489
1724,1,75538,5,763490
1725,1,75539,5,763491
1726,1,75540,5,763492
1727,1,75541,5,763493
1728,1,75542,5,763494
1729,1,75543,5,763495
1730,1,75544,5,763496
1731,1,75545,5,763497
1732,1,75546,5,763498
1733,1,75547,5,763499
1734,1,75548,5,763500
1735,1,75549,5,763501
1736,3,75316,5,763510
1737,3,75316,5,763512
1738,1,75550,5,763534
1739,1,75551,5,763535
1740,1,75552,5,763536
1741,1,75553,5,763537
1742,1,75555,5,763587
1743,3,75316,5,763592
1744,3,75316,5,763631
1745,2,3488,5,763688
1746,2,3487,5,763689
1747,2,3489,5,763690
1748,2,3490,5,763691
1749,2,3491,5,763692
1750,2,3492,5,763693
1751,2,3493,5,763694
1752,4,62717,5,763732
1753,4,62718,5,763733
1754,4,62720,5,763734
1755,4,62721,5,763735
1756,4,62722,5,763736
1757,1,75600,5,763767
1758,1,75601,5,763768
1759,3,75316,5,763777
1760,3,75316,5,763778
1761,4,62730,5,763787
1764,2,3497,5,763847
1765,2,3498,5,763848
1766,2,3499,5,763849
1767,2,3500,5,763850
1768,2,3501,5,763851
1769,3,75316,5,763883
1775,4,62737,5,763928
1776,1,75582,5,764195
1777,4,62768,5,764269
1778,2,3502,5,764284
1779,2,3503,5,764285
1780,2,3504,5,764286
1781,2,3505,5,764287
1782,2,3506,5,764288
1783,2,3507,5,764289
1784,2,3515,5,764558
1785,2,1648,5,764559
1786,2,1649,5,764560
1787,2,1650,5,764561
1788,2,1651,5,764562
1789,2,1652,5,764563
1790,1,75602,5,764605
1791,2,3516,5,764692
1792,2,3517,5,764694
1793,2,3518,5,764695
1794,2,3519,5,764696
1795,2,3520,5,764697
1796,2,3521,5,764698
1797,2,3522,5,764699
1798,2,3523,5,764700
1799,1,75619,5,764749
1800,1,75620,5,764750
1801,4,62888,5,765429
1802,4,62899,5,766265
1803,4,62936,5,766431
1804,4,62946,5,766449
1805,3,75316,5,766457
1806,3,75316,5,766470
1807,3,75316,5,766478
1808,4,62973,5,766731
1809,3,75316,5,766746
1810,1,75676,5,766755
1811,1,75682,5,766787
1812,4,62982,5,766800
1813,1,75685,5,766835
1814,1,75686,5,766854
1815,3,75316,5,766895
1816,3,75316,5,766917
1817,3,75316,5,766930
1818,4,63001,5,766975
1819,1,75699,5,767371
1820,4,57584,5,767399
1821,4,57583,5,767400
1822,1,75720,5,767692
1823,1,75723,5,767709
1824,4,63187,5,767742
1825,4,63188,5,767743
1826,4,63189,5,767744
1827,2,3588,5,768663
1828,2,3587,5,768664
1829,2,3589,5,768665
1830,2,3590,5,768666
1831,2,3591,5,768667
1832,2,3592,5,768668
1833,2,3593,5,768669
1834,1,75791,5,768679
1835,1,75792,5,768746
1836,1,75793,5,768747
1837,1,75794,5,768748
1838,1,75795,5,768749
1839,1,75796,5,768750
1840,1,75797,5,768751
1841,1,75798,5,768752
1842,1,75799,5,768753
1843,1,75800,5,768754
1844,1,75801,5,768755
1845,1,75802,5,768826
1846,1,75803,5,768827
1847,1,75804,5,768828
1848,1,75805,5,768829
1849,1,75806,5,768830
1850,1,75807,5,768831
1851,1,75808,5,768832
1852,1,75809,5,768833
1853,1,75810,5,768834
1854,1,75811,5,768835
1855,1,75812,5,768836
1856,1,75813,5,768837
1857,1,75814,5,768838
1858,1,75815,5,768839
1859,1,75816,5,768840
1860,1,75817,5,768841
1861,1,75818,5,768842
1862,1,75819,5,768843
1863,1,75820,5,768844
1864,1,75821,5,768845
1865,1,75822,5,768894
1866,1,75823,5,768895
1867,1,75824,5,768896
1868,1,75825,5,768897
1869,1,75826,5,768898
1870,1,75827,5,768899
1871,1,75828,5,768900
1872,1,75829,5,768901
1873,1,75830,5,768902
1874,1,75831,5,768903
1875,1,75832,5,768904
1876,1,75833,5,768905
1877,1,75834,5,768906
1878,1,75835,5,768907
1879,4,63263,5,769328
1880,4,63265,5,769329
1881,4,63267,5,769330
1882,4,63269,5,769331
1883,4,63271,5,769332
1884,4,63273,5,769333
1885,4,63275,5,769334
1886,4,63277,5,769335
1887,4,63279,5,769336
1888,4,63281,5,769337
1889,4,63283,5,769338
1890,4,63285,5,769339
1891,4,63287,5,769340
1892,4,63289,5,769341
1893,4,63291,5,769342
1894,4,63293,5,769343
1895,4,63295,5,769344
1896,4,63297,5,769345
1897,4,63299,5,769346
1898,3,75316,5,769580
1899,3,75316,5,769938
1900,1,75758,5,769945
1901,1,75861,5,770014
1902,1,72162,5,770016
1903,1,75862,5,770034
1904,4,63431,5,770085
1905,1,75870,5,770108
1906,1,75871,5,770109
1907,2,3636,5,770144
1908,2,3637,5,770145
1909,2,3638,5,770146
1910,2,3639,5,770147
1911,2,3640,5,770148
1912,2,3641,5,770149
1913,2,3642,5,770150
1914,2,3643,5,770151
1915,2,3644,5,770152
1916,2,3645,5,770153
1917,2,3646,5,770154
1918,4,60842,5,770155
1919,4,63436,5,770156
1920,2,3647,5,770199
1921,2,3648,5,770200
1922,2,3649,5,770201
1923,2,3650,5,770202
1924,2,3651,5,770203
1925,2,3652,5,770204
1926,4,62143,5,770208
1927,1,75903,5,770407
1928,1,75904,5,770408
1929,3,75316,5,770467
1930,3,75316,5,770476
1931,4,63446,5,770485
1932,4,63448,5,770496
1933,4,63450,5,770506
1934,1,75908,5,770516
1935,1,75909,5,770526
1936,1,75910,5,770536
1937,1,75913,5,770564
1938,2,1838,5,770568
1939,2,1839,5,770569
1940,2,1840,5,770570
1941,3,75316,5,770595
1942,3,75316,5,770599
1943,3,75316,5,770604
1944,3,75316,5,770605
1945,3,75316,5,770608
1946,3,75316,5,770993
1947,4,63458,5,771238
1949,1,75942,5,771414
1950,1,75943,5,771415
1951,1,75944,5,771416
1952,1,75945,5,771417
1953,1,75946,5,771430
1954,4,62318,5,771431
1955,2,2603,5,771469
1956,2,2619,5,771470
1957,2,1672,5,771471
1958,2,2579,5,771472
1959,2,2580,5,771473
1960,2,2643,5,771474
1961,2,2651,5,771475
1962,2,2604,5,771476
1963,2,2605,5,771477
1964,2,905,5,771478
1965,2,2603,5,771479
1966,1,73086,5,771480
1967,2,2628,5,771481
1968,2,2619,5,771482
1969,2,2629,5,771483
1970,1,73099,5,771484
1971,2,2595,5,771485
1972,2,2596,5,771486
1973,2,2597,5,771487
1974,2,1672,5,771488
1975,1,73073,5,771489
1976,2,2599,5,771490
1977,2,1668,5,771491
1978,2,2575,5,771492
1979,2,2576,5,771493
1980,2,2579,5,771494
1981,2,797,5,771495
1982,2,2584,5,771496
1983,2,2581,5,771497
1984,2,2580,5,771498
1985,2,2583,5,771499
1986,2,2642,5,771500
1987,2,2641,5,771501
1988,2,2643,5,771502
1989,2,3336,5,771503
1990,2,2980,5,771504
1991,2,3334,5,771505
1992,1,75344,5,771506
1993,2,2653,5,771507
1994,2,2654,5,771508
1995,2,2652,5,771509
1996,2,2651,5,771510
1997,2,2655,5,771511
1998,2,3345,5,771512
1999,2,3338,5,771513
2000,1,73150,5,771514
2001,2,2616,5,771515
2002,2,799,5,771516
2003,4,62681,5,771649
2004,4,62875,5,771650
2009,3,75316,5,771655
2010,3,75316,5,771656
2011,2,3432,5,771657
2012,2,3433,5,771658
2013,2,3434,5,771659
2014,2,3435,5,771660
2015,2,3437,5,771661
2016,2,3438,5,771662
2017,2,3439,5,771663
2018,2,3440,5,771664
2019,2,3441,5,771665
2020,2,3442,5,771666
2021,2,3443,5,771667
2022,2,3444,5,771668
2023,2,3445,5,771669
2024,2,3446,5,771670
2025,2,3447,5,771671
2026,2,3448,5,771672
2027,2,3449,5,771673
2028,2,3450,5,771674
2029,2,3546,5,771675
2030,2,3547,5,771676
2031,2,3544,5,771677
2032,2,3545,5,771678
2033,2,3532,5,771679
2034,2,3533,5,771680
2035,2,3534,5,771681
2036,2,3535,5,771682
2037,2,3542,5,771683
2038,2,3543,5,771684
2039,2,3524,5,771685
2040,2,3525,5,771686
2041,2,3526,5,771687
2042,2,3527,5,771688
2043,2,3528,5,771689
2044,2,3529,5,771690
2045,2,3530,5,771691
2046,2,3531,5,771692
2047,2,3536,5,771693
2048,2,3537,5,771694
2049,2,3538,5,771695
2050,2,3539,5,771696
2051,2,3540,5,771697
2052,2,3541,5,771698
2053,2,3436,5,771699
2054,1,75967,5,771772
2055,1,75968,5,771773
2056,1,75969,5,771774
2057,1,75970,5,771775
2058,1,75971,5,771776
2059,1,75972,5,771777
2060,1,75674,5,771858
2061,1,75672,5,771859
2062,1,75673,5,771860
2063,1,75671,5,771861
2064,1,75670,5,771862
2065,1,75669,5,771863
2066,1,75985,5,771869
2067,1,75986,5,771870
2068,4,62884,5,771872
2069,4,62883,5,771873
2070,4,62882,5,771874
2071,4,62316,5,771875
2072,4,62685,5,771876
2073,4,62686,5,771877
2074,4,62687,5,771878
