"ID","vehicleTypeEnum","numberPilots","pilotPosture00","pilotPosture01","numberPassengers","passengerPosture00","passengerPosture01","passengerPosture02","passengerPosture03","passengerPosture04","passengerPosture05","numberGunners","gunnerPosture00","gunnerPosture01","gunnerPosture02","gunnerPosture03","gunnerPosture04","gunnerPosture05","vendorItemPrice","localizedTextIdName","localizedTextIdTooltip","buttonIcon","flags","soundEventIdTakeoff","soundEventIdLanding","waterSurfaceEffectIdMoving","waterSurfaceEffectIdStanding","waterSurfaceEffectIdJumpIn","waterSurfaceEffectIdJumpOut"
32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,62176,62177,"Icon_ItemMisc_UI_Item_Gears",0,0,0,0,0,0,0
48,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",128,0,0,0,0,0,0
54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,62868,62869,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,0,0,0,0,0,0
62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,66356,66357,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,66358,66359,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,66360,66361,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,66362,66363,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,66370,66371,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,387,66372,66373,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,387,66374,66375,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,66599,66600,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,66601,66602,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
81,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67321,67322,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67323,67324,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67325,67326,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67327,67328,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67329,67330,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67333,67334,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67335,67336,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67337,67338,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67339,67340,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502,67341,67342,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,67343,67344,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,67345,67346,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,67347,67348,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
94,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67349,67350,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,67396,67397,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,67398,67399,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67400,67401,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67402,67403,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,67404,67405,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,67406,67407,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,67408,67409,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,189,67410,67411,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,67414,67415,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221,67417,67418,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69079,69080,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69081,69082,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71075,71076,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
114,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71077,71078,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71079,71080,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
116,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71081,71082,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71083,71084,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71085,71086,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71087,71088,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
120,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71089,71090,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71091,71092,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71093,71094,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71095,71096,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71097,71098,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71099,71100,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71101,71102,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71103,71104,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71105,71106,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71107,71108,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71109,71110,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71111,71112,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71113,71114,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71115,71116,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71117,71118,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71119,71120,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71121,71122,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71123,71124,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
143,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
152,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82269,82270,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",2,0,0,0,0,0,0
155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,0,0,0,0,0
156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8196,0,0,0,0,0,0
159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8196,0,0,0,0,0,0
160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8196,0,0,0,0,0,0
161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
162,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
167,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",263232,0,0,0,0,0,0
168,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,0,0,0,0,0
169,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
170,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
171,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,107142,107143,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125,107144,107145,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
173,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109164,109165,"",0,0,0,0,0,0,0
174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
175,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
176,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
177,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113056,113057,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113058,113059,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113060,113061,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
180,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113064,113065,"Icon_ItemMisc_tool_0003",0,0,0,0,0,0,0
181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
182,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
192,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118270,118271,"",10248,0,0,0,0,0,0
193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Icon_ItemWeaponSword_sword2H_0001",8192,0,0,0,0,0,0
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8,0,0,0,0,0,0
199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8,0,0,0,0,0,0
200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8,0,0,0,0,0,0
201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8,0,0,0,0,0,0
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121487,"Icon_SkillMisc_UI_ss_recharge",8200,0,0,0,0,0,0
203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122586,"Icon_SkillEnergy_ui_srcr_shckntrp",8,0,0,0,0,0,0
205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122673,0,"Icon_SkillPhysical_UI_wr_wrlwnd",4,0,0,0,0,0,0
206,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Icon_SkillPhysical_UI_wr_wrlwnd",2056,0,0,0,0,0,0
211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,132186,132187,"Icon_ItemMisc_tool_003",8,0,0,0,0,0,0
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",12,0,0,0,0,0,0
213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",12,0,0,0,0,0,0
214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,0,0,0,0,0
215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143899,"",8,0,0,0,0,0,0
216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8,0,0,0,0,0,0
217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,0,0,0,0,0
218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152026,152027,"",0,0,0,0,0,0,0
225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152212,152213,"",0,0,0,0,0,0,0
226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152250,152251,"",0,0,0,0,0,0,0
227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",12,0,0,0,0,0,0
234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
239,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
241,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",4,0,0,0,0,0,0
242,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
244,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
247,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8200,0,0,0,0,0,0
248,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",3,0,0,0,0,0,0
249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
250,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
252,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
254,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",8192,0,0,0,0,0,0
258,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162830,162831,"Icon_ItemMisc_Cog",8,0,0,0,0,0,0
260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0
267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167706,167707,"Icon_ItemMisc_Cog",0,0,0,0,0,0,0
