"ID","sequenceId","description","modelPoseIdBase","modelPoseTypeEnum"
116,1856,"Face_BrowL_Neutral_Default_N",0,6
117,1857,"Face_BrowL_Neutral_Neutral_D",116,6
118,1858,"Face_BrowL_Neutral_Neutral_U",116,6
119,1859,"Face_BrowL_Sad_Neutral_N",116,6
120,1860,"Face_BrowR_Angry_Neutral_N",121,7
121,1861,"Face_BrowR_Neutral_Default_N",0,7
122,1862,"Face_BrowR_Neutral_Neutral_D",121,7
123,1863,"Face_BrowR_Neutral_Neutral_U",121,7
124,1920,"Face_BrowR_Sad_Neutral_N",121,7
125,1921,"Face_Mouth_Frown_Closed_N",134,8
126,1922,"Face_Mouth_Frown_Open_N",134,8
127,1923,"Face_Mouth_Frown_Small_N",134,8
128,1924,"Face_Mouth_Frown_Teeth_N",134,8
129,1925,"Face_Mouth_Neutral_Closed_U",134,8
130,1926,"Face_Mouth_Neutral_Closed_D",134,8
131,1927,"Face_Mouth_Neutral_Closed_L",134,8
132,1928,"Face_Mouth_Neutral_Closed_N",134,8
133,1929,"Face_Mouth_Neutral_Closed_R",134,8
134,1930,"Face_Mouth_Neutral_Default_N",0,8
135,1931,"Face_Mouth_Neutral_Open_L",134,8
136,1932,"Face_Mouth_Neutral_Open_N",134,8
137,1933,"Face_Mouth_Neutral_Open_R",134,8
138,1934,"Face_Mouth_Neutral_Small_N",134,8
139,1935,"Face_Mouth_Neutral_Teeth_N",134,8
141,1937,"Face_Mouth_Smile_Closed_N",134,8
142,1938,"Face_Mouth_Smile_Open_N",134,8
143,1939,"Face_Mouth_Smile_Small_N",134,8
144,1940,"Face_Mouth_Smile_Teeth_N",134,8
145,1941,"Face_Mouth_Snear_Closed_L",134,8
146,1942,"Face_Mouth_Snear_Closed_R",134,8
147,1943,"Face_Mouth_Snear_Open_L",134,8
148,1944,"Face_Mouth_Snear_Open_R",134,8
149,1945,"Face_Mouth_Snear_Small_L",134,8
150,1946,"Face_Mouth_Snear_Small_R",134,8
151,1947,"Face_Mouth_Snear_Teeth_L",134,8
152,1948,"Face_Mouth_Snear_Teeth_R",134,8
154,2019,"Missile_Loop",1,0
160,5396,"Global_Track_1",1,0
161,5397,"Global_Track_2",1,0
162,5398,"Global_Track_3",1,0
163,5399,"Global_Track_4",1,0
164,1895,"BikeMount_LookLeft",247,2
165,1896,"BikeMount_LookRight",247,2
166,5529,"Turret_Yaw",1,1
167,5530,"Turret_Pitch",1,1
168,5528,"Wound",1,0
169,5598,"Wind_X",1,0
170,5599,"Wind_Z",1,0
171,5600,"Wind_Oscillation",1,0
172,5569,"Face_Mouth_Phoneme_AI_N",134,8
173,5570,"Face_Mouth_Phoneme_Ch_N",134,8
174,5571,"Face_Mouth_Phoneme_Es_N",134,8
175,5572,"Face_Mouth_Phoneme_FV_N",134,8
176,5573,"Face_Mouth_Phoneme_LL_N",134,8
177,5574,"Face_Mouth_Phoneme_MB_N",134,8
178,5575,"Face_Mouth_Phoneme_Oh_N",134,8
179,5576,"Face_Mouth_Phoneme_Th_N",134,8
180,5577,"Face_Mouth_Phoneme_UW_N",134,8
181,5578,"Face_BrowL_Angry_Neutral_D",116,6
182,5579,"Face_BrowL_Angry_Neutral_U",116,6
183,5580,"Face_BrowL_Sad_Neutral_D",116,6
184,5581,"Face_BrowL_Sad_Neutral_U",116,6
185,5582,"Face_BrowR_Angry_Neutral_D",121,7
186,5583,"Face_BrowR_Angry_Neutral_U",121,7
187,5584,"Face_BrowR_Sad_Neutral_D",121,7
188,5585,"Face_BrowR_Sad_Neutral_U",121,7
189,5586,"Face_EyelidL_Angry_Neutral_N",85,4
190,5587,"Face_EyelidL_Sad_Neutral_N",85,4
191,5588,"Face_EyelidR_Angry_Neutral_N",88,5
192,5589,"Face_EyelidR_Sad_Neutral_N",88,5
193,5590,"Face_EyelidL_Angry_Neutral_D",85,4
194,5591,"Face_EyelidL_Angry_Neutral_U",85,4
195,5592,"Face_EyelidL_Sad_Neutral_D",85,4
196,5593,"Face_EyelidL_Sad_Neutral_U",85,4
197,5594,"Face_EyelidR_Angry_Neutral_D",88,5
198,5595,"Face_EyelidR_Angry_Neutral_U",88,5
199,5596,"Face_EyelidR_Sad_Neutral_D",88,5
200,5597,"Face_EyelidR_Sad_Neutral_U",88,5
201,0,"Burrow_Wound_L2R",1,0
202,0,"Burrow_Wound_R2L",1,0
203,0,"Burrow_Wound_D2U",1,0
204,0,"Burrow_Wound_U2D",1,0
205,6676,"Claws_Pose_Sheath_L",1,0
206,6677,"Claws_Pose_Sheath_R",1,0
207,6678,"Claws_Pose_Unsheath_L",1,0
208,6679,"Claws_Pose_Unsheath_R",1,0
209,6722,"HeavyGun",0,0
210,7180,"HeavyGun_AimUp",209,1
211,7175,"HeavyGun_AimDown",209,1
212,7179,"HeavyGun_AimRight",209,1
213,7178,"HeavyGun_AimLeft",209,1
214,7181,"HeavyGun_AimUpLeft",209,1
215,7182,"HeavyGun_AimUpRight",209,1
216,7176,"HeavyGun_AimDownLeft",209,1
217,7177,"HeavyGun_AimDownRight",209,1
218,7395,"Face_Mouth_Smile_Closed_L",134,8
219,7396,"Face_Mouth_Smile_Closed_R",134,8
220,7397,"Face_BrowL_Neutral_Neutral_I",116,6
221,7393,"Face_Mouth_Neutral_Closed_I",134,8
222,7394,"Face_Mouth_Neutral_Closed_O",134,8
223,7399,"Face_Mouth_Frown_Pout_N",134,8
224,7398,"Face_BrowR_Neutral_Neutral_I",121,7
225,7495,"Face_Eyes_Look_Default_N",0,0
226,7496,"Face_Eyes_Look_Horizontal_N",225,9
227,7497,"Face_Eyes_Look_Vertical_N",225,9
231,7508,"Global_Pose_1",1,0
232,7509,"Global_Pose_2",1,0
233,7510,"Global_Pose_3",1,0
234,7511,"Global_Pose_4",1,0
235,7525,"ShockPaddles",0,0
236,7526,"ShockPaddles_AimUp",235,1
237,7527,"ShockPaddles_AimDown",235,1
238,7529,"ShockPaddles_AimLeft",235,1
239,7528,"ShockPaddles_AimRight",235,1
240,7530,"ShockPaddles_AimUpLeft",235,1
241,7531,"ShockPaddles_AimUpRight",235,1
242,7532,"ShockPaddles_AimDownLeft",235,1
243,7533,"ShockPaddles_AimDownRight",235,1
244,5400,"Default_Board",0,0
245,7551,"Default_Board_LeanLeft",244,3
246,7552,"Default_Board_LeanRight",244,3
247,1894,"Default_BikeMount",0,0
248,7590,"Default_LeanUp",1,0
249,7591,"Default_LeanDown",1,0
250,7601,"Default_StrafeLeft",1,0
251,7602,"Default_StrafeRight",1,0
252,7716,"Layered_Wound",1,0
253,7708,"Default_Glider",0,0
254,7709,"Default_Board_LeanLeft",253,3
255,7710,"Default_Glider_LeanRight",253,3
256,7711,"Default_Glider_LeanUp",253,0
257,7712,"Default_Glider_LeanDown",253,0
258,7713,"Default_Glider_LookLeft",253,2
259,7714,"Default_Glider_LookRight",253,2
260,7781,"Default_BodyType_A",1,0
261,7782,"Default_BodyType_B",1,0
262,7789,"Default_BodyType_C",1,0
263,7790,"Default_BodyType_D",1,0
264,7791,"Default_BodyType_E",1,0
265,7792,"Default_BodyType_F",1,0
266,7837,"Default_TankMount",0,0
267,7838,"TankMount_LookLeft",266,2
268,7839,"TankMount_LookRight",266,2
