"ID","spell4EffectsId","modificationParameterEnum","priority","modificationTypeEnum","data00","data01","data02","data03"
185,22299,0,0,0,0.5,0,1000,1
186,22301,0,0,0,0.55,0,1000,1
187,22303,0,0,0,0.6,0,1000,1
188,22305,0,0,0,0.05,0,1000,1
189,22340,0,0,0,0.1,0,1000,1
190,22355,0,0,0,0.15,0,1000,1
191,22387,0,0,0,0.2,0,1000,1
192,22401,0,0,0,0.25,0,1000,1
193,22403,0,0,0,0.3,0,1000,1
194,22405,0,0,0,0.35,0,1000,1
195,22407,0,0,0,0.4,0,1000,1
196,22409,0,0,0,0.45,0,1000,1
197,22411,0,0,0,0.5,0,1000,1
198,22413,0,0,0,0.55,0,1000,1
199,22415,0,0,0,0.6,0,1000,1
200,22417,0,0,0,0.05,0,1000,1
201,22419,0,0,0,0.1,0,1000,1
202,22421,0,0,0,0.15,0,1000,1
203,22423,0,0,0,0.2,0,1000,1
204,22425,0,0,0,0.25,0,1000,1
205,22427,0,0,0,0.3,0,1000,1
206,22429,0,0,0,0.35,0,1000,1
207,22431,0,0,0,0.4,0,1000,1
208,22433,0,0,0,0.45,0,1000,1
209,22435,0,0,0,0.5,0,1000,1
210,22437,0,0,0,0.55,0,1000,1
211,22439,0,0,0,0.6,0,1000,1
212,22529,0,0,0,0.05,0,1000,1
213,22531,0,0,0,0.1,0,1000,1
214,22533,0,0,0,0.15,0,1000,1
215,22535,0,0,0,0.2,0,1000,1
216,22537,0,0,0,0.25,0,1000,1
217,22539,0,0,0,0.3,0,1000,1
218,22541,0,0,0,0.35,0,1000,1
219,22543,0,0,0,0.4,0,1000,1
220,22545,0,0,0,0.45,0,1000,1
221,22547,0,0,0,0.5,0,1000,1
222,22549,0,0,0,0.55,0,1000,1
223,22551,0,0,0,0.6,0,1000,1
224,22553,0,0,0,0.05,0,1000,1
225,22712,0,0,0,0.1,0,1000,1
226,22714,0,0,0,0.15,0,1000,1
227,22716,0,0,0,0.2,0,1000,1
228,22718,0,0,0,0.25,0,1000,1
229,22720,0,0,0,0.3,0,1000,1
230,22722,0,0,0,0.35,0,1000,1
231,22724,0,0,0,0.4,0,1000,1
232,22726,0,0,0,0.45,0,1000,1
233,22728,0,0,0,0.5,0,1000,1
234,22730,0,0,0,0.55,0,1000,1
235,22732,0,0,0,0.6,0,1000,1
236,22735,0,0,0,0.05,0,1000,1
237,22737,0,0,0,0.05,0,1000,1
238,22739,0,0,0,0.05,0,1000,1
239,22741,0,0,0,0.05,0,1000,1
240,22743,0,0,0,0.05,0,1000,1
241,22746,0,0,0,0.1,0,1000,1
242,22748,0,0,0,0.15,0,1000,1
243,22750,0,0,0,0.2,0,1000,1
244,22752,0,0,0,0.25,0,1000,1
245,22754,0,0,0,0.3,0,1000,1
246,22756,0,0,0,0.35,0,1000,1
247,22758,0,0,0,0.4,0,1000,1
248,22760,0,0,0,0.45,0,1000,1
249,22762,0,0,0,0.5,0,1000,1
250,22764,0,0,0,0.55,0,1000,1
251,22766,0,0,0,0.6,0,1000,1
252,22768,0,0,0,0.1,0,1000,1
253,22770,0,0,0,0.15,0,1000,1
254,22772,0,0,0,0.2,0,1000,1
255,22774,0,0,0,0.25,0,1000,1
256,22776,0,0,0,0.3,0,1000,1
257,22778,0,0,0,0.35,0,1000,1
258,22780,0,0,0,0.4,0,1000,1
259,22782,0,0,0,0.45,0,1000,1
260,22785,0,0,0,0.5,0,1000,1
261,22787,0,0,0,0.55,0,1000,1
262,22789,0,0,0,0.6,0,1000,1
263,22791,0,0,0,0.1,0,1000,1
264,22798,0,0,0,0.15,0,1000,1
265,22800,0,0,0,0.2,0,1000,1
266,22802,0,0,0,0.25,0,1000,1
267,22804,0,0,0,0.3,0,1000,1
268,22807,0,0,0,0.35,0,1000,1
269,22809,0,0,0,0.4,0,1000,1
270,22811,0,0,0,0.45,0,1000,1
271,22813,0,0,0,0.5,0,1000,1
272,22815,0,0,0,0.55,0,1000,1
273,22817,0,0,0,0.6,0,1000,1
274,22819,0,0,0,0.1,0,1000,1
275,22821,0,0,0,0.15,0,1000,1
276,22823,0,0,0,0.2,0,1000,1
277,22825,0,0,0,0.25,0,1000,1
278,22827,0,0,0,0.3,0,1000,1
279,22829,0,0,0,0.35,0,1000,1
280,22831,0,0,0,0.4,0,1000,1
281,22833,0,0,0,0.45,0,1000,1
282,22835,0,0,0,0.5,0,1000,1
283,22837,0,0,0,0.55,0,1000,1
284,22839,0,0,0,0.6,0,1000,1
285,22841,0,0,0,0.1,0,1000,1
286,22843,0,0,0,0.15,0,1000,1
287,22846,0,0,0,0.2,0,1000,1
288,22848,0,0,0,0.25,0,1000,1
289,22850,0,0,0,0.3,0,1000,1
290,22852,0,0,0,0.35,0,1000,1
291,22854,0,0,0,0.4,0,1000,1
292,22856,0,0,0,0.45,0,1000,1
293,22858,0,0,0,0.5,0,1000,1
294,22860,0,0,0,0.55,0,1000,1
295,22862,0,0,0,0.6,0,1000,1
296,25050,0,0,0,0.85,0,0,1
297,25051,0,0,0,0.85,0,0,1
298,25054,11,0,0,1,-750,0,1
299,13514,12,0,0,1,-250,0,1
300,13512,2,0,0,1,5,10000,0
301,13567,2,0,0,1,5,1000,0
302,25155,0,0,0,0.8,0,0,1
303,25156,0,0,0,0.8,0,0,1
304,13884,3,0,0,1,-30000,0,1
305,13972,2,0,0,1,5,1000,0
306,25766,3,0,0,1,-5000,0,1
307,13978,3,0,0,1,-5000,0,1
308,34947,2,0,0,500,0,0,0
309,35586,0,0,0,1,-250,0.5,1
310,35601,0,0,0,1,-250,0,1
311,35610,3,0,0,1,-1000,0,1
312,39982,3,0,0,0.75,0,0,1
313,40158,3,0,0,1,-5000,0,1
315,40203,8,0,0,0,0,0,1
316,40215,3,0,0,1,-5000,0,1
321,40275,2,0,0,1,5,1000,0
322,40277,2,0,0,1,5,1000,0
323,40436,8,0,0,1,-1,0,1
325,40442,8,0,0,1,-20,0,1
327,40602,8,0,0,1,-3,0,1
328,40650,8,0,0,1,-60,0,1
332,41117,8,0,0,0,0,0,1
353,75425,0,0,2,0,0,0,0
360,85068,8,0,0,1,9,1000,0
373,92051,0,0,0,1,-900,0,1
375,93776,8,0,0,0,0,0,1
377,96215,8,0,0,1,9,1000,0
378,98797,8,0,0,0,0,0,1
388,128221,17,0,2,1,0,0,0
390,135335,13,0,2,0.98,0,0,0
391,135337,13,0,2,0.96,0,0,0
392,135339,13,0,2,0.94,0,0,0
399,140721,8,0,0,1,5,1000,0
408,92834,0,0,0,1,-1250,0,1
409,145716,0,0,0,1,-1250,0,1
410,145716,8,0,0,1,-2,0,1
411,145716,9,0,0,1,-100,0,1
412,146116,0,0,0,1,-1500,0,1
415,141549,3,0,0,0,0,0,1
416,147832,3,0,0,0,0,0,1
417,141518,3,0,0,1,-2000,0,1
418,147842,3,0,0,1,-2000,0,1
419,148031,8,1,1,0.98,1,1,0
420,148050,8,1,1,0.96,1,1,0
421,148054,8,1,1,0.94,1,1,0
422,148126,8,0,0,1,-8,1,1
425,148947,3,0,0,0.83,0,0,1
427,159905,3,0,0,0.8,0,0,1
428,174678,0,0,0,1,-3000,0,1
430,177991,0,0,0,1,-2000,0,1
432,179193,0,0,0,1,-1250,0,1
433,179296,8,0,1,0.5,1,1,0
434,179433,8,0,0,0,0,0,1
438,188986,8,0,0,1,-20,0,1
440,192676,8,0,0,1,15,15,0
441,193536,9,0,0,0.95,0,0,1
444,200475,8,0,0,1,-25,0,1
447,201701,0,0,0,1,-1500,0,1
458,205149,0,0,0,1,-1250,0,1
459,208792,0,0,0,1,-250,0,1
469,216068,0,0,0,1,-1500,0,1
470,216911,0,0,0,1,-250,0,1
471,216915,0,0,0,1,-250,0,1
494,146738,8,0,1,0,0,1,0
495,220579,8,0,1,0,0,1,0
496,220580,3,0,2,5000,1,1,0
497,220581,3,100,2,5000,1,1,0
498,220600,8,0,1,0,0,1,0
511,227183,0,0,0,1,-1500,0,1
514,228111,3,0,0,1,-10000,1250,1
515,228263,8,0,0,0,0,0,1
516,228311,0,0,0,1,-1000,0,1
518,228312,0,0,0,1,-1000,0,1
526,228563,0,0,0,0,0,0,1
527,228563,8,0,0,1,-2,0,1
529,176446,8,0,0,1,-6,0,1
530,228666,8,0,0,0,0,0,1
536,231994,5,0,0,0,0,0,1
537,231994,6,0,0,0,0,0,1
