"ID","creature2Id","unitPropertyIndex","unitPropertyValue"
4239,19936,7,2000
4240,20357,7,2000
4241,20498,7,2000
4242,20499,7,2000
4243,19909,100,0.2
4269,10416,7,100
4286,21209,100,75
4297,12956,23,20
4298,12957,23,20
4299,12958,23,20
4303,21381,100,3
4333,21407,7,99999
4334,21407,26,0
4335,21407,27,0
4336,21407,28,0
4338,21417,7,500
4341,17326,23,1
4342,17326,24,1
4343,17326,25,1
4344,17327,23,1
4345,17327,24,1
4346,17327,25,1
4347,17328,23,1
4348,17328,24,1
4349,17328,25,1
4353,20715,7,1
4354,20716,7,1
4355,12957,7,600
4356,12958,7,600
4357,12956,7,600
4360,21578,7,30000
4361,21585,7,52869
4364,21653,7,4000
4365,21721,100,0.2
4367,21746,7,3000
4368,17712,100,2
4369,17711,100,2
4376,21846,7,30000
4377,21849,7,1000000
4379,16624,7,500
4380,16628,7,500
4381,16629,7,500
4386,20710,7,500
4387,20711,7,500
4388,20721,7,500
4390,20723,7,500
4391,20740,7,500
4399,20720,7,150
4400,20722,7,150
4401,20724,7,150
4407,21941,7,99999
4408,21941,26,0
4409,21941,27,0
4410,21941,28,0
4411,18888,159,0.5
4412,18888,160,0.5
4413,18888,161,0.5
4416,18888,139,0.5
4418,21642,7,30000
4421,22221,100,0.9
4438,22304,100,2
4442,22352,7,10000
4455,21838,103,-100
4456,21838,111,-100
4457,21839,103,-100
4458,21839,111,-100
4470,22062,7,900000
4476,22476,7,1
4478,22512,100,0
4479,22514,100,0
4481,22614,7,200
4482,21568,7,355890
4500,22727,100,0.9
4507,22803,7,150
4510,22814,7,3500
4511,22886,7,3500
4512,22889,7,3500
4514,22890,23,1
4515,22890,24,1
4516,22890,25,1
4518,22894,23,1
4519,22894,24,1
4520,22894,25,1
4521,22931,7,3500
4525,22951,7,10000
4526,22957,7,10000
4527,22959,7,10000
4528,22960,7,10000
4529,22961,7,10000
4530,22963,7,10000
4531,22964,7,10000
4541,22597,7,100
4546,23126,7,75
4547,23139,100,2
4588,17950,33,-10000
4629,23308,7,99999
4630,23308,26,0
4631,23308,27,0
4632,23308,28,0
4645,17714,23,440
4646,17714,24,440
4647,17714,25,440
4648,18959,23,315
4649,18959,24,315
4650,18959,25,315
4654,18961,23,560
4655,18961,24,560
4656,18961,25,560
4683,23295,7,5800
4684,23280,7,5800
4686,23278,7,2000
4687,23285,7,900
4691,23276,7,2000
4692,23291,7,1500
4693,23284,7,3000
4694,23292,7,1
4695,23277,7,1
4696,23293,7,2000
4697,23275,7,3000
4698,23289,7,3000
4699,23282,7,1
4701,23355,23,440
4702,23355,24,440
4703,23355,25,440
4706,22195,7,3500
4717,23472,7,1
4718,23473,7,1
4720,23609,7,100000
4726,17170,24,0
4727,17170,0,0
4728,17170,25,0
4729,17169,0,0
4730,17169,24,0
4731,17169,25,0
4732,23645,132,0.2
4733,23646,132,0.2
4735,23667,7,150
4736,23668,7,5000
4738,23670,7,150
4739,23667,0,10
4740,23667,23,400
4741,23670,23,400
4742,23670,0,10
4747,23387,127,0
4751,24008,7,99999
4752,24008,26,0
4753,24008,27,0
4754,24008,28,0
4755,24017,171,5.8
4768,24180,171,5.8
4769,24181,171,5.8
4777,24384,100,0.75
4785,24742,171,5.8
4786,24743,171,5.8
4790,24956,7,100000
4792,24957,7,100000
4793,24957,134,0
4794,24958,7,100000
4799,25081,7,100000
4800,25081,134,0
4801,25084,100,2
4802,25151,7,99999
4803,25151,26,0
4804,25151,27,0
4805,25151,28,0
4810,25282,7,100000
4811,25282,26,0
4812,25282,27,0
4813,25282,28,0
4815,25298,7,75
4818,24865,33,-10000
4819,24867,33,-10000
4820,19963,33,-10000
4821,19634,33,-10000
4822,20006,33,-10000
4823,20007,33,-10000
4827,28218,33,-10000
4828,26469,33,-10000
4835,18628,7,3000
4857,93,1,1000
4858,93,2,123213
4869,25780,7,100
4870,25121,7,100
4872,25837,7,5000
4873,25203,7,50000
4877,25906,7,1
4878,24025,159,0
4879,24025,160,0
4880,24025,161,0
4884,25943,100,1
4886,25968,36,200
4895,25841,7,1900
4896,25840,7,2300
4897,25703,7,7000
4902,25704,7,9000
4935,20008,33,-10000
4936,20496,33,-10000
4949,27966,33,-10000
4952,25704,8,0.015
4953,25703,8,0.015
4954,25705,8,0.015
4955,25707,8,0.015
4956,25708,8,0.015
4957,25709,8,0.015
4958,25710,8,0.015
4959,25711,8,0.015
4960,25714,8,0.015
4967,27928,33,-10000
4970,25714,7,8810
4971,25711,7,10800
4972,25710,7,9380
4973,25709,7,9310
4975,25707,7,13000
4977,25705,7,8810
4980,1,7,100000
4983,23021,41,1000
4984,23021,7,150
4985,26316,36,400
4986,5096,7,1
4987,19814,7,1
4988,19823,7,5800
4989,20128,7,1
4990,20509,7,900
4991,20528,7,1
4992,23274,7,1
4993,23279,7,1
4994,23294,7,2000
4995,23296,7,1
4996,23298,7,1500
4997,25897,7,1
4998,25898,7,1
4999,25899,7,1
5000,25900,7,1
5001,25901,7,1
5002,26065,7,1
5003,26144,7,1
5004,26178,7,1
5005,26198,7,1
5016,25706,8,0.015
5017,25703,9,100
5018,25704,9,100
5019,25705,9,100
5020,25706,9,100
5021,25707,9,100
5022,25709,9,100
5023,25710,9,100
5025,25714,9,100
5026,25708,9,100
5028,26469,7,1
5040,7166,41,1650
5047,25952,8,0
5048,25956,8,0
5055,25703,41,11740
5056,25704,41,10800
5057,25705,41,10800
5061,25706,41,10800
5065,25707,41,9430
5069,25708,41,11530
5073,25709,41,13260
5077,25710,41,8840
5085,25714,41,11720
5091,26556,189,2
5095,26557,189,3
5146,26314,7,10000
5148,26315,7,10000
5151,26316,7,10000
5158,26789,100,2
5182,26961,7,9780
5183,26961,8,0.015
5184,26961,9,100
5185,26961,41,13260
5193,27036,7,5000
5194,27042,7,1
5196,27102,7,4000
5197,27102,8,0.015
5198,27102,9,100
5199,27102,41,2000
5205,27109,7,10
5208,27209,7,100
5209,27250,7,1
5222,27284,7,1
5223,27342,8,0.015
5225,27529,7,9999
5232,27632,7,1
5240,27800,36,400
5242,27923,7,1
5243,28035,33,-10000
5245,27926,7,1
5248,27928,7,1
5251,27930,7,1
5254,27931,7,1
5257,27953,7,1
5260,27954,7,1
5263,27961,7,1
5266,27963,7,1
5271,27967,7,1
5276,27969,7,1
5279,27975,7,1
5282,27976,7,1
5286,28013,7,1
5289,28015,7,1
5292,28016,7,1
5295,28017,7,1
5298,28019,7,1
5301,28020,7,1
5304,28022,7,1
5307,28024,7,1
5310,28027,7,1
5313,28028,7,1
5316,28031,7,1
5319,28032,7,1
5322,28034,7,1
5325,28035,7,1
5330,23489,7,100
5338,28218,7,1
5341,28220,7,1
5348,28338,7,35000
5351,28493,7,2000
5352,28494,7,2000
5354,28502,7,2000
5357,5096,33,-100000
5358,19814,33,-100000
5359,19823,33,-100000
5360,20128,33,-100000
5361,20509,33,-100000
5362,20528,33,-100000
5363,23283,33,-100000
5364,28036,33,-100000
5366,28243,7,1
5367,28243,33,-100000
5368,28258,7,1
5369,28258,33,-100000
5370,28259,7,1
5371,28259,33,-100000
5372,28261,7,1
5373,28261,33,-100000
5374,25388,33,-10000
5375,25706,7,8810
5376,25708,7,8810
5377,25782,7,5000
5378,25783,7,3000
5379,25887,7,4250
5383,23339,33,-10000
5384,23292,33,-10000
5387,27486,33,-10000
5388,27520,33,-10000
5390,23290,33,-10000
5393,23288,33,-10000
5396,21836,33,-10000
5402,23034,33,-10000
5413,23282,33,-10000
5414,21296,33,-10000
5415,26128,33,-10000
5416,27477,33,-10000
5427,27929,33,-10000
5449,28220,33,-10000
5450,26567,33,-10000
5451,26568,33,-10000
5452,26569,33,-10000
5453,26570,33,-10000
5464,23277,33,-10000
5477,23283,7,5800
5489,23843,7,129360
5490,23489,40,0
5573,28263,7,1
5575,28262,7,1
5576,28264,7,1
5578,28265,7,1
5580,28266,7,1
5586,28811,7,2500
5587,28825,7,3000
5588,23138,7,1
5589,23138,40,0
5590,28811,40,0
5591,28811,26,0
5592,28811,27,0
5593,28811,28,0
5594,28811,42,0
5595,28825,26,0
5596,28825,27,0
5597,28825,28,0
5598,28825,40,0
5599,28825,42,0
5600,27496,7,0
5603,23287,7,3000
5604,28899,7,1
5607,28900,7,1
5610,28901,7,1
5613,28911,7,1
5616,28912,7,1
5619,28913,7,1
5622,28916,7,1
5625,28917,7,1
5628,28927,7,1
5631,29052,33,-10000
5632,29162,33,-10000
5633,29163,33,-10000
5634,29164,33,-10000
5635,29165,33,-10000
5636,29166,33,-10000
5637,29167,33,-10000
5638,29168,33,-10000
5639,29169,33,-10000
5640,29170,33,-10000
5642,29202,7,100000
5643,29217,33,-10000
5644,29218,33,-10000
5645,29219,33,-10000
5646,29220,33,-10000
5647,29245,33,-10000
5648,29246,33,-10000
5654,29387,7,1
5655,29387,26,0
5656,29387,27,0
5657,29387,28,0
5658,29387,40,0
5659,29387,42,0
5682,29501,33,-10000
5683,29502,33,-10000
5685,29504,33,-10000
5686,29505,33,-10000
5688,29513,33,-10000
5689,29514,33,-10000
5691,29516,33,-10000
5692,29517,33,-10000
5694,29519,33,-10000
5695,29520,33,-10000
5697,29523,33,-10000
5699,29533,33,-10000
5700,29534,33,-10000
5701,29535,33,-10000
5703,29538,33,-10000
5704,29539,33,-10000
5706,29542,33,-10000
5707,29543,33,-10000
5709,29545,33,-10000
5710,29547,33,-10000
5712,29549,33,-10000
5713,29550,33,-10000
5715,29553,33,-10000
5716,29554,33,-10000
5718,29556,33,-10000
5719,29557,33,-10000
5722,24271,7,98
5728,25919,7,1
5729,25919,26,0
5730,25919,27,0
5731,25919,28,0
5732,25919,40,0
5733,25919,42,0
5735,654,42,0
5736,654,7,500000
5737,654,26,0
5738,654,27,0
5739,654,28,0
5755,29766,7,1
5756,29780,7,1
5761,29809,7,100000
5762,29840,7,3500
5764,29909,7,1
5765,29909,26,0
5766,29909,27,0
5767,29909,28,0
5768,29909,40,0
5769,29909,42,0
5771,28752,26,0
5772,28752,27,0
5773,28752,28,0
5774,28752,40,0
5775,28752,42,0
5777,29964,100,0
5791,28879,40,100
5793,28200,7,100
5794,30066,7,500
5795,30124,40,100
5796,30124,42,1200
5797,19512,0,750
5798,19512,1,750
5799,19512,2,750
5800,19512,3,750
5801,19512,4,750
5802,19512,7,16000
5803,19512,40,1100
5804,22344,0,750
5805,22344,1,750
5806,22344,2,750
5807,22344,3,750
5808,22344,4,750
5809,22344,7,16000
5810,22344,40,1100
5814,30136,7,120000
5826,30137,40,75
5843,16905,42,900
5844,30177,7,886
5845,28216,7,200
5847,30231,7,10000
5848,28433,7,750
5849,28434,7,1250
5851,30522,7,150000
5853,30566,7,100000
5855,29703,40,0
5865,30797,40,0
5866,30797,7,2500
5868,30256,7,800
5869,30963,44,999
5870,30963,45,10000
5871,30963,46,1
5879,30602,7,4440
5880,31751,26,0
5881,31751,27,0
5882,31751,28,0
5883,31751,40,0
5884,31751,42,0
5904,24939,44,3
5905,24939,45,10000
5906,24939,46,3
5907,24486,44,-1
5924,31936,33,-10000
5925,31937,33,-10000
5926,31938,33,-10000
5927,31939,33,-10000
5928,31940,33,-10000
5929,31941,33,-10000
5930,31942,33,-10000
5932,31944,33,-10000
5933,31945,33,-10000
5934,31946,33,-10000
5935,31947,33,-10000
5936,31948,33,-10000
5937,31949,33,-10000
5938,31950,33,-10000
5939,31951,33,-10000
5940,31952,33,-10000
5959,31996,7,1
5969,32049,33,-10000
5970,32050,33,-10000
5971,32068,7,100000
5972,32068,165,1
5975,32079,7,1
5978,32103,7,1
5985,31923,33,20
5986,32338,7,50
5988,32346,7,50
5989,32362,7,100000
5990,32362,40,0
5991,32362,42,0
5998,31654,7,1900
6001,32548,7,198000
6002,32550,7,9000
6003,32552,7,18000
6004,32486,7,1
6005,32445,7,1
6006,32507,7,1
6007,32616,33,-10000
6008,32662,7,330000
6009,32663,7,15000
6010,32687,7,15000
6021,17316,40,0
6022,32908,7,3000
6024,24493,7,297750
6026,33157,7,0
6027,33213,8,8
6028,33213,7,11000
6041,33357,7,100000
6044,33402,7,1
6045,33403,7,1
6046,33405,3,2000
6075,33675,7,1
6076,33676,7,1
6077,33677,7,1
6115,33874,100,1
6138,34174,7,100000
6139,34175,7,100000
6140,34175,44,-1
6141,34176,7,100000
6142,34176,44,4
6143,34176,45,10000
6144,34176,46,1
6145,34180,44,3
6146,34180,45,5000
6147,34180,46,3
6223,24904,44,2
6224,24904,45,10000
6225,24904,46,2
6229,24909,44,2
6230,24909,45,10000
6231,24909,46,2
6256,25559,44,2
6257,25559,45,10000
6258,25559,46,2
6265,25568,44,2
6266,25568,45,10000
6267,25568,46,2
6295,34297,100,0.8
6314,34395,7,0
6315,34396,7,0
6334,22763,33,-10000
6341,28468,100,0.8
6342,22262,100,0.8
6343,22261,100,0.8
6344,22044,100,0.8
6349,25711,10,500
6350,25711,17,22.5
6351,25711,41,15590
6353,5096,40,0
6354,19814,40,0
6355,19823,40,0
6356,20128,40,0
6357,20509,40,0
6358,20528,40,0
6359,23274,40,0
6360,23275,40,0
6361,23276,40,0
6362,23278,40,0
6363,23279,40,0
6364,23280,40,0
6365,23283,40,0
6366,23284,40,0
6367,23285,40,0
6368,23286,7,1
6370,23287,40,0
6371,23286,40,0
6372,23289,40,0
6373,23291,40,0
6374,23293,40,0
6375,23294,40,0
6376,23295,40,0
6377,23296,40,0
6378,23298,40,0
6379,25897,40,0
6380,25898,40,0
6381,25899,40,0
6382,25900,40,0
6383,25901,40,0
6384,26065,40,0
6385,26130,40,0
6386,26144,40,0
6387,26151,40,0
6388,26178,40,0
6389,26179,40,0
6390,26198,40,0
6391,26216,40,0
6392,27284,40,0
6393,27581,40,0
6394,27632,40,0
6395,27847,40,0
6396,27923,40,0
6397,27924,40,0
6398,27926,40,0
6399,27927,40,0
6400,27930,40,0
6401,27931,40,0
6402,27932,40,0
6405,27954,40,0
6406,27953,40,0
6407,27959,40,0
6408,27961,40,0
6409,27963,40,0
6410,27964,40,0
6411,27967,40,0
6412,27969,40,0
6413,27970,40,0
6414,27975,40,0
6415,27976,40,0
6416,27977,40,0
6417,28013,40,0
6418,28014,40,0
6419,19780,163,0
6440,28015,40,0
6448,28017,40,0
6449,28018,40,0
6450,28019,40,0
6451,28020,40,0
6452,28021,40,0
6453,28022,40,0
6454,28024,40,0
6455,28025,40,0
6456,28027,40,0
6457,28028,40,0
6458,28029,40,0
6459,28031,40,0
6460,28032,40,0
6461,28033,40,0
6462,28034,40,0
6463,28035,40,0
6464,28036,40,0
6465,28243,40,0
6466,28258,40,0
6467,28259,40,0
6468,28261,40,0
6469,28262,40,0
6470,28263,40,0
6472,28264,40,0
6473,28265,40,0
6474,28266,40,0
6475,28899,40,0
6476,28900,40,0
6477,28901,40,0
6478,28911,40,0
6479,28912,40,0
6480,28913,40,0
6481,28916,40,0
6482,28917,40,0
6483,28927,40,0
6484,20409,42,900
6492,34502,7,11000
6493,34502,8,8
6522,31190,100,0.5
6528,24271,40,0
6549,25679,44,2
6550,25679,45,10000
6551,25679,46,2
6552,33616,44,2
6553,33616,45,10000
6554,33616,46,2
6555,33617,44,2
6556,33617,45,10000
6557,33617,46,2
6559,19389,40,230
6560,19390,40,230
6561,19391,40,230
6562,19392,40,230
6563,19393,40,230
6564,19394,40,230
6565,19395,40,230
6566,19396,40,230
6567,19397,40,230
6568,19398,40,230
6569,19399,40,230
6570,19400,40,230
6571,19401,40,230
6572,19402,40,230
6573,19403,40,230
6574,19404,40,230
6575,19405,40,230
6576,19406,40,230
6577,19407,40,230
6578,33173,40,460
6579,25681,44,2
6580,25681,45,10000
6581,25681,46,2
6582,33618,44,2
6583,33618,45,10000
6584,33618,46,2
6585,33619,44,2
6586,33619,45,10000
6587,33619,46,2
6592,28016,40,0
6595,19665,44,4
6597,19665,46,4
6611,34940,7,100000
6612,34956,7,100
6613,34956,40,1
6614,34966,127,0
6616,19389,163,0
6617,19390,163,0
6618,19391,163,0
6619,19392,163,0
6620,19393,163,0
6621,19394,163,0
6622,19395,163,0
6623,19396,163,0
6624,19397,163,0
6625,19398,163,0
6626,19399,163,0
6627,19400,163,0
6628,19401,163,0
6629,19402,163,0
6630,19403,163,0
6631,19404,163,0
6632,19405,163,0
6633,19406,163,0
6634,19407,163,0
6642,30006,8,15
6647,35058,7,100000
6650,35127,7,100
6651,35128,7,100
6652,35129,7,100
6656,34427,44,3
6658,34427,46,3
6661,21845,132,0.1
6662,21845,138,0
6663,21845,139,0
6664,21845,140,0
6683,27262,44,2
6684,27262,45,5000
6685,27262,46,2
6686,34691,44,2
6687,34691,45,5000
6688,34691,46,2
6689,34693,44,2
6690,34693,45,5000
6691,34693,46,2
6692,34701,44,2
6693,34701,45,5000
6694,34701,46,2
6695,34703,44,2
6696,34703,45,5000
6697,34703,46,2
6710,17161,44,2
6711,17161,45,5000
6712,17161,46,2
6722,34697,44,1
6723,34697,45,5000
6724,34697,46,1
6725,34698,44,2
6726,34698,45,5000
6727,34698,46,2
6728,34699,44,2
6729,34699,45,5000
6730,34699,46,2
6734,34704,44,2
6735,34704,45,5000
6736,34704,46,2
6743,32703,44,-1
6752,24822,44,0
6753,24822,45,0
6754,24822,46,0
6755,16790,100,1
6756,35355,100,0.3
6757,35406,7,15000
6758,35407,7,15000
6759,35414,7,15000
6760,35416,7,1
6761,35416,40,0
6762,35418,40,0
6763,35419,40,0
6764,35420,40,0
6772,35454,7,100000
6775,20584,44,-1
6776,20584,45,5000
6777,20584,46,-1
6785,32536,7,160960
6787,35535,44,-1
6788,35629,7,1
6789,35628,7,1
6790,35627,7,1
6791,35643,7,1
6792,35644,7,1
6793,35645,7,1
6794,35646,7,1
6795,35647,7,1
6796,35648,7,1
