"ID","quest2Id","questVOTextType","randomTextLineId"
6624,6457,6,6764
6625,6458,0,3012
6635,6159,6,9554
6677,6155,5,9829
6678,6155,6,9497
6681,6156,0,9275
6682,6156,1,9257
6811,5444,3,4259
6828,6489,2,3500
6832,6485,4,4238
6833,6485,5,4313
6964,5609,0,3965
6965,5609,1,4111
6967,5609,2,4399
6971,5609,3,4258
7539,6489,1,3448
7544,6489,3,3537
7680,6442,4,4216
7681,6442,5,4351
7683,6442,1,4102
7684,6442,3,4258
7686,6442,6,4626
7692,6421,3,4265
7706,6427,0,6696
7707,6427,1,6873
7708,6427,3,6936
7709,6427,4,6924
7710,6427,5,7029
7712,6466,4,4238
7713,6466,5,4319
7714,6466,6,4355
7715,6540,4,4243
7716,6540,5,4312
7717,6439,0,6714
7718,6439,1,6825
7719,6439,3,6936
7721,6439,5,6981
7787,6466,0,3987
7789,6466,3,4265
7822,6540,0,4010
7823,6540,1,4147
7824,6540,3,4255
7856,6628,0,9922
7867,6629,0,9989
7868,6629,1,10004
7871,6629,3,10169
7872,6629,4,10145
7876,6629,6,10621
7877,6630,5,10256
7891,6675,5,10260
7893,6674,5,10215
7906,6587,0,5891
7907,6587,1,6769
7908,6587,2,6916
7925,6588,4,6923
7926,6588,5,6973
7927,6588,6,7025
8138,6675,1,10050
8139,6675,3,10170
8140,6675,4,10152
8142,5855,0,5205
8143,5855,2,5434
8236,6703,0,5894
8253,6714,0,6744
8271,5858,4,7953
8275,5858,5,7833
8406,5863,6,5541
8455,5967,5,5505
8456,5967,6,5622
8483,5855,1,5332
8486,6677,5,11105
8487,6677,0,11009
8490,6624,0,13547
8495,6625,6,13767
8514,5444,5,4313
8515,5444,6,4642
8523,6623,1,14869
8527,6623,4,14892
8532,6623,6,15026
8534,6624,1,13589
8535,6624,3,13630
8536,6624,4,13617
8538,6624,5,13646
8540,6625,0,13544
8543,6625,1,13580
8548,6625,3,13631
8550,6625,4,13618
8552,6625,5,13649
8659,6801,0,14801
8660,6801,1,14876
8661,6801,2,14886
8662,6801,3,14894
8675,6802,4,5434
8676,6802,5,5525
8677,6802,6,5831
8685,6803,4,14893
8686,6803,5,14921
8687,6803,6,15031
8711,6646,1,6870
8712,6646,5,6990
8760,6800,0,5160
8761,6800,1,5322
8762,6800,2,5416
8763,6800,3,5443
8845,6648,1,3059
8846,6648,4,3084
8847,6648,5,3105
8848,6648,6,4853
8849,6649,0,3014
8857,6649,1,3068
8859,6649,2,3085
8861,6650,0,5929
8862,6650,1,6883
8899,6650,4,6933
8917,6773,0,14833
8918,6773,1,14858
8919,6773,3,14898
8920,6773,5,14907
8934,6652,0,6720
8936,6652,2,6927
8938,6652,5,6957
8939,6653,0,6750
8941,6653,2,6924
8943,6653,5,3120
8944,6653,6,3118
8945,6654,0,3981
8946,6654,1,4130
8947,6654,3,4262
8948,6654,4,4217
8949,6654,5,4322
8950,6654,6,4441
8951,6655,0,7488
8952,6655,1,7613
8953,6655,3,7777
8954,6655,4,7761
8955,6655,5,7866
8956,6655,6,7833
8963,6657,5,6295
8966,6806,0,7508
8967,6806,1,7630
8970,6806,4,7727
8971,6806,5,7865
9031,6814,0,4020
9032,6814,1,4142
9034,6814,3,4259
9035,6814,5,4291
9036,6814,6,4342
9071,6634,1,6190
9072,6634,3,6250
9074,6634,0,6020
9082,6634,5,6313
9089,6635,1,6178
9090,6635,3,6247
9091,6635,4,6229
9092,6635,5,6265
9119,6636,0,5934
9120,6636,1,6125
9122,6636,4,6232
9201,6583,0,4428
9202,6583,1,4123
9203,6583,3,4264
9204,6583,4,4246
9208,6583,5,4306
9209,6583,6,4563
9297,6657,1,6181
9298,6657,3,6244
9299,6657,6,6334
9315,6679,0,10991
9335,6296,0,10985
9336,6296,2,11058
9337,6296,3,11073
9357,6628,5,10259
9358,6628,6,10175
9359,6629,5,10253
9383,6853,0,5894
9384,6853,1,6851
9386,6853,3,7292
9390,6853,6,6851
9391,6853,6,6845
9392,6853,6,7043
9393,6853,6,6788
9394,6853,6,6850
9395,6853,6,7357
9396,6853,6,6775
9397,6853,6,7064
9398,6853,6,6826
9399,6853,6,6769
9412,6852,0,5894
9413,6851,0,5894
9414,6850,0,5894
9418,6852,1,7064
9419,6852,3,7192
9422,6852,6,6851
9423,6852,6,6845
9424,6852,6,7172
9425,6852,6,7177
9426,6851,1,6739
9427,6851,3,7299
9428,6851,6,6751
9429,6851,6,6864
9430,6851,6,6739
9431,6851,6,6869
9432,6850,1,6851
9433,6850,3,7299
9434,6850,6,6851
9435,6850,6,6845
9436,6850,6,6850
9437,6850,6,6781
9438,6850,6,6775
9439,6849,0,5894
9440,6848,0,5894
9441,6847,0,5894
9442,6847,1,6851
9443,6847,3,7299
9444,6847,6,6851
9445,6847,6,6845
9447,6848,1,6806
9448,6848,3,7299
9449,6848,6,7297
9450,6848,6,6934
9451,6848,6,7319
9453,6849,1,6851
9454,6849,3,7299
9455,6849,6,6851
9456,6849,6,6814
9457,6849,6,6819
9458,6849,6,6826
9459,6861,0,7497
9460,6861,1,7692
9461,6861,3,8147
9462,6861,6,10707
9463,6861,6,7661
9464,6861,6,7771
9465,6861,6,7686
9466,6861,6,7703
9467,6861,6,7704
9477,6862,0,5895
9478,6862,1,6825
9479,6862,3,7298
9480,6862,6,7314
9481,6862,6,6852
9482,6862,6,7308
9483,6862,6,6846
9484,6862,6,7296
9485,6863,0,5894
9486,6863,1,6851
9487,6863,3,7299
9488,6863,6,6851
9489,6863,6,6788
9490,6863,6,6819
9491,6863,6,6864
9492,6863,6,6826
9493,6864,0,9131
9494,6864,1,9317
9495,6864,3,9419
9496,6864,6,9341
9497,6864,6,9320
9498,6864,6,9215
9499,6864,6,9317
9500,6864,6,9212
9501,6865,0,5895
9502,6865,1,6852
9503,6865,3,7298
9504,6865,6,6774
9505,6865,6,6825
9506,6865,6,6873
9507,6865,6,6807
9508,6865,6,6846
9509,6865,6,6840
9510,6866,0,2535
9511,6866,1,2537
9512,6866,3,2593
9513,6866,6,2598
9514,6866,6,2593
9519,6867,0,2247
9520,6867,1,2246
9521,6867,3,2027
9522,6867,6,2246
9523,6867,6,2248
9524,6867,6,1568
9525,6867,6,2245
9542,6868,0,9131
9544,6868,1,9317
9545,6868,3,9775
9546,6868,6,9320
9547,6868,6,9317
9551,6869,0,9132
9552,6869,1,9291
9553,6869,3,9414
9554,6869,6,9453
9555,6869,6,9498
9556,6870,0,9133
9557,6870,1,9322
9558,6870,3,9786
9559,6870,6,9499
9560,6870,6,9292
9561,6870,6,9289
9562,6871,0,9880
9563,6871,1,10049
9564,6871,3,10627
9565,6871,6,10247
9566,6872,0,9881
9567,6872,1,10044
9568,6872,3,10610
9569,6872,6,10260
9570,6873,0,9882
9571,6873,1,10087
9572,6873,3,10605
9573,6873,6,10207
9574,6873,6,10087
9575,6874,0,9131
9576,6874,1,9278
9577,6874,3,9769
9578,6874,6,9341
9579,6874,6,9224
9580,6874,6,9212
9581,6875,0,9131
9582,6875,1,9278
9583,6875,3,9769
9584,6875,6,9326
9585,6875,6,9320
9586,6875,6,9317
9587,6876,0,9131
9588,6876,1,9344
9589,6876,3,9407
9590,6876,6,9293
9591,6876,6,9344
9592,6876,6,9317
9593,6877,0,9131
9594,6877,1,9326
9595,6877,3,9769
9596,6877,6,9335
9597,6877,6,9332
9598,6877,6,9224
9599,6877,6,9212
9621,6678,0,10977
9622,6678,1,11016
9624,6678,3,11071
9625,6678,4,11067
9628,6678,5,11089
9630,6678,6,11202
9632,6679,1,11033
9639,6679,4,11032
9641,6679,5,11095
9644,6679,6,11208
9656,6677,3,11074
9658,6677,4,11066
9660,6887,1,7614
9661,6887,0,7578
9663,6887,5,7821
9664,6887,6,7834
9671,6887,4,7578
9680,6888,0,3980
9681,6888,1,4129
9682,6888,3,4258
9683,6888,4,4210
9685,6888,5,4324
9686,6888,6,4273
9691,6889,0,4025
9693,6889,1,4165
9697,6889,4,4237
9698,6889,5,8258
9699,6889,6,3998
9700,6891,0,7935
9705,6891,3,7929
9712,6891,6,7863
9713,6892,0,4464
9715,6892,3,4264
9716,6892,4,4237
9717,6892,5,8258
9718,5625,0,3975
9719,5625,1,4091
9720,5625,3,4262
9721,5625,4,4217
9722,5625,5,4319
9723,5625,6,4618
9728,6894,0,7929
9729,6894,1,7632
9730,6894,4,7929
9753,5632,0,4061
9754,5632,1,4186
9755,5632,3,4264
9756,5632,4,4237
9757,5632,5,4312
9758,5632,6,4013
9817,5688,0,4078
9818,5688,1,4189
9819,5688,3,4252
9820,5688,4,4213
9821,5688,5,4312
9830,5509,3,6940
9868,6674,5,10230
9869,6674,5,10260
9871,6675,0,9977
9876,6675,6,10251
9878,6677,1,11119
9883,6677,6,11208
9915,6680,0,10978
9918,6680,1,11033
9920,6680,3,11071
9922,6680,4,11134
9925,6680,5,11091
9929,6680,6,11210
9933,6623,0,14833
9934,6623,3,14896
9937,6623,5,14941
9986,5624,4,4462
9987,5624,5,4271
9988,5624,6,4474
9997,5626,0,3978
9998,5626,1,4187
9999,5626,2,4208
10000,5626,3,4262
10001,5626,4,4216
10002,5626,5,4318
10003,5626,6,4279
10004,5627,0,4061
10005,5627,1,4183
10006,5627,3,4264
10007,5627,4,4240
10040,5692,5,4070
10053,5692,6,4402
10055,5693,0,5886
10056,5693,1,6879
10057,5693,3,6948
10059,5693,5,7011
10060,5694,5,6963
10061,5694,6,6843
10067,5695,0,6696
10068,5695,1,6862
10069,5695,3,6945
10070,5695,4,6933
10071,5695,5,6711
10074,5628,2,4237
10075,5628,3,4258
10080,5628,4,4244
10081,5628,5,4642
10083,5696,0,5929
10084,5696,1,6765
10085,5696,3,6948
10087,5696,5,7125
10088,5696,6,7317
10098,6628,1,10372
10102,6628,4,10447
10105,5698,1,4114
10106,5698,4,4216
10107,5698,5,4312
10108,5714,0,3998
10110,5714,3,4255
10111,5714,4,4207
10112,5714,5,4321
10117,5751,0,3971
10118,5751,1,4093
10119,5751,3,4252
10120,5751,4,4210
10121,5751,5,4342
10122,5751,6,4638
10131,5752,0,3998
10132,5752,1,4102
10133,5752,3,4264
10144,5758,0,3978
10145,5758,1,4106
10146,5758,3,4262
10147,5758,4,4208
10148,5758,5,4319
10149,5758,6,4615
10166,5766,4,4250
10193,7029,0,10597
10194,7029,1,10588
10195,7029,2,10154
10196,7029,4,10154
10197,7029,5,10259
10207,7030,0,12268
10208,7030,1,11020
10209,7030,2,3084
10210,7030,2,3517
10211,7030,4,10154
10212,7030,4,10151
10213,7030,5,10256
10214,7027,0,10979
10216,7032,0,9874
10217,7032,0,9967
10218,7032,0,9989
10219,7032,1,10085
10220,7032,4,10154
10221,7032,4,10151
10222,7032,5,10214
10223,7032,5,10208
10224,7032,5,10250
10246,7033,0,9871
10247,7033,0,9916
10248,7033,1,10049
10249,7033,1,9992
10250,7033,4,10142
10251,7033,5,10247
10252,7033,5,10175
10253,7033,5,10226
10292,7037,5,7863
10448,6930,0,5899
10449,6930,0,5896
10450,6930,0,5893
10451,6930,0,5890
10452,6930,0,5887
10458,6930,3,6947
10459,6930,3,6938
10460,6930,3,6946
10461,6930,3,6943
10462,6930,3,6937
10463,6930,4,6932
10464,6930,4,6926
10465,6930,4,6920
10466,6930,4,6931
10467,6930,4,6925
10793,6919,0,5179
10794,6919,0,5251
10795,6919,0,5197
10796,6919,1,5372
10797,6919,1,5329
10798,6919,1,5323
10799,6919,1,5293
10800,6919,4,5423
10801,6919,4,5435
10802,6919,4,5429
10803,6920,0,5890
10804,6920,0,6706
10805,6920,0,6742
10806,6920,1,1875
10807,6920,1,1872
10808,6920,5,895
10809,6920,5,894
10810,6922,0,5182
10811,6922,0,5173
10812,6922,0,5167
10813,6922,0,5194
10814,6922,5,5513
10815,6922,5,5455
10816,6922,5,5540
10817,6922,6,5837
10903,7038,0,1061
10904,7038,0,1058
10905,7038,0,2313
10906,7038,1,1068
10907,7038,1,1067
10908,7038,1,1033
10909,7038,4,2445
10910,7038,4,1065
10911,7038,4,2315
10912,7038,5,1071
10913,7038,5,1048
10914,7038,5,1039
11259,7039,0,1087
11260,7039,0,1060
11261,7039,1,1068
11262,7039,1,1033
11263,7039,4,1066
11264,7039,4,2315
11265,7039,5,1039
11266,7039,5,1040
11310,7040,0,2313
11311,7040,0,1063
11312,7040,0,1060
11313,7040,1,1068
11314,7040,4,1065
11315,7040,4,2316
11316,7040,5,1037
11317,7040,5,1039
11318,7040,5,1038
11319,5881,0,5886
11320,5881,1,6825
11321,5881,2,6933
11322,5881,3,6945
11323,5881,4,4237
11324,5881,5,4321
11325,5881,6,4034
11333,5912,0,3977
11334,5912,1,4141
11335,5912,3,4264
11336,5912,4,4237
11337,5912,5,4321
11343,5912,6,4034
11350,5911,0,4078
11351,5911,1,4183
11352,5911,3,4261
11353,5911,4,4240
11354,5911,5,4204
11355,5911,6,4407
11362,7041,0,1062
11363,7041,0,1061
11364,7041,0,1063
11365,7041,1,1067
11366,7041,1,1069
11367,7041,4,2445
11368,7041,4,1065
11369,7041,5,1049
11370,7041,5,1040
11388,5914,1,4174
11389,5914,2,4234
11390,5914,3,4252
11391,5914,4,6879
11399,5922,0,7347
11400,5922,1,6811
11401,5922,3,6945
11402,5922,4,6901
11403,5922,5,7071
11404,5922,6,7026
11405,5921,0,5901
11406,5921,1,6818
11407,5921,3,6948
11408,5921,4,6898
11409,5921,5,6843
11410,5915,0,6883
11411,5915,1,6889
11412,5915,3,6939
11413,5915,4,6927
11414,5915,5,7335
11415,5924,0,4464
11416,5924,1,4099
11417,5924,3,4258
11418,5924,4,4129
11419,5924,5,4641
11420,5924,6,4126
11435,7042,0,3223
11436,7042,0,3007
11437,7042,1,3050
11438,7042,4,3079
11439,7042,4,3076
11440,7042,4,3066
11441,7042,5,3102
11442,7042,5,3093
11443,7042,5,3106
11467,7046,0,3234
11468,7046,0,3027
11469,7046,0,3029
11470,7046,1,3065
11471,7046,4,3085
11472,7046,4,3086
11473,7046,4,3083
11474,7046,5,3102
11475,7046,5,3104
11476,7046,5,3106
11477,6052,4,4219
11478,6052,5,4318
11479,6052,6,4342
11497,3622,3,4843
11510,5883,1,3068
11512,5883,3,3087
11517,5925,5,3235
11521,5926,0,3227
11522,5926,1,3056
11523,5926,2,3072
11524,5926,3,3087
11531,5927,4,3236
11532,5927,5,3107
11533,5927,6,3220
11549,7048,0,3226
11550,7048,0,3222
11551,7048,1,3043
11552,7048,1,3229
11553,7048,4,3074
11554,7048,4,3072
11555,7048,5,3107
11556,7048,5,3109
11558,3655,4,3083
11559,3655,5,3121
11565,3651,0,4019
11567,3651,3,4258
11568,3651,4,4237
11569,3651,5,4342
11570,3651,6,4632
11585,5916,0,3977
11586,5916,1,4087
11587,5916,2,4243
11588,5916,3,4255
11599,6907,4,14801
11600,6907,5,14927
11601,6907,6,14943
11602,6906,4,14565
11603,6906,6,14607
11604,6905,0,15116
11605,6905,1,15186
11606,6905,4,15204
11607,6905,5,15231
11608,6905,6,15342
11609,6923,0,9134
11610,6923,0,9131
11611,6923,0,9128
11612,6923,0,9125
11613,6923,0,9122
11614,6923,1,9248
11615,6923,1,9245
11616,6923,1,9242
11617,6923,1,9254
11618,6923,1,9251
11619,6923,3,9419
11620,6923,3,9416
11621,6923,3,9413
11622,6923,3,9410
11623,6923,3,9407
11624,6923,4,9401
11625,6923,4,9398
11626,6923,4,9395
11627,6923,4,9392
11628,6923,4,9404
11629,6923,5,9503
11631,6923,5,9497
11632,6923,5,9509
11633,6923,5,9506
11634,6923,6,9775
11635,6923,6,9772
11636,6923,6,9769
11637,6923,6,9766
11638,6923,6,9793
11639,6923,6,9790
11640,6923,6,9787
11641,6923,6,9784
11642,6923,6,9781
11643,6923,6,9778
11679,6924,0,9134
11680,6924,0,9131
11681,6924,0,9128
11682,6924,0,9125
11683,6924,0,9122
11684,6924,1,9248
11685,6924,1,9245
11686,6924,1,9242
11687,6924,1,9254
11688,6924,1,9251
11689,6924,3,9419
11690,6924,3,9416
11691,6924,3,9413
11692,6924,3,9410
11693,6924,3,9407
11694,6924,4,9401
11695,6924,4,9398
11696,6924,4,9395
11697,6924,4,9392
11698,6924,4,9404
11699,6924,5,9503
11700,6924,5,9497
11701,6924,5,9509
11702,6924,5,9506
11703,6924,6,9775
11704,6924,6,9772
11705,6924,6,9769
11706,6924,6,9766
11707,6924,6,9793
11708,6924,6,9790
11709,6924,6,9787
11710,6924,6,9784
11711,6924,6,9781
11712,6924,6,9778
11747,7050,0,1908
11748,7050,0,1924
11749,7050,1,1853
11750,7050,1,1857
11751,7050,4,1902
11752,7050,4,780
11753,7050,5,1884
11754,7050,5,1879
11755,7050,5,2944
11756,6925,0,4680
11757,6925,0,4674
11758,6925,0,4682
11759,6925,0,4676
11760,6925,0,4678
11761,6925,1,4748
11762,6925,1,4750
11763,6925,1,4744
11764,6925,1,4752
11765,6925,1,4746
11766,6925,3,4850
11767,6925,3,4844
11768,6925,3,4852
11769,6925,3,4846
11770,6925,3,4848
11771,6925,4,4842
11772,6925,4,4836
11773,6925,4,4838
11774,6925,4,4840
11775,6925,4,4834
11776,6925,5,4910
11777,6925,5,4904
11778,6925,5,4912
11779,6925,5,4906
11780,6925,5,4908
11781,6925,6,5100
11782,6925,6,5094
11783,6925,6,5108
11784,6925,6,5102
11785,6925,6,5096
11786,6925,6,5110
11787,6925,6,5104
11788,6925,6,5098
11789,6925,6,5092
11790,6925,6,5106
11835,6926,0,4680
11836,6926,0,4674
11837,6926,0,4682
11838,6926,0,4676
11839,6926,0,4678
11840,6926,1,4748
11841,6926,1,4750
11842,6926,1,4744
11843,6926,1,4752
11844,6926,1,4746
11845,6926,3,4850
11846,6926,3,4844
11847,6926,3,4852
11848,6926,3,4846
11849,6926,3,4848
11850,6926,4,4842
11851,6926,4,4836
11852,6926,4,4838
11853,6926,4,4840
11854,6926,4,4834
11855,6926,5,4910
11856,6926,5,4904
11857,6926,5,4912
11858,6926,5,4906
11859,6926,5,4908
11860,6926,6,5100
11861,6926,6,5094
11862,6926,6,5108
11863,6926,6,5102
11864,6926,6,5096
11865,6926,6,5110
11866,6926,6,5104
11867,6926,6,5098
11868,6926,6,5092
11869,6926,6,5106
11905,6927,0,9134
11906,6927,0,9131
11907,6927,0,9128
11908,6927,0,9125
11909,6927,0,9122
11915,6927,1,9248
11916,6927,1,9245
11917,6927,1,9242
