"ID","flags","localizedTextIdName","rampIndex","costMultiplier","componentMapEnum","prerequisiteId"
83,2,440730,82,0.75,1,0
84,2,440731,83,1,1,0
85,2,440732,84,0.55,1,0
86,2,440733,85,0.35,1,0
87,2,440779,86,0.35,1,0
88,2,440780,87,0.35,1,0
89,2,440782,88,0.55,1,0
90,2,440783,89,0.35,1,0
91,2,440784,90,0.35,1,0
92,2,440785,91,0.35,1,0
93,2,440786,92,0.75,1,0
94,2,440787,93,0.55,1,0
95,2,440788,94,0.35,1,0
96,2,440789,95,0.35,1,0
97,2,440790,96,0.35,1,0
98,2,440791,97,0.35,1,0
99,2,440792,98,0.55,1,0
100,2,440793,99,0.35,1,0
101,2,440794,100,0.35,1,0
102,2,440795,101,0.35,1,0
103,2,440796,102,0.55,1,0
104,2,440797,103,0.75,1,0
105,2,440798,104,0.35,1,0
106,2,440799,105,0.55,1,0
107,2,440809,106,0.35,1,0
108,2,440812,107,0.35,1,0
109,2,440815,108,0.55,1,0
110,2,440821,109,0.35,1,0
111,2,440822,110,0.35,1,0
112,2,440823,111,0.35,1,0
113,2,440824,112,0.35,1,0
114,2,440825,113,1,1,0
115,2,440826,114,0.55,1,0
116,2,440827,115,0.55,1,0
117,2,440828,116,0.35,1,0
118,2,440829,117,0.35,1,0
119,2,440830,118,0.55,1,0
120,2,440831,119,0.35,1,0
121,2,440832,120,0.35,1,0
122,2,440833,121,0.55,1,0
123,2,440834,122,0.35,1,0
124,2,440835,123,0.75,1,0
125,2,440836,124,0.55,1,0
126,2,440837,125,0.55,1,0
127,2,440838,126,0.55,1,0
128,2,440839,127,0.35,1,0
129,2,440840,128,0.35,1,0
130,2,440841,129,0.55,1,0
131,2,440842,130,0.75,1,0
132,2,440843,131,0.35,1,0
133,2,440844,132,0.55,1,0
134,2,440845,133,0.55,1,0
135,2,440846,134,0.55,1,0
136,2,440847,135,0.75,1,0
137,2,440848,136,0.35,1,0
138,2,440849,137,0.35,1,0
139,2,440850,138,0.55,1,0
140,2,440857,139,0.35,1,0
141,2,440858,140,0.55,1,0
142,2,440859,141,0.75,1,0
143,2,440860,142,0.75,1,0
144,2,440861,143,1,1,0
145,2,440862,144,0.75,1,0
146,2,440863,145,0.75,1,0
147,2,440864,146,0.35,1,0
148,2,440866,147,0.35,1,0
149,2,440867,148,0.35,1,0
150,2,440868,149,0.55,1,0
151,2,440869,150,0.35,1,0
152,2,440870,151,0.35,1,0
153,2,440871,152,0.35,1,0
154,2,440872,153,0.55,1,0
155,2,440873,154,0.35,1,0
156,2,440885,155,0.35,1,0
157,2,440886,156,1,1,0
158,2,440887,157,1,1,0
159,2,0,158,1,1,0
160,2,0,159,1,1,0
161,2,0,0,1,0,0
162,4,0,1,1,0,0
163,4,0,2,1,0,0
164,4,0,3,1,0,0
165,4,0,4,1,0,0
166,4,0,5,1,0,0
167,2,0,6,1,0,0
168,2,0,7,1,0,0
169,2,0,8,1,0,0
170,2,0,9,1,0,0
171,2,0,10,1,0,0
172,2,0,11,1,0,0
173,2,0,12,1,0,0
174,2,0,13,1,0,0
175,2,0,14,1,0,0
176,2,0,15,1,0,0
177,2,0,16,1,0,0
178,2,0,17,1,0,0
179,2,0,18,1,0,0
180,4,0,19,1,0,0
181,4,0,20,1,0,0
182,4,0,21,1,0,0
183,2,0,22,1,0,0
184,2,0,23,1,0,0
185,2,0,24,1,0,0
186,2,0,25,1,0,0
187,2,0,26,1,0,0
188,2,0,27,1,0,0
189,2,0,28,1,0,0
190,2,0,29,1,0,0
191,2,0,30,1,0,0
192,4,0,31,1,0,0
193,4,0,32,1,0,0
194,4,0,33,1,0,0
222,4,0,34,1,0,0
223,4,0,35,1,0,0
224,4,0,36,1,0,0
225,4,0,37,1,0,0
226,32,0,38,1,0,0
227,32,0,39,1,0,0
228,32,0,40,1,0,0
229,4,0,41,1,0,0
230,32,0,42,1,0,0
231,32,0,43,1,0,0
232,32,0,44,1,0,0
233,32,0,45,1,0,0
234,32,0,46,1,0,0
235,32,0,47,1,0,0
236,32,0,48,1,0,0
237,32,0,49,1,0,0
238,32,0,50,1,0,0
239,32,0,51,1,0,0
240,32,0,52,1,0,0
241,32,0,53,1,0,0
242,32,0,54,1,0,0
243,32,0,55,1,0,0
244,32,0,56,1,0,0
245,8,0,57,1,0,0
246,8,0,58,1,0,0
247,8,0,59,1,0,0
248,8,0,60,1,0,0
249,8,0,61,1,0,0
250,8,0,62,1,0,0
251,8,0,63,1,0,0
252,8,0,64,1,0,0
253,8,0,65,1,0,0
254,32,0,66,1,0,0
255,4,0,67,1,0,0
256,4,0,68,1,0,0
257,4,0,69,1,0,0
258,4,0,70,1,0,0
259,4,0,71,1,0,0
260,4,0,72,1,0,0
261,32,0,73,1,0,0
262,32,0,74,1,0,0
263,32,0,75,1,0,0
264,32,0,76,1,0,0
265,32,0,77,1,0,0
266,32,0,78,1,0,0
267,32,0,79,1,0,0
268,4,0,80,1,0,0
269,4,0,81,1,0,0
270,4,0,82,1,0,0
271,4,0,83,1,0,0
272,4,0,84,1,0,0
274,4,0,85,1,0,0
275,4,0,86,1,0,0
276,4,0,87,1,0,0
277,4,0,88,1,0,0
324,32,0,89,1,0,0
325,32,0,90,1,0,0
326,32,0,91,1,0,0
327,32,0,92,1,0,0
328,32,0,93,1,0,0
329,32,0,94,1,0,0
330,32,0,95,1,0,0
331,32,0,96,1,0,0
332,32,0,97,1,0,0
333,32,0,98,1,0,0
334,32,0,99,1,0,0
335,32,0,100,1,0,0
336,32,0,101,1,0,0
337,32,0,102,1,0,0
338,32,0,103,1,0,0
339,32,0,104,1,0,0
340,32,0,105,1,0,0
341,32,0,106,1,0,0
342,32,0,107,1,0,0
343,32,0,108,1,0,0
344,2,545749,161,1,1,0
345,2,567702,162,1,1,0
346,2,567703,163,1,1,0
347,2,567704,164,1,1,0
348,2,585342,165,1,1,0
349,2,585343,166,1,1,0
350,2,585344,167,1,1,0
351,2,620653,168,0.75,1,0
352,2,622345,169,1,1,0
353,2,622347,170,1,1,0
354,2,629815,171,0.75,1,0
355,2,696977,172,0.75,1,39265
356,2,696976,173,0.75,1,0
357,2,696975,174,0.75,1,0
358,2,696974,175,0.75,1,0
359,2,696973,176,1,1,0
361,2,687240,177,0.75,1,0
362,2,687241,178,0.75,1,0
363,2,687242,179,0.75,1,0
364,2,687243,180,0.75,1,0
365,2,687244,181,0.75,1,0
366,2,687245,182,0.75,1,0
367,2,687246,183,0.75,1,0
368,2,687247,184,0.75,1,0
369,2,687248,185,0.75,1,0
370,2,687249,186,0.75,1,0
371,2,687250,187,0.75,1,39251
372,2,687251,188,0.75,1,0
373,2,687252,189,0.75,1,0
374,2,721755,190,1,1,0
375,2,721756,191,1,1,0
376,2,721757,192,1,1,0
377,2,734367,193,0.75,1,0
378,2,734368,194,0.75,1,0
379,2,734369,195,1,1,0
380,2,734370,196,1,1,0
381,2,746649,197,1,1,0
382,2,746648,198,1,1,0
383,2,746647,199,1,1,0
384,2,746646,200,0.75,1,0
385,2,746645,201,0.75,1,0
386,2,746644,202,0.75,1,0
387,2,746643,203,1,1,0
388,2,757646,204,1,1,0
389,2,757657,205,1,1,0
390,2,757672,206,1,1,0
391,2,757673,207,1,1,0
392,2,757674,208,1,1,0
393,2,757675,209,1,1,0
394,2,757676,210,1,1,0
395,2,757677,211,1,1,0
396,2,757678,212,1,1,0
397,2,757717,213,1,1,0
398,2,757718,214,1,1,0
399,2,757719,215,1,1,0
400,2,757720,216,1,1,0
401,2,757721,217,1,1,0
402,2,757728,218,1,1,0
403,2,757729,219,0.75,1,0
404,2,757730,220,0.75,1,0
405,2,757731,221,1,1,0
406,2,757732,222,1,1,0
407,2,757733,223,1,1,0
408,2,757734,224,1,1,0
409,2,757735,225,1,1,0
410,2,757736,226,1,1,0
424,2,757750,227,1,1,0
425,2,757751,228,1,1,0
426,2,757752,229,1,1,0
427,2,757753,230,1,1,0
428,2,757754,231,1,1,0
429,2,757755,232,1,1,0
430,2,757756,233,1,1,0
431,2,757757,234,1,1,0
432,2,757758,235,1,1,0
433,2,757759,236,1,1,0
434,2,757760,237,1,1,0
435,2,757761,238,1,1,0
436,2,757762,239,1,1,0
437,2,757763,240,1,1,0
438,2,757764,241,1,1,0
439,2,757765,242,1,1,0
440,2,757766,243,1,1,0
441,2,757786,244,1,1,0
442,2,757787,245,1,1,0
443,2,757788,246,1,1,0
444,2,757789,247,1,1,0
445,2,757790,248,1,1,0
446,2,757791,249,1,1,0
447,2,757792,250,1,1,0
448,2,757793,251,1,1,0
449,2,757794,252,0.75,1,0
450,2,757882,253,1,1,0
451,2,757883,254,0.75,1,0
452,2,757884,255,1,1,0
453,2,757885,256,0.75,1,0
454,2,757886,257,1,1,0
455,2,757887,258,1,1,0
456,2,757888,259,1,1,0
457,2,757889,260,1,1,0
458,2,757890,261,1,1,0
459,2,757891,262,1,1,0
460,2,757892,263,1,1,0
461,2,757893,264,1,1,0
462,2,757894,265,1,1,0
463,2,757895,266,1,1,0
464,2,757896,267,1,1,0
465,2,757897,268,1,1,0
466,2,757898,269,1,1,0
467,2,757899,270,1,1,0
468,2,757900,271,1,1,0
469,2,757901,272,1,1,0
470,2,757902,273,1,1,0
471,2,757903,274,1,1,0
472,2,757904,275,1,1,0
473,2,757905,276,1,1,0
474,2,757906,277,1,1,0
475,2,757907,278,1,1,0
476,2,757908,279,1,1,0
477,2,757909,280,1,1,0
478,2,757910,281,1,1,0
479,2,757911,282,1,1,0
480,2,757912,283,1,1,0
481,2,757913,284,1,1,0
482,2,757914,285,1,1,0
483,2,757915,286,1,1,0
484,2,757916,287,1,1,0
485,2,757917,288,1,1,0
486,2,757918,289,1,1,0
487,2,757919,290,1,1,0
488,2,757920,291,1,1,0
489,2,757921,292,1,1,0
490,2,757922,293,1,1,0
491,2,757923,294,1,1,0
492,2,757924,295,1,1,0
493,2,757925,296,1,1,0
494,2,757926,297,1,1,0
495,2,757927,298,1,1,0
496,2,757928,299,1,1,0
497,2,757929,300,1,1,0
498,2,757930,301,1,1,0
499,2,757931,302,1,1,0
500,2,757932,303,1,1,0
501,2,757933,304,1,1,0
502,2,757934,305,1,1,0
503,2,757935,306,1,1,0
504,2,757936,307,1,1,0
505,2,757937,308,1,1,0
506,2,757938,309,1,1,0
507,2,757939,310,1,1,0
508,2,757940,311,1,1,0
509,2,757941,312,1,1,0
510,2,757971,313,1,1,0
