"ID","localizedTextIdName","assetPath","imagePath","imageWidth","imageHeight","imageOffsetX","imageOffsetY","hexMinX","hexMinY","hexLimX","hexLimY","flags"
39,342597,"Map\PvPArena","",0,0,0,0,0,0,0,0,2
40,352230,"Map\KevinVortexQuarry","",0,0,0,0,0,0,0,0,2
41,373357,"Map\Randyland","",0,0,0,0,0,0,0,0,0
42,376189,"Map\Housing1x1DungeonDarkspurBloodsport","",0,0,0,0,0,0,0,0,0
43,376191,"Map\HousingDungeonAuroria1","",0,0,0,0,0,0,0,0,0
44,376193,"Map\Housing1x1DungeonMeltingPot","",0,0,0,0,0,0,0,0,0
45,376197,"Map\Housing1x1DungeonMayday","",0,0,0,0,0,0,0,0,0
46,376201,"Map\Housing1x1DungeonCreeperCave","",0,0,0,0,680,589,687,595,0
47,376205,"Map\Housing1x1DungeonSpiderTomb","",0,0,0,0,0,0,0,0,0
48,387702,"Map\TorineDungeon","",172,163,0,0,742,508,799,555,2
49,395994,"Map\Coralus","",0,0,0,0,0,0,0,0,0
50,401069,"Map\ShiphandVoidHunter","",52,48,0,0,670,585,687,599,2
51,401224,"Map\ShiphandRageLogic","",0,0,0,0,0,0,0,0,2
52,401780,"Map\Datascape","",0,0,0,0,0,0,0,0,0
53,401934,"Map\KevinHTLFort","",58,62,0,0,650,598,669,616,2
54,401978,"Map\WarplotsMap","",0,0,0,0,0,0,0,0,2
55,401980,"Map\WarplotSkyMap","",0,0,0,0,0,0,0,0,2
56,404784,"Map\KevinTemplate3","",0,0,0,0,0,0,0,0,2
57,404815,"Map\ExcavationSabotage","",0,0,0,0,0,0,0,0,2
58,439475,"Map\ShiphandSpaceMadness","",28,21,0,0,680,592,689,598,0
60,466161,"Map\ShiphandDeepSpaceDisappearance","",0,0,0,0,0,0,0,0,0
61,470708,"Map\PocketCaps","",0,0,0,0,200,74,235,106,0
62,478960,"Map\ShiphandGauntlet","",0,0,0,0,0,0,0,0,0
63,485253,"Map\DruseraMicroInstance1","",0,0,0,0,0,0,0,0,0
64,485262,"Map\DruseraMicroInstance2","",0,0,0,0,0,0,0,0,0
65,485263,"Map\DruseraMicroInstance3","",0,0,0,0,0,0,0,0,0
67,486398,"Map\GeneticArchives","",0,0,0,0,0,0,0,0,0
68,504770,"Map\DruseraInstance4","",0,0,0,0,0,0,0,0,0
69,507230,"Map\InfiniteLabs","",934,675,0,0,52,369,363,564,0
71,535220,"Map\NewCentral","",0,0,0,0,0,0,0,0,0
72,539324,"Map\PCPLevianBay","",0,0,0,0,0,0,0,0,0
73,574830,"Map\GrimvaultCore","",2048,2048,0,264,678,588,687,594,0
74,0,"Map\AdventureFarside","",0,0,0,0,0,0,0,0,0
75,589802,"Map\Housing1x1GenericEldanTestLabDungeon","",0,0,0,0,676,589,687,597,0
76,0,"Map\ShiphandDominionArkship","",0,0,0,0,0,0,0,0,0
80,0,"Map\WorldStory01","",0,0,0,0,0,0,0,0,0
82,0,"Map\ShadesEveInstance","",0,0,0,0,0,0,0,0,0
83,0,"Map\ShiphandLevel6","",0,0,0,0,0,0,0,0,0
84,633908,"Map\AdventureLevianBay","",0,0,0,0,0,0,2170499200,2,0
85,634806,"Map\Malgrave2ElderCubeMicro","",0,0,0,0,676,587,689,597,0
87,638828,"Map\GalerasBanditBeachShip","",0,0,0,0,0,0,2315512064,2,0
90,0,"Map\UltimateProtogamesJuniors","",0,0,0,0,0,0,0,0,0
91,0,"Map\AugmentorsRaid","",0,0,0,0,0,0,0,0,0
92,746297,"Map\Arcterra","ArcterraContinentMap",1000,1000,4294967236,160,600,556,750,617,4
93,0,"Map\DailyLoginBonus","",0,0,0,0,0,0,0,0,0
94,0,"Map\PvPArena2","",0,0,0,0,0,0,0,0,0
95,0,"Map\CommunityHousing","",0,0,0,0,0,0,0,0,0
96,0,"Map\HalloftheHundred","",0,0,0,0,0,0,0,0,0
98,0,"Map\CombatRolesTraining","",0,0,0,0,0,0,0,0,0
99,0,"Map\WorldStory00","",0,0,0,0,0,0,0,0,0
101,0,"Map\ProtostarWinterfest","",0,0,0,0,0,0,0,0,0
102,0,"Map\NewPlayerExperience","",0,0,0,0,0,0,0,0,0
103,0,"Map\MordechaiReturns","",0,0,0,0,0,0,0,0,0
104,0,"Map\RedMoonTerror","",0,0,0,0,0,0,0,0,0
105,0,"Map\ColdbloodCitadel","",0,0,0,0,0,0,0,0,0
107,0,"Map\ShiphandHungerFromtheVoid","",0,0,0,0,0,0,0,0,0
