"ID","localizedTextIdOnEnterCombat00","localizedTextIdOnEnterCombat01","localizedTextIdOnEnterCombat02","localizedTextIdOnEnterCombat03","chanceToSayOnEnterCombat","localizedTextIdOnDeath00","localizedTextIdOnDeath01","localizedTextIdOnDeath02","localizedTextIdOnDeath03","chanceToSayOnDeath","localizedTextIdOnKill00","localizedTextIdOnKill01","localizedTextIdOnKill02","localizedTextIdOnKill03","chanceToSayOnKill"
28,240517,240518,240519,240520,30,240521,240522,240523,240524,40,240525,240526,240527,240528,50
29,240561,240562,240563,240564,30,240565,240566,240567,240568,40,240569,240570,240571,240572,50
30,240748,240749,240750,240751,30,240752,240753,240754,240755,40,240756,240757,240758,240759,50
31,240775,240776,240777,240778,30,240779,240780,240781,240782,40,240783,240784,240785,240786,50
32,0,0,0,0,100,244123,244124,244125,244126,100,0,0,0,0,100
33,244654,244655,244656,244657,100,0,0,0,0,100,0,0,0,0,100
34,244673,244674,244675,244676,100,244677,0,0,0,100,375501,375547,375548,0,100
35,246390,246391,246392,246393,75,246394,246395,246396,246397,75,246398,246399,246400,246401,75
36,246402,246403,246404,246405,75,246406,246407,246408,246409,75,246410,246411,246412,246413,75
37,246418,246419,246420,246421,100,246422,246423,246424,246425,100,246426,246427,246428,246429,100
38,246922,246923,246924,0,100,0,0,0,0,100,246925,246926,246927,0,100
39,252769,252770,0,0,100,252771,0,0,0,100,0,0,0,0,100
40,253086,253087,253088,349379,75,253089,253090,0,0,75,253091,0,0,0,100
41,253094,253095,0,0,75,253096,634198,0,0,50,253097,0,0,0,100
42,253112,253113,0,0,100,253114,253115,0,0,100,253116,253117,0,0,100
43,253121,253122,349380,0,75,253123,253124,0,0,75,253125,253126,0,0,75
44,253288,253289,253290,253291,100,253292,253293,253294,253295,100,253296,253297,253298,253299,100
45,253303,253304,253305,253306,30,253307,253308,253309,253310,40,253311,253312,253313,253314,50
46,253336,253337,253338,0,60,253339,253340,253341,0,60,254164,254165,0,0,100
47,253345,253346,253347,349381,75,253348,0,0,0,75,253349,0,0,0,100
48,258849,258850,258851,258852,40,253528,253529,258853,372296,50,253530,258854,372308,372903,60
49,253566,253567,253568,253569,100,0,0,0,0,0,253570,253571,253572,253574,100
50,253669,253670,253671,253672,75,253677,253678,253679,253681,50,253673,253674,253675,253676,75
51,253682,253683,253684,254645,85,254646,254647,254648,254649,50,0,0,0,0,75
52,254119,254120,254121,254122,40,254123,254124,254125,254126,40,254127,254128,254129,254130,40
53,254157,0,0,0,100,254158,0,0,0,100,254159,0,0,0,100
54,254244,254245,254246,254247,50,254248,254249,254250,254251,50,254252,254253,254254,254255,50
55,254265,254266,254267,254268,50,254269,254270,254271,254272,50,254273,254274,254275,254276,50
56,254277,254278,254279,254280,50,254281,254282,254283,254284,50,254285,254286,254287,254288,50
57,254289,254290,254291,254292,100,254293,254294,254295,254296,100,254297,254298,254299,254300,100
58,254301,254302,254303,254304,40,254305,254306,254307,254308,40,254309,254310,254311,254312,40
59,254313,254314,254315,254316,40,254317,254318,254319,254320,40,254321,254322,254323,254324,40
60,254325,254326,254327,254328,50,254329,254330,254331,254332,50,254333,254334,254335,254336,50
61,254337,254338,254339,254340,50,254341,254342,254343,254344,50,254345,254346,254347,254348,50
62,254537,254538,254539,254540,65,254541,254542,254543,254544,40,254545,254546,254547,254548,50
63,254549,254550,254551,254552,50,254553,254555,254556,254557,20,254558,254559,254560,0,20
64,254746,254747,254748,0,50,254749,254750,254751,254752,20,254753,254754,254755,0,20
65,255712,255713,255714,255715,40,255716,255717,255718,0,40,255719,255720,0,0,100
66,255726,255727,255728,0,40,255729,255730,255731,0,40,255732,0,0,0,100
67,255738,255739,0,0,40,255740,255741,0,0,40,255742,0,0,0,100
68,256850,256851,256866,256868,100,256870,539323,0,0,100,256867,256869,256871,0,100
69,256876,256880,256886,256887,100,0,0,0,0,100,256877,256881,0,0,100
70,256895,256896,256897,0,100,0,0,0,0,100,256898,256899,0,0,100
71,256873,256874,256975,256976,40,256875,256894,256901,329122,50,329123,329124,329125,329126,60
72,256913,256914,256916,256990,75,257005,257006,257007,257008,100,329128,329129,329130,329131,100
73,257100,257101,257102,257103,75,257104,257105,257106,350449,75,257107,257108,257109,257110,75
74,257437,257438,257439,257466,66,257440,257441,257442,257465,40,257443,257444,0,0,60
75,257445,257446,257447,257467,66,257448,257449,257450,257469,40,257451,257452,257470,0,60
76,257454,257455,257456,0,66,257457,257458,257459,257460,40,257461,257462,0,0,50
77,257593,257594,257595,0,100,257596,0,0,0,100,425461,0,0,0,100
78,257611,257652,257653,257654,40,257655,257656,257657,257658,50,0,0,0,0,100
79,257702,0,0,0,100,257703,0,0,0,100,0,0,0,0,100
80,257704,0,0,0,100,257705,0,0,0,100,0,0,0,0,100
81,257887,257888,257889,257890,60,257891,257892,257893,257894,50,257895,257896,257897,0,40
82,257909,257910,257911,0,60,257912,257913,257914,257915,50,257916,257917,257918,0,40
83,257932,257933,257934,257935,60,257936,257937,257938,257939,50,257940,257941,257942,257943,40
86,258781,258782,258783,258784,40,258785,258786,258787,258788,50,258789,258790,258791,258792,40
87,259081,259082,259083,259084,40,259085,259086,259087,0,60,259088,259089,259090,0,100
88,259091,259092,259093,259094,40,259095,259096,259097,422960,60,259098,259099,259100,0,100
89,259101,259102,259109,422952,100,259103,259104,259105,422953,100,259106,259107,259108,640488,100
90,259111,259112,259113,259114,40,259115,259116,259117,0,60,259118,259119,259120,0,100
91,259121,259122,259123,259124,40,259125,259126,259127,0,60,259128,259129,640491,0,100
92,259130,259131,259132,259133,100,259134,259135,259136,0,100,259137,259138,640497,640498,100
93,259139,259140,259141,259142,40,259143,259144,640509,0,60,259145,259146,259147,0,100
94,259149,259150,259151,259152,40,259153,259154,640510,0,60,259155,259156,259157,640511,100
95,259162,259163,259164,640512,100,259166,259167,640513,0,100,259158,259159,259160,259161,100
96,259934,259935,259936,259937,60,259938,259939,259940,259941,60,259942,259943,259944,259945,60
97,259949,259950,259951,259952,60,259953,259954,259955,259956,60,259957,259958,259959,259960,60
98,260312,260313,260314,260315,60,260316,260317,260318,260323,50,260319,260320,260321,260322,40
100,260751,260752,260758,260759,60,260760,260763,260764,267080,40,260736,260737,260740,0,100
101,260724,260725,260727,260728,60,260768,260769,260770,260772,40,260730,260731,260734,260735,100
102,260754,260755,260756,260779,60,260773,260774,260775,260777,40,260780,260786,260787,0,100
103,261189,261190,261191,261192,100,261193,261194,261195,261196,100,261197,261198,261199,261200,100
104,261468,261469,261470,261562,60,261521,261522,261523,261558,60,261563,261564,261568,261569,60
105,261570,261571,261572,261573,100,261574,261575,261576,261577,100,261578,261579,261580,261581,100
106,261582,261583,261584,261585,50,261586,261587,261588,261589,50,261590,261591,261592,261593,50
107,261600,261601,261602,261603,100,261604,261605,261606,261607,100,261608,261609,261610,261611,100
108,261657,261658,261659,261660,65,261665,261666,261667,261668,50,261661,261662,261663,261664,85
109,261674,261675,261676,261677,65,261678,261679,261680,261681,50,261682,261683,261684,261685,85
110,261687,261688,261693,261694,65,261695,261696,261697,261698,50,261689,261690,261691,261692,85
111,261715,261716,261717,261718,65,261719,261720,261721,261722,50,261723,261724,261725,261726,85
112,261758,261759,261760,261761,65,261762,261763,261764,261765,50,261766,261767,261768,261769,85
113,261772,261773,261774,261775,65,261776,261777,261778,261779,50,261780,261781,261782,261783,85
114,261789,261790,261791,261792,65,261793,261794,261795,261796,50,261797,261798,261799,261800,85
115,261823,261824,261825,261826,65,261827,261828,261829,261830,50,261831,261832,261833,261834,85
116,261839,261856,261857,261858,60,261859,261860,261861,261862,60,261840,261863,261864,261865,60
117,261843,261844,261845,261846,100,261847,261848,0,0,50,261887,261888,0,0,100
118,261868,261869,261870,261871,100,261872,261873,0,0,50,261882,261883,0,0,100
119,261894,261895,261926,261927,60,261896,261897,261898,261899,60,261900,261901,261928,261929,60
120,261874,261875,261876,261877,100,261878,261879,0,0,50,261880,261881,0,0,100
121,261902,261903,261904,261905,100,261906,261907,0,0,50,261908,261909,0,0,100
122,261913,261914,261915,261916,100,261917,261918,0,0,50,261919,261920,0,0,100
123,261956,261957,320855,320858,60,261958,261959,320864,320865,60,261960,261961,320862,320863,60
124,261964,261965,0,0,60,261966,261967,0,0,60,261968,261969,0,0,60
125,261974,261975,261984,320866,60,261976,261977,320867,320868,60,261978,261979,320869,320870,60
126,261998,261999,0,0,60,261990,261997,0,0,60,262000,262001,0,0,60
127,261993,261994,0,0,60,261995,261996,283652,0,60,261987,262008,0,0,60
128,261980,261981,320851,0,60,261992,262026,262028,0,60,261989,262027,0,0,60
129,262060,262064,262066,0,100,262061,262062,0,0,50,262538,0,0,0,50
130,262101,262104,262105,0,60,262102,262109,262110,0,60,262103,262111,0,0,60
131,262106,262107,262108,262151,60,262112,262251,262261,262288,60,262154,262156,262157,262158,100
132,262116,262117,262118,262124,60,262215,262223,262225,0,60,0,262221,262230,0,100
133,262119,262120,262125,262126,60,262212,262243,262244,0,60,262173,262213,262217,262245,100
134,262370,262371,262372,262373,100,262391,262392,262393,262394,100,262374,262375,262376,262377,100
135,262446,262447,262448,262449,50,262450,262451,0,0,40,262452,262453,0,0,100
136,262539,262540,262541,262542,100,262543,262544,0,0,50,262547,262550,0,0,50
137,262557,262558,262566,262567,50,262568,262569,0,0,50,262570,262571,0,0,100
138,262572,262573,262574,262575,100,262576,262577,0,0,50,262578,262579,0,0,100
139,262580,262583,262587,0,40,262584,262585,0,0,50,262581,262586,0,0,50
140,263036,263037,263038,263039,60,263047,263048,263054,263041,40,0,263049,263050,263051,100
141,264681,264682,264683,264684,70,264686,264687,264688,0,50,264695,0,0,0,100
142,264696,264697,264698,264699,70,264700,264701,264702,0,50,264703,0,0,0,100
143,264706,264707,264708,264709,70,264710,264711,264712,0,50,264713,0,0,0,100
144,264897,264898,264899,264900,60,264901,264902,0,0,60,264903,264904,264905,0,60
145,264983,0,0,0,100,0,0,0,0,100,264984,265010,0,0,100
146,265296,265297,265298,265299,100,265300,0,0,0,100,265301,0,0,0,100
147,265857,0,0,0,100,265858,0,0,0,100,335260,0,0,0,100
148,266117,266118,266119,266120,70,266121,266122,267078,267079,50,266123,266124,266125,287631,50
149,270080,270081,270082,0,100,270083,0,0,0,50,270084,270085,270086,0,100
150,270484,270485,270486,270487,100,270488,270489,270490,270491,60,270492,270493,270494,0,50
151,273517,273518,273519,273520,100,273521,273522,273523,273524,100,273525,273526,273527,273528,100
152,273529,273530,273531,273532,100,273533,273534,273535,273536,100,273537,273538,273539,273540,100
153,275026,275027,275028,275029,50,275030,275031,275032,275033,50,275034,275035,275036,275037,50
154,275042,275043,275044,275045,40,275046,275047,275048,275049,50,275050,275051,275052,275053,60
155,276301,276302,276303,276304,100,276305,276306,276307,276308,100,276309,276310,276311,276312,100
156,277966,277967,277968,277969,35,277970,277971,277972,277973,35,277974,277975,277976,277977,35
157,277983,277984,277985,277986,35,277987,277988,277989,277990,35,277991,277992,277993,277994,35
158,279151,279152,279153,279154,90,279155,279156,279157,279158,80,279159,279160,279161,279162,80
159,280872,280875,280876,280877,100,280878,280879,280880,280881,100,280882,280883,280884,280885,100
160,281396,281397,281398,281399,70,0,0,0,0,100,0,0,0,0,100
161,281403,281404,281405,281406,70,0,0,0,0,100,0,0,0,0,100
162,282682,282683,282684,282685,100,282686,282687,282688,282689,100,282690,282691,282692,282693,100
163,282696,282697,282698,282699,50,282700,282701,282702,282703,50,282704,282705,282706,282707,50
165,283663,283664,0,0,60,283665,283666,0,0,60,283667,283668,0,0,60
166,283677,283678,283679,286440,100,283680,283681,283682,286441,100,283683,283684,283685,286442,100
167,284801,284802,284803,284804,100,284805,284806,0,0,100,284807,284808,284809,0,100
168,285660,285661,285662,285663,60,285667,285668,0,0,50,285669,0,0,0,40
169,286368,286369,286378,0,100,286370,286371,286379,0,100,286372,286373,286374,286380,100
170,287117,287118,287119,287121,40,287122,287123,287124,287125,40,287126,287127,287128,287129,40
171,287131,287132,287133,287134,40,287135,287136,287137,287138,40,287139,287140,287141,287142,40
172,287154,287155,287156,287157,40,287158,287159,287160,287161,40,287162,287163,287164,287165,40
173,287166,287167,287168,287169,40,287170,287171,287172,287173,40,287174,287175,287176,287177,40
174,287184,287185,287186,287187,40,287188,287189,287190,287191,40,287192,287193,287194,287195,40
175,287197,287198,287199,287200,40,287201,287202,287203,287205,40,287206,287208,287209,287210,40
176,287215,287216,287217,287218,100,287219,287220,287221,287222,100,287223,287224,287225,287226,100
177,287509,287510,287511,287512,40,287513,287514,287515,287516,40,287517,287518,287519,287520,40
178,289272,289273,289274,289275,75,289282,289283,289284,289286,66,289276,289280,289285,324994,66
179,289287,289288,289289,324974,100,289290,289291,325036,0,100,289292,289293,289294,325037,100
180,291930,291961,0,0,60,291931,291966,0,0,60,291932,291965,0,0,60
181,291929,291958,0,0,60,291934,291959,0,0,60,291942,291967,0,0,60
182,291928,291943,0,0,60,291935,291945,0,0,60,291933,291944,0,0,60
183,291972,291973,0,0,60,291974,291975,0,0,60,291976,291977,0,0,60
184,292372,292379,0,0,60,292373,0,0,0,60,292374,0,0,0,60
186,292440,292441,292442,292443,60,292444,292445,0,0,60,292446,292447,0,0,60
187,292517,292518,292519,0,60,292522,0,0,0,60,292523,292524,0,0,60
188,292548,292549,292550,0,60,292551,292552,0,0,60,292553,292554,0,0,60
189,292558,292564,0,0,60,292565,0,0,0,60,292556,292567,0,0,60
190,292559,292560,0,0,60,292561,292562,0,0,60,292563,0,0,0,60
191,292568,292572,0,0,60,292569,292570,0,0,60,292580,0,0,0,60
192,292573,292574,292575,0,6,292576,292577,0,0,60,292578,292579,0,0,60
193,292583,292587,0,0,60,292585,292586,0,0,60,292584,0,0,0,60
195,292723,292724,292725,292726,30,292727,292728,292729,292730,40,292731,292732,292733,292734,50
196,292736,292737,292738,292739,30,292740,292741,292742,292743,40,292744,292745,292746,292747,50
197,292748,292749,292750,292751,30,292753,292754,292755,292756,40,292757,292758,292759,292760,50
198,292763,292764,292765,292766,30,292767,292768,292769,292770,40,292771,292772,292773,292774,50
199,292777,292778,292779,292780,100,292781,292782,292783,292784,100,292785,292786,292787,292788,100
200,292825,292826,292827,292828,30,292829,292830,292831,292832,40,292833,292834,292835,292836,50
201,292849,292850,292851,292852,30,292853,292854,292855,292856,40,292857,292858,292859,292860,50
202,292789,292790,292791,292792,100,292793,292794,292795,292796,100,292797,292798,292799,292800,100
203,292808,292809,292810,292811,100,292812,292813,292814,292815,100,292816,292817,292818,292819,100
204,292875,292876,292877,0,100,292878,292879,292880,0,100,292881,292882,292884,0,100
205,294139,0,0,0,100,294148,0,0,0,100,294659,0,0,0,100
206,295020,295021,295031,0,60,295022,295023,295032,0,60,295024,295025,0,0,40
207,295026,295027,295028,0,100,295029,0,0,0,100,295030,0,0,0,100
208,295470,295471,295472,295473,65,295475,295476,295477,295478,65,0,0,0,0,0
209,295479,295480,295481,295482,65,295483,295484,295485,295486,65,0,0,0,0,0
210,295541,295542,295543,295544,30,295545,295546,295547,295548,40,295549,295550,295551,295552,50
211,295683,295684,295685,295686,100,295687,295688,295689,0,60,295690,295691,0,0,60
212,297409,297410,297411,297412,60,297413,297414,297415,297416,60,0,0,0,0,0
213,297909,297910,297911,297912,60,297913,297914,297915,0,60,297916,297917,297918,297919,60
214,297938,297939,297940,297941,100,297942,297943,0,0,100,297944,297945,0,0,100
215,298806,298807,298808,298809,85,298810,298811,298812,298813,66,298814,298815,298816,298818,66
216,300177,300178,300179,0,100,300180,300181,300182,0,100,300183,300184,300185,0,100
217,300290,0,0,0,100,300291,300292,300293,0,100,300294,300295,300296,0,100
218,300346,0,0,0,100,0,0,0,0,100,300347,0,0,0,100
219,300570,300571,300572,300573,30,300574,300575,300576,300577,40,300578,300579,300580,300581,50
220,300584,300585,300586,300587,30,300588,300589,300590,300591,40,300592,300593,300594,300595,50
221,300596,300597,300598,300599,30,300600,300601,300602,300603,40,300604,300605,300606,300607,50
222,300620,300621,300622,300623,100,300624,300625,300626,300627,100,300628,300629,300630,300631,100
223,300668,300669,300670,0,25,300671,300672,300673,300680,25,300674,300675,300676,0,25
224,301243,301244,301245,301246,100,301247,301248,301249,301250,60,301251,301252,301253,301254,60
225,301984,301985,301986,301987,40,301988,301989,301990,301991,50,301992,301993,301994,301995,60
226,301996,301997,301998,301999,40,302000,302001,302002,302003,50,302004,302005,302006,302007,60
227,303389,303390,303391,303392,40,303393,303394,303395,303396,50,303397,303398,303399,303400,60
228,303401,0,0,0,100,0,0,0,0,100,303402,0,0,0,100
229,303626,303627,303628,303629,100,303630,303631,303632,303633,100,303634,303635,303636,303637,100
230,304151,0,0,0,100,304152,0,0,0,100,304153,0,0,0,100
231,304277,0,0,0,100,304278,0,0,0,100,304279,0,0,0,100
232,305091,0,0,0,100,305092,0,0,0,100,0,0,0,0,100
233,305864,305865,305866,325044,70,305867,305887,305888,325045,50,305868,325046,325051,325065,100
234,305870,305871,305872,325049,70,305873,305879,305889,325052,50,305874,325048,325054,325064,100
235,305880,305881,305882,325086,70,305883,305884,305886,325056,50,305885,325063,325079,325080,100
236,306142,306143,306144,0,75,306145,306146,306147,306150,100,0,0,0,0,100
237,306326,0,0,0,100,306327,0,0,0,100,306328,0,0,0,100
238,306384,306385,306386,0,100,0,0,0,0,100,0,0,0,0,100
239,306578,306579,306580,306581,85,306582,306583,306584,306585,66,306586,306587,306588,306589,66
240,307624,307625,307626,307627,75,307628,307629,307630,307631,75,307632,307633,307634,307635,75
241,307718,0,0,0,100,307719,0,0,0,100,307720,0,0,0,100
242,307747,307748,307749,307750,45,307751,307752,307753,307754,65,307755,307756,307757,307758,65
243,307761,307762,307763,307764,45,307765,307766,307767,307768,65,307769,307770,307771,307772,65
244,308067,0,0,0,100,308068,0,0,0,100,308069,0,0,0,100
245,308070,0,0,0,100,308071,0,0,0,100,308072,0,0,0,100
246,308074,409565,409566,0,100,308075,409567,0,0,100,308076,0,0,0,100
247,308287,325084,0,0,100,308288,0,0,0,100,308289,308290,0,0,100
248,308382,308383,308384,308385,30,308386,308387,308388,308389,40,308390,308391,308392,308393,50
249,308394,0,0,0,100,308395,0,0,0,100,308396,0,0,0,100
250,308397,0,0,0,100,308398,0,0,0,100,308399,0,0,0,100
251,308400,0,0,0,100,308401,0,0,0,100,308402,0,0,0,100
252,308405,308406,308407,308408,30,308409,308410,308411,308412,40,308413,308414,308415,308416,50
253,308417,308418,308419,308420,30,308421,308422,308423,308424,40,308425,308426,308427,308428,50
254,308431,308432,308433,308434,30,308435,308436,308437,308438,40,308439,308440,308441,308442,50
255,308453,308454,308455,308456,30,308457,308458,308459,308460,40,308461,308462,308463,308464,50
256,308476,308477,308478,308479,30,308480,308481,308482,308483,40,308484,308485,308486,308487,50
257,308489,308490,308491,308492,30,308493,308494,308495,308496,40,308497,308498,308499,308500,50
258,308507,308508,308509,308510,30,308511,308512,308513,308514,40,308515,308516,308517,308518,50
259,308540,308541,308542,308543,30,308544,308545,308546,308547,40,308548,308549,308550,308551,50
260,308581,308582,308583,308584,30,308585,308586,308587,308588,40,308589,308590,308591,308592,50
261,308658,308659,308660,308661,40,308662,308663,308664,308665,50,308666,308667,308668,308669,60
262,308691,308692,308693,308694,70,308695,308696,308697,308698,70,308699,308700,308701,308702,70
263,308703,308704,308705,308706,30,308707,308708,308709,308710,30,308711,308712,308713,308714,30
264,309537,309538,309539,325092,100,309540,309541,309542,325093,100,309543,325094,0,0,100
265,309548,309549,309550,309551,100,309553,309557,309558,325096,100,309559,309560,309561,325098,100
266,309822,309823,309825,0,70,0,0,0,0,100,309824,0,0,0,50
267,309917,309918,309930,309980,60,309927,309928,309929,309981,50,309933,309934,309935,0,60
268,309949,309953,309955,0,75,309951,309956,0,0,50,0,0,0,0,100
269,309957,309960,309961,0,75,309958,0,0,0,50,309959,0,0,0,50
270,309995,309996,309997,309998,60,309999,310000,0,0,50,310023,310024,310025,310026,40
271,310043,310044,310046,310048,60,310052,310053,310056,0,50,310058,310061,310062,0,40
272,310718,310719,310720,310721,100,310722,310723,310724,310725,100,310726,310727,310728,310729,100
273,311079,311080,311144,0,75,311083,0,0,0,50,311076,0,0,0,100
274,311086,311092,311139,0,75,311137,311140,311142,0,50,311093,311143,0,0,100
275,311089,311101,311105,311106,75,311102,311117,0,0,50,311103,311118,0,0,100
276,311151,311152,311153,311154,50,311155,311156,311157,311158,50,311159,311160,311161,311162,40
277,311174,311175,311176,311177,60,311178,311179,311180,311181,50,311182,311183,311184,311185,40
278,311219,311221,311258,311259,75,311222,311236,0,0,50,311260,0,0,0,100
279,311238,311239,311240,311241,75,311242,311316,0,0,50,311248,311274,0,0,100
280,311203,311204,311206,311208,75,311217,311243,0,0,50,311250,311251,0,0,100
281,311190,311191,311192,311193,60,311194,311195,311196,311197,50,311198,311199,311200,311201,40
282,311224,311225,311226,311227,50,311228,311229,311230,311231,50,311232,311233,311234,311235,40
283,311262,311263,311264,311265,100,311266,311267,311268,311269,100,311270,311271,311272,311273,100
284,311324,311325,311326,311327,100,311328,311329,311330,311331,100,311332,311333,311334,311335,100
285,311356,311357,311358,311359,50,311360,311361,311365,311371,50,311362,311363,311375,311374,40
286,311575,311576,311577,311578,50,311579,311580,311581,311586,50,311582,311583,311584,311585,40
287,312230,312231,312232,312233,40,312234,312235,312236,312240,50,312241,312243,312244,312250,60
288,312253,312255,384211,384212,100,312260,0,0,0,100,312264,384213,384214,384215,100
289,312658,312659,312660,312661,40,312662,312663,312664,312665,50,382680,382681,382682,382683,60
290,314777,312709,312710,312711,100,312712,312713,312714,312715,100,314778,382695,0,0,100
291,312745,0,0,0,100,312746,0,0,0,100,312747,0,0,0,100
292,312907,0,0,0,100,312908,0,0,0,100,312909,0,0,0,100
293,313286,313287,313288,313289,40,313290,313291,313292,313293,40,313294,313295,313296,313297,40
294,313483,313484,313495,313497,75,313500,313501,313502,0,50,313498,313499,313503,0,100
295,313504,313505,313506,313507,75,313508,313509,313510,0,50,313511,313512,313513,0,100
296,313516,313517,313518,0,50,313519,313520,313521,0,50,313522,313523,313524,0,100
297,313526,313527,313528,313529,40,313530,313531,313532,313533,50,313534,313535,313536,313537,60
298,313538,313539,313546,313547,40,313548,313549,313550,313551,50,313552,313553,313554,313555,60
299,313540,313558,313559,313560,40,313561,313562,313563,313564,50,313565,313566,313567,313568,60
300,313581,313582,313583,313584,40,313585,313586,313587,313588,50,313589,313590,313591,313592,60
301,313597,313598,0,0,100,313599,313600,0,0,100,313601,313602,0,0,100
302,313603,313604,0,0,100,313605,313606,0,0,100,313607,313608,0,0,100
303,313983,313984,313985,313986,40,313987,313988,313989,313990,50,313991,313992,313993,313994,60
304,313971,313972,313973,313974,40,313975,313976,313977,313978,50,313979,313980,313981,313982,60
305,313954,313955,313956,313957,40,313958,313959,313960,313961,50,313962,313963,313964,313965,60
306,313947,313948,0,0,100,313949,313950,0,0,100,313951,313952,0,0,100
307,313998,313999,314000,314001,40,314002,314003,314004,314005,50,314006,314007,314008,314009,60
308,314302,314303,314304,0,100,314305,314306,314307,0,100,314308,314309,314310,314311,100
309,314875,314876,314877,0,35,314878,314879,314880,0,55,314881,314882,314883,0,45
310,314950,314951,314952,314953,40,314954,314955,314956,314957,50,314958,314959,314960,0,60
311,314984,314985,314986,314987,40,314988,314989,314990,314991,50,314992,314993,314994,314995,60
312,314997,314998,314999,315000,40,315001,315002,315003,315004,50,315005,315006,315007,315008,60
313,315015,315016,315017,315018,40,315019,315020,315021,315022,50,315023,315024,315025,315026,60
314,315618,315619,315620,385694,50,315621,385695,385696,385697,50,315622,385698,385699,385700,50
315,316046,316047,316048,0,100,316049,0,0,0,100,316050,316051,0,0,100
316,316451,316452,316453,316454,40,316455,316456,316457,316458,50,316459,316460,316461,316462,60
317,317003,317004,0,0,100,317005,317006,0,0,100,317010,0,0,0,100
318,318060,318061,541601,541602,100,318062,318063,0,0,100,318064,318065,0,0,100
319,318112,318113,541597,541598,100,318114,318115,0,0,100,318116,318117,0,0,100
320,318120,318121,318122,318123,40,318124,318125,318126,318127,50,318128,318129,318130,318131,60
321,318161,318162,318171,384919,100,318163,318164,318172,384920,100,318165,384921,384922,384923,100
322,318202,318203,0,0,100,318204,318205,318332,0,100,318206,318330,318331,0,100
324,318415,318416,318417,0,100,318418,318419,318420,0,100,318421,318422,0,0,100
325,318426,318427,318428,382699,100,318429,382700,382701,382702,100,318430,382703,0,0,100
326,318432,318433,318434,382709,100,318435,382710,382711,0,100,318436,382712,0,0,100
327,318446,318447,318448,382718,100,318449,382719,382720,0,100,318450,382721,0,0,100
328,318484,318485,318490,318491,30,318486,318487,318492,318493,40,318488,318489,318494,318495,50
329,318521,318522,318523,318524,40,318525,318526,318527,318528,50,318529,318530,318531,318532,60
330,318666,318667,318668,318669,40,318670,318671,318672,318673,50,318674,318675,318676,318677,60
331,319941,0,0,0,100,319942,0,0,0,100,319943,0,0,0,100
332,319944,319945,319946,0,40,319947,319948,319949,0,50,319950,319951,319952,0,60
333,319957,0,0,0,100,319958,0,0,0,100,319959,0,0,0,100
334,320872,320873,320874,320875,60,320876,320877,320878,320879,60,320880,320881,320882,320883,60
335,322813,322825,322814,322815,40,322816,322817,322818,322819,50,322820,322821,322822,322823,60
336,323097,323098,323099,0,100,323100,323101,323102,0,100,323103,323104,323105,0,100
