"ID","localizedTextIdName","localizedTextIdTooltip","meterChangeRate","meterMaxValue","flags","hazardTypeEnum","spell4IdDamage","minDistanceToUnit","meterThreshold00","meterThreshold01","meterThreshold02","spell4IdThresholdProc00","spell4IdThresholdProc01","spell4IdThresholdProc02"
49,184401,0,15,30,0,2,28903,0,0,0,0,0,0,0
50,185749,537247,1,20,0,2,29025,0,1,60,0,29021,29022,0
51,192643,0,2.5,100,0,1,0,0,100,0,0,42376,0,0
52,194225,0,-1.6,400,1,0,29758,0,0,0,0,0,0,0
53,194226,0,5,100,34,1,30106,0,0,0,0,0,0,0
54,198445,249554,1,60,28,3,0,10,1,70,100,30246,30247,30248
55,198451,249555,1,60,28,3,0,10,1,70,100,30246,30247,30248
56,198452,249556,1,60,28,3,0,10,1,70,100,30246,30247,30248
57,198453,249557,1,60,28,3,0,10,1,70,100,30246,30247,30248
58,198454,249558,1,60,28,3,0,10,1,70,100,30246,30247,30248
59,198455,249559,1,60,28,3,0,10,1,70,100,30246,30247,30248
60,198456,249560,1,60,28,3,0,10,1,70,100,30246,30247,30248
61,200190,476184,2,25,32,0,30458,0,25,50,75,0,0,0
62,203575,329009,-0.5,100,0,1,0,0,0,50,100,0,0,30664
63,209402,0,1,100,0,1,31021,0,0,0,0,0,0,0
64,213535,0,1,200,0,0,0,0,0,0,0,0,0,0
65,216065,0,2,100,2,2,63689,0,25,50,75,63688,63687,31222
66,222127,0,0,100,0,1,0,0,0,50,100,0,0,0
67,227178,0,-1,300,1,4,0,0,0,0,0,0,0,0
69,240046,0,0,96,4,1,0,0,0,0,0,0,0,0
70,240047,0,0,96,4,1,0,0,0,0,0,0,0,0
71,244851,244852,1,10,0,1,0,0,30,100,0,0,32981,0
72,245391,245392,-1,240,1,0,0,0,80,100,0,0,32981,0
73,250284,250285,1,60,28,3,0,10,1,70,100,30246,30247,30248
74,260351,267698,0,128,20,3,0,3,50,80,0,0,0,0
75,260392,267699,0,128,20,3,0,3,50,80,0,0,0,0
76,260393,267700,0,96,20,3,0,3,50,80,0,0,0,0
78,263156,263159,-1,60,33,4,0,0,0,30,60,0,0,0
79,263252,263253,1,10,0,1,0,0,100,0,0,32981,0,0
80,263254,263255,-1,240,1,0,0,0,1,100,0,35806,35805,0
81,267393,267394,-2.6,100,35,0,0,0,0,0,0,0,0,0
83,279832,279835,-20,1000,9,0,35401,0,0,0,0,0,0,0
84,280296,0,1,16,4,1,35256,8,0,0,0,0,0,0
85,289976,289977,1,100,28,3,0,0,0,0,0,0,0,0
86,293030,293031,0,64,20,3,0,3,50,80,0,0,0,0
87,295409,0,-10,100,3,0,0,0,0,0,0,0,0,0
88,305987,305988,-1,500,1,2,0,0,10,50,90,38177,38178,38180
89,306279,442292,1,100,12,3,0,14,1,50,100,0,0,0
90,321347,321349,0.25,100,2,1,0,0,40,0,0,39798,0,0
91,337229,337230,-1,105,33,4,0,0,0,0,0,0,0,0
92,344914,344915,10,100,0,2,0,0,50,100,0,40381,40391,0
93,345357,345359,20,100,2,2,0,0,0,0,0,0,0,0
94,345362,345363,1,1,2,2,0,0,0,0,0,0,0,0
95,345736,0,1,20,4,1,46860,0,1,50,80,46858,46859,46860
96,347759,0,1,100,20,3,0,1,0,0,0,0,0,0
97,351037,351038,1,100,2,2,0,0,1,0,0,40749,0,0
98,352064,0,15,30,0,2,28903,0,0,0,0,0,0,0
99,439109,439110,-1,150,33,4,0,0,0,0,0,0,0,0
100,357830,357831,3,100,2,2,0,0,15,96,0,45686,45735,0
101,363144,363145,10,100,0,0,0,0,0,0,0,0,0,0
102,363724,363725,-10,150,99,1,0,0,1,0,0,70837,0,0
103,364147,364148,-1,119,33,4,41575,0,0,0,0,0,0,0
104,369427,0,-1,150,1,2,0,0,1,50,100,41880,41882,41884
105,370758,456928,1,40,0,1,0,0,1,50,70,42105,41968,41967
106,372184,372185,0,300,0,1,0,0,0,0,0,0,0,0
108,390473,390474,0.5,100,0,1,0,0,50,0,0,42998,0,0
109,390656,390657,1,100,28,3,0,0,0,0,0,0,0,0
110,391526,391527,1,20,0,0,0,0,100,0,0,42861,0,0
111,392617,392618,1,200,0,0,0,0,100,0,0,42880,0,0
112,393001,0,1.5,250,0,1,0,0,1,0,0,42904,0,0
113,406315,0,1,40,0,1,0,0,1,50,90,0,0,0
114,408224,408225,0,16,4,3,0,0,8,0,0,0,0,0
115,411747,507627,1,150,0,2,44009,0,100,0,0,70582,0,0
116,418472,420599,1,75,4,3,0,1,50,0,0,44477,0,0
117,420940,420941,0.0001,100,33,2,0,0,33,66,99,44645,44657,44667
119,421838,421839,-0.25,100,1,0,0,0,10,40,70,44759,44760,44761
120,422762,422763,7,100,66,1,0,0,0,0,0,0,0,0
121,422777,0,5,10,0,2,44861,0,0,0,0,0,0,0
123,423773,423774,10,100,0,0,45004,0,100,0,0,0,0,0
124,424861,0,10,10,0,2,45017,0,0,0,0,0,0,0
125,426563,426564,0,100,1,2,0,0,10,40,70,44759,44760,44761
126,427815,427816,0,50,20,3,0,3,50,80,0,0,0,0
127,428563,428974,-1,360,33,4,0,0,33,0,0,45527,0,0
128,430773,430774,0,50,20,3,0,3,50,80,0,0,0,0
129,431702,0,5,15,0,0,45805,0,0,0,0,0,0,0
130,432957,432958,1,60,28,3,0,10,1,70,100,45914,45915,45916
131,433570,433571,1,60,28,3,0,10,1,70,100,45914,45915,45916
132,433572,433573,1,60,28,3,0,10,1,70,100,45914,45915,45916
133,433574,433575,1,60,28,3,0,10,1,70,100,45914,45915,45916
134,433576,433577,1,60,28,3,0,10,1,70,100,45914,45915,45916
135,433580,433581,1,60,28,3,0,10,1,70,100,45914,45915,45916
136,433653,433654,1,60,28,3,0,10,1,70,100,45914,45915,45916
137,433655,433656,1,60,28,3,0,10,1,70,100,45914,45915,45916
138,433657,433658,1,60,28,3,0,10,1,70,100,45914,45915,45916
139,433659,433660,1,60,28,3,0,10,1,70,100,45914,45915,45916
140,433661,433662,1,60,28,3,0,10,1,70,100,45914,45915,45916
141,433663,433664,1,60,28,3,0,10,1,70,100,45914,45915,45916
142,433665,433666,1,60,28,3,0,10,1,70,100,45914,45915,45916
143,434566,434567,1,60,28,3,0,10,1,70,100,45914,45915,45916
144,434568,434569,1,60,28,3,0,10,1,70,100,45914,45915,45916
145,434570,434571,1,60,28,3,0,10,1,70,100,45914,45915,45916
146,434572,434573,1,60,28,3,0,10,1,70,100,45914,45915,45916
147,434601,434602,1,60,28,3,0,10,1,70,100,45914,45915,45916
148,434603,434604,1,60,28,3,0,10,1,70,100,45914,45915,45916
149,434846,434847,0,100,20,3,0,3,100,160,0,0,0,0
150,434848,434849,0,100,20,3,0,3,100,160,0,0,0,0
151,434870,0,1,1,2,2,0,0,0,0,0,0,0,0
152,434891,434892,1,60,28,3,0,10,1,70,100,45914,45915,45916
153,434893,434894,1,60,28,3,0,10,1,70,100,45914,45915,45916
154,434895,434896,1,60,28,3,0,10,1,70,100,45914,45915,45916
155,434897,434898,1,60,28,3,0,10,1,70,100,45914,45915,45916
156,435026,435027,1,60,28,3,0,10,1,70,100,45914,45915,45916
157,435028,435029,1,60,28,3,0,10,1,70,100,45914,45915,45916
158,435030,435031,1,60,28,3,0,10,1,70,100,45914,45915,45916
159,435037,435038,1,60,28,3,0,10,1,70,100,45914,45915,45916
160,435039,435040,1,60,28,3,0,10,1,70,100,45914,45915,45916
161,436157,436158,0.7,100,130,1,0,10,2,33,66,46094,46095,46097
162,438675,543211,0.5,100,0,2,46313,0,0,0,0,0,0,0
163,438681,0,1,90,2,2,0,0,25,50,75,46558,46576,46577
164,440036,440037,-1,5,1,4,41048,0,0,0,0,0,0,0
165,442614,442646,0,100,33,0,0,0,1,50,99,47156,63411,63412
166,0,0,0,100,0,0,0,0,0,0,0,0,0,0
167,442935,0,1,20,4,1,46860,0,1,50,80,46858,46859,46860
168,444145,444146,1,350,16,3,0,0,0,0,0,0,0,0
169,445488,445489,0,100,48,0,0,0,0,0,0,0,0,0
170,450232,0,1,100,8,1,0,0,1,100,0,47936,72186,0
171,450280,0,1,120,0,2,47921,0,0,0,0,0,0,0
172,451265,451266,0.5,100,0,2,0,0,1,40,85,47984,47985,47986
173,451287,0,1,100,8,1,0,0,1,100,0,54679,72188,0
174,451288,0,1,100,8,1,0,0,1,100,0,54677,72187,0
175,451295,0,2,100,8,2,0,0,1,100,0,51340,54690,0
176,451311,0,2,100,8,2,0,0,1,100,0,54690,54692,0
177,451312,0,2,100,8,2,0,0,1,100,0,54692,72263,0
178,451317,0,-1,100,9,0,0,0,1,0,100,48769,0,48795
179,451318,0,1,100,8,0,0,0,1,0,100,54694,0,54695
180,451319,0,1,100,8,0,0,0,1,0,100,54697,0,54698
181,453333,453651,1,20,4,1,0,0,1,50,80,48384,48388,48383
182,453420,453421,0,100,1,0,0,0,0,0,0,0,0,0
183,454727,0,2.5,100,0,1,0,0,1,50,100,48869,49128,48902
186,455019,455020,0,50,4,0,0,9,50,80,0,0,0,0
190,463873,463874,2,100,0,1,0,0,10,50,90,50276,50298,50299
191,465806,465807,5,100,66,1,0,0,5,0,0,52523,0,0
192,477035,0,-1,100,1,2,0,0,2,40,80,53406,53407,53408
193,479967,479968,10,100,0,2,0,0,100,0,0,54070,0,0
194,489951,489950,1.66,100,33,4,0,0,0,0,0,55703,0,0
195,491446,491447,1,60,28,3,0,10,1,70,100,30246,30247,30248
196,491448,491449,1,60,28,3,0,10,1,70,100,30246,30247,30248
199,499149,0,4,50,0,1,0,0,1,33,66,0,28402,28403
200,514343,0,1,100,4,3,0,1,0,0,0,0,0,0
201,541448,0,1.5,125,0,2,0,0,1,50,75,63533,63534,63535
202,552532,552533,0,30,20,3,0,3,6,27,0,0,0,0
203,559760,559761,4,100,66,2,0,0,0,0,0,0,0,0
204,561075,561076,1,10,8,1,0,5,100,0,0,42880,0,0
206,567772,567773,-10,150,99,1,0,0,1,0,0,70837,0,0
207,567865,567866,7,100,0,2,0,0,1,50,100,69822,69819,69820
208,568520,568521,1,150,0,2,69903,0,100,0,0,70580,0,0
209,568960,568961,-10,1200,1,0,69963,0,0,0,0,0,0,0
210,569894,569895,3,100,66,1,0,0,5,0,0,70179,0,0
211,570242,570243,0,100,0,3,0,0,0,0,0,0,0,0
212,571169,571170,1,1,98,2,0,0,0,0,0,0,0,0
214,584941,628155,10,300,0,0,72234,0,0,0,0,0,0,0
215,589867,589868,-1,20,17,4,0,0,0,0,0,0,0,0
216,596346,596347,0,45,0,2,0,0,0,0,0,0,0,0
217,609813,0,25,50,4,2,0,0,1,33,66,0,0,0
218,611897,611898,0,120,1,4,0,0,0,0,0,0,0,0
219,614069,614906,-1,240,33,4,0,0,0,0,0,0,0,0
220,614909,614910,-1,260,33,4,0,0,0,0,0,0,0,0
221,615213,615214,-1,30,17,4,0,0,0,0,0,0,0,0
222,615261,615262,-10,200,98,1,0,0,1,0,0,74707,0,0
223,615405,615406,-10,200,97,1,0,0,100,0,0,74695,0,0
224,616430,616431,-1,240,33,4,0,0,0,0,0,0,0,0
225,617208,617209,-1,240,33,4,0,0,0,0,0,0,0,0
226,617212,0,1,100,4,1,0,10,1,33,66,74923,74924,74925
228,617398,0,1,100,4,1,0,10,1,33,66,74946,74948,74949
229,617448,0,1,60,5,2,0,10,1,66,33,74955,74956,74957
230,617449,0,1,60,5,2,0,10,1,66,33,74958,74959,74960
231,617912,617913,0,10,33,2,0,0,0,0,0,0,0,0
232,618392,618393,5,100,2,2,78136,0,1,0,0,78136,0,0
233,619708,0,1,100,4,1,0,10,1,33,66,75231,75233,75234
234,619709,0,1,100,4,1,0,10,1,33,66,75235,75236,75237
235,619929,619948,-2,100,35,2,0,0,0,0,0,0,0,0
236,619936,0,1,100,4,3,0,10,1,33,66,75249,75249,75249
237,619941,0,1,100,4,3,0,10,1,33,66,75251,75251,75251
238,619964,619965,100,100,2,1,0,0,0,0,0,0,0,0
240,622400,622401,0,100,0,3,0,0,0,0,0,0,0,0
241,622402,622403,0,100,0,2,0,0,0,0,0,0,0,0
242,623444,623445,0,100,0,2,0,0,0,0,0,0,0,0
244,627396,627397,0.75,100,0,2,0,0,1,50,100,76084,76082,76081
245,627503,0,0,100,48,2,0,0,5,20,60,0,0,0
247,629450,629451,3,100,0,1,0,0,1,0,0,0,0,0
248,630208,630209,3,100,0,1,0,0,1,0,0,0,0,0
249,638999,639000,0,101,0,2,0,0,20,40,60,77908,77909,77910
250,640112,0,0,300,4,3,0,128,0,0,0,0,0,0
251,640831,642001,0,1750,0,3,0,0,0,0,0,0,0,0
252,644402,644403,-1,119,33,4,78356,0,0,0,0,0,0,0
253,644428,644429,1,60,28,3,0,10,1,70,100,45914,45915,45916
257,685231,0,1,100,0,0,0,0,10,50,90,80336,80338,80338
258,733832,0,3,100,0,2,83365,0,0,0,0,0,0,0
259,741812,741813,0,100,128,2,0,0,0,0,0,0,0,0
