"ID","localizedTextId","itemProficiencyId","flags","tradeSkillId","soundEventIdEquip","vendorMultiplier","turninMultiplier","armorModifier","armorBase","weaponPowerModifier","weaponPowerBase","item2FamilyId"
55,0,0,0,0,0,1,1,0,0,1,0,17
56,0,0,0,0,0,1,1,0,0,1,0,17
57,0,0,0,0,0,1,1,0,0,1,0,17
58,0,0,0,0,0,1,1,0,0,1,0,13
59,0,0,0,0,0,1,1,0,0,1,0,13
60,0,0,0,0,0,1,1,0,0,1,0,13
61,0,0,0,0,0,1,1,0,0,1,0,13
62,0,0,0,0,0,1,1,0,0,1,0,18
63,190402,0,0,0,0,1,1,0,0,1,0,18
64,0,0,0,0,0,1,1,0,0,1,0,18
65,0,0,0,0,0,1,1,0,0,1,0,18
66,0,0,16384,0,0,1,1,0,0,1,0,19
67,190403,0,0,0,0,1,1,0,0,1,0,20
68,190404,0,0,0,0,1,1,0,0,1,0,20
69,190405,0,0,0,0,1,1,0,0,1,0,20
70,190406,0,0,0,0,1,1,0,0,1,0,20
71,190407,0,0,0,0,1,1,0,0,1,0,20
72,190408,0,4,0,0,1,1,0,0,1,0,20
73,190409,0,4,0,0,1,1,0,0,1,0,20
74,0,0,4,0,0,1,1,0,0,1,0,20
75,190410,0,4,0,0,1,1,0,0,1,0,20
76,0,0,0,0,0,1,1,0,0,1,0,20
77,190411,0,64,0,0,1,1,0,0,1,0,23
78,0,0,64,0,0,1,1,0,0,1,0,23
79,0,0,4,0,0,1,1,0,0,1,0,7
80,0,0,0,0,0,1,1,0,0,1,0,7
81,0,0,0,0,0,1,1,0,0,1,0,7
82,190413,0,576,0,0,1,1,0,0,1,0,24
83,0,0,4,0,0,1,1,0,0,1,0,24
84,0,0,228,0,0,1,1,0,0,1,0,24
85,190414,0,16384,0,0,1,1,0,0,1,0,24
86,190415,0,16384,0,0,1,1,0,0,1,0,24
87,190416,0,16388,0,0,1,1,0,0,1,0,24
88,190417,0,224,0,0,1,1,0,0,1,0,5
89,190418,0,224,0,0,1,1,0,0,1,0,5
90,190419,0,0,0,0,1,1,0,0,1,0,5
91,190420,0,0,0,0,1,1,0,0,1,0,5
92,0,0,228,0,0,1,1,0,0,1,0,5
93,0,0,224,0,0,1,1,0,0,1,0,5
94,190421,0,65764,0,0,0.55,1,0,0,1,0,25
95,190422,0,0,0,0,1,1,0,0,1,0,25
96,190423,0,96,0,0,1,1,0,0,1,0,25
97,190424,0,224,0,0,10.3616,1,0,0,1,0,37
98,190425,0,224,0,0,1,1,0,0,1,0,36
99,0,0,224,0,0,1,1,0,0,1,0,26
101,190426,0,0,0,0,1,1,0,0,1,0,25
102,190427,0,0,0,0,1,1,0,0,1,0,27
103,190428,0,224,0,0,1,1,0,0,1,0,27
104,190429,0,0,0,0,2,1,0,0,1,0,27
105,190430,0,0,0,0,1,1,0,0,1,0,25
106,197978,0,1120,13,0,1,1,0,0,1,0,28
107,198464,0,228,0,0,1,1,0,0,1,0,27
108,207878,7,0,1,0,1,1,0,0,1,0,2
109,208354,0,4,0,0,1,1,0,0,1,0,27
110,209126,0,0,15,0,1,1,0,0,1,0,27
111,210823,0,132,0,0,1,1,0,0,1,0,29
113,216472,0,228,0,0,1,1,0,0,1,0,27
115,236901,0,1120,19,0,1,1,0,0,1,0,28
116,251326,0,1120,15,0,1,1,0,0,1,0,28
117,251328,0,1120,18,0,1,1,0,0,1,0,28
118,281869,0,0,0,0,1,1,0,0,1,0,27
119,414887,0,224,0,0,1,1,0,0,1,0,27
120,455039,0,32868,0,0,1,1,0,0,0,0,27
121,632415,0,0,0,0,1,1,0,0,1,0,30
122,0,0,228,0,0,1,1,0,0,1,0,24
123,632416,0,0,0,0,1,1,0,0,1,0,30
124,632417,0,0,0,0,1,1,0,0,1,0,30
125,568659,0,0,22,0,1,1,1,0,1,0,33
126,568667,0,228,0,0,1,1,0,0,1,0,27
127,568679,0,0,2,0,1,1,0,0,1,0,16
128,573260,0,98532,0,0,1,1,0,0,1,0,31
130,573488,0,32768,0,0,1,1,0,0,1,0,32
131,577295,0,0,22,0,1,1,1,0,1,0,33
132,577296,0,0,22,0,1,1,1,0,1,0,33
133,577297,0,0,22,0,1,1,1,0,1,0,33
134,577298,0,0,22,0,1,1,1,0,1,0,33
135,577299,0,0,22,0,1,1,1,0,1,0,33
136,577300,0,0,0,0,1,1,1,0,1,0,6
137,577301,0,0,22,0,1,1,1,0,1,0,6
138,585414,0,4,0,0,1,1,0,0,1,0,25
139,659241,0,65568,0,0,1,1,0,0,1,0,35
140,659242,0,65568,0,0,1,1,0,0,1,0,35
141,659243,0,65568,0,0,1,1,0,0,1,0,35
142,676885,0,0,0,0,1,1,0,0,1,0,25
143,685915,0,0,0,0,1,1,0,0,1,0,27
175,695404,0,0,22,0,1,1,1,0,1,0,33
176,695405,0,0,22,0,1,1,1,0,1,0,33
177,696414,0,0,22,0,1,1,0,0,0,0,27
178,705579,0,65536,0,0,1,1,0,0,1,0,35
179,721786,0,4,0,0,1,1,0,0,1,0,33
180,732626,0,1120,0,0,1,1,0,0,1,0,28
181,738747,0,65536,0,0,1,1,0,0,1,0,31
182,746454,0,65568,0,0,1,1,0,0,1,0,35
184,0,5,224,0,0,1,1,0,0,1,0,26
185,0,7,224,0,0,1,1,0,0,1,0,26
186,0,9,224,0,0,1,1,0,0,1,0,26
187,0,21,224,0,0,1,1,0,0,1,0,26
188,0,13,224,0,0,1,1,0,0,1,0,26
189,0,19,224,0,0,1,1,0,0,1,0,26
191,754778,0,0,0,0,1,1,0,0,1,0,40
193,763241,0,32768,0,0,1,1,0,0,1,0,16
194,763365,0,0,0,0,1,1,0,0,1,0,42
195,766977,0,65760,0,0,1,1,0,0,1,0,43
