"ID","Description","density","clutterFlags","assetPath0","assetPath01","assetPath02","assetPath03","assetPath04","assetPath05","assetWeight0","assetWeight01","assetWeight02","assetWeight03","assetWeight04","assetWeight05","flag0","flag01","flag02","flag03","flag04","flag05","minScale0","minScale01","minScale02","minScale03","minScale04","minScale05","rotationMin0","rotationMin01","rotationMin02","rotationMin03","rotationMin04","rotationMin05","rotationMax0","rotationMax01","rotationMax02","rotationMax03","rotationMax04","rotationMax05","emissiveGlow00","emissiveGlow01","emissiveGlow02","emissiveGlow03","emissiveGlow04","emissiveGlow05"
19,"Galeras_82_BaseGrass",100,2,"Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_000.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_000.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_001.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_002.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Grass_003.m3","Art\Terrain\_Galeras\Clutter\Clutter_Galeras_Plant_013.m3",0.015,0.25,0.25,0.25,0.25,0.02,6,6,6,6,6,2,1,1,1,1,1,1,0,0,0,0,0,-0.436332,0,0,0,0,0,0.436332,0,0,0,0,0,0
20,"Ellevar_MossyStones",20,2,"Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_000.M3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_001.M3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_002.M3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_003.M3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_004.M3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRoundStonesMossy_GreyGreen_005.M3",1,1,1,1,1,1,6,6,6,6,6,6,1.3,1.3,1.4,1.2,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Auroria_Hay",350,0,"Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_002.m3","","","",0.05,0.1,1,0,0,0,6,6,6,6,6,6,0.1,1.5,1,1,1,1,0,0,-0.349066,0,0,0,0.698132,0,0,0,0,0,0,0,0,0,0,0
22,"Auroria_GreenGrass",500,2,"Art\Terrain\_Auroria\Clutter\Clutter_Grass_Short_Auroria\Clutter_Grass_Short_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Grass_Short_Auroria\Clutter_Grass_Short_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Grass_Short_Auroria\Clutter_Grass_Short_Auroria_002.m3","Art\Terrain\_Auroria\Clutter\Clutter_Grass_Short_Auroria\Clutter_Grass_Short_Auroria_003.m3","Art\Terrain\_Auroria\Clutter\Clutter_Grass_Short_Auroria\Clutter_Grass_Short_Auroria_004.m3","",1,1,1,1,0.2,0,6,6,6,6,6,6,1.8,1.4,1.75,1.95,0.45,1,-0.349066,-0.261799,0,0,0,0,0.349066,0.261799,0,0,0,0,0,0,0,0,0,0
23,"Auroria_crop",400,2,"Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_002.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_003.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_005.m3","Art\Terrain\_Auroria\Clutter\Clutter_Crop_Auroria\Clutter_Crop_Auroria_004.m3",1,1,1,1,1,1,6,6,6,6,6,6,0.3,0.3,0.3,0.3,0.3,0.3,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
27,"Tims Testy",150,0,"Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_000.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_001.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_002.me3","Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_003.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_005.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_CropLeafy_Green_004.m3",1,2,3,4.5,6,7.8,0,4,0,6,6,6,0.3,0.4,0.5,0.6,0.71,12,-3.14159,-3.14159,0.0698132,0.0523599,0.0349066,-3.14159,-3.14159,0.785398,0.523599,1.0472,0.174533,3.14159,0,0,0,0,0,0
28,"None",0,0,"","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"Celestion_Pods",300,0,"Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_000.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_001.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_002.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_003.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_004.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestion_Plant_PodSpongyMoist_Green_005.m3",3,4,3,0.25,0.25,0.25,4,4,4,4,4,4,0.1,0.1,0.1,2,1,1,-0.715585,-0.698132,-0.523599,-0.523599,-0.523599,-0.523599,0.698132,0.698132,0.523599,0.523599,0.523599,0.523599,0,0,0,0,0,0
30,"Celestion_Leaf",30,0,"Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_000.m3","Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_001.m3","Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_002.m3","Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_003.m3","Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_004.m3","Art\Terrain\Leaf\Clutter\Clutter_Leaf_VinesMossy_Green_005.m3",1,1,1,1,1,1,6,6,6,6,6,6,0.2,0.2,0.2,0.2,0.2,0.2,-3.12414,-3.10669,-3.10669,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
31,"Celestion_MossRocky",20,2,"Art\Terrain\_Celestian\Clutter\Clutter_Celestian_Moss_RockySpeckled_Green_000.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestian_Moss_RockySpeckled_Green_001.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestian_Moss_RockySpeckled_Green_002.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestian_Moss_RockySpeckled_Green_003.m3","Art\Terrain\_Celestian\Clutter\Clutter_Celestian_Moss_RockySpeckled_Green_004.m3","",2,1,1,1,1,0,2,2,2,2,2,6,2,0.5,0.5,0.5,1,1,-3.12414,-3.10669,-3.10669,-3.10669,-3.10669,0,3.12414,3.12414,3.12414,3.12414,3.10669,0,0,0,0,0,0,0
32,"Murkmire_Grass",60,0,"Art\Terrain\Grass\Clutter\Clutter_Grass_LongMessy_RustDark_000.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_LongMessy_RustDark_001.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_LongMessy_RustDark_002.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_LongMessy_RustDark_003.m3","","",1,1,0.1,0.1,0,0,6,6,6,0,0,0,0.1,0.1,0.1,0.1,0,0,-3.12414,-3.12414,-3.12414,-3.12414,0,0,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0,0,0
33,"Murkmire_MossyGrass",60,0,"Art\Terrain\Grass\Clutter\Clutter_Grass_NastyMossy_GreenOlive_000.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_NastyMossy_GreenOlive_001.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_NastyMossy_GreenOlive_002.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_NastyMossy_GreenOlive_003.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_NastyMossy_GreenOlive_004.m3","",1,1,1,1,0.3,0,6,6,6,0,0,0,0.5,0.5,0.4,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Auroria_Hay+WildFlowers",600,2,"Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_000.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_001.m3","Art\Terrain\_Auroria\Clutter\Clutter_Hay_Short_Auroria\Clutter_Grass_Hay_Short_Auroria_002.m3","","","",6,0.5,0.5,0,0,0,6,6,6,6,6,6,0.1,1.4,1.3,1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Auroria_Obsidian_Gravel",24,2,"Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_000.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_001.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_002.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_003.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_004.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_Obsidian_GreyDark_005.m3",1,1,1,1,1,1,6,6,6,6,6,6,2,1.7,2.2,1.6,2.5,1.8,-0.523599,-0.523599,-0.523599,-0.523599,-0.523599,-0.523599,0.523599,0.523599,0.523599,0.523599,0.523599,0.523599,0,0,0,0,0,0
36,"Whitevale_Gravel",30,2,"Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_000.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_001.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_002.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_003.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_004.m3","Art\Terrain\Gravel\Clutter\Clutter_Gravel_SmoothRound_Purple_005.m3",1,1,1,1,1,1,6,6,6,6,6,6,0.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"Whitevale_snow_sprigs",1,2,"Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_00.m3","Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_01.m3","Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_02.m3","Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_03.m3","Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_04.m3","Art\Terrain\Snow\Clutter\Clutter_Snow_Sprigs_BlueLight_05.m3",0.1,1,1,1,1,1,6,6,6,6,6,6,4,5,3,1,2,2,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,-3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
38,"Whitevale_mud",10,2,"Art\Terrain\Mud\Clutter\Clutter_Mud_DriedBubbly_BrownPurple_000.m3","Art\Terrain\Mud\Clutter\Clutter_Mud_DriedBubbly_BrownPurple_001.m3","Art\Terrain\Mud\Clutter\Clutter_Mud_DriedBubbly_BrownPurple_002.m3","Art\Terrain\Mud\Clutter\Clutter_Mud_DriedBubbly_BrownPurple_003.m3","Art\Terrain\Mud\Clutter\Clutter_Mud_DriedBubbly_BrownPurple_004.m3","",1,1,1,1,0.5,0,6,6,6,6,6,6,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"Olyssia_Grass_Lily",250,0,"Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_000.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_001.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_002.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_003.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_004.m3","Art\Terrain\Grass\Clutter\Clutter_Grass_CrispLongDirectional_CoolGreenDark_005.m3",0.55,0.55,0.03,0.01,0.01,0.01,6,6,6,6,6,6,1,1,0.7,1,0.5,1,0,0,0,0,0,0,0,0,2.61799,0,2.61799,2.61799,0,0,0,0,0,0
40,"Olyssia_DarkPods",350,0,"Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_000.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_001.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_002.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_003.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_004.m3","Art\Terrain\Plant\Clutter\Clutter_Plant_PodSpongyMoist_DarkGreen_005.m3",3,3,3,0.1,0.1,0.1,6,6,6,4,4,4,1,1,1,1,1.5,1,-0.698132,-0.698132,-0.523599,-0.523599,-0.523599,-0.523599,0.698132,0.698132,0.523599,0.523599,0.523599,0.523599,0,0,0,0,0,0
41,"Deradune_Grass_Short",350,2,"Art\Terrain\_Deradune\Clutter\Clutter_Grass_Short_Deradune\Clutter_Grass_Short_Deradune_000.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_Short_Deradune\Clutter_Grass_Short_Deradune_001.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_Short_Deradune\Clutter_Grass_Short_Deradune_002.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_Short_Deradune\Clutter_Grass_Short_Deradune_003.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_Plants_Deradune\clutter_grass_plants_flower_deradune_000.m3","",0.5,0.5,0.5,0.5,0.009,0,2,2,2,2,2,2,1.2,1.8,1.2,1.7,0.3,1,-0.0872665,-0.0872665,0,-0.0872665,-0.0872665,0,0.0872665,0.0872665,0.0872665,0.0872665,0.0872665,0,0,0,0,0,0,0
42,"Deradune_Grass_Long",350,0,"Art\Terrain\_Deradune\Clutter\Clutter_Grass_HayLongDirectional_Deradune\Clutter_Grass_HayLongDirectional_Deradune_000.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_HayLongDirectional_Deradune\Clutter_Grass_HayLongDirectional_Deradune_001.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_HayLongDirectional_Deradune\Clutter_Grass_HayLongDirectional_Deradune_002.m3","Art\Terrain\_Deradune\Clutter\Clutter_Grass_HayLongDirectional_Deradune\Clutter_Grass_HayLongDirectional_Deradune_002.m3","","",0.05,0.8,0.04,0.4,0,0,6,6,6,6,6,6,0.5,1.2,3,2.2,1,1,0,0,-0.349066,-0.349066,0,0,0.698132,0,0,0,0,0,0,0,0,0,0,0
43,"NorthernWilds_FrostGrass",500,2,"Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Snowy_NWilds_000.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Snowy_NWilds_001.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Snowy_NWilds_002.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_AlienWeed_Snowy_NWilds_000.m3","Art\Terrain\_NorthernWilds\Clutter\grass\Clutter_Grass_SoftShortDirectional_Snowy_NWilds_002.m3","",1,1,1,0.05,0.05,0,6,6,6,6,6,6,1.5,1,1.75,2,1.25,1,-0.0349066,-0.0523599,-0.0349066,-0.0349066,0,0,0.0349066,0.0523599,0.0349066,0.0349066,0,0,0,0,0,0,0,0
44,"Malgrave_Gravel",20,2,"Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_000.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_001.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_002.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_003.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_004.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Gravel_Malgrave\Clutter_Gravel_Malgrave_005.m3",1,1,1,1,1,1,6,6,6,6,6,6,2.5,2.5,2.5,2.5,2.5,2.5,0,0,0,0,0,0,3.12414,3.12414,3.12414,3.12414,3.12414,3.12414,0,0,0,0,0,0
45,"Malgrave_Dirt",2.5,0,"Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Cactus_Malgrave_000.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Cactus_Malgrave_001.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Flower_Malgrave_006.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_005.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Plants_Malgrave\Clutter_Dirt_Plants_Scrub_Malgrave_004.m3","",0.01,0.01,0.01,0.25,0.01,0.012,2,2,2,0,2,2,2.5,1.25,3,2.25,1.5,3,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,-3.10669,3.12414,3.12414,3.10669,3.10669,3.10669,3.10669,0,0,0,0,0,0
46,"Malgrave_Sand",5,0,"","Art\Terrain\_Malgrave\Clutter\Clutter_Sand_Plants_Malgrave\Clutter_Sand_Plants_Scrub_Malgrave_005.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Sand_Bones_Malgrave\Clutter_Sand_Bones_Malgrave_005.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Sand_Plants_Malgrave\Clutter_Sand_Plants_Twiggy_Malgrave_004.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Sand_Plants_Malgrave\Clutter_Sand_Plants_Flower_Malgrave_001.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Sand_Plants_Malgrave\Clutter_Sand_Plants_Flower_Malgrave_000.m3",0.02,8,31,3,1,1,2,2,2,0,2,2,2.5,3.25,2,1,3,3,-3.12414,-3.12414,-3.12414,-3.10669,-3.10669,-3.10669,3.12414,3.12414,3.10669,3.10669,3.10669,3.10669,0,0,0,0,0,0
47,"Malgrave_DryCracked",10,0,"Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Malgrave\Clutter_Dirt_Malgrave_006.m3","Art\Terrain\_Malgrave\Clutter\Clutter_Dirt_Malgrave\Clutter_Dirt_Malgrave_003.m3","","","","",0.5,1,0,0,0,0,6,0,0,0,0,0,2,2,3,1.75,0.5,1,-3.12414,-3.12414,0,0,0,0,3.12414,3.12414,0,0,0,0,0,0,0,0,0,0
