"ID","localizedTextIdName","localizedTextIdBriefing","localizedTextIdEndSummary","flags","worldZoneId","percentToDisplay","questHubIdExile","questHubIdDominion"
427,162465,185840,185841,65,463,0,8,0
428,163266,163267,163268,129,126,0,88,0
430,165754,165755,165756,65,121,0,95,0
431,167678,167679,181705,65,993,0,76,0
433,170793,192011,192015,65,1345,0,97,0
434,171555,171653,171654,129,1345,0,99,0
435,171655,171656,171657,145,1345,0,100,0
436,172829,173170,173171,65,1345,0,103,0
437,175725,175726,175727,129,1345,0,98,0
438,175515,175516,175521,65,1345,0,102,0
442,189861,189865,189866,145,121,0,96,0
443,190121,190126,190128,65,455,0,21,0
444,190739,190740,190741,130,141,0,0,107
445,191153,191154,191155,66,141,0,0,104
447,191670,208663,208664,34,141,0,0,108
448,192543,379965,379966,130,141,0,0,105
449,194723,194724,0,0,262,0,0,0
450,194732,194733,194734,0,262,0,0,0
451,194738,194739,0,0,262,0,0,0
452,194754,194755,0,0,262,0,0,0
453,194760,194761,0,0,262,0,0,0
454,199248,378282,378338,130,141,0,0,106
455,201850,218323,218330,66,583,0,0,41
457,202988,202989,202990,131,143,0,113,113
458,202992,202993,202994,147,143,0,111,111
463,203369,203374,247045,66,622,0,0,31
464,203437,203438,486829,66,622,0,0,32
465,203436,207318,207319,34,622,0,0,33
466,203490,203491,203492,131,143,0,112,112
467,204548,204549,486822,66,622,0,0,0
468,204661,204662,204663,66,1228,0,0,58
469,204732,204766,380303,130,583,0,0,40
471,205255,380297,380300,130,583,0,0,38
473,205747,205748,205749,65,143,0,110,0
474,205897,205898,205899,66,1228,0,0,59
475,207014,207015,207016,130,1228,0,0,60
476,208306,208307,208308,130,1228,0,0,61
477,207921,207922,207923,66,1228,0,0,62
480,214577,364958,364959,146,583,0,0,39
483,222298,222299,486770,66,1304,0,0,28
484,222300,222302,486806,34,1304,0,0,29
485,222301,222303,486808,66,1304,0,0,30
486,222333,222334,222335,131,203,0,114,114
487,223252,380001,380002,35,203,0,117,117
488,223525,223526,223527,65,203,0,115,0
489,223530,223528,223529,66,203,0,0,116
490,223554,223555,223556,66,697,0,0,66
491,223693,223694,223695,35,203,0,118,118
492,227481,302118,302119,34,619,0,0,42
493,230537,302518,302520,34,619,0,0,43
494,230557,297732,297733,130,619,0,0,44
495,231155,231156,231157,130,697,0,0,65
496,231625,231626,231627,130,697,0,0,67
497,234526,301578,301579,66,619,0,0,45
499,236130,236131,236132,65,1345,0,101,0
501,239199,239200,239201,65,1405,0,141,0
502,239641,239642,239643,130,1302,0,0,69
503,239757,239758,239759,65,1405,0,139,0
504,240156,404601,404610,129,1412,0,135,0
505,241324,549589,549590,130,1405,0,0,145
506,242354,549592,549593,129,1405,0,140,0
507,241939,241940,241941,66,1405,0,0,143
508,242203,242204,377101,66,871,0,0,212
509,242269,242270,377168,34,871,0,0,0
510,242975,242977,242976,66,1302,0,0,68
511,243293,243294,243295,130,1302,0,0,71
512,243996,243997,243998,130,1405,0,0,142
513,244210,377235,377252,131,871,0,0,0
514,244211,377264,377266,131,871,0,0,0
515,244585,244586,244587,65,1414,0,25,0
516,244591,244592,244593,33,1414,0,26,0
517,244595,244596,244597,65,1414,0,27,0
518,245032,245033,353920,131,1405,0,147,147
519,245123,581219,581220,67,1405,0,146,146
521,247482,247483,247484,130,1302,0,0,70
522,247610,437974,437973,33,1412,0,136,0
523,248755,248756,445090,66,1405,0,0,144
524,250875,437968,437972,34,1412,0,0,132
525,251234,251237,251254,129,1412,0,137,0
526,252244,252246,252245,130,1412,0,0,133
527,252623,252624,252625,66,143,0,0,109
528,253045,404604,404611,130,1412,0,0,131
530,259563,437769,437773,66,78,0,0,11
531,261884,261885,328354,66,79,0,0,19
532,262178,262180,262181,129,1557,0,47,0
535,263141,321652,321655,34,1303,0,0,73
536,263174,263175,263176,130,408,0,0,20
537,263617,263618,263619,34,1303,0,0,72
538,263821,263822,263823,130,78,0,0,13
539,264971,266477,266478,130,1303,0,0,74
541,266092,288062,288063,65,1557,0,48,0
542,266112,266113,344128,65,1557,0,49,0
543,266114,266115,344135,129,1557,0,50,0
544,266473,266474,266475,130,1303,0,0,75
545,267317,267324,267325,66,79,0,0,18
547,270499,270500,328355,66,79,10,0,19
548,271166,437966,437967,130,78,0,0,12
551,288983,321406,321407,34,75,0,0,17
552,289209,289210,289211,65,1675,0,57,0
553,289397,289398,289399,34,75,0,0,16
554,290624,290625,290626,65,1580,0,53,0
555,291939,291940,291941,130,75,0,0,15
556,291860,291861,344144,129,1580,0,51,0
557,292694,292695,344146,65,1675,0,56,0
558,293938,308343,308344,129,1580,0,55,0
559,294274,294275,294276,65,1675,0,54,0
560,298035,344160,344166,33,1580,0,52,0
561,304185,304186,304187,66,1678,0,0,0
563,305143,305144,305145,66,1784,0,0,205
564,305172,305173,305174,65,1784,0,206,0
565,310119,318233,318234,131,1890,0,158,158
567,311390,311391,311392,131,1890,0,156,156
568,312635,387598,387599,67,1890,0,157,157
571,321512,321514,321516,129,121,0,93,0
573,323337,329105,345251,131,1928,0,162,162
575,324470,324471,550680,67,1928,0,163,163
576,324530,324531,324532,66,1949,0,0,207
577,324548,324549,324550,65,1949,0,208,0
583,337131,337132,337133,131,1928,0,161,161
590,346091,346092,346093,33,1928,0,165,0
591,347865,398260,398261,131,1928,0,166,166
592,349382,349383,349487,66,2121,0,0,180
593,349684,443841,443842,66,2067,0,0,174
595,350711,361500,361501,34,1406,0,0,150
598,350919,368762,368784,131,2047,0,0,0
599,350920,360780,360781,131,2047,0,0,0
600,350921,353076,353077,33,2047,0,0,0
601,350922,372353,442977,65,2047,0,0,0
602,350923,372356,372357,65,2047,0,0,0
603,350924,353173,353174,130,2047,0,0,0
604,350925,353194,353195,131,2047,0,0,0
605,350996,370573,370574,34,1413,0,0,119
606,350997,359204,359210,33,1413,0,120,0
608,351716,351717,351718,66,2067,0,0,175
609,351744,351745,351750,34,2067,0,0,176
610,352079,352081,352082,65,1413,0,121,0
611,352368,352369,352370,66,2121,0,0,181
612,352672,445140,565016,35,1406,0,152,152
613,353050,369901,369907,129,1413,0,122,0
614,353051,369910,369908,130,1413,0,0,127
615,353053,369912,369920,65,1413,0,123,0
616,353054,369913,369918,66,1413,0,0,128
618,353592,353593,353594,131,1406,0,148,148
619,354600,354605,354630,131,1406,0,149,149
620,354801,354802,354803,129,1413,0,125,0
621,357672,372201,372207,33,1413,0,124,0
623,359244,445133,581062,35,1406,0,153,153
624,361393,560338,560340,131,1406,0,154,154
625,361492,361493,361494,131,1406,0,155,155
626,362310,580343,580344,66,2067,0,0,177
627,365275,365316,365337,130,1413,0,0,126
628,366942,372203,372206,34,1413,0,0,129
629,367418,367421,367420,130,1413,0,0,130
630,369537,447701,447700,65,2067,0,167,0
631,371217,371219,371227,65,2121,0,184,0
632,371245,371246,371247,65,2121,0,185,0
633,371699,371715,371716,33,1406,0,151,0
635,375901,375902,375903,65,2067,0,168,0
636,375925,375926,375929,33,2067,0,169,0
637,375946,375948,375949,66,2067,0,0,178
638,375951,375952,375955,65,2067,0,170,0
639,375957,375993,375994,130,2067,0,0,179
640,376000,376001,376002,129,2067,0,171,0
641,377102,377103,377105,65,871,0,211,0
642,377176,377177,377178,33,871,0,0,0
643,380739,0,0,0,2209,0,0,0
644,381315,451923,451925,65,2067,0,172,0
645,381040,396406,396409,0,2209,0,0,0
646,381059,405741,405746,1,2210,0,0,0
647,381060,405755,405760,2,2209,0,0,0
648,381312,455222,455223,35,2121,0,186,186
649,381503,381504,381505,0,2206,0,0,0
650,381508,381509,381510,0,2206,0,0,0
653,382837,382838,382839,130,1890,0,0,160
656,384882,384883,384884,0,2209,0,0,0
657,384887,384890,384891,1,2206,0,0,0
658,385115,385117,385118,2,2206,0,0,0
660,386462,386463,0,0,2206,0,0,0
662,386972,386973,386974,129,1890,0,159,0
665,390189,390193,390194,3,2206,0,0,0
668,392383,395927,395923,0,2226,0,0,0
669,392405,392406,392407,0,2206,0,0,0
670,392823,392824,392825,34,1928,0,0,164
671,394663,394664,394665,34,2121,0,0,182
677,397007,397008,397009,35,2121,0,188,189
678,397353,397354,397355,35,2121,0,191,191
680,405767,405770,405772,2,2210,0,0,0
682,404593,405776,405777,1,2209,0,0,0
696,421897,421898,421899,65,799,0,0,0
698,434919,434920,434921,0,799,0,0,0
699,442400,442401,442402,33,122,0,0,0
700,442404,442405,442408,34,2191,0,0,0
701,445728,445729,445730,129,1405,0,138,0
706,473040,473041,473045,33,2121,0,187,0
707,485596,493761,493772,130,2227,0,0,193
708,486889,486890,591072,131,2227,0,197,197
709,489184,497128,497139,65,2227,0,194,0
710,490359,490381,490382,35,2227,0,196,196
711,502637,502638,502639,129,2227,0,195,0
712,517945,517946,517947,131,1412,0,134,134
713,520187,522547,522551,66,2227,0,0,192
714,524343,524344,524345,129,2228,0,199,0
715,524352,524353,524354,130,2228,0,0,202
716,524671,524672,524673,129,2228,0,198,0
717,524676,524677,524678,130,2228,0,0,201
718,528862,528883,528884,67,2228,0,200,200
719,537346,537347,537348,66,2228,0,0,203
720,549574,549575,549576,130,2121,0,0,183
721,549577,549578,549579,129,2121,0,190,0
722,570221,570222,570223,51,4162,0,0,0
727,622441,630868,630869,33,122,0,0,0
728,622966,0,0,34,2191,0,0,0
729,0,0,0,33,4385,0,0,0
730,0,0,0,34,4385,0,0,0
731,629712,631050,631051,34,2191,0,0,0
732,637374,637375,637376,1,2186,0,0,0
733,637384,637385,637386,0,2186,0,0,0
734,640699,640700,640701,65,2228,0,204,0
735,642531,642532,642533,1,122,0,0,0
736,642733,642734,642735,2,2191,0,0,0
737,679881,679882,679883,128,2228,0,0,0
738,684983,684984,684985,33,4763,0,0,0
739,684986,684987,684988,34,4763,0,0,0
740,733258,733259,733260,33,4762,0,0,0
741,733264,733265,733266,34,4762,0,0,0
742,739848,739849,739847,65,4197,0,209,0
743,739850,739851,739852,66,4197,0,0,210
744,742649,743478,743479,33,122,0,0,0
745,742667,743480,743481,34,2191,0,0,0
746,760898,760899,760900,1,12,0,0,0
747,762068,762066,762067,2,12,0,0,0
