"ID","description","creatureActionSetId","state","event","orderIndex","delayMS","action","actionData00","actionData01","visualEffectId","prerequisiteId"
26,"RMCLD - Torch Super Zombie Visual 3",5,0,3,0,0,0,0,0,5814,0
27,"RMCLD - Leech Super Zombie Visual 1",6,0,0,0,0,0,0,0,5815,0
28,"RMCLD - Leech Super Zombie Visual 2",6,1,2,0,0,0,0,0,5815,0
29,"RMCLD - Leech Super Zombie Visual 3",6,0,3,0,0,0,0,0,5815,0
30,"RMCLD - Bomber Super Zombie Visual 1",9,0,0,0,0,0,0,0,5820,0
31,"RMCLD - Bomber Super Zombie Visual 2",9,1,2,0,0,0,0,0,5820,0
32,"RMCLD - Bomber Super Zombie Visual 3",9,0,3,0,0,0,0,0,5820,0
33,"RMCLD - Bulldozer Super Zombie Visual 1",8,0,0,0,0,0,0,0,5819,0
34,"RMCLD - Bulldozer Super Zombie Visual 2",8,1,2,0,0,0,0,0,5819,0
35,"RMCLD - Bulldozer Super Zombie Visual 3",8,0,3,0,0,0,0,0,5819,0
36,"RMCLD - Leaper Super Zombie Visual 1",7,0,0,0,0,0,0,0,5813,0
37,"RMCLD - Leaper Super Zombie Visual 1b",7,0,0,0,0,0,0,0,5818,0
38,"RMCLD - Leaper Super Zombie Visual 2",7,1,2,0,0,0,0,0,5813,0
39,"RMCLD - Leaper Super Zombie Visual 2b",7,1,2,0,0,0,0,0,5818,0
40,"RMCLD - Leaper Super Zombie Visual 3",7,0,3,0,0,0,0,0,5813,0
41,"RMCLD - Leaper Super Zombie Visual 3b",7,0,3,0,0,0,0,0,5818,0
43,"ATPC - Eldan Sentry Beam Base Visual",11,0,0,0,0,0,0,0,0,0
45,"NWilds - 2HGun_Ready",12,0,0,0,0,0,0,0,7038,0
46,"NWilds - 2HGun_Ready 2",12,0,3,0,0,0,0,0,7038,0
48,"NWilds - 2HGun_Ready 3",12,1,2,0,0,0,0,0,7038,0
49,"Default_Birth",13,0,0,0,0,0,0,0,7169,0
50,"Bloody Gibs - Blood 1",14,0,1,0,0,0,0,0,5869,0
51,"Bloody Gibs - Blood 2",14,0,1,0,0,0,0,0,5870,0
52,"Bloody Gibs - Blood 3",14,0,1,0,0,0,0,0,5871,0
53,"Bloody Gibs - Blood 4",14,0,1,0,0,0,0,0,5872,0
54,"Bloody Gibs - Blood 5",14,0,1,0,0,0,0,0,5873,0
55,"Bloody Gibs - Blood 6",14,0,1,0,0,0,0,0,5874,0
56,"Bloody Gibs - Blood 7",14,0,1,0,0,0,0,0,5875,0
57,"Bloody Gibs - Blood 8",14,0,1,0,0,0,0,0,5875,0
58,"Bloody Gibs - Blood 9",14,0,1,0,0,0,0,0,5875,0
59,"Bloody Gibs - Blood 10",14,0,1,0,0,0,0,0,5871,0
60,"Bloody Gibs - Blood 11",14,0,1,0,0,0,0,0,5879,0
61,"Default_Cast_Channel_01 - OrderIndex 1",16,0,0,1,0,0,0,0,7173,0
62,"Default Birth - 4000ms Delay - GotoNext",16,0,0,0,4000,0,0,0,7169,0
63,"Default_Cast_Channel_01 - OnExitCombat",16,0,3,0,0,0,0,0,7173,0
65,"Emote_Cry_Kneeling_Loop",18,0,0,0,0,0,0,0,38112,0
66,"Auoria - Farmer - Hide Weapons",19,0,0,0,0,0,0,0,6589,0
67,"Auoria - Farmer - Hide Weapon",19,0,3,0,0,0,0,0,6589,0
68,"OOC-Sleep Anim-Birth",20,0,0,0,0,0,0,0,4972,0
69,"OOC-Sleep Anim-ExitCombat",20,0,3,0,0,0,0,0,4972,0
70,"OOC-Sleep ZZZs-Birth",20,0,0,0,0,0,0,0,6523,0
71,"OOC-Sleep ZZZs-ExitCombat",20,0,3,0,0,0,0,0,6523,0
74,"Cast Scale 10 OnCreate",22,0,0,0,0,0,0,0,0,0
75,"Northern Wilds - Frostlord",23,0,0,0,0,0,0,0,7432,0
76,"Northern Wilds - Frostlord",23,1,2,0,0,0,0,0,7432,0
77,"Northern Wilds - Frostlord",23,0,3,0,0,0,0,0,7432,0
79,"Northern Wilds -  Crash Survivor",24,0,0,0,0,0,0,0,7434,0
80,"Northern Wilds - Yeti",25,0,0,0,0,2,81,82,7436,0
81,"Northern Wilds - Yeti",25,0,0,0,0,2,80,82,7435,0
82,"Northern Wilds - Yeti",25,0,0,0,0,2,80,81,7437,0
83,"Q4057 - Voting Screen - Visual - Gallow",26,0,0,0,0,0,0,0,7642,0
84,"q3167 scent marker",27,0,0,0,0,0,0,0,5512,0
85,"Q4146 - Invis Unit Effect",28,0,0,0,1,0,0,0,7850,0
86,"w784 left zombie eye",3,0,0,0,0,0,0,0,5601,0
87,"w784 left zombie eye",3,0,3,0,0,0,0,0,5601,0
88,"w784 left zombie eye",3,1,2,0,0,0,0,0,5601,0
89,"w784 right zombie eye",3,0,0,0,0,0,0,0,5602,0
90,"w784 right zombie eye",3,0,3,0,0,0,0,0,5602,0
91,"w784 right zombie eye",3,1,2,0,0,0,0,0,5602,0
92,"debri fire",30,0,0,0,0,0,0,0,7988,0
98,"Trap",32,0,0,0,0,0,0,0,7909,0
99,"Trap flare",33,0,0,0,0,0,0,0,7913,0
100,"Q3766 - Trail 1",34,0,0,0,0,0,0,0,7224,0
101,"Q3766 - Trail 2",34,0,0,0,0,0,0,0,7225,0
102,"Q3766 - Trail 3",34,0,0,0,0,0,0,0,7226,0
103,"Q3766 - Trail 4",34,0,0,0,0,0,0,0,7227,0
104,"Q3766 - Trail 5",34,0,0,0,0,0,0,0,7228,0
105,"Q3766 - Trail 6",34,0,0,0,0,0,0,0,7229,0
106,"Q3766 - Trail 7",34,0,0,0,0,0,0,0,7230,0
107,"Q3766 - Trail 8",34,0,0,0,0,0,0,0,7231,0
109,"Q4111 - Dynamite Bundle",36,0,0,0,0,0,0,0,7961,0
110,"Carry Anim",37,0,0,0,0,0,0,0,10937,0
111,"Carry - Defiance Medical Station",37,0,0,0,0,0,0,0,7367,0
112,"Tutorial - Injured Patients",38,0,0,0,0,0,0,0,8022,0
113,"Q3770 - Puffs of Smoke",39,0,0,0,0,0,0,0,7196,0
114,"Q3770 - Plumes of Smoke",40,0,0,0,0,0,0,0,7197,0
115,"Q3770 - Sparks",41,0,0,0,0,0,0,0,7198,0
116,"Q4209 - Clue Effect",42,0,0,0,0,0,0,0,7942,0
117,"Electro Zapper Charge - Protostar Strip Mine ",43,0,0,0,0,0,0,0,7982,0
118,"Electro Zapper Charge 2 - Protostar Strip Mine ",43,0,0,0,0,0,0,0,7990,0
119,"Auroria - Warhound - LeftEye_Glow",44,0,0,0,0,0,0,0,5601,0
120,"Auroria - Warhound - RightEye_Glow",44,0,0,0,0,0,0,0,5602,0
121,"Auroria - Warhound - LeftEye_Glow",44,0,2,0,0,0,0,0,5601,0
122,"Auroria - Warhound - LeftEye_Glow",44,0,3,0,0,0,0,0,5601,0
123,"Auroria - Warhound - RightEye_Glow",44,0,2,0,0,0,0,0,5602,0
124,"Auroria - Warhound - RightEye_Glow",44,0,3,0,0,0,0,0,5602,0
125,"Q3770 - Fire Trail 1",45,0,0,0,0,0,0,0,8122,0
126,"Q3770 - Fire Trail 2",45,0,0,0,0,0,0,0,8149,0
127,"Q3770 - Fire Trail 3",45,0,0,0,0,0,0,0,8150,0
128,"Q3770 - Fire Trail 4",45,0,0,0,0,0,0,0,8151,0
129,"Q3770 - Fire Trail 5",45,0,0,0,0,0,0,0,8152,0
130,"Q3770 - Fire Trail 6",45,0,0,0,0,0,0,0,8153,0
131,"Q3770 - Fire Trail 7",45,0,0,0,0,0,0,0,8154,0
132,"Q3770 - Fire Trail 8",45,0,0,0,0,0,0,0,8155,0
133,"Q3770 - Smoke Trail 1",45,0,0,0,0,0,0,0,8123,0
134,"Q3770 - Smoke Trail 2",45,0,0,0,0,0,0,0,8156,0
135,"Q3770 - Smoke Trail 3",45,0,0,0,0,0,0,0,8157,0
136,"Q3770 - Smoke Trail 4",45,0,0,0,0,0,0,0,8158,0
137,"Q3770 - Smoke Trail 5",45,0,0,0,0,0,0,0,8159,0
138,"Q3770 - Smoke Trail 6",45,0,0,0,0,0,0,0,8160,0
139,"Q3770 - Smoke Trail 7",45,0,0,0,0,0,0,0,8161,0
140,"Q3770 - Smoke Trail 8",45,0,0,0,0,0,0,0,8162,0
143,"Q4018 Water Effects",47,0,0,0,0,0,0,0,8207,0
144,"Q4018 Water Effects 2",47,0,0,0,0,0,0,0,8208,0
145,"Q4203 - Aura 0",48,0,0,0,0,0,0,0,8210,0
146,"Q4203 - Aura 1",49,0,0,0,0,0,0,0,8211,0
147,"Q4203 - Aura 2",50,0,0,0,0,0,0,0,8212,0
148,"Q4203 - Aura 3",51,0,0,0,0,0,0,0,8213,0
149,"Q4227 - Sniper Flare Placement Spot onCreate",52,0,0,0,0,0,0,0,6860,0
150,"Settler Galeras Tract 1 Exp Buff Machine",53,0,0,0,0,0,0,0,8114,0
151,"Q3780  - Sniper Lock On",54,0,0,0,0,0,0,0,8249,0
152,"Q4224 - Cover Indicator",55,0,0,0,0,0,0,0,8028,0
153,"Q3817 - Fire Visual 1",56,0,0,0,0,0,0,0,8250,0
154,"Q3817 - Fire Visual 2",57,0,0,0,0,0,0,0,8251,0
155,"Q4092 Bike Debri Fire",58,0,0,0,0,0,0,0,7988,0
156,"Q4137 Beacon Signal",59,0,0,0,0,0,0,0,8025,0
157,"Q4267 Satellite Deflection Shield",60,0,0,0,0,0,0,0,8098,0
158,"Q4267 Orb",61,0,0,0,0,0,0,0,8101,0
159,"Q3757 - Default Use Kneel Infinite",62,0,0,0,0,0,0,0,7206,0
160,"Q4009 - Pollution Cloud - Base",63,0,0,0,0,0,0,0,7587,0
162,"Q4316 - Dowsing Effect - Birth",65,0,0,0,0,0,0,0,8275,0
163,"Q4009 - Pollution Cloud - Base",63,0,0,0,0,0,0,0,7590,0
164,"Q4178 - Living Loftite - Shock Orb",66,0,0,0,0,0,0,0,8281,0
165,"Q3786 - SIphon Flavor 1",67,0,0,0,0,0,0,0,7236,0
166,"Q3786 - SIphon Flavor 2",67,0,0,0,0,0,0,0,7237,0
167,"Q3786 - SIphon Smoke",67,0,0,0,0,0,0,0,8182,0
168,"Q4294 - Gold Effects 1",68,0,0,0,0,0,0,0,8139,0
169,"Q4294 - Gold Effects 2",68,0,0,0,100,0,0,0,8140,0
170,"Settler Galeras Tract 2 Evasion Buff",69,0,0,0,0,0,0,0,8294,0
171,"Q4323 - Trap",70,0,0,0,0,0,0,0,8295,0
172,"Settler Galeras Tract 2 Anti-Aggro Buff",71,0,0,0,0,0,0,0,8300,0
173,"Settler Galeras Tract 4 Improvd FirstAid",72,0,0,0,0,0,0,0,5119,0
174,"Protostar Billboard Effect 1",73,0,0,0,0,0,0,0,8304,0
175,"Protostar Billboard Effect 2",73,0,0,0,0,0,0,0,8305,0
176,"Settler Galeras Tract 4 Intel Buff",74,0,0,0,0,0,0,0,8313,0
177,"Settler Galeras Tract 4 Strength Buff",75,0,0,0,0,0,0,0,8316,0
178,"Settler Galeras Tract 3 Physical Resist",76,0,0,0,0,0,0,0,8321,0
179,"Settler Galeras Tract 3 Magical Resist",77,0,0,0,0,0,0,0,8324,0
180,"Buzzbing Royal Jelly Glow - KLW",78,0,0,0,0,0,0,0,8326,0
181,"Heart Particle - Infinite - Idle",79,0,6,0,0,0,0,0,1326,0
182,"Heart Particle - Infinite - InCombat",79,1,6,0,0,0,0,0,1326,0
183,"EyeGlow_RED_Small - Left - On Birth",80,0,0,0,0,0,0,0,5601,0
184,"EyeGlow_RED_Small - Right - On Birth",80,0,0,0,0,0,0,0,5602,0
185,"EyeGlow_RED_Small - Left - On Enter Combat",80,1,2,0,0,0,0,0,5601,0
186,"EyeGlow_RED_Small - Right - On Enter Combat",80,1,2,0,0,0,0,0,5602,0
187,"Q4045 - Invisible Creature Sludge Effect",81,0,0,0,0,0,0,0,6732,0
188,"Q2581 - Ripe Bingberry glow",82,0,0,0,0,0,0,0,7064,0
190,"Default_Stand_Wounded [Infinite]",84,0,0,0,0,0,0,0,7019,0
191,"Q4386 - Powerfield_aqu",85,0,0,0,0,0,0,0,8369,0
192,"Q4386 - Lopp Spawn",86,0,0,0,0,0,0,0,8372,0
193,"Spacehand Interact Indicator",87,0,0,0,0,0,0,0,7448,0
194,"Gallow Voting Machine - Voting Machine Working",88,0,0,0,0,0,0,0,7584,0
195,"Gallow Voting Machine - Voting Machine Broken",88,0,0,1,0,0,0,0,7585,0
196,"Northern Wilds - Bosun Redmark Kneel",89,0,0,0,0,0,0,0,6346,0
197,"Q3381 - Dowsing Visual",90,0,0,0,0,0,0,0,5955,0
198,"Q4386 - Spider Spawn",91,0,0,0,0,0,0,0,8373,0
199,"Murkmire - Autopsy Q4366 - Dead State - OOC",92,0,0,0,0,0,0,0,8417,0
200,"Murkmire - Autopsy Q4366 Eye Glow - Left - IC",92,1,2,0,0,0,0,0,5601,0
201,"Murkmire - Autopsy Q4366 Eye Glow - Right - IC",92,1,2,1,0,0,0,0,5602,0
202,"Q4419 - Crop Frost - Whitevale",93,0,0,0,0,0,0,0,8410,0
203,"Murkmire - Rep Mechanic - Flashlight Glow",94,0,0,0,0,0,0,0,8411,0
204,"Murkmire - Rep Mechanic - Flashlight",94,0,0,1,0,0,0,0,8413,0
205,"Murkmire - Rep Mechanic - Stash Sigil",95,0,0,0,0,0,0,0,8414,0
206,"Murkmire - Rep Mechanic - Stash Glow",95,0,0,1,0,0,0,0,8415,0
207,"Q4381 - Orb - Halon Ring - Tract 1",96,0,0,0,0,0,0,0,8432,0
208,"W1005 - Fulminating Spore",97,0,0,0,0,0,0,0,8440,0
209,"Q4424 - Whiskey Barrel for Dagun",98,0,0,0,0,0,0,0,8441,0
210,"Whitevale - Hide Weapons",99,0,0,0,0,0,0,0,6589,0
211,"Whitevale - Hide Weapons - Exit Combat",99,0,3,0,0,0,0,0,6589,0
213,"Q4382 - Big Teleport - Halon Ring - Tract 1",101,0,0,0,0,0,0,0,8469,0
214,"C15725 - Xenobite Queen - OnBirth",102,0,0,0,0,0,0,0,8393,0
215,"C15725 - Xenobite Queen - OnExitCombat",102,0,3,0,0,0,0,0,8393,0
217,"C15725 - Xenobite Queen - OnEnterCombat",102,1,2,0,0,0,0,0,8471,0
218,"Wounded State _01 [Infinite]",103,0,0,1,0,1,4,4,9473,0
219,"Wounded State _02 [Infinite]",103,0,0,2,0,1,4,4,9474,0
220,"Wounded State _03 [Infinite]",103,0,0,3,0,1,4,4,9475,0
222,"W1079 - Witch Giant Birth",104,0,0,0,0,0,0,0,8496,0
223,"Wounded State Start - Blank State",103,0,0,0,0,2,1,3,8500,0
224,"Q4439 - Corrupted Bot Reprogrammer",105,0,0,0,0,0,0,0,8494,0
225,"Q4439 - Corrupted Bot Reprogrammer 2",105,0,0,0,0,0,0,0,8497,0
226,"NWilds - Severely Injured Crash Survivor",106,0,0,0,0,0,0,0,7468,0
227,"Q4465 - Invis Crash FX",107,0,0,0,0,0,0,0,8462,0
231,"Murkmire - Ravenous Mordesh Eyes - Left - OOC",110,0,0,0,0,0,0,0,5601,0
232,"Murkmire - Ravenous Mordesh Eyes - Right - OOC",110,0,0,1,0,0,0,0,5602,0
233,"Transition Cinematic - Kneel Use",110,0,0,0,0,0,0,0,2929,0
234,"Transition Cinematic - Fire Flame",112,0,0,0,0,0,0,0,8549,0
235,"Transition Cinematic - Fire Smolder",112,0,0,0,0,0,0,0,8550,0
236,"Transition Cinematic - Fire Smoke",112,0,0,0,0,0,0,0,8551,0
237,"Q4382 - Teleport",111,0,0,0,0,0,0,0,8553,0
238,"Q4382 - Teleport 2",111,0,0,0,0,0,0,0,8554,0
239,"NWilds - Lusk Sitting",113,0,0,0,0,0,0,0,6932,0
240,"Generic - Infinite - Stand Use",114,0,0,0,0,0,0,0,1415,0
241,"C15725 - Xenobite - OnBirth",115,0,0,0,0,0,0,0,8599,0
242,"W1085 - Venuviouz Sprout",116,0,0,0,0,0,0,0,7425,0
243,"Q4527 - Coldslime Snoglog Aura ",117,2,6,0,0,0,0,0,8643,0
247,"Q4512 - Acolyte Drumming",118,0,0,0,0,0,0,0,8645,0
250,"W1085 - Venuviouz Sentinel InCombat 1",116,1,0,0,0,0,0,0,7425,0
251,"W1085 - Venuviouz Sentinel InCombat 2",116,1,2,0,0,0,0,0,7425,0
252,"W1085 - Venuviouz Sentinel ExitCombat 2",116,0,3,0,0,0,0,0,7425,0
253,"W1085 - Venuviouz Sentinel Death",116,1,1,0,0,0,0,0,7425,0
254,"W1085 - Venuviouz Sentinel ExitCombat 1",116,1,3,0,0,0,0,0,7425,0
255,"Q3786 - Dominion Scan Waves",119,0,0,0,0,0,0,0,8676,0
256,"Q3786 - Dominion Scan ",119,0,0,0,0,0,0,0,8681,0
257,"W1085 - Venuviouz Sentinel Death",116,0,1,0,0,0,0,0,7425,0
258,"Q4512 Gib1",120,0,0,0,0,0,0,0,8690,0
259,"Q4512 Gib2",120,0,0,0,0,0,0,0,8691,0
260,"Q4512 Gib3",120,0,0,0,0,0,0,0,8692,0
261,"Q4512 Gib 4",120,0,0,0,0,0,0,0,8694,0
262,"Q4512 Gib 5",120,0,0,0,0,0,0,0,8695,0
263,"Q4512 Gib 6",120,0,0,0,0,0,0,0,8696,0
264,"Q3536 - Attack Variant 1",121,0,0,0,5000,2,0,1,8709,0
265,"Q3536 - Attack Variant 2",121,0,0,1,5000,2,0,1,8710,0
266,"W859 - Invis Spacehand indicator",122,0,0,0,0,0,0,0,7448,0
267,"W1027 - Creature Spawn In Visual 1",123,0,0,0,0,0,0,0,5993,0
268,"W1027 - Creature Spawn In Visual 2",123,0,0,0,0,0,0,0,5992,0
269,"Q4512 Air orb",124,0,0,0,0,0,0,0,8754,0
270,"Q4512 Air orb 2",124,0,0,0,0,0,0,0,0,0
271,"Q4523_EffectforInvisCreature",125,0,0,0,0,0,0,0,8762,0
272,"Q4525 - Vent Effect 1",126,0,0,0,0,0,0,0,8766,0
273,"Q4525 - Vent Effect 2",126,0,0,0,0,0,0,0,8767,0
274,"Q4525 - Vent Effect 3",126,0,0,0,0,0,0,0,8768,0
275,"Q4541 - Rumble Effects for Tremors",0,0,0,0,0,0,0,0,7167,0
276,"Q4525 - Vent Effect 1",128,0,0,0,0,0,0,0,8769,0
277,"Q4525 - Vent Effect 2",128,0,0,0,0,0,0,0,8767,0
278,"Q4525 - Vent Effect 3",128,0,0,0,0,0,0,0,8768,0
279,"Q4525 - Core Effect 1",129,0,0,0,0,0,0,0,8639,0
280,"Q4525 - Core Effect 2",129,0,0,0,0,0,0,0,8771,0
281,"Q4541_SeismicDisruptor5000PulseEffect",130,0,0,0,0,0,0,0,8776,0
282,"Primal Air Anomaly",131,0,0,0,0,0,0,0,8784,0
283,"Q4507 - Scrab birth",132,1,0,0,0,0,0,0,8794,0
284,"Q4507 - Alarm Nodes",133,0,0,0,0,0,0,0,8819,0
285,"q4599 - Hidden Survivor Idle State - Cower",134,0,0,0,0,2,0,0,8843,0
286,"q4599 - Hidden Survivor Idle State - Cry",134,0,0,0,0,2,0,0,8844,0
287,"Kneel to Stand OnCreate",135,0,0,0,0,0,0,0,8529,0
288,"Q3788 - Gronyx Cropse Effect",136,0,0,0,0,0,0,0,8857,0
289,"Red Bow - Any - FX_Misc01",137,2,6,0,0,0,0,0,8863,0
290,"Red Bow - Any - FX_Misc02",137,2,6,0,0,0,0,0,8864,0
295,"Q4511 Mini cyclone",138,0,0,0,0,0,0,0,8715,0
300,"NWilds - Generic Sitting",143,0,0,0,0,0,0,0,6932,0
302,"OnBirth - State0_State1",145,0,0,0,0,0,0,0,8897,0
303,"Q4517 - Explode01",146,0,0,0,0,0,0,0,8900,0
304,"Q4517 - Explode02",146,0,0,0,200,0,0,0,8900,0
305,"Q4517 - Explode03",146,0,0,0,400,0,0,0,8900,0
306,"Q4517 - Smokey",147,0,0,0,0,0,0,0,8905,0
307,"Q3886 - Burning Fire 1",148,0,0,0,0,0,0,0,8914,0
308,"Q3886 - Burning Fire 2",148,0,0,0,0,0,0,0,7925,0
309,"Q3886 - Burning Fire 3",148,0,0,0,0,0,0,0,8913,0
311,"Q4528 - AIr Tank Bubbles",150,0,0,0,0,0,0,0,8925,0
312,"Gronyx - Default_Stunned - Infinite - OnBirth",151,0,0,0,0,0,0,0,8932,0
314,"Q3768 - Take Off Dust",152,0,0,0,0,0,0,0,8941,0
315,"Q4676 - Landing Beacon Spawn",153,0,0,0,0,0,0,0,8972,0
316,"Q4676 - Landing Beacon Satellite",153,0,0,0,2000,0,0,0,8973,0
317,"Generic - Base Pose - No Animation",154,0,0,0,0,0,0,0,8069,0
318,"KLW Test - Energy Core",155,0,0,0,0,0,0,0,8885,0
319,"Q4676 - Drop Pod",156,0,0,0,0,0,0,0,8976,0
320,"Wind Tunnel Debris - Trail",157,0,0,0,0,0,0,0,8995,0
322,"Giblet Visual 1",158,0,0,0,0,0,0,0,965,0
323,"Giblet Visual 2",158,0,0,1,0,0,0,0,958,0
324,"Giblet Visual 3",158,0,0,2,0,0,0,0,964,0
325,"Leg Giblet Visual 1",159,0,0,0,500,0,0,0,960,0
326,"Leg Giblet Visual 2",159,0,0,1,0,0,0,0,962,0
327,"Rib Giblet Visual 1",160,0,0,0,500,0,0,0,961,0
328,"Rib Giblet Visual 2",160,0,0,1,0,0,0,0,962,0
329,"OT_Shock_Default_BLE.m3 (Base) [Infinite]",161,0,0,0,0,0,0,0,16265,0
330,"q4696 - Dominion Scout Idle",162,0,0,0,0,0,0,0,9039,0
332,"Q4510 - Cage animation state",164,0,0,0,0,0,0,0,8824,0
333,"Artillery Fodder - Permacower",165,0,0,0,0,0,0,0,7848,0
334,"Stormseeker-Wind",166,2,6,0,0,0,0,0,9087,681
335,"Stormseeker-Wind2",166,2,6,0,0,0,0,0,9090,681
338,"q4696 - Blocker Debris 2 State",167,0,0,0,0,0,0,0,9104,0
339,"Bottom Reticle",168,0,0,0,0,0,0,0,7188,0
340,"StormseekerAcolyte - Flavor",169,0,0,0,0,0,0,0,9041,0
341,"StormseekerAcolyte - Flavor2",169,0,0,0,0,0,0,0,9042,0
342,"StormseekerAcolyte - Flavor3",169,0,0,0,0,0,0,0,9090,0
343,"StormseekerAcolyte - Flavor -2",169,0,3,0,0,0,0,0,9041,0
344,"StormseekerAcolyte - Flavor2 -2",169,0,3,0,0,0,0,0,9042,0
345,"StormseekerAcolyte - Flavor3 -2",169,0,3,0,0,0,0,0,9090,0
346,"q4696 - Ready State",170,1,0,0,0,0,0,0,9115,0
348,"q4733 - Phase 2 AA Turret",171,0,0,0,0,0,0,0,9123,0
349,"q4733 - Phase 3 AA Turret",172,0,0,0,0,0,0,0,9124,0
350,"Algoroc - Tract 2 - Sleepy Dagun",173,0,0,0,0,0,0,0,6523,0
351,"Algoroc - Tract 2 - Sleepy Dagun 2",173,0,3,0,0,0,0,0,6523,0
352,"Q4734 - Wounded",174,0,0,1,25000,1,2,2,9127,0
353,"Q4667 - Satellite Scrambler death 1",175,1,1,0,0,0,0,0,9040,0
354,"Q4667 - Satellite Scrambler death 2",175,1,1,1,500,0,0,0,9085,0
355,"Q4667 - Satellite Scrambler death 2",175,1,1,2,500,0,0,0,9086,0
356,"Q4734 - Kneel",174,0,0,2,10000,1,1,1,9129,0
357,"Q4737 - Slave Chain Effects 1",176,0,0,0,0,0,0,0,9135,0
358,"Q4737 - Slave Chain Effects 2",176,0,0,0,0,0,0,0,9136,0
359,"Q4527 - Puma Effects 1",178,2,6,0,0,0,0,0,9142,0
365,"Q4737 - Axe Effect",179,0,0,0,0,0,0,0,7688,0
366,"q4733 - Falkrin Hover",180,0,0,0,0,0,0,0,9150,0
367,"WindForger_Flavor1",181,0,0,0,0,0,0,0,9151,0
368,"WindForger_Flavor2",181,0,0,0,0,0,0,0,7023,0
369,"WindForger_Flavor1-2",181,0,3,0,0,0,0,0,9151,0
370,"WindForger_Flavor2-2",181,0,3,0,0,0,0,0,7023,0
371,"Q4675 - Catapult Burning Ground",182,0,0,0,0,0,0,0,9051,0
372,"Q4675 - Catapult Burning",182,0,0,0,0,0,0,0,9050,0
373,"Q4675 - Catapult Burning2",183,0,0,0,0,0,0,0,9050,0
374,"Q4675 - Catapult Burning Ground2",183,0,0,0,0,0,0,0,9051,0
375,"Q4675 - Catapult Burning Ground3",184,0,0,0,0,0,0,0,9051,0
376,"Q4675 - Catapult Burning Ground4",185,0,0,0,0,0,0,0,9051,0
377,"Q4675 - Catapult Burning3",184,0,0,0,0,0,0,0,9050,0
378,"Q4675 - Catapult Burning4",185,0,0,0,0,0,0,0,9050,0
379,"Q4541_LoftiteEruptions",130,0,0,0,2000,0,0,0,8774,0
380,"Q4541_SeismicPulseBlast",130,0,0,1,6000,0,0,0,8777,0
381,"Q4541_SeismicPUlse",130,0,0,1,6000,0,0,0,8772,0
383,"Judge Kain - Rumble",188,1,2,0,0,0,0,0,9167,0
384,"Judge Kain - Rumble",188,1,3,0,0,0,0,0,9166,0
385,"q4750 - Murgh Shout",189,0,0,0,0,2,0,0,9179,0
386,"q4750 - Murgh Jump",189,0,0,1,6000,2,0,0,9180,0
387,"q4733 - Combat Soldier Idles (Rifle)",190,0,0,0,0,0,0,0,9185,0
388,"Exile Minion - MOBA Test",192,0,0,0,0,0,0,0,9203,0
389,"Dominion Minion - MOBA Test",193,0,0,0,0,0,0,0,9204,0
390,"Dominion Minion - MOBA Test",193,1,2,0,0,0,0,0,9204,0
391,"Dominion Minion - MOBA Test",193,0,3,0,0,0,0,0,9204,0
392,"Exile Minion - MOBA Test",192,1,2,0,0,0,0,0,9203,0
