"ID","ccStatesId","dataInt00","dataInt01","dataInt02","dataInt03","dataInt04","dataFloat00","dataFloat01","dataFloat02","dataFloat03","dataFloat04"
88,20,35420,0,0,0,0,25,0,0,0,0
89,16,39449,0,0,0,0,0,0,0,0,0
90,8,2000,0,0,0,0,0,0,0,0,0
91,15,36229,0,0,0,0,0.2,0,0,0,0
92,3,36253,0,0,0,0,0,0,0,0,0
93,3,0,39939,0,0,0,0,0,0,0,0
94,18,39950,0,0,0,0,0,0,0,0,0
95,13,0,0,0,0,0,0.9,0,0,0,0
96,16,40850,0,0,0,0,0,0,0,0,0
97,20,39839,5,0,0,0,5,0,0,0,0
98,20,40458,0,0,0,0,10,0,0,0,0
99,1,0,0,0,0,0,0.15,0.33,0.05,0,0
101,17,43175,0,0,0,0,0,0,0,0,1.5
102,20,44743,0,0,0,0,15,0,0,0,0
103,16,44252,0,0,0,0,0,0,0,0,0
104,20,45494,0,0,0,0,5,0,0,0,0
105,20,45589,5,0,0,0,5,0,0,0,0
106,20,45668,0,0,0,0,10,0,0,0,0
107,20,45805,0,0,0,0,1,0,0,0,0
110,16,45164,0,0,0,0,0,0,0,0,0
111,16,45165,0,0,0,0,0,0,0,0,0
112,16,45166,0,0,0,0,0,0,0,0,0
113,21,0,0,0,0,0,0.05,0,0,0,0
114,18,45511,0,0,0,0,0,0,0,0,0
115,21,0,0,0,0,0,0.01,0,0,0,0
116,21,0,0,0,0,0,0.02,0,0,0,0
117,21,0,0,0,0,0,0.03,0,0,0,0
118,21,0,0,0,0,0,0.04,0,0,0,0
119,18,46002,0,0,0,0,0,0,0,0,0
120,3,0,46342,0,0,0,0,0,0,0,0
121,20,48277,0,0,0,0,5,0,0,0,0
122,20,49428,0,0,0,0,7,0,0,0,0
123,15,7,0,0,0,0,0.2,0,0,0,0
124,16,47538,0,0,0,0,0,0,0,0,0
125,16,48148,0,0,0,0,0,0,0,0,0
126,20,50331,0,0,0,0,1,0,0,0,0
127,20,50698,0,0,0,0,5,0,0,0,0
128,21,0,0,0,0,0,0.37,0,0,0,0
129,21,0,0,0,0,0,0.39,0,0,0,0
130,21,0,0,0,0,0,0.41,0,0,0,0
131,21,0,0,0,0,0,0.43,0,0,0,0
132,21,0,0,0,0,0,0.47,0,0,0,0
133,21,0,0,0,0,0,0.49,0,0,0,0
134,21,0,0,0,0,0,0.51,0,0,0,0
135,21,0,0,0,0,0,0.53,0,0,0,0
136,15,2,0,0,0,0,1,0,0,0,0
137,21,0,0,0,0,0,0.36,0,0,0,0
138,21,0,0,0,0,0,0.38,0,0,0,0
139,21,0,0,0,0,0,0.42,0,0,0,0
140,21,0,0,0,0,0,0.44,0,0,0,0
141,21,0,0,0,0,0,0.46,0,0,0,0
142,21,0,0,0,0,0,0.52,0,0,0,0
143,21,0,0,0,0,0,0.54,0,0,0,0
144,21,0,0,0,0,0,0.56,0,0,0,0
145,21,0,0,0,0,0,0.58,0,0,0,0
146,20,51942,0,0,0,0,8,0,0,0,0
147,16,54013,4,0,0,0,0,0,0,0,0
148,16,54014,6,0,0,0,0,0,0,0,0
149,20,52279,0,0,0,0,5,0,0,0,0
150,20,52279,0,0,0,0,7,0,0,0,0
151,20,52279,0,0,0,0,10,0,0,0,0
152,20,52279,0,0,0,0,12,0,0,0,0
153,20,52279,0,0,0,0,15,0,0,0,0
154,20,52281,0,0,0,0,5,0,0,0,0
155,20,52281,0,0,0,0,7,0,0,0,0
156,20,52281,0,0,0,0,10,0,0,0,0
157,20,52281,0,0,0,0,12,0,0,0,0
158,20,52281,0,0,0,0,15,0,0,0,0
159,20,52283,0,0,0,0,5,0,0,0,0
160,20,52283,0,0,0,0,7,0,0,0,0
161,20,52283,0,0,0,0,10,0,0,0,0
162,20,52283,0,0,0,0,12,0,0,0,0
163,20,52283,0,0,0,0,15,0,0,0,0
164,20,52409,0,47447,0,0,10,0,0,0,0
165,18,54932,0,0,0,0,0,0,0,0,0
166,20,60345,0,0,0,0,5,0,0,0,0
167,13,0,0,0,0,0,0.5,0,0,0,0
168,20,53327,0,0,0,0,2,0,0,0,0
169,16,57816,0,0,0,0,0,0,0,0,0
171,13,1,0,0,0,0,1,0,0,0,0
172,20,53845,0,58750,0,0,7,0,0,0,0
173,20,53865,0,0,0,0,5,0,0,0,0
174,20,54037,0,60417,0,0,7,0,0,0,0
175,16,59663,0,0,0,0,0,0,0,0,0
176,20,54111,0,0,0,0,8,0,0,0,0
178,15,2,0,0,0,0,0.5,0,0,0,0
179,20,54609,0,60934,0,0,25,0,0,0,0
180,16,61045,0,0,0,0,0,0,0,0,0
181,20,54722,0,58750,0,0,5,0,0,0,0
182,0,61256,0,0,0,0,0,0,0,0,0
183,20,54888,0,0,0,0,5,0,0,0,0
184,20,55064,0,60417,0,0,6,0,0,0,0
185,20,56120,0,0,0,0,8,0,0,0,0
186,18,62865,0,0,0,0,0,0,0,0,0
187,21,0,0,0,0,0,0.22,0,0,0,0
188,16,62930,0,0,0,0,0,0,0,0,0
189,20,60317,0,0,0,0,12,0,0,0,0
190,20,56951,0,0,0,0,10,0,0,0,0
191,18,63651,0,0,0,0,0,0,0,0,0
192,20,58502,0,0,0,0,13,0,0,0,0
193,20,0,0,0,0,0,3,0,0,0,0
194,16,66677,9,0,0,0,0,0,0,0,0
195,16,66678,11,0,0,0,0,0,0,0,0
196,16,66679,13,0,0,0,0,0,0,0,0
197,16,66680,14,0,0,0,0,0,0,0,0
198,16,66681,16,0,0,0,0,0,0,0,0
200,16,69064,0,0,0,0,0,0,0,0,0
201,20,58782,0,69068,0,0,5,0,0,0,0
202,21,0,0,0,0,0,0.54,0,0,0,0
203,21,0,0,0,0,0,0.11,0,0,0,0
204,21,0,0,0,0,0,0.12,0,0,0,0
205,21,0,0,0,0,0,0.13,0,0,0,0
206,21,0,0,0,0,0,0.14,0,0,0,0
207,21,0,0,0,0,0,0.15,0,0,0,0
208,21,0,0,0,0,0,0.16,0,0,0,0
209,21,0,0,0,0,0,0.17,0,0,0,0
210,21,0,0,0,0,0,0.18,0,0,0,0
211,21,0,0,0,0,0,0.1,0,0,0,0
212,21,0,0,0,0,0,0.12,0,0,0,0
213,21,0,0,0,0,0,0.14,0,0,0,0
214,21,0,0,0,0,0,0.16,0,0,0,0
215,21,0,0,0,0,0,0.18,0,0,0,0
216,21,0,0,0,0,0,0.2,0,0,0,0
217,21,0,0,0,0,0,0.22,0,0,0,0
218,21,0,0,0,0,0,0.24,0,0,0,0
219,21,0,0,0,0,0,0.26,0,0,0,0
220,21,0,0,0,0,0,0.23,0,0,0,0
221,21,0,0,0,0,0,0.24,0,0,0,0
222,21,0,0,0,0,0,0.26,0,0,0,0
223,21,0,0,0,0,0,0.27,0,0,0,0
224,21,0,0,0,0,0,0.28,0,0,0,0
225,21,0,0,0,0,0,0.29,0,0,0,0
226,13,1,0,0,0,0,0.73,0,0,0,0
227,13,1,0,0,0,0,0.71,0,0,0,0
228,13,1,0,0,0,0,0.69,0,0,0,0
229,13,1,0,0,0,0,0.67,0,0,0,0
230,13,1,0,0,0,0,0.65,0,0,0,0
231,13,1,0,0,0,0,0.63,0,0,0,0
232,13,1,0,0,0,0,0.61,0,0,0,0
233,13,1,0,0,0,0,0.59,0,0,0,0
234,21,0,0,0,0,0,0.48,0,0,0,0
235,13,1,0,0,0,0,0.74,0,0,0,0
236,13,1,0,0,0,0,0.72,0,0,0,0
237,13,1,0,0,0,0,0.7,0,0,0,0
238,13,1,0,0,0,0,0.68,0,0,0,0
239,16,69851,0,0,0,0,0,0,0,0,0
240,21,0,0,0,0,0,0.07,0,0,0,0
241,13,0,0,0,0,0,0.65,0,0,0,0
242,21,0,0,0,0,0,0.31,0,0,0,0
243,21,0,0,0,0,0,0.32,0,0,0,0
244,20,60002,0,0,0,0,5,0,0,0,0
245,18,70655,0,0,0,0,0,0,0,0,0
246,20,60259,0,0,0,0,3,0,0,0,0
247,20,60320,0,0,0,0,10,0,0,0,0
248,16,70869,2,0,0,0,0,0,0,0,0
249,18,70991,0,0,0,0,0,0,0,0,0
250,18,71470,0,0,0,0,0,0,0,0,0
251,16,71510,6,0,0,0,0,0,0,0,0
252,16,71547,5,0,0,0,0,0,0,0,0
253,20,61763,0,0,0,0,10,0,0,0,0
254,16,71664,0,0,0,0,0,0,0,0,0
255,16,71728,2,0,0,0,0,0,0,0,0
256,21,0,0,0,0,0,0.8,0,0,0,0
257,21,0,0,0,0,0,0.9,0,0,0,0
258,16,71882,2,0,0,0,0,0,0,0,0
259,16,71907,0,0,0,0,0,0,0,0,0
260,16,71911,2,0,0,0,0,0,0,0,0
261,16,71922,5,0,0,0,0,0,0,0,0
262,16,71930,0,0,0,0,0,0,0,0,0
263,17,71956,0,0,0,0,0,0,0,0,0
264,17,71957,0,0,0,0,0,0,0,0,0
265,17,71959,0,0,0,0,0,0,0,0,0
266,20,62275,0,0,0,0,10,0,0,0,0
267,21,0,0,0,0,0,0.33,0,0,0,0
268,21,0,0,0,0,0,0.34,0,0,0,0
269,16,72067,17,0,0,0,0,0,0,0,0
270,16,72068,18,0,0,0,0,0,0,0,0
271,16,72069,19,0,0,0,0,0,0,0,0
272,16,72163,0,0,0,0,0,0,0,0,0
273,17,72503,0,0,0,0,0,0,0,0,0
274,17,72504,0,0,0,0,0,0,0,0,0
275,17,72505,0,0,0,0,0,0,0,0,0
276,17,72506,0,0,0,0,0,0,0,0,0
277,21,0,0,0,0,0,0.08,0,0,0,0
278,18,72553,0,0,0,0,0,0,0,0,0
279,20,63139,0,0,0,0,15,0,0,0,0
280,16,72912,20,0,0,0,0,0,0,0,0
281,16,72932,0,0,0,0,0,0,0,0,0
282,16,72933,0,0,0,0,0,0,0,0,0
283,16,73004,0,0,0,0,0,0,0,0,0
284,20,64790,0,0,0,0,0.1,0,0,0,0
285,20,64884,0,74397,0,0,0,0,0,0,0
286,18,74606,0,0,0,0,0,0,0,0,0
287,16,74709,0,0,0,0,0,0,0,0,0
288,20,65534,0,0,0,0,0.01,0,0,0,0
290,14,0,0,0,0,0,0,0,0,0,0
291,20,65945,0,0,0,0,5,0,0,0,0
292,21,0,0,0,0,0,0.09,0,0,0,0
294,16,75653,40,0,0,0,0,0,0,0,0
295,20,0,0,0,0,0,15,0,0,0,0
296,18,75881,0,0,0,0,0,0,0,0,0
297,21,0,0,0,0,0,0.06,0,0,0,0
298,16,75997,0,0,0,0,0,0,0,0,0
299,17,76369,0,0,0,0,0,0,0,0,0
300,17,76370,0,0,0,0,0,0,0,0,0
301,17,76371,0,0,0,0,0,0,0,0,0
302,20,72459,0,76385,0,0,15,0,0,0,0
303,16,76988,0,0,0,0,0,0,0,0,0
304,20,52279,0,0,0,0,5,0,0,0,0
305,20,68291,0,0,0,0,10,0,0,0,0
306,16,79005,0,0,0,0,0,0,0,0,0
307,20,70266,0,0,0,0,0.1,0,0,0,0
308,17,79649,0,0,0,0,0,0,0,0,0.5
309,18,53596,0,0,0,0,0,0,0,0,0
310,21,0,0,0,0,0,0.2375,0,0,0,0
311,21,0,0,0,0,0,0.275,0,0,0,0
312,21,0,0,0,0,0,0.3125,0,0,0,0
313,21,0,0,0,0,0,0.3875,0,0,0,0
314,21,0,0,0,0,0,0.425,0,0,0,0
315,21,0,0,0,0,0,0.4625,0,0,0,0
317,20,70855,0,0,0,0,0.01,0,0,0,0
318,21,0,0,0,0,0,0.64,0,0,0,0
319,20,72331,0,0,0,0,6,0,0,0,0
321,20,73098,0,0,0,0,2,0,0,0,0
322,18,85448,0,0,0,0,0,0,0,0,0
323,20,74829,0,0,0,0,5,0,0,0,0
324,20,74902,0,0,0,0,4,0,0,0,0
325,20,52281,0,0,0,0,3,0,0,0,0
326,20,75212,0,87479,0,0,4,0,0,0,0
