"ID","localizedTextIdNoArgToAll","localizedTextIdNoArgToSelf","NoArgAnim","localizedTextIdArgToAll","localizedTextIdArgToArg","localizedTextIdArgToSelf","ArgAnim","localizedTextIdSelfToAll","localizedTextIdSelfToSelf","SelfAnim","SheathWeapons","TurnToFace","TextReplaceable","ChangesStandState","StandState","localizedTextIdCommand","localizedTextIdNotFoundToAll","localizedTextIdNotFoundToSelf","NotFoundAnim","TextReplaceAnim","modelSequenceIdStandState","visualEffectId","flags","universalCommand00","universalCommand01"
44,0,0,1527,0,0,0,1527,0,0,1527,0,1,0,1,7,137720,0,0,1527,1527,1527,0,0,"",""
46,0,0,1213,0,0,0,1213,0,0,1213,0,0,0,1,7,140197,0,0,1213,1213,1213,0,0,"",""
47,0,0,867,0,0,0,867,0,0,867,0,1,0,1,7,140416,0,0,867,867,867,0,0,"",""
48,0,0,864,0,0,0,864,0,0,864,0,1,0,1,7,140421,0,0,864,864,864,0,0,"",""
49,140486,0,463,140487,0,0,463,0,0,463,0,0,0,0,7,140465,0,0,463,463,463,0,0,"",""
50,0,0,150,0,0,0,150,0,0,150,1,1,0,1,7,149594,0,0,150,150,150,0,0,"",""
51,0,0,5544,0,0,0,5544,0,0,5544,1,1,0,1,7,150058,0,0,5544,5544,5544,0,0,"",""
52,0,0,1622,0,0,0,1622,0,0,1622,1,1,0,1,7,150068,0,0,1622,1622,1622,0,0,"",""
53,0,0,1621,0,0,0,1621,0,0,1621,1,0,0,1,7,150095,0,0,1621,1621,1621,0,0,"",""
54,0,0,326,0,0,0,326,0,0,326,0,0,0,1,7,150949,0,0,326,326,326,0,0,"",""
55,0,0,869,0,0,0,869,0,0,869,1,0,0,1,7,151621,0,0,869,869,869,0,0,"",""
56,0,0,676,0,0,0,676,0,0,676,1,1,0,1,7,154366,0,0,676,676,676,0,0,"",""
57,0,0,1072,0,0,0,1072,0,0,1072,1,1,0,1,7,156273,0,0,1072,1072,1072,0,0,"",""
58,0,0,1073,0,0,0,1073,0,0,1073,1,1,0,1,7,156274,0,0,1073,1073,1073,0,0,"",""
59,0,0,429,0,0,0,429,0,0,429,1,1,0,1,7,156277,0,0,429,429,429,0,0,"",""
60,0,0,1643,0,0,0,1643,0,0,1643,1,1,0,1,7,156279,0,0,1643,1643,1643,0,0,"",""
61,0,0,1197,0,0,0,1197,0,0,1197,1,1,0,1,7,156282,0,0,1197,1197,1197,0,0,"",""
62,0,0,865,0,0,0,865,0,0,865,1,1,0,1,7,157498,0,0,865,865,865,0,0,"",""
63,0,0,870,0,0,0,870,0,0,870,1,1,0,1,7,157504,0,0,870,870,870,0,0,"",""
64,0,0,875,0,0,0,875,0,0,875,1,1,0,1,7,157507,0,0,875,875,875,0,0,"",""
65,0,0,880,0,0,0,880,0,0,880,1,1,0,1,7,157508,0,0,880,880,880,0,0,"",""
66,0,0,475,0,0,0,475,0,0,475,1,1,0,1,7,157524,0,0,475,475,475,0,0,"",""
67,0,0,816,0,0,0,816,0,0,816,1,1,0,1,7,157537,0,0,816,816,816,0,0,"",""
68,0,0,864,0,0,0,864,0,0,864,1,1,0,1,7,157550,0,0,864,864,864,0,0,"",""
69,0,0,1071,0,0,0,1071,0,0,1071,1,1,0,1,7,157993,0,0,1071,1071,1071,0,0,"",""
70,0,0,1643,0,0,0,1643,0,0,1643,1,1,0,1,7,158051,0,0,1643,1643,1643,0,0,"",""
71,0,0,1515,0,0,0,1515,0,0,1515,1,1,0,1,7,159515,0,0,1515,1515,1515,0,0,"",""
72,0,0,1516,0,0,0,1516,0,0,1516,1,1,0,1,7,159516,0,0,1516,1516,1516,0,0,"",""
73,0,0,1109,0,0,0,1109,0,0,1109,1,1,0,1,7,160574,0,0,1109,1109,1109,0,0,"",""
74,0,0,1631,0,0,0,1631,0,0,1631,1,1,0,1,7,160657,0,0,1631,1631,1631,0,0,"",""
75,0,0,278,0,0,0,278,0,0,278,1,1,0,1,7,160822,0,0,278,278,278,0,0,"",""
77,0,0,1648,0,0,0,1648,0,0,1648,0,0,0,1,7,164242,0,0,1648,1648,1648,0,0,"",""
78,0,0,1203,0,0,0,1203,0,0,1203,1,1,0,1,7,167103,0,0,1203,1203,1203,0,0,"",""
79,0,0,1628,0,0,0,1628,0,0,1628,1,1,0,1,7,167104,0,0,1628,1628,1628,0,0,"",""
80,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,167219,0,0,0,0,822,0,0,"",""
81,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,167856,0,0,0,0,1215,0,0,"",""
82,0,0,625,0,0,0,625,0,0,625,1,1,0,1,7,167865,0,0,625,625,625,0,0,"",""
83,0,0,472,0,0,0,472,0,0,472,1,1,0,1,7,168650,0,0,472,472,472,0,0,"",""
84,0,0,472,0,0,0,472,0,0,472,0,1,0,1,7,168651,0,0,472,472,472,0,0,"",""
85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,168987,0,0,0,0,86,0,0,"",""
86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,169186,0,0,0,0,1155,0,0,"",""
87,0,0,94,0,0,0,94,0,0,94,0,0,0,1,7,171251,0,0,94,94,94,0,0,"",""
88,0,0,1058,0,0,0,1058,0,0,1058,0,0,0,1,7,173343,0,0,1058,1058,1058,0,0,"",""
91,0,0,1480,0,0,0,1480,0,0,1480,1,1,0,1,7,182245,0,0,1480,1480,1480,0,0,"",""
92,0,0,5555,0,0,0,5555,0,0,5555,1,1,0,1,7,184596,0,0,5555,5555,5555,0,0,"",""
93,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,184745,0,0,0,0,1839,0,0,"",""
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186081,0,0,0,0,622,0,0,"",""
95,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,186082,0,0,0,0,1710,0,0,"",""
96,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,186144,0,0,0,0,6658,0,0,"",""
97,0,0,278,0,0,0,278,0,0,278,1,1,0,1,7,186183,0,0,278,278,278,0,0,"",""
98,0,0,1209,0,0,0,1209,0,0,1209,1,1,0,1,7,186480,0,0,1209,1209,1209,0,0,"",""
99,0,0,1210,0,0,0,1210,0,0,1210,1,1,0,1,7,186481,0,0,1210,1210,1210,0,0,"",""
100,0,0,1211,0,0,0,1211,0,0,1211,1,1,0,1,7,186482,0,0,1211,1211,1211,0,0,"",""
101,0,0,5527,0,0,0,5527,0,0,5527,1,1,0,1,7,186484,0,0,5527,5527,5527,0,0,"",""
102,0,0,6663,0,0,0,6663,0,0,6663,1,1,0,1,7,187011,0,0,6663,6663,6663,0,0,"",""
103,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,187418,0,0,0,0,1120,0,0,"",""
104,0,0,6703,0,0,0,6703,0,0,6703,1,1,0,1,7,189422,0,0,6703,6703,6703,0,0,"",""
105,0,0,645,0,0,0,645,0,0,645,1,1,0,0,0,189576,0,0,645,0,0,0,0,"",""
106,0,0,1710,0,0,0,1710,0,0,1710,1,1,0,1,7,189665,0,0,1710,1710,1710,0,0,"",""
107,0,0,1842,0,0,0,1842,0,0,1842,1,1,0,1,7,196105,0,0,1842,1842,1842,0,0,"",""
108,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,196710,0,0,0,0,1120,0,0,"",""
110,0,0,5645,0,0,0,5645,0,0,5645,1,1,0,1,7,197881,0,0,5645,5645,5645,0,0,"",""
111,0,0,575,0,0,0,575,0,0,575,0,1,0,1,7,199666,0,0,575,575,575,0,0,"",""
112,0,0,1648,0,0,0,1648,0,0,1648,0,0,0,0,7,203705,0,0,1648,0,1648,0,0,"",""
113,0,0,1629,0,0,0,1629,0,0,1629,1,1,1,1,7,211532,0,0,1629,1629,1629,0,0,"",""
114,0,0,1840,0,0,0,1840,0,0,1840,1,1,1,1,7,212215,0,0,1840,1840,1840,0,0,"",""
115,0,0,42,0,0,0,42,0,0,42,1,1,1,1,7,212216,0,0,0,42,42,0,0,"",""
116,0,0,1615,0,0,0,1615,0,0,1615,1,1,1,1,7,212219,0,0,1615,1615,1615,0,0,"",""
117,0,0,1632,0,0,0,1632,0,0,1632,1,1,1,1,7,212220,0,0,1632,1632,1632,0,0,"",""
118,0,0,1616,0,0,0,1616,0,0,1616,1,1,1,1,7,212222,0,0,1616,1616,1616,0,0,"",""
119,0,0,1626,0,0,0,1626,0,0,1626,1,1,0,1,7,212223,0,0,1626,1626,1626,0,0,"",""
120,0,0,1700,0,0,0,1700,0,0,1700,1,1,0,1,7,212224,0,0,1700,1700,1700,0,0,"",""
121,0,0,1702,0,0,0,1702,0,0,1702,1,1,0,1,7,212225,0,0,1702,1702,1702,0,0,"",""
122,0,0,1630,0,0,0,1630,0,0,1630,1,1,1,1,7,212226,0,0,1630,1630,1630,0,0,"",""
123,0,0,1632,0,0,0,1632,0,0,1632,1,1,1,1,7,212227,0,0,1632,1632,1632,0,0,"",""
124,0,0,1637,0,0,0,1637,0,0,1637,1,1,1,1,7,212228,0,0,1637,1637,1637,0,0,"",""
125,0,0,1618,0,0,0,1618,0,0,1618,1,1,1,1,7,212229,0,0,1618,1618,1618,0,0,"",""
126,0,0,1619,0,0,0,1619,0,0,1619,1,1,1,1,7,212230,0,0,1619,1619,1619,0,0,"",""
127,0,0,1620,0,0,0,1620,0,0,1620,1,1,1,1,7,212231,0,212232,1620,1620,1620,0,0,"",""
128,0,0,157,0,0,0,157,0,0,157,1,1,1,1,7,212411,0,0,157,157,157,0,0,"",""
129,0,0,156,0,0,0,156,0,0,156,1,1,1,1,7,212412,0,0,156,156,156,0,0,"",""
130,0,0,289,0,0,0,289,0,0,289,1,1,1,1,7,212413,0,0,289,289,289,0,0,"",""
131,0,0,915,0,0,0,915,0,0,915,1,1,0,1,7,216222,0,0,915,915,915,0,0,"",""
132,0,0,5555,0,0,0,5555,0,0,5555,1,0,0,1,7,228555,0,0,5555,5555,5555,0,0,"",""
134,0,0,693,0,0,0,693,0,0,693,1,1,0,1,7,241613,0,0,693,693,693,0,0,"",""
135,0,0,1513,0,0,0,1513,0,0,1513,1,1,0,1,7,241812,0,0,1513,1513,1513,0,0,"",""
136,0,0,5790,0,0,0,5790,0,0,5790,1,1,0,1,7,241815,0,0,5790,5790,5790,0,0,"",""
137,0,0,5637,0,0,0,5637,0,0,5637,1,0,0,1,7,241816,0,0,5637,5637,5637,0,0,"",""
138,0,0,5436,0,0,0,5436,0,0,5436,0,0,0,1,7,242979,0,0,5436,5436,5436,0,0,"",""
139,0,0,5560,0,0,0,5560,0,0,5560,0,0,0,0,0,0,0,0,5436,5560,0,0,0,"",""
141,0,0,678,0,0,0,678,0,0,678,1,1,0,1,7,245024,0,0,678,678,678,0,0,"",""
142,261595,0,0,261596,0,0,0,261597,0,0,0,0,0,0,0,261594,0,0,0,0,0,0,0,"",""
143,0,0,1199,0,0,0,1199,0,0,1199,0,1,0,1,7,265340,0,0,1199,1199,1199,0,0,"",""
144,0,0,822,0,0,0,822,0,0,822,0,0,0,0,0,270003,0,0,822,822,822,0,0,"",""
145,0,0,691,0,0,0,691,0,0,691,0,1,0,1,7,273269,0,0,691,691,691,0,0,"",""
146,0,0,6707,0,0,0,6707,0,0,6707,1,1,0,1,7,273541,0,0,6707,6707,6707,0,0,"",""
147,0,0,611,0,0,0,611,0,0,611,0,1,0,1,7,277923,0,0,611,611,611,0,0,"",""
148,0,0,676,0,0,0,676,0,0,676,0,0,0,1,7,280319,0,0,676,676,676,0,0,"",""
149,0,0,939,0,0,0,939,0,0,939,1,1,0,1,7,281310,0,0,939,939,939,0,0,"",""
150,285975,285976,0,285977,285978,285979,0,285980,285981,0,0,0,0,1,0,285974,285982,285983,0,0,0,0,0,"",""
151,0,0,821,0,0,0,821,0,0,821,1,0,0,1,7,287845,0,0,821,821,869,0,0,"",""
152,0,0,6655,0,0,0,6655,0,0,6655,0,1,0,1,7,288637,0,0,6655,6655,6655,0,0,"",""
153,0,0,5683,0,0,0,5683,0,0,5683,0,1,0,1,7,288824,0,0,5683,5683,5683,0,0,"",""
154,0,0,7392,0,0,0,7392,0,0,7392,0,1,0,1,7,290097,0,0,7392,7392,7392,0,0,"",""
155,0,0,5900,0,0,0,6008,0,0,6008,1,1,0,1,7,292078,0,0,6008,6548,6008,0,0,"",""
156,304699,0,5642,0,0,304700,5642,304701,304702,5642,1,1,0,1,7,304698,304703,304704,5642,5642,5642,0,0,"",""
157,0,0,151,0,0,0,151,0,0,151,0,0,0,1,7,0,0,0,151,0,151,0,0,"",""
158,0,0,5439,0,0,0,5439,0,0,5439,0,0,0,1,7,0,0,0,5439,0,5439,0,0,"",""
159,0,0,1074,0,0,0,1074,0,0,1074,1,1,0,1,7,305926,0,0,1074,1074,1074,0,0,"",""
160,0,0,864,0,0,0,864,0,0,864,0,0,0,1,7,0,0,0,864,0,864,0,0,"",""
161,0,0,5440,0,0,0,5440,0,0,5440,0,0,0,1,7,0,0,0,5440,0,5440,0,0,"",""
162,0,0,5438,0,0,0,5438,0,0,5438,0,0,0,1,7,0,0,0,5438,0,5438,0,0,"",""
164,0,0,877,0,0,0,877,0,0,877,0,0,0,1,7,307218,0,0,877,0,877,0,0,"",""
165,0,0,821,0,0,0,821,0,0,821,1,0,0,1,7,307507,0,0,821,821,821,0,0,"",""
166,0,0,7347,0,0,0,7347,0,0,7347,1,1,0,1,7,307776,0,0,7347,7347,7347,0,0,"",""
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307878,0,0,0,0,1994,0,0,"",""
168,0,0,1703,0,0,0,1703,0,0,1703,1,1,1,1,7,307923,0,0,1703,1703,1703,0,0,"",""
169,0,0,1283,0,0,0,1283,0,0,1283,1,1,1,1,7,307924,0,0,1283,1283,1283,0,0,"",""
170,0,0,5900,0,0,0,6008,0,0,6008,0,1,0,1,7,308340,0,0,6008,6008,6008,0,0,"",""
171,0,0,1904,0,0,0,1904,0,0,1904,1,1,0,1,7,308535,0,0,1904,1904,1904,0,0,"",""
172,0,0,1709,0,0,0,1709,0,0,1709,1,1,0,1,7,308539,0,0,1709,1709,1709,0,0,"",""
173,0,0,1903,0,0,0,1903,0,0,1903,1,1,0,1,7,308552,0,0,1903,1903,1903,0,0,"",""
174,0,0,4085,0,0,0,4085,0,0,4085,0,0,0,1,7,0,0,0,4085,0,4085,0,0,"",""
175,0,0,151,0,0,0,151,0,0,151,1,0,0,1,7,0,0,0,151,0,151,0,0,"",""
176,0,0,6705,0,0,0,6705,0,0,6705,0,0,0,0,0,0,0,0,6705,0,6705,0,0,"",""
177,0,0,5565,0,0,0,5565,0,0,5565,0,0,0,0,0,0,0,0,5565,0,5565,0,0,"",""
178,0,0,1511,0,0,0,1511,0,0,1511,0,0,0,0,0,0,0,0,1511,0,1511,0,0,"",""
179,0,0,1839,0,0,0,1839,0,0,1839,1,1,0,1,7,317685,0,0,1839,0,1839,0,0,"",""
180,0,0,1071,0,0,0,1071,0,0,1071,1,1,0,1,7,318458,0,0,1071,1071,1071,0,0,"",""
181,0,0,1073,0,0,0,1073,0,0,1073,1,1,0,1,7,318459,0,0,1073,1073,1073,0,0,"",""
182,0,0,1203,0,0,0,1203,0,0,1203,0,1,0,1,7,321728,0,0,1203,1203,1203,0,0,"",""
183,0,0,5524,0,0,0,5524,0,0,5524,1,1,0,1,7,324388,0,0,5524,5524,5524,0,0,"",""
184,0,0,5540,0,0,0,5540,0,0,5540,1,1,0,1,7,328880,0,0,5540,5540,5540,0,0,"",""
185,0,0,5541,0,0,0,5541,0,0,5541,1,1,0,1,7,328883,0,0,5541,5541,5541,0,0,"",""
186,0,0,5542,0,0,0,5542,0,0,5542,1,1,0,1,7,328885,0,0,5542,5542,5542,0,0,"",""
187,0,0,5543,0,0,0,5543,0,0,5543,1,1,0,1,7,328886,0,0,5543,5543,5543,0,0,"",""
188,0,0,1629,0,0,0,1629,0,0,1629,1,1,1,1,7,330243,0,0,1629,1629,1629,15905,0,"",""
189,0,0,717,0,0,0,717,0,0,717,1,1,1,1,7,330569,0,0,717,717,717,16274,0,"",""
190,0,0,1120,0,0,0,1120,0,0,1120,1,1,0,1,7,334816,0,0,1120,1120,1120,0,0,"",""
191,0,0,1122,0,0,0,1122,0,0,1122,1,1,0,1,7,334817,0,0,1122,1122,1122,0,0,"",""
192,0,0,2022,0,0,0,2022,0,0,2022,1,1,0,1,7,335271,0,0,2022,2022,2022,0,0,"",""
193,0,0,2023,0,0,0,2023,0,0,2023,1,1,0,1,7,335282,0,0,2023,2023,2023,0,0,"",""
194,0,0,2024,0,0,0,2024,0,0,2024,1,1,0,1,7,335283,0,0,2024,2024,2024,0,0,"",""
195,0,0,2036,0,0,0,2036,0,0,2036,1,1,0,1,7,335287,0,0,2036,2036,2036,0,0,"",""
196,0,0,6658,0,0,0,6658,0,0,6658,0,1,0,1,7,345259,0,0,6658,6658,6658,0,0,"",""
197,0,0,687,0,0,0,687,0,0,687,0,1,0,1,7,348227,0,0,687,687,687,0,0,"",""
198,0,0,5638,0,0,0,5638,0,0,5638,1,1,0,1,7,0,0,0,5638,5638,5638,0,0,"",""
199,0,0,5690,0,0,0,5690,0,0,5690,1,1,0,1,7,0,0,0,5690,5690,5690,0,0,"",""
200,0,0,1561,0,0,0,1561,0,0,1561,0,0,0,0,0,0,0,0,1561,1561,1561,0,0,"",""
201,0,0,5691,0,0,0,5691,0,0,5691,1,1,0,1,7,0,0,0,5691,5691,5691,0,0,"",""
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160,0,"",""
203,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,210,0,0,"",""
204,0,0,1838,0,0,0,1838,0,0,1838,1,1,0,1,7,0,0,0,1838,1838,1838,0,0,"",""
205,0,0,1530,0,0,0,1530,0,0,1530,1,1,0,1,7,0,0,0,1530,1530,1530,0,0,"",""
206,0,0,1532,0,0,0,1532,0,0,1532,1,1,0,1,7,0,0,0,1532,1532,1532,0,0,"",""
207,0,0,867,0,0,0,867,0,0,867,1,1,0,1,7,370516,0,0,867,867,867,0,0,"",""
208,0,0,155,0,0,0,155,0,0,155,1,1,0,1,7,0,0,0,155,155,155,0,0,"",""
209,0,0,1518,0,0,0,1518,0,0,1518,1,1,0,1,7,0,0,0,1518,1518,1518,0,0,"",""
210,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,475,0,0,"",""
211,0,0,1898,0,0,0,1898,0,0,1898,1,1,0,1,7,372502,0,0,1898,1898,1898,0,0,"",""
212,0,0,5670,0,0,0,5670,0,0,5670,1,1,0,1,7,372503,0,0,5670,5670,5670,0,0,"",""
213,0,0,611,0,0,0,611,0,0,611,1,1,0,1,7,372540,0,0,611,611,611,0,0,"",""
214,0,0,167,0,0,0,167,0,0,167,1,1,0,1,7,372597,0,0,167,167,167,0,0,"",""
215,0,0,1710,0,0,0,1710,0,0,1710,1,1,0,1,7,372670,0,0,1710,1710,1710,0,0,"",""
216,0,0,163,0,0,0,163,0,0,163,1,1,0,1,7,372748,0,0,163,163,163,0,0,"",""
217,0,0,429,0,0,0,429,0,0,429,1,1,0,1,7,0,0,0,429,429,429,10791,0,"",""
218,0,0,1644,0,0,0,1644,0,0,1644,1,1,0,1,7,0,0,0,1644,1644,1644,0,0,"",""
219,0,0,5681,0,0,0,5681,0,0,5681,1,1,0,1,7,0,0,0,5681,5681,5681,0,0,"",""
220,0,0,5682,0,0,0,5682,0,0,5682,1,1,0,1,7,0,0,0,5682,5682,5682,0,0,"",""
221,0,0,5683,0,0,0,5683,0,0,5683,1,1,0,1,7,0,0,0,5683,5683,5683,0,0,"",""
222,0,0,1691,0,0,0,1691,0,0,1691,1,1,0,1,7,0,0,0,1691,1691,1691,0,0,"",""
223,0,0,1667,0,0,0,1667,0,0,1667,1,1,0,1,7,0,0,0,1667,1667,1667,0,0,"",""
224,0,0,869,0,0,0,869,0,0,869,0,0,0,1,7,0,0,0,869,0,869,0,0,"",""
225,0,0,475,0,0,0,475,0,0,475,1,1,0,1,7,0,0,0,475,475,475,20214,0,"",""
226,0,0,1643,0,0,0,1643,0,0,1643,1,1,0,1,7,0,0,0,1643,1643,1643,20217,0,"",""
227,0,0,429,0,0,0,429,0,0,429,1,1,0,1,7,0,0,0,429,429,429,10791,0,"",""
228,0,0,472,0,0,0,472,0,0,472,1,1,0,1,7,0,0,0,472,472,472,20288,0,"",""
229,0,0,707,0,0,0,707,0,0,707,0,0,0,1,7,0,0,0,707,707,707,0,0,"",""
231,0,0,5898,0,0,0,5898,0,0,5898,1,1,0,1,7,0,0,0,5898,5898,5898,0,0,"",""
232,0,0,109,0,0,0,109,0,0,109,0,1,0,0,7,0,0,0,109,109,109,0,0,"",""
233,0,0,151,0,0,0,151,0,0,151,1,0,0,1,7,0,0,0,151,0,151,20496,0,"",""
234,0,0,954,0,0,0,954,0,0,954,0,1,0,1,7,0,0,0,954,954,954,0,0,"",""
235,0,0,6703,0,0,0,6703,0,0,6703,1,1,0,1,7,0,0,0,6703,6703,6703,0,0,"",""
236,0,0,944,0,0,0,944,0,0,944,0,1,0,1,7,0,0,0,944,944,944,0,0,"",""
237,402922,402923,7587,402924,402925,402926,7587,402927,402928,7587,1,1,1,1,0,402921,402929,402930,7587,7587,0,0,0,"shout",""
238,402936,402937,278,402938,402939,402940,278,402941,402942,278,1,1,1,1,0,402935,402943,402944,278,278,0,0,0,"talk",""
239,402957,402958,5555,402959,402960,402961,5555,402962,402963,5555,1,0,1,1,7,402956,402964,402965,5555,5555,5555,0,0,"cower",""
240,0,0,877,0,0,0,877,0,0,877,1,1,0,1,7,0,0,0,877,877,877,0,0,"",""
241,0,0,867,0,0,0,867,0,0,867,1,1,0,1,7,0,0,0,867,867,867,0,0,"",""
242,0,0,625,0,0,0,625,0,0,625,1,1,0,1,7,0,0,0,625,625,625,6523,0,"",""
243,0,0,1839,0,0,0,1839,0,0,1839,1,1,0,1,7,0,0,0,1839,0,1839,11045,0,"",""
244,0,0,688,0,0,0,688,0,0,688,1,0,0,1,7,0,0,0,688,688,688,0,0,"",""
245,0,0,6663,0,0,0,6663,0,0,6663,1,1,0,1,7,0,0,0,6663,6663,6663,10791,0,"",""
246,0,0,5439,0,0,0,5439,0,0,5439,1,0,0,1,7,0,0,0,5439,0,5439,6523,0,"",""
247,0,0,6330,0,0,0,6330,0,0,6330,1,1,0,1,7,0,0,0,6330,6330,6330,0,0,"",""
248,0,0,4949,0,0,0,4949,0,0,4949,0,1,0,1,7,0,0,0,4949,4949,4949,0,0,"",""
249,0,0,6069,0,0,0,6069,0,0,6069,0,1,0,1,7,0,0,0,867,6069,6069,0,0,"",""
250,0,0,1574,0,0,0,1574,0,0,1574,1,1,0,1,7,0,0,0,1574,1574,1574,0,0,"",""
251,0,0,1118,0,0,0,1118,0,0,1118,1,0,0,1,3,0,0,0,1118,1118,1118,21665,0,"",""
253,0,0,6069,0,0,0,6069,0,0,6069,0,1,0,1,7,0,0,0,867,6069,6069,22281,0,"",""
254,0,0,625,0,0,0,625,0,0,625,1,1,0,1,7,0,0,0,625,625,625,0,0,"",""
255,0,0,895,0,0,0,895,0,0,895,0,0,0,0,0,0,0,0,0,0,0,0,0,"",""
257,0,0,7587,0,0,0,7587,0,0,7587,1,1,0,1,7,0,0,0,7587,7587,7587,0,0,"",""
