"ID","enumName","localizedTextId","inputActionCategoryId","canHaveUpDownState","displayIndex"
162,"DashForward",432602,3,0,20
163,"DashBackward",432603,3,0,21
164,"DashLeft",432608,3,0,22
165,"DashRight",432610,3,0,23
166,"Unused12",467536,1,0,0
167,"Unused13",467537,1,0,1
168,"ChatReply",467538,11,1,2
169,"ChatReWhisper",467541,11,1,3
170,"Unused14",467542,1,0,4
171,"Unused15",467543,1,0,5
172,"Unused16",467544,1,0,6
173,"Unused17",467545,1,0,7
174,"Unused18",467548,1,0,8
175,"Unused19",467549,1,0,9
176,"TargetNearestEnemy",467554,5,0,7
177,"TargetNearestFriend",467555,5,0,10
178,"Achievements",467566,2,0,1
179,"AuctionListings",467568,1,0,1
180,"Challenges",467569,2,0,2
181,"Unused10",467570,1,0,0
182,"FriendsList",467571,1,0,7
183,"Lore",467574,2,0,17
184,"Mail",467575,2,0,19
185,"Path",467576,2,0,22
187,"Social",467578,2,0,25
188,"Tradeskills",467581,2,0,27
189,"DirectionalDash",487790,3,0,24
190,"PrimaryPetActionBar_Slot1",509780,4,1,11
191,"PrimaryPetActionBar_Slot2",509781,4,1,11
192,"PrimaryPetActionBar_Slot3",509782,4,1,11
193,"PrimaryPetActionBar_Slot4",509783,4,1,11
194,"PrimaryPetActionBar_Slot5",509784,4,1,11
195,"PrimaryPetActionBar_Slot6",509785,4,1,11
196,"GhostModeMap",571117,2,0,11
197,"Mount",577438,4,1,8
198,"UsePotion",577441,4,1,8
199,"Guild",581561,1,0,11
200,"StunBreakoutUp",618535,3,1,11
201,"StunBreakoutDown",618536,3,1,12
202,"StunBreakoutLeft",618537,3,1,13
203,"StunBreakoutRight",618538,3,1,14
205,"ExplicitMouseLookHold",685500,6,1,6
206,"Store",698893,2,0,26
207,"AccountInventory",698895,2,0,0
208,"CreddExchange",698897,2,0,9
209,"Collectibles",698898,2,0,5
210,"Contracts",698899,2,0,8
211,"HoloWardrobe",698900,2,0,12
212,"LevelUpUnlocks",698902,2,0,15
214,"Who",698904,2,0,29
215,"NonCombatAbilities",698905,2,0,21
216,"Macros",698908,2,0,18
217,"Reputation",698909,2,0,24
218,"FloatingActionBar_Slot7",742520,4,1,10
219,"WelcomeWindow",757604,2,0,28
221,"Leaderboards",763551,2,0,14
222,"PrimalMatrix",767663,2,0,23
