"ID","description","prerequisiteId"
126,"Q4525 - Starboard Vent Effect",0
127,"Q4541 - Rubble Effects for Tremors",0
128,"Q4525 - Port Vent Effect",0
129,"Q4525 - Core Effects",0
130,"Q4541_SeismicDisruptor5000PulseEffect",0
131,"Primal Air Anomaly",0
132,"Q4507 - Scrab birth",0
133,"Q4507 - Alarm Nodes",0
134,"q4599 - Hidden Survivors",0
135,"Kneel to Stand OnCreate",0
136,"Q3788 - Gronyx Corpse Effect - Algoroc",0
137,"Red Bow - FX_Misc01 & FX_Misc02 - Grumpel Female",0
138,"Q4511 mini cyclone",0
143,"NWilds - Generic Sitting",0
145,"OnBirth - State0_State1",0
146,"Q4517 - Invisible Unit Ship Explode",6023
147,"Q4517 - Smokey",0
148,"Q3886 - Burning Fire",0
150,"Q4528 - AIr Tank Bubbles",0
151,"Gronyx - Default_Stunned - Infinite - OnBirth",0
152,"Q3768 - Take Off Dust",0
153,"Q4676 - Landing Beacon",0
154,"Generic - Default_BasePose - No Animation",0
155,"KLW Test - Energy Core",0
156,"Q4676 - Drop Pod",0
157,"Wind Tunnel Debris",0
158,"Bloody Giblets",0
159,"Leg Bone Giblets",0
160,"Rib Bone Giblets",0
161,"OT_Shock_Default_BLE.m3 (Base) [Infinite] OnBirth",0
162,"q4696 - Dominion Scout Idle",0
164,"Q4510 - Cage animation state",0
165,"Artillery Fodder Permacower",0
166,"StormseekerApprentice - Flavor",0
167,"q4696 - Blocker Debris 2 State",0
168,"Bottom Reticle",0
169,"StormseekerAcolyte - Flavor",0
170,"q4696 - Ready State",0
171,"q4733 - Phase 2 AA Cannon - Galeras - T4 - E2",0
172,"q4733 - Phase 3 AA Turret - Galeras - T4 - E2",0
173,"Algoroc - Tract 2 - Sleepy Dagun",0
174,"Q4734 - Wounded ",0
175,"Q4667 - Satellite Scrambler Death",0
176,"Q4737 - Slave Chain Effects",0
178,"Q4527 - Puma Effects",0
179,"Q4737 - Axe Effect",0
180,"q4733 - Falkrin Hover",0
181,"Windforger_Flavor",0
182,"Q4675 - Catapult Burning",5247
183,"Q4675 - Catapult Burning2",5248
184,"Q4675 - Catapult Burning3",5249
185,"Q4675 - Catapult Burning4",5250
186,"Q4541_SeismicDisruptorVFX",0
187,"Q4745 - Poison Gas Cloud",0
188,"Judge Kain - Rumble",0
189,"q4750 - Murgh Threatenings",0
190,"q4733 - Combat Soldier Idles (Rifle)",0
191,"q4733 - Combat Soldier Idles (Pistol)",0
192,"Exile Minion - MOBA Test",0
193,"Dominion Minion - MOBA Test",0
194,"Q4749 - Cargo Lifter 1",0
195,"Initial Town - doctor animations [dmarsh]",0
196,"Q4771 - Infinite Default_Sleep",0
197,"Generic - Infinite - Default_Sleep",0
198,"Q4756 - Dominion Cannon",0
199,"JudgeKain_EndlessCombatPhase",0
200,"Q4757 - Fire",0
202,"GallowCitizen_Beckon",0
203,"GallowCitizen_Cheer_PeacekeeperEvent",0
204,"Q4762 - Into No-Mans Land",0
206,"Q4753 Ground Explode",0
207,"Q4743 - Large Fire 1",0
208,"State_Dead_02 [Infinite]",0
209,"State_Dead_04 [Infinite]",0
210,"Cinematic_Loop_Ground [Infinite]",0
211,"Stormtalon's Lair - Stormtalon FX",0
212,"Stormtalon's Lair - Stormtalon Egg FX",0
213,"Galeras Tract 3 - Dust Devil VFX",0
214,"Skug_Egg_Hatchling_Spray",0
215,"Q4758 - Objective 1",5328
216,"Q4758 - Objective 2",5329
217,"Q4758 - Objective 3",5330
218,"Q4109 - Drill Effects",0
219,"Q4705 - Inf Rdy",0
220,"Granok_Cry",0
221,"Female_DefaultShrug",0
222,"Ohgra_Shout",0
223,"Dominion Sniper Ready Set - Hycrest Adventure",0
224,"Q4786 - Autopolit Beacon 1",0
225,"Q4786 - Autopolit Beacon 2",0
226,"Q4786 - Autopolit Beacon 3",0
227,"Q4786 - Autopolit Beacon + Dust",0
228,"Generic - Infinite - Default Cower",0
229,"Stormtalon's Lair - Whirlwind Entity FX",0
230,"Q4741_Generator1_SmokeEffect",0
232,"Algoroc - Botsmith working on Kain",0
234,"Q4741 - Fence Anchors",0
235,"Severus Mine - OnBirth",0
236,"Q4793 Explosion",0
237,"Q4793 - Lifter Barrels",0
238,"Q4796 - Tank burning",0
239,"Default_BasePose [Infinite]",0
243,"Q4853_Scientist_Typing",0
245,"Q4841 Gronyx - OnBirth",0
246,"EAS Security Bot - Shutdown",0
247,"Caretaker_Calm_Mainroom",0
248,"Caretaker_Security",0
251,"Challenge: Save the Camp Fire 1",0
252,"Challenge: Save the Camp Fire 2",0
253,"Incite_Rebellion",0
254,"Q4758 - Target Dummy Equipped",0
255,"Algoroc - Tract 3 - Eldan_Controlled_Aura",0
256,"Ultrabot Vehicle Test",0
257,"Jumbo Explosion - Hycrest Adventure",0
258,"Auroria -InciteDissent - Hide Weapon -OOC",0
259,"Q4808 Dominion Fuel Palette",0
260,"Hide Player Visual",0
261,"Skittish Dawngrazer - LKM",0
262,"Galeras Flavor - Sniper Ready",0
265,"Exile Comm Beacon - Broken",0
266,"Discovery - Blood Visual Orb",0
267,"Northern Wilds - Act III - Mortar Team",0
268,"NWilds - Act II - Lightning",0
270,"Q4946_ProtostarDeadState",0
271,"Nooks_TreeGrab",0
272,"Q4949_GirrokOnTree",0
273,"Generic Reload [Infinite]",0
274,"Generic Kneel Use [Infinite]",0
275,"Default_Emote_Kneel [Infinite] (With Start/End)",0
276,"NW_Settler_CrateFX",0
277,"Generic Fire Small wDecal [Infinite]",0
278,"Generic Fire Large wDecal [Infinite]",0
279,"Generic Fire Smolder wDecal [Infinite]",0
280,"On Create - Default Sit - LKM",0
281,"Default_Emote_Drink_Loop [Infinite]",0
282,"Battle Medic - Anim Loop",0
283,"SettlerBuffBot_Movement",0
284,"Discovery - Granok Merc Drop pods",0
285,"Generic Kneel Use (High Priority) [Infinite]",0
286,"Turret Shoot",0
287,"Q4755 - Disguise Detector",0
288,"Q3771 - Chua Interface - Hack effects",0
289,"Q4980 - Starstem effect",0
291,"Hunting_AE_effect_temp",0
292,"Hunting Spear AE",0
294,"Q4983_DropPodCrash_VFX",0
295,"Q4983_OPENED_DropPod_VFX",0
296,"Q4948 - Explosions",0
298,"Q4986_OpenState",0
299,"Q4825 - Break Effects",0
300,"Q4825 - ShockWave",0
302,"Q4181 - Kneel Use (High Priority) [Infinite]",0
303,"Q4829 - Base Effect",0
305,"Q4987_BotForVingette",0
306,"Mechari_TempHEAD",0
307,"Protectors_TempHEAD",0
308,"Q4925 - Crashed Dominion Fighter",6056
309,"Galeras - Tract 4 - Flamewing",0
310,"Q4982 - Long Range FX",0
311,"Genereic Smoke Very Large [Infinite]",0
312,"Q3771 - Chua Effects",0
313,"Q3771 - Data Interface Effect",0
314,"Pollen - Galeras - Tract 4 - Scientist",0
315,"Teleport Birth Effect - Hycrest Adventure - DY",0
316,"Mirage Despawn Effect - Malgrave Adventure - DY",0
317,"M718 - Eldan XP Shrine",0
318,"Q4947 - Probebot - Default Use Loop",0
319,"Q5034 - The Lurking Terror",0
320,"Q4955 Invis Shock Ball",0
321,"Frozen Solid - Snow Cling to Body [Infinite]",0
322,"Q3782 - Comm Relay",0
323,"Eerie Flower Dust [Infinite]",0
324,"Q3782 - Small Fire",0
325,"Q3782 - Large Fire",0
326,"Loftite_YetiCave_FX",0
327,"q5110 - Targeting Arrow",0
328,"Q4541_DirtSprayEffect",0
329,"Big Fire - Malgrave Adventure",0
330,"Invisible Raditaiton Unit visual",0
331,"Q5118 - Invis Unit - Yellow Aura",0
337,"Radiation Ground Cloud - Malgrave Adventure - DY",0
338,"Music_Stanza_BLE - Chest [Infinite]",0
339,"Forest Voice Trail [4s]",0
340,"Q5119 - Invis Unit - Major Yellow Aura",0
341,"Q4950 - Final Telegraph",0
343,"Galeras Settler Resource - Essence of Air",0
344,"[PROTOTYPE] TEST SUMMON WALL - CAN",0
348,"Algoroc - Settler - Loftite Thumper",0
349,"Terrorized Civilian - Whitevale - Tract 1",0
350,"ICI Saboteur - Q5075 - Thermock - Whitevale T1",0
353,"SmokePlumes - MalgraveAdventure",0
354,"Dual_WaveShadow_PPL [Name] [Infinite]",0
355,"Silversnout infinite sleep",0
356,"Idle PRP_ClickToMove_000",0
357,"Drunk Sitting Drinking",0
358,"Q4745 - Poison Gas Cloud",0
359,"Q4761 - Fuel Depot Smoking Bomber",0
360,"Black Hood Assassin - Whitevale - Tract 1",0
361,"Generic Prisoner (Kneeling w/Hands Behind Back)",0
362,"Sparking Fuse",0
363,"Special Cache",0
364,"Generic Holdout Ring",0
366,"Q5179 - Deploy Zone VFX",0
367,"Q5183 - Whimfiber",0
368,"Any Any - Default_Talking [Inf] - Flavor - TDG",0
370,"Hide Weapons Inf - Out of Combat",0
371,"Has Space Dysentary",0
372,"Generic Hover_Stunned [Infinite]",0
373,"QRottenRoan_QuestGiver",0
374,"Steampoolio - Scientist - Whitevale - Tract 1",0
375,"NWilds - Generic Sitting High Priority",0
376,"Malgrave Adventure - Soldier Rescue Target",0
377,"Q3927 - Keg Effects",0
378,"Smoke Billow 20m - FX - Initiate Island [KMS]",0
379,"Shadow Creep - Eldan Dig Explorer Micro - Ghost",0
381,"C185 - Bad Vegetables",0
382,"State_Wounded_Ground_01 [Infinite]",0
383,"Algoroc Tract 1 - Chua Collective - Cannon Smoke",0
384,"Water_BLE (Chest) [Infinite] (sized)",0
385,"Snow_Magic_BLU (Name) [Infinite] (sized)",0
386,"XCross_3W_11L_RED",0
387,"PRP_ClickToMove_000",0
389,"State_Wounded_Ground_03 [Infinite]",0
390,"JudgeKain_HologramEffect_ChronicleHouse",0
391,"Buff_Bot_Enrage_RED_64 (Name) [Infinite] (sized)",0
392,"HologramBase_Aura_FX",0
393,"Fungal Shroom Effects",0
394,"Kain_Stretcher_Visuals_02",0
395,"Kain_Stretcher_Visuals_03",0
396,"Q3930 - Cartel Teleport Effect",0
397,"Q4517 - Fire",0
398,"Q4767 - Explosions - Galeras - Tract 1",0
399,"LaCucaracha_IdleStandState",0
400,"Destroy Barrel",0
401,"Default_Sit [Infinite]",0
402,"AugmentedXAS_PoisonEffect",0
403,"Malgrave Adventure - Anomaly Creature",0
404,"q5112 - Invis Smoke FX - Whitevale - Tract 1",0
405,"Thayd - Broken Speeder - Sparks Splash",0
406,"Body on Fire [Infinite]",0
407,"Q4749 - Cargo Lifter 3",0
408,"Q4749 - Cargo Lifter 2",0
409,"Galeras - Tract 3 - Explorer Shortcut",0
410,"Fungal Spore",0
411,"Algoroc tract 3 - Exo-Lab Event Creature Effect",0
412,"Q5078 - Start X",0
413,"Ship Hover FX [Infinite]",0
414,"Q4856 - Repair Turret Effects",0
415,"Q4856 - Reload Turret Effects",0
416,"q5110 - Dead Loop",0
418,"Buff Smoke Red - Chest [Infinite]",0
419,"ThreatBot Startup - Blu Lightning/Elec Arc",0
420,"Smoke_Pollution_8m_GRN",0
421,"Q5308 - Cyldome",0
423,"Cargo Lifter - Thermock Hold Flavor - Whitevale",0
424,"Saboteur's Explosive Charge",0
425,"Whitevale - Tract 1 - Unlucky Gambler Passed Out",0
426,"Music_NatureTrail - Chest [Infinite]",0
427,"Smoke_Scent_GRN - Base [Infinite]",0
428,"q5112 - Dead Tank - Whitevale - Tract 1",0
429,"AP_State1_Idle [Infinite]",0
430,"m802 - Invis Smolder - Whitevale - Tract 1",0
431,"Exile Patrol Ship",0
432,"State_Wounded_Ground_02 [Infinite]",0
433,"ATeam Medpak - OnBirth",0
434,"q5333 - Meat Rack Fires - Galeras - Tract 4",0
435,"Q5327 Osun Warlord Aura",0
436,"Q5327 Osun Witch Eye",0
437,"Buff Smoke Red - Base [Infinite]",0
438,"q4678 - Banner Fire - Galeras - Tract 4",0
439,"Q4694_HoldoutRing",0
440,"GhostField_BLU [Infinite]",0
441,"Drink Loop with Cup in Hand [Infinite]",0
442,"Eat Loop with Cheese in Hand [Infinite]",0
443,"Landmine Birth Tracer - Galeras Adventure - DY",0
446,"Molotov Unit - Galeras Adventure",0
447,"q5343 - Basepose - Whitevale - Tract 2",0
448,"Shadow Blink Explosion",0
449,"LoftiteCrystal_DefaultBasePose(210)",0
450,"JusticeKorse_Kneel",0
451,"W1232 - Hazard Blue Smoke",0
452,"Ship_Smoke",0
453,"Generic State_Dead_04 [Infinite]",0
454,"Generic State_Dead_05 [Infinite]",0
455,"Eldan Augmentation Kit - Heavy",0
456,"Heavy Augment Node - OnBirth",0
457,"Light Augment Node - OnBirth",0
458,"q5351 - Eldan Defense Laser - Whitevale - Tract 2",0
459,"Q3930 - Smoke Effect",0
460,"Q5419 Drowned Exile",0
461,"PRP_HumanSkull_002 attached to base",0
462,"Agnes_LaughAnim",0
463,"Q5373 Generic Sensor Indicator Obj2 [Infinite]",0
464,"Q5373 Generic Sensor Indicator Obj3 [Infinite]",0
465,"Q5373 Generic Sensor Indicator Obj4 [Infinite]",0
466,"Q5420 - Mist",0
469,"Q5422 - Ook Head Pike",0
470,"Q5421 - Yihwa Head Pike",0
471,"Q5420 - Blood Orb",0
472,"Q5420 - Draken",0
473,"Eldan Security Node",0
474,"Algoroc Adventure - Eldan Power Node",0
475,"Primal Water Spring - Scientist - Whitevale",0
476,"Generic State_Coffin [Infinite]",0
477,"Algoroc Adventure - Invisible Missile Unit",0
478,"Generic State_Dead_03 [Infinite]",0
479,"Generic State_Dead_02 [Infinite]",0
480,"Stealth Detector - Viscera Enclave",0
481,"Gronyx Boss Target Unit - Algoroc Adventure",0
482,"Harvesting Discovery",0
483,"Soldier M669 target icon - Galeras - Tract 2",0
484,"Scientist_Actviate",0
485,"Q5181 - Delivery Point Field",0
486,"Canimid Fluff",0
487,"Q5387 - Explode",0
488,"Whitevale - Tract 2 - Firing Squad Member",0
489,"Whitevale - Tract 2 - Q5387 - Kneel",0
490,"q5353 - Red Light - Whitevale - Tract 2",0
491,"Generic Ring_Radar_8m_RED (Base) [Infinite]",0
492,"Generic Hologram Holodata Base Small [Infinite]",0
493,"Galeras - Tract 2 - Augmentation Placeholder FX",0
494,"Q5389 - BurrowFX",0
495,"Music_NatureTrail - Base [Infinite]",0
496,"Shock_Default_GLD [Infinite]",0
497,"Pulsing_Waves_RED [Infinite]",0
498,"Gib_Shock_Lg_TRQ [Infinite]",0
499,"Buff_Bot_Enrage_RED (FX_Misc01/Back) [Infinite]",0
500,"Q5261_XASScientists",0
501,"q5352 - Heat Mine - Whitevale - Tract 2",0
502,"[Test] CargoTaxi Draken Pilot",0
503,"Generic Hologram Holodata Base Medium [Infinite]",0
504,"Algoroc - Tract 3 - HUB2 - Flavor Scientist",0
505,"Razortail Rockpile TEST",7781
506,"Caretaker_HACK_FX",0
507,"Caretaker_Security_WITHOUT_Particles",0
509,"AP_State2_Idle [Infinite]",0
510,"Q5363 Warbot Birth and FX - KLW",0
511,"EldanPrisonSpawnIn",0
512,"Augmentor - Default_Stunned - Infinite - OnBirth",0
513,"EldanPrison_Idle",0
514,"Generic Sit to Stand (On Birth)",0
515,"Augmentor - Default_Hover_Ready - Infinite",0
516,"[NKT] OOC - Default_Sleep and Sleep VFX",0
517,"Default Stand - Infinite",0
518,"Q5393 - Non-Combat Stealth Detection",0
519,"q5343 - Charge Aura - Whitevale - Tract 2",0
520,"Q4696_HumanBeckon",0
521,"Q4696_Granok_Salute",0
522,"Generic Hologram Holodata Base Large [Infinite]",0
523,"Kaia Vixus Hologram - Algoroc Adventure",0
524,"Generic Shiney Hologram FX Small [Infinite]",0
525,"CosmicAnomaly_BuffCloud_GRN",0
526,"Darken - 2HL_Ready (575)",0
527,"Q5393 - Radiant Legion Stealth Bot",0
528,"Hoverbike-PowerUP",0
529,"Q5375 - Seismic Explosive Indicator",0
530,"Ship_Fly_Idle - Animation (Infinite)",0
531,"Gribbon - Default_Stunned - Infinite - OnBirth",0
532,"Hoverbike-Flame-PowerUP",0
533,"Wind Shield FX - Deradune - StormwingHold",0
534,"Hycrest Adventure - Hiding Spot Indicator",0
535,"C23787 - Falkrin Fly in - Birth",0
536,"Caretaker - Default_Ready - Infinite (151)",0
537,"Caretaker - Default_Talk - Infinite (278)",0
538,"W1232 - Contaminated",0
539,"Q3487_PulseTreasureFX",0
541,"Spell - Conjure Twister ",0
542,"Q5377 - Sensor VFX",0
543,"Q5376 Burning Tents",0
545,"Q5521 - Cyclone",0
547,"Q4987_DefaultHoverWalk",0
548,"Pumera Sleepy Time",0
549,"ch224 Eligible - Chat bubble",7562
550,"",0
551,"[dmarsh] Test Entry Anim (OnBirth default_birth)",0
552,"Injured Swifthart Stag",0
553,"Grove Rootbrute burrowed - Deradune - Tract 2",0
554,"Q5577 - Fire Trail - Whitevale - Tract 3 - Ep 3",0
555,"Q5577 - Red X - Whitevale - Tract 3 - Ep 3",0
556,"Auroria_Plagued_Effect",0
557,"ESPer Beacon",0
558,"Generic - Infinite - 1H_Cast_Loop_Weapon (1199)",0
559,"Roasted Chua Smoke",0
560,"Q5577 - Fire Effect, Infinite",0
561,"Auroria_Plagued_Effect_Oxian",0
562,"DarkSpur Rider",0
563,"Generic Default_Dance [Infinite]",0
564,"Generic - Lopp - Cower, Infinite",0
565,"Burning Moodie - Skullcano",0
566,"Q5646_Lowborn_Crying",0
567,"Q5646_Lowborn_Protest",0
568,"Squirg_Plagued_Effect",0
569,"Q5650 Witchgiant burrowed",0
570,"M1076 - Core Drill Sensor - Effects",0
571,"Q5609 - Roasting Chua - Effects",0
572,"Scuba Gear - Oghra",0
573,"Generic - Default_Talk - Infinite (278)",0
574,"Q5532 Squird Queen Destroyed Visual (Ground)",0
575,"Q5674_ExecutionerReadyState",0
576,"Q5674_Sit_Infinite_MSP100",0
577,"q5591 - Dead Pell Anim - Stormtalon's Lair",0
578,"M1053 - Granok Drop Pod",0
579,"Visual - Buff_Fastboy_RED, Infinite",0
580,"Goldensun Dawngrazer Aura - Whitevale Tract 3",0
581,"Electric Shock - Broken Datachrons Q5689",0
582,"Whitevale - Tract 3 - Squirg Head",0
583,"e362 - Chief Kaskalak FX - Skullcano",0
584,"Q5619 - Flaming Supplies",8373
585,"Q5688 Zamm Alert - Deradune - Tract 2",0
586,"Auroria_Plagued_Effect_(Declan Corpse)",0
587,"Whitevale Adventure - Hostage Taker Pose",0
588,"Q5684 - Anomaly Effects Updated",0
589,"Auroria_Plagued_Effect_Holdout",0
590,"OT_Toxic_Bomb_GRN (Base) [Infinite]",0
591,"OT_Toxic_Bomb_GRN_9 (Base) [Infinite]",0
592,"OT_Buff_MentalOT_15_BLU (Name) [Infinite]",0
593,"Cold_Magic_BLU (FX-Misc01) [Infinite] (Sized Up)",0
594,"Whitevale - Tract 3 - Medevac Explode",0
595,"Growing Plants - Deradune Tract 2 Wildwood Grove",0
596,"Whitevale Tract 3 Settler Strength Tier 1 - KLW",0
597,"Whitevale Tract 3 Settler Strength Tier 2 - KLW",0
598,"Eldan Relic Cart",0
599,"Swirling_Pedals_GRN - Chest [Infinite]",0
600,"Swirling_Pedals_GRN - Chest [Infinite] (Sized Up)",0
601,"Soldier M212 target icon - Auroria - Tract 1",0
602,"Default_Birth [7s]",0
603,"2H_Gun_ReadyAim",0
604,"Settler - Auroria Tract 1 - Physical Resist",0
605,"Generic - Inf - 1H_Cast_Loop_Weapon_Up (1196)",0
606,"Hazmat Stand - Basepose - Auroria - Tract 1",0
607,"Settler - Auroria Tract 1 - Health Regen",0
608,"Crimson Isle - Air Drop - Effects",0
609,"Air Drop Crate - Effects",0
610,"Settler Auroria Tract 1 Exp Buff Machine",0
611,"Auroria_PlagueCloud_Creature",0
612,"Default_Dance [Infinite] (1s Delay)",0
613,"Q5630 - Assassin Spawn Effect",0
614,"Default_Dance [Infinite] (2s Delay)",0
615,"FX_Misc_01 - Snow_Bolt_BLU [Infinite]",0
616,"Q5754 - Deceased Plague Effect",0
617,"Q5754 - Injured/Nauseous Decker",0
618,"Exile Medevac Flavor",0
619,"Heavy Falling Dust - VFX On Create",0
620,"Q5641 - Plague effect w/ prereq",8553
621,"CH297 - Plagued Veggies",0
622,"Q5532 Squirg Queen Destroyed Visual (Ceiling)",0
623,"e338 - Lava Node Burrow Anim - Skullcano",0
624,"Auroria Graveyard - Deadstate 04",0
625,"Crimson Isle - Tank Target - Telegraph effect",0
626,"Generic Play_Campfire_Loop (Sound) [Infinite]",0
627,"Default Pumera Ready - Whitevale Tract 3",0
629,"Default Snoglug Ready Whitevale Tract 3",0
631,"Q5618 - Enclave Prisoners",0
632,"Whitevale Adventure - Destination Arrow - Robbery",0
633,"Veggie Spawn",0
634,"Scanning - Crimson Isle",0
635,"Music_Stanza_BLE and Music_Nature_Trail",0
636,"Q5662_DemitriusKole_EvilLaugh",0
637,"Q2599_Aluviel_Holo_Projection",0
638,"Q2599_Farmers",0
639,"Crimson Isle - Warblimp - Gun Fire Effects",0
641,"Q5834 Malfunctioning Bot - Whitevale Tract 4.1",0
642,"Ikthian Abduction Beam - Whitevale Tract 4.1",0
644,"Purifier Hologram - WhitavaleT4 - JBN",0
645,"Q5910_PumpStation_ONE_SmokeEffect",0
646,"Q5910_PumpStation_TWO_SmokeEffect",0
647,"Q5910_PumpStation_THREE_SmokeEffect",0
648,"Q5891 and Q5892 - Water and Lightening Effects",0
649,"Zapper Patrol - Auroria Telegraph",0
650,"NWADV - On Fire",0
651,"HologramBase_Aura_FX small",0
652,"Q5909 - Eldan Probe Forcefield",0
654,"Q3782 - Small Fire - 02",0
655,"Q5887 and Q5888 - 3D_Rock_shock_BLU [4s]",0
656,"Deradune - Tract 2 - Terminite Swarm Visual",0
657,"Q5918 - Sparks",0
658,"Eldan Protector Kneeling to GetUp [Infinite]",0
659,"Q5916 Trail",0
660,"Ikthian Incubating - Whitevale - Tract 4 - Flavor",0
661,"Firefly Anomaly - Whitevale Tract 4 - BB3",0
663,"M1333 - Ikthian Spawn - Whitevale - Tract 4",0
665,"Necrohive Buzzbing_RedEyes",0
668,"Burrow_Emerge - Red Clay (1 min.)",0
669,"M1369 - Tar Bubble",0
670,"Leviathan's Rest Crash Flavor - Deradune Tract 3",0
671,"Leviathan's Rest Crash Smoke - Deradune Tract 3",0
673,"Q5843 - Suppression Emitter",0
674,"Q6031_ProtoLift_FX",0
675,"Q6031_InvisFXUnit",0
676,"HoloData_BLU_Circle_3W_2H [Infinite]",0
677,"Q5884 Staging - Whitevale T4 - EP3 - JBN",0
678,"Default_Use [Infinite] OnBirth OnExitCombat",0
679,"Hide-in-Crowds-Arrow",0
680,"Q5853 - Beam start",0
681,"Vectra action set - TWH",0
682,"Default_Emote_Kneel_Loop [Infinite]",0
683,"e540 - Thundercall High-Priest Anims - Stormtalon",0
684,"Q5853 - Whitevale T4 - Ep3 - glowFX - JBN",0
685,"Levian Bay - ACT II - Flavor Researcher Effects",0
686,"Grapple Hook Indicator",0
687,"Auroria - Protostar Directing to A-22",0
689,"Auroria_Physician_HealthBackPack",0
690,"Mozyk Rumbler soldier var - TWH",0
691,"State_Dead_05 - Inf - 100% Priority",0
