"ID","localizedTextIdTitle","localizedTextIdText","flags","conLevel","type","preq_level","preq_flags","preq_quest0","preq_quest01","preq_quest02","preq_race","preq_item","questPlayerFactionEnum","worldZoneId","localizedTextIdCompletionOverride","reward_xpOverride","reward_cashOverride","pushed_itemId0","pushed_itemId01","pushed_itemId02","pushed_itemId03","pushed_itemId04","pushed_itemId05","pushed_itemCount0","pushed_itemCount01","pushed_itemCount02","pushed_itemCount03","pushed_itemCount04","pushed_itemCount05","objective0","objective01","objective02","objective03","objective04","objective05","localizedTextIdGiverTextUnknown","localizedTextIdGiverTextAccepted","localizedTextIdReceiverTextAccepted","localizedTextIdReceiverTextAchieved","localizedTextIdGiverSayAccepted","localizedTextIdReceiverSayCompleted","preq_class","groupId","factionIdPreq0","factionIdPreq01","factionIdPreq02","factionLevelPreq0","factionLevelPreq01","factionLevelPreq02","factionLevelCompPreq0","factionLevelCompPreq01","factionLevelCompPreq02","questIdExclusionPreq0","questIdExclusionPreq1","questIdExclusionPreq2","localizedTextIdAcceptResponse","localizedTextIdCompleteResponse","WorldLocation2IdReceiver","worldLocation2IdAltReceiver00","worldLocation2IdAltReceiver01","worldLocation2IdAltReceiver02","prerequisiteIdAltReceiver00","prerequisiteIdAltReceiver01","prerequisiteIdAltReceiver02","questDirectionIdAltReceiver00","questDirectionIdAltReceiver01","questDirectionIdAltReceiver02","localizedTextIdCompletedSummary","localizedTextIdGiverIncompleteResponse","localizedTextIdReceiverIncompleteResponse","quest2DifficultyId","maxTimeAllowedMS","prerequisiteId","questShareEnum","subMissionPathType","localizedTextIdCompletedObjectiveShort","quest2SubTypeId","localizedTextIdMoreInfoSay00","localizedTextIdMoreInfoSay01","localizedTextIdMoreInfoSay02","localizedTextIdMoreInfoSay03","localizedTextIdMoreInfoSay04","localizedTextIdMoreInfoText00","localizedTextIdMoreInfoText01","localizedTextIdMoreInfoText02","localizedTextIdMoreInfoText03","localizedTextIdMoreInfoText04","virtualItemIdPushed00","virtualItemIdPushed01","virtualItemIdPushed02","virtualItemIdPushed03","virtualItemPushedCount00","virtualItemPushedCount01","virtualItemPushedCount02","virtualItemPushedCount03","virtualItemPushedObjectiveFlagsEnum00","virtualItemPushedObjectiveFlagsEnum01","virtualItemPushedObjectiveFlagsEnum02","virtualItemPushedObjectiveFlagsEnum03","questDirectionIdCompletion","faction2IdRewardReputation00","faction2IdRewardReputation01","rewardReputationOverride00","rewardReputationOverride01","questCategoryId","localizedTextIdGiverSayDecline","periodicQuestGroupId","periodicQuestWeight","questRepeatPeriodEnum","questContentFinderTypeEnum","groupSize"
1858,46160,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15374,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1859,46163,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1860,46165,0,0,1,0,1,0,0,0,0,0,0,2,262,313662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,313663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1861,46166,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4020,4035,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1862,46167,0,0,1,0,1,0,0,0,0,0,0,2,262,222750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,222751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1863,46168,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1864,46188,0,0,1,0,0,24,0,0,0,0,3998,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191720,0,0,0,191721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1865,46193,0,0,14,0,10,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1866,46194,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1867,46195,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1868,46196,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,15372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1869,46197,0,0,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,0,0,15372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1870,46199,0,0,1,0,0,0,1858,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1872,46206,0,1028,1,0,1,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1873,46207,0,0,1,0,1,0,0,0,0,0,0,2,262,72326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1875,46318,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
1949,48857,0,0,1,0,0,0,0,0,0,0,0,2,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,2073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2018,49956,49959,0,5,5,5,0,0,0,0,0,0,2,1480,49957,0,0,4268,0,0,0,0,0,1,0,0,0,0,0,2168,0,0,0,0,0,49961,0,49964,50345,49962,49965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50341,50827,0,0,0,0,0,0,0,0,0,0,49960,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,49963,0,1,0,0,0
2020,50362,50365,0,5,5,5,1,0,0,0,0,0,2,1480,50363,0,0,4877,0,0,0,0,0,1,0,0,0,0,0,2743,2744,2745,2746,2188,2994,50367,0,50370,50371,50368,50372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50378,50826,0,0,0,0,0,0,0,0,0,0,50366,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,50369,0,1,0,0,0
2025,51275,51280,0,5,5,5,0,0,0,0,0,0,2,1480,51276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2754,2755,3289,2220,2221,2222,51282,0,51285,51286,51283,51287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51290,51291,0,0,0,0,0,0,0,0,0,0,51281,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,51284,0,1,0,0,0
2026,51411,51414,0,5,0,5,0,0,0,0,0,0,2,1480,51412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51416,67035,0,51472,51417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62023,51474,0,0,0,0,0,0,0,0,0,0,51415,0,0,1,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,51418,0,1,0,0,0
2042,51813,51817,32,20,5,20,0,0,0,0,0,4084,2,1480,51814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2263,2264,0,0,0,0,51819,0,0,0,51820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51822,0,0,0,0,0,0,0,0,0,0,0,51818,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2043,51823,51827,32,20,5,20,0,0,0,0,0,4084,2,1480,51824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2265,2266,0,0,0,0,51829,0,0,0,51830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51832,0,0,0,0,0,0,0,0,0,0,0,51828,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2044,51833,51837,32,20,5,20,0,0,0,0,0,4084,2,1480,51834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2267,2268,0,0,0,0,51839,0,0,0,51840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51842,0,0,0,0,0,0,0,0,0,0,0,51838,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2045,51849,51853,32,20,5,20,0,0,0,0,0,4473,2,0,51850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2269,2270,0,0,0,0,51855,0,0,0,51856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51858,0,0,0,0,0,0,0,0,0,0,0,51854,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2046,51859,51863,32,20,5,20,0,0,0,0,0,4473,2,1480,51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271,2272,0,0,0,0,51865,0,0,0,51866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51868,0,0,0,0,0,0,0,0,0,0,0,51864,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2047,51869,51873,32,20,5,20,0,0,0,0,0,4473,2,1480,51870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2273,2274,0,0,0,0,51875,0,0,0,51876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51878,0,0,0,0,0,0,0,0,0,0,0,51874,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2050,51908,51911,32,20,5,20,0,0,0,0,0,0,2,1480,51909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278,0,0,0,0,0,51913,0,0,0,51914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51916,0,0,0,0,0,0,0,0,0,0,0,51912,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2051,51918,51921,32,20,5,20,0,0,0,0,0,0,2,1480,51919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,0,0,0,0,0,51923,0,0,0,51924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51926,0,0,0,0,0,0,0,0,0,0,0,51922,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2052,51929,51932,32,20,5,20,0,0,0,0,0,0,2,1480,51930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,0,0,0,0,0,51934,0,0,0,51935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51937,0,0,0,0,0,0,0,0,0,0,0,51933,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
2058,52943,53049,32,15,5,15,0,0,0,0,0,4085,2,1480,53046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291,2292,0,0,0,0,53051,0,0,0,53052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53054,0,0,0,0,0,0,0,0,0,0,0,53050,0,0,6,0,0,0,4294967295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,4294967295,4294967295,0,0,0,0,0,0,0,0,1,0,0,0
