"ID","soundImpactDescriptionIdOrigin","soundImpactDescriptionIdTarget","unitVisualTypeId","soundEventIdAggro","soundEventIdAware","soundSwitchIdModel","soundCombatLoopId"
129,7,3,16,44598,0,0,0
131,7,3,16,44598,0,0,0
132,7,3,16,44598,0,0,0
133,12,3,16,44598,0,0,0
134,12,3,16,44598,0,0,0
135,7,3,16,44598,0,0,0
136,12,3,16,44598,0,0,0
137,12,3,16,44598,0,41,0
139,5,3,16,44598,0,0,0
140,0,0,0,44598,0,0,0
141,0,0,0,44598,0,0,0
142,12,3,16,44598,0,0,0
144,5,3,16,44598,0,0,0
147,0,0,0,44598,0,0,0
148,7,3,16,44598,0,0,0
149,5,3,16,44598,0,0,0
150,0,0,0,44598,0,0,0
152,0,0,0,44598,0,0,0
153,5,10,16,44598,0,0,0
154,5,3,16,44598,0,0,0
155,12,3,16,44598,5660,0,0
156,5,3,16,44598,0,0,0
159,7,3,16,44598,0,0,0
160,7,3,16,44598,0,0,0
161,12,3,16,44598,0,0,0
162,0,0,0,44598,0,0,0
163,12,3,16,44598,0,0,0
164,5,10,16,44598,0,0,0
167,0,0,0,44598,0,0,0
168,0,0,0,44598,0,0,0
169,0,0,0,44598,0,0,0
170,0,0,0,44598,0,0,0
171,0,0,0,44598,0,0,0
172,7,3,16,44598,0,0,0
173,5,25,16,44598,0,0,0
174,7,3,16,44598,0,0,0
176,0,0,0,44598,0,0,0
177,5,3,0,44598,0,0,0
178,7,3,16,44598,0,0,0
179,0,0,0,44598,0,0,0
180,0,0,0,44598,0,0,0
181,0,0,0,44598,0,0,0
182,0,0,0,44598,0,0,0
183,0,0,0,44598,0,0,0
184,0,0,0,44598,0,0,0
185,0,0,0,44598,0,0,0
187,0,0,0,44598,0,0,0
188,7,3,16,44598,0,0,0
189,7,3,16,44598,0,0,0
190,7,3,16,44598,0,0,0
191,7,3,16,44598,0,0,0
192,7,3,16,44598,0,0,0
193,12,3,16,44598,0,38,0
194,0,0,0,44598,0,0,0
195,0,0,0,44598,0,0,0
196,0,0,0,44598,0,0,0
198,7,3,1,44598,0,0,0
199,7,3,2,44598,0,0,0
200,0,0,0,44598,0,0,0
201,7,3,16,44598,0,0,0
202,7,3,1,44598,0,0,0
203,12,3,16,44598,0,0,0
204,7,6,16,44598,0,0,0
205,7,6,16,44598,0,0,0
206,7,6,16,44598,0,0,0
207,7,6,16,44598,0,0,0
208,7,6,16,44598,0,0,0
209,7,6,16,44598,0,0,0
210,7,6,16,44598,0,0,0
211,7,6,16,44598,0,0,0
212,7,6,16,44598,0,0,0
213,0,0,0,44598,0,0,0
214,0,0,0,44598,0,0,0
215,0,0,0,44598,0,0,0
216,0,0,0,44598,0,0,0
217,0,0,0,44598,0,0,0
218,0,0,0,44598,0,0,0
219,0,0,0,44598,0,0,0
220,12,3,16,44598,0,0,0
221,0,0,0,44598,0,0,0
222,0,0,0,44598,0,0,0
223,5,3,16,44598,0,0,0
224,5,3,16,44598,0,0,0
225,5,3,16,44598,0,0,0
226,5,3,16,44598,0,0,0
227,5,3,16,44598,0,0,0
228,5,3,16,44598,0,0,0
229,5,3,16,44598,0,0,0
230,5,3,16,44598,0,0,0
231,5,3,16,44598,0,0,0
232,5,3,16,44598,0,0,0
233,5,3,16,44598,0,0,0
234,5,3,16,44598,0,0,0
235,5,3,16,44598,0,0,0
236,5,3,16,44598,0,0,0
238,7,3,1,44598,0,0,0
239,7,3,2,44598,0,0,0
240,0,0,0,44598,0,0,0
241,0,0,0,44598,0,0,0
242,0,0,0,44598,0,0,0
243,0,0,0,44598,0,0,0
244,0,0,0,44598,0,0,0
245,0,0,0,44598,0,0,0
246,0,0,0,44598,0,0,0
247,0,0,0,44598,0,0,0
248,0,0,0,44598,0,0,0
249,0,0,0,44598,0,0,0
250,0,0,0,44598,0,0,0
251,0,0,0,44598,0,0,0
252,0,0,0,44598,0,0,0
253,5,3,16,44598,0,0,0
254,0,0,0,44598,0,0,0
255,7,3,16,44598,0,0,0
256,0,0,0,44598,0,0,0
257,0,0,0,44598,0,0,0
258,0,0,0,44598,0,0,0
259,0,0,0,44598,0,0,0
260,0,0,0,44598,0,0,0
261,0,0,0,44598,0,0,0
262,0,0,0,44598,0,0,0
263,0,0,0,44598,0,0,0
264,0,0,0,44598,0,0,0
265,0,0,0,44598,0,0,0
266,0,0,0,44598,0,0,0
267,0,0,0,44598,0,0,0
268,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0
271,7,3,1,44598,0,0,0
272,7,3,3,44598,0,0,0
273,7,3,4,44598,0,0,0
274,12,3,16,44598,0,0,0
275,7,6,15,44598,0,0,0
276,7,6,16,44598,0,0,0
277,7,6,16,44598,0,0,0
278,0,0,0,44598,0,0,0
279,0,0,0,44598,0,0,0
280,12,3,16,44598,0,0,0
281,0,0,0,44598,0,0,0
282,0,0,0,44598,0,0,0
283,0,0,0,44598,0,0,0
284,0,0,0,44598,0,0,0
285,0,0,0,44598,0,0,0
286,0,0,0,44598,0,0,0
287,12,3,17,44598,0,0,0
288,16,6,15,44598,0,0,0
289,7,6,17,44598,0,0,0
290,7,3,1,44598,0,0,0
291,16,6,15,44598,0,0,0
292,16,6,15,44598,0,0,0
293,0,0,0,0,0,0,0
294,7,3,16,44598,0,0,0
295,0,0,0,44598,0,0,0
296,17,3,17,44598,0,0,0
297,5,3,17,44598,0,0,0
298,7,6,16,44598,0,0,0
299,7,3,16,44598,0,0,0
300,32,3,16,44598,0,0,0
301,0,0,0,44598,0,0,0
302,5,3,16,44598,0,0,0
303,12,3,16,44598,5660,0,0
304,0,0,0,44598,0,0,0
305,0,0,0,44598,0,0,0
306,12,3,15,44598,0,0,0
