"ID","count","minSize00","minSize01","minSize02","minSize03","minSize04","minSize05","minSize06","minSize07","minSize08","minSize09","minSize10","minSize11","maxSize00","maxSize01","maxSize02","maxSize03","maxSize04","maxSize05","maxSize06","maxSize07","maxSize08","maxSize09","maxSize10","maxSize11","model00","model01","model02","model03","model04","model05","model06","model07","model08","model09","model10","model11"
11,11,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,"Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_000.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_001.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_002.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_003.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_004.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_005.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_006.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_007.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_008.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_009.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track0_010.m3",""
12,6,0.3,0.4,0.7,0.4,0.5,0.5,1,1,1,1,1,1,0.5,0.6,1,0.6,0.8,0.7,1,1,1,1,1,1,"Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_000.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_001.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_002.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_003.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_004.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track1_005.m3","","","","","",""
13,7,0.8,0.8,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,0.8,0.8,0.8,0.8,0.8,1,1,1,1,1,"Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_000.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_001.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_002.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_003.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_004.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_005.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track2_006.m3","","","","",""
14,8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1,1,1,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,1,1,"Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_000.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_001.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_002.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_003.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_004.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_005.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_006.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track4_007.m3","","","",""
15,12,1,1,1,1,1,1,1,1,1,1,1,1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,"Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_000.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_001.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_002.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_003.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_004.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_005.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_006.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_007.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_008.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_009.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_010.m3","Art\Sky\Clouds\Cirrus\Sky_Cloud_Cirrus_Track5_011.m3"
16,4,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_007.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track5_000.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_000.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_001.M3","","","","","","","",""
17,4,0.3,0.3,0.3,0.4,1,1,1,1,1,1,1,1,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track4_002.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_006.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_000.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_002.M3","","","","","","","",""
18,2,0.5,0.5,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track3_001.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track2_002.m3","","","","","","","","","",""
19,3,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track3_001.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track3_001.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track2_002.m3","","","","","","","","",""
20,2,0.3,0.3,0.3,0.3,1,1,1,1,1,1,1,1,0.6,0.6,0.6,0.6,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track1_005.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track4_001.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_005.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_006.M3","","","","","","","",""
21,4,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track5_000.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_007.m3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_006.M3","Art\Sky\Clouds\Stormy\Sky_Cloud_Stormy_Track0_007.m3","","","","","","","",""
22,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"Art\Sky\Clouds\Astroid\Sky_Astroid_000.m3","","","","","","","","","","",""
