"ID","enumName","localizedTextId"
89,"CombatFloaterMessage_Effect",261
90,"CombatFloaterMessage_SourceName",262
91,"CombatFloaterMessage_TargetName",263
92,"CombatFloaterMessage_SpellName",264
93,"CombatFloaterMessage_TotalDamage",265
94,"CombatFloaterMessage_SubDamages",266
95,"CombatFloaterMessage_MitigatedTotalDamage",267
96,"CombatFloaterMessage_MitigatedSubDamages",268
97,"CombatFloaterMessage_None",269
98,"CombatFloaterMessage_IsCritical",270
99,"CombatMessageLocation_Source",271
100,"CombatMessageLocation_Target",272
101,"CombatMessageLocation_Self",273
102,"CombatMessageLocation_Screen",274
103,"Unknown_Spell",275
104,"CombatFloater_Dodge",276
105,"CombatFloater_Parry",277
106,"GroupPlayerNotFound",285
107,"GroupPlayerAlreadyGrouped",286
108,"GroupNoPermission",287
109,"GroupJoined",290
110,"GroupInviteSent",291
111,"GroupInternalFailure",292
112,"GroupPlayerUnavailable",293
113,"GroupInvite",314
114,"GroupFull",315
115,"GroupInviteDeclined",316
116,"CombatFloaterType_Experience",467
117,"CombatFloaterType_QuestUpdate",468
118,"RewardXP",471
119,"QuestCompleted",472
120,"Chat_ChannelJoined",485
121,"Chat_ChannelParted",486
122,"Chat_ChannelMsg",487
123,"Chat_ChannelOtherJoined",547
124,"Chat_ChannelOtherParted",548
125,"Chat_ChannelOtherKicked",549
126,"Chat_ChannelOtherBanned",550
127,"SpellFailure_SpellCombatModeActiveCount",27926
128,"SpellFailure_SpellPreRequisites",27927
129,"SpellFailure_DamageInterrupts",27928
130,"SpellFailure_CasterMustHaveTarget",27929
131,"SpellFailure_CasterCannotBePrimaryTarget",27930
132,"SpellFailure_Caster_CCStunned",27931
133,"SpellFailure_Caster_CCSleep",27932
134,"SpellFailure_Caster_CCRoot",27933
135,"SpellFailure_Caster_CCDisarm",27934
136,"SpellFailure_Caster_CCSilence",27935
137,"SpellFailure_Caster_CCPacify",27936
138,"SpellFailure_Caster_CCFear",27937
139,"SpellFailure_CasterInnateCostEndurance",27938
140,"SpellFailure_Caster_CannotBeDead",27939
141,"SpellFailure_Caster_MustBeDead",27940
142,"SpellFailure_Caster_CannotBeInCombatPVE",27941
143,"SpellFailure_Caster_MustBeInCombatPVE",27942
144,"SpellFailure_Caster_CannotBe_InCombatPVP",27943
145,"SpellFailure_Caster_MustBe_InCombatPVP",27944
146,"SpellFailure_Caster_CannotBe_Moving",27945
147,"SpellFailure_Caster_MustBe_Moving",27946
148,"SpellFailure_Caster_CannotBe_Stealth",27947
149,"SpellFailure_Caster_MustBe_Stealth",27948
150,"SpellFailure_Caster_CannotBe_Piloting",27949
151,"SpellFailure_Caster_MustBe_Piloting",27950
152,"SpellFailure_Caster_CannotBe_Embarked",27951
153,"SpellFailure_Caster_MustBe_Embarked",27952
154,"SpellFailure_Caster_CannotBe_Taxi",27953
155,"SpellFailure_Caster_MustBe_Taxi",27954
156,"SpellFailure_Caster_CannotBe_Stun",27955
157,"SpellFailure_Caster_MustBe_Stun",27956
158,"SpellFailure_Caster_CannotBe_Sleep",27957
159,"SpellFailure_Caster_MustBe_Sleep",27958
160,"SpellFailure_Caster_CannotBe_Root",27959
161,"SpellFailure_Caster_MustBe_Root",27960
162,"SpellFailure_Caster_CannotBe_Disarm",27961
163,"SpellFailure_Caster_MustBe_Disarm",27962
164,"SpellFailure_Caster_CannotBe_Silence",27963
165,"SpellFailure_Caster_MustBe_Silence",27964
166,"SpellFailure_Caster_CannotBe_Pacify",27965
167,"SpellFailure_Caster_MustBe_Pacify",27966
168,"SpellFailure_Caster_CannotBe_Fear",27967
169,"SpellFailure_Caster_MustBe_Fear",27968
170,"SpellFailure_TargetGroup",27969
171,"SpellFailure_TargetUnknown",27970
172,"SpellFailure_TargetImmune",27971
173,"SpellFailure_TargetCannotBePlayer",27972
174,"SpellFailure_TargetCannotBeNpc",27973
175,"SpellFailure_Target_CannotBeDead",27974
176,"SpellFailure_Target_MustBeDead",27975
177,"SpellFailure_Target_CannotBeInCombatPVE",27976
178,"SpellFailure_Target_MustBeInCombatPVE",27977
179,"SpellFailure_Target_CannotBe_InCombatPVP",27978
180,"SpellFailure_Target_MustBe_InCombatPVP",27979
181,"SpellFailure_Target_CannotBe_Moving",27980
182,"SpellFailure_Target_MustBe_Moving",27981
183,"SpellFailure_Target_CannotBe_Stealth",27982
184,"SpellFailure_Target_MustBe_Stealth",27983
185,"SpellFailure_Target_CannotBe_Piloting",27984
186,"SpellFailure_Target_MustBe_Piloting",27985
187,"SpellFailure_Target_CannotBe_Embarked",27986
188,"SpellFailure_Target_MustBe_Embarked",27987
189,"SpellFailure_Target_CannotBe_Taxi",27988
190,"SpellFailure_Target_MustBe_Taxi",27989
191,"SpellFailure_Target_CannotBe_Stun",27990
192,"SpellFailure_Target_MustBe_Stun",27991
193,"SpellFailure_Target_CannotBe_Sleep",27992
194,"SpellFailure_Target_MustBe_Sleep",27993
195,"SpellFailure_Target_CannotBe_Root",27994
196,"SpellFailure_Target_MustBe_Root",27995
197,"SpellFailure_Target_CannotBe_Disarm",27996
198,"SpellFailure_Target_MustBe_Disarm",27997
199,"SpellFailure_Target_CannotBe_Silence",27998
200,"SpellFailure_Target_MustBe_Silence",27999
201,"SpellFailure_Target_CannotBe_Pacify",28000
202,"SpellFailure_Target_MustBe_Pacify",28001
203,"SpellFailure_Target_CannotBe_Fear",28002
204,"SpellFailure_Target_MustBe_Fear",28003
205,"ZoneStateInherited",28135
206,"ZoneStateContested",28136
207,"ZoneStateSanctuary",28137
208,"ZoneStateDominionStronghold",28138
209,"ZoneStateDominionTerritory",28139
210,"ZoneStateDefianceStronghold",28140
211,"ZoneStateDefianceTerritory",28141
212,"ZoneStateWarZone",28142
213,"ZoneStateBattleground",28143
214,"ZoneStateDungeon",28144
215,"QuestLog_NoContact",28434
216,"GroupWrongFaction",29871
217,"Player_Incapacitated",6390
218,"Player_Dead",6404
219,"SpellFailure_UndefinedError",6492
220,"SpellFailure_MaxPerCaster",6665
221,"SpellFailure_StateMustBeAlive",6667
222,"SpellFailure_StateMustBeDead",6668
223,"SpellFailure_StateMustBeUnconscious",6669
224,"SpellFailure_StateMustBeCasting",6670
225,"SpellFailure_StateMustBeSitting",6671
226,"SpellFailure_StateMustBeLyingDown",6672
227,"SpellFailure_StateMustBeJumping",6673
228,"SpellFailure_StateMustBeSprinting",6674
229,"SpellFailure_StateMustBeStunned",6675
230,"SpellFailure_StateMustBeRooted",6676
231,"SpellFailure_StateMustBeSnared",6677
232,"SpellFailure_StateMustBePlusTarget",6678
233,"SpellFailure_StateMustBeStealth",6679
234,"SpellFailure_StateMustBeInVehicle",6680
235,"SpellFailure_StateMustBeGuard",6681
236,"SpellFailure_CasterInnateCostSoulbits",7080
237,"SpellFailure_CasterInnateCostSoulStrain",7081
238,"SpellFailure_UnableToCreateSpell",8804
239,"SpellFailure_SpellUnknown",8805
240,"SpellFailure_SpellBad",8806
241,"SpellFailure_SpellCancelled",8807
242,"SpellFailure_SpellRemoved",8808
243,"SpellFailure_SpellCountered",8809
244,"SpellFailure_SpellInterrupted",8810
245,"SpellFailure_SpellAlreadyCasting",8811
246,"SpellFailure_SpellGlobalCooldown",8812
247,"SpellFailure_InvalidInventoryIndex",8813
248,"SpellFailure_ItemUnknown",8814
249,"SpellFailure_ItemBad",8817
250,"SpellFailure_ItemNoSpellid",8818
251,"SpellFailure_ItemUnEquipped",8820
252,"SpellFailure_ItemCharges",8821
253,"SpellFailure_CasterUnknown",8822
254,"SpellFailure_CasterNotInControlOfSelf",8823
255,"SpellFailure_TargetIsNotUseable",8826
256,"SpellFailure_TargetRangeMin",8827
257,"SpellFailure_TargetRangeMax",8828
258,"SpellFailure_StateCannotBeCasting",8831
259,"SpellFailure_StateCannotBeJumping",8832
260,"SpellFailure_StateCannotBeSprinting",8833
261,"SpellFailure_StateCannotBeStunned",8834
262,"SpellFailure_StateCannotBeRooted",8835
263,"SpellFailure_StateCannotBeSnared",8836
264,"SpellFailure_CasterMaxCast",8852
265,"SpellFailure_TargetMaxTarget",8853
266,"SpellFailure_SpellMaxChannel",8901
267,"GenericError_Params",73727
268,"GenericError_PlayerBusy",73730
269,"GenericError_UnknownTargetUnit",73732
270,"GenericError_TargetFaction",73735
271,"GenericError_DbFailure",73736
272,"GenericError_BadItemId",73737
273,"GenericError_Vendor_StackSize",73739
274,"GenericError_Vendor_SoldOut",73744
275,"GenericError_Vendor_UnknownItem",73745
276,"GenericError_Vendor_FailedPreReq",73746
277,"GenericError_Vendor_NotAVendor",73747
278,"GenericError_Vendor_TooFar",73748
279,"GenericError_Vendor_BadItemRec",73749
280,"GenericError_Vendor_NotEnoughToFillQuantity",73750
281,"GenericError_Vendor_NotEnoughCash",73752
282,"GenericError_Vendor_UniqueContraint",73753
283,"GenericError_Vendor_ItemLocked",73754
284,"GenericError_Vendor_IWontBuyThat",73755
285,"GenericError_Vendor_NoQuantity",73756
286,"GenericError_Item_OverflowChestCreated",73757
287,"GenericError_Item_InventoryFull",73760
288,"GenericError_Item_UnknownItem",73761
289,"GenericError_Item_QuestViolation",73763
290,"GenericError_Item_Unique",73767
291,"GenericError_Item_NotValidForSlot",73769
292,"GenericError_Item_AlreadyEquipped",73770
293,"GenericError_Item_NotEquipped",73771
294,"GenericError_Item_BagMustBeEmpty",73772
295,"GenericError_Item_CannotFindBag",73773
296,"GenericError_Item_BagToSmall",73774
297,"GenericError_Item_CannotPutBagInSelf",73775
298,"GenericError_Item_WrongRace",73778
299,"GenericError_Item_WrongClass",73779
300,"GenericError_Item_FailedProficiency",73780
301,"GenericError_Item_LevelToLow",73781
302,"GenericError_Vendor_BagIsNotEmpty",73800
303,"GenericError_Item_Locked",73801
304,"GenericError_Embark_PlayerAlreadyInSeat",73804
305,"GenericError_Embark_PlayerUnable",73805
306,"GenericError_Embark_InvalidVehicleUnit",73806
307,"GenericError_Embark_NoSplineForTaxi",73807
308,"GenericError_Embark_VehicleIsBroken",73808
309,"GenericError_Embark_InvalidSeat",73809
310,"GenericError_Embark_SeatTaken",73810
311,"GenericError_Embark_SeatEmpty",73811
312,"InstancePortal_LevelRange",130027
313,"InstancePortal_ExpectedCompletionTime",130030
314,"CombatFloaterType_LootInferior",130784
315,"InputAction_Options",130980
316,"InputAction_CharacterWindow",130981
317,"InputAction_BagWindow",130982
318,"InputAction_QuestLog",130983
319,"InputAction_Communicator",130984
320,"InputAction_Escape",130985
321,"InputAction_Shift",130986
322,"InputAction_Control",130987
323,"InputAction_Select",130988
324,"InputAction_MouseInteract",130989
325,"InputAction_Interact",130990
326,"InputAction_HostileInteract",130991
327,"InputAction_TargetSelf",130992
328,"InputAction_TargetParty1",130993
329,"InputAction_TargetParty2",130994
330,"InputAction_TargetParty3",130995
331,"InputAction_TargetParty4",130996
332,"InputAction_TargetNextEnemy",130997
333,"InputAction_TargetPreviousEnemy",130998
334,"InputAction_TargetNextFriend",130999
335,"InputAction_TargetPreviousFriend",131000
336,"InputAction_AssistTarget",131001
337,"InputAction_MoveForward",131002
338,"InputAction_MoveBackward",131003
339,"InputAction_StrafeLeft",131004
340,"InputAction_StrafeRight",131005
341,"InputAction_TurnLeft",131006
342,"InputAction_TurnRight",131007
343,"InputAction_PitchUp",131008
344,"InputAction_PitchDown",131009
345,"InputAction_MouseTurn",131010
346,"InputAction_Sprint",131011
347,"InputAction_Vacuum",131012
348,"InputAction_PathScan",131013
349,"InputAction_Jump",131014
350,"InputAction_Dismount",131015
351,"InputAction_ToggleSit",131016
352,"InputAction_ToggleWalk",131017
353,"InputAction_ToggleAutoRun",131018
354,"InputAction_CameraUp",131019
355,"InputAction_CameraDown",131020
356,"InputAction_CameraLeft",131021
357,"InputAction_CameraRight",131022
358,"InputAction_CameraIn",131023
359,"InputAction_CameraOut",131024
360,"InputAction_MouseLook",131025
361,"InputAction_UseQuestItem",131026
362,"InputAction_ActionBarShortcut1",131027
363,"InputAction_ActionBarShortcut2",131028
364,"InputAction_ActionBarShortcut3",131029
365,"InputAction_ActionBarShortcut4",131030
366,"InputAction_ActionBarShortcut5",131031
367,"InputAction_ActionBarShortcut6",131032
368,"InputAction_ActionBarShortcut7",131033
369,"InputAction_ActionBarShortcut8",131034
370,"InputAction_ActionBarShortcut9",131035
371,"InputAction_ActionBarShortcut10",131036
372,"InputAction_ActionBarShortcut11",131037
373,"InputAction_ActionBarShortcut12",131038
374,"InputAction_ActionBarShortcut13",131039
375,"InputAction_ActionBarShortcut14",131040
376,"InputAction_ActionBarShortcut15",131041
377,"InputAction_ActionBarShortcut16",131042
378,"InputAction_ActionBarShortcut17",131043
379,"InputAction_ActionBarShortcut18",131044
380,"InputAction_ActionBarShortcut19",131045
381,"InputAction_ActionBarShortcut20",131046
382,"InputAction_ActionBarShortcut21",131047
383,"InputAction_ActionBarShortcut22",131048
384,"InputAction_ActionBarShortcut23",131049
385,"InputAction_ActionBarShortcut24",131050
386,"InputAction_ActionBarShortcut25",131051
387,"InputAction_ActionBarShortcut26",131052
388,"InputAction_ActionBarShortcut27",131053
389,"InputAction_ActionBarShortcut28",131054
390,"InputAction_ActionBarShortcut29",131055
391,"InputAction_ActionBarShortcut30",131056
392,"InputAction_ActionBarShortcut31",131057
393,"InputAction_ActionBarShortcut32",131058
394,"InputAction_ActionBarShortcut33",131059
395,"InputAction_ActionBarShortcut34",131060
396,"InputAction_ActionBarShortcut35",131061
397,"InputAction_ActionBarShortcut36",131062
398,"InputAction_ActionBarShortcut37",131063
399,"InputAction_ActionBarShortcut38",131064
400,"InputAction_ActionBarShortcut39",131065
401,"InputAction_ActionBarShortcut40",131066
402,"InputAction_ActionBarShortcut41",131067
403,"InputAction_ActionBarShortcut42",131068
404,"InputAction_ActionBarShortcut43",131069
405,"InputAction_ActionBarShortcut44",131070
406,"InputAction_ActionBarShortcut45",131071
407,"InputAction_ActionBarShortcut46",131072
408,"InputAction_ActionBarShortcut47",131073
409,"InputAction_ActionBarShortcut48",131074
410,"InputAction_NextActionBar",131075
411,"InputAction_PreviousActionBar",131076
412,"GenericError_Embark_NotInRange",73916
413,"GenericError_Embark_CannotDoWhileOnTaxi",73922
414,"SettlerAvenueType_Economy",133416
415,"SettlerAvenueType_Security",133417
416,"SettlerAvenueType_QualityOfLife",133418
417,"CRB_QuestionMark",134392
418,"CRB_00",134393
419,"CRB_000",134394
420,"CRB_000000",134395
421,"CRB_010",134396
422,"CRB_0_Characters_Last_Character",134397
423,"CRB_0_Seconds",134398
424,"CRB_100",134399
425,"CRB_100_1",134400
426,"CRB_1010",134401
427,"CRB_110",134402
428,"CRB_1_Piece_of_Set_Worn",134403
429,"CRB_2_Piece_of_Set_Worn",134404
430,"CRB_30_Days",134405
431,"CRB_3_Piece_of_Set_Worn",134406
432,"CRB_4_Piece_of_Set_Worn",134407
433,"CRB_500500",134408
434,"CRB_88",134409
435,"CRB_8_Looking_for_Group",134410
436,"CRB_999_Explored",134411
437,"CRB_ABCDEFGHIJKLMOPQ",134412
438,"CRB_AVAILABLE_FOR_PURCHASE",134413
439,"CRB_Abandon",134414
440,"CRB_Abilities",134415
441,"CRB_Ability_Description",134416
442,"CRB_Ability_Name",134417
443,"CRB_Accept",134418
444,"CRB_Accept_sub_mission",134419
445,"CRB_Account",134420
446,"CRB_Account_Name",134421
447,"CRB_Account_Password",134422
448,"CRB_Achievements",134423
449,"CRB_AdditionalInfoString1",134424
450,"CRB_AdditionalInfoString2",134425
451,"CRB_All",134426
452,"CRB_Already_a_homeowner_",134427
453,"CRB_Alternate_Advancment",134428
454,"CRB_Ambient_Volume",134429
455,"CRB_Anisotropic",134430
456,"CRB_Apply",134431
457,"CRB_Apply_To_All_Characters",134432
458,"CRB_Are_you_really_sure",134433
459,"CRB_Are_you_sure_you_want_to_abandon_thi",134434
460,"CRB_Are_you_sure_you_want_to_delete_this",134435
461,"CRB_Area",134436
462,"CRB_Attachments",134437
463,"CRB_Attachments_1",134438
464,"CRB_Auto_Grouping",134439
465,"CRB_Bag_1",134440
466,"CRB_Bag_2",134441
467,"CRB_Bag_3",134442
468,"CRB_Bag_4",134443
469,"CRB_Batallion",134444
470,"CRB_Batch",134445
471,"CRB_Bilinear",134446
472,"CRB_BindString",134447
473,"CRB_BodyPartString",134448
474,"CRB_Boreal_Yeti_Blademaster",134449
475,"CRB_Boulderback_ShovelHeader",134450
476,"CRB_Break_down",134451
477,"CRB_Breakdown",134452
478,"CRB_Breaking_Down",134453
479,"CRB_Brightness",134454
480,"CRB_Buy",134455
481,"CRB_BuyBack",134456
482,"CRB_Buyback",134457
483,"CRB_CALL",134458
484,"CRB_CEILING",134459
485,"CRB_Camp",134460
486,"CRB_Can_a_subject_ever_be_like_a_superje",134461
487,"CRB_Cancel",134462
488,"CRB_Cash",134463
489,"CRB_Category",134464
490,"CRB_Channel",134465
491,"CRB_Character_Pane",134466
492,"CRB_Charges_Remaining",134467
493,"CRB_Charmer",134468
494,"CRB_Chat",134469
495,"CRB_Chat_window_namejjqqyg",134470
496,"CRB_Class",134471
497,"CRB_Class_Selection",134472
498,"CRB_Clear_Title",134473
499,"CRB_Click_E_to_complete",134474
500,"CRB_Click_To_Move",134475
501,"CRB_Clutter_Density",134476
502,"CRB_Clutter_Distance",134477
503,"CRB_Collection",134478
504,"CRB_Settler_Values",134479
505,"CRB_Color",134480
506,"CRB_Combat_Floater_Tester",134481
507,"CRB_Commands",134482
508,"CRB_Companions",134483
509,"CRB_Compose_Message",134484
510,"CRB_Confirm",134485
511,"CRB_Confirm_Delete",134486
512,"CRB_Congratulations_on_an_excellent_choi",134487
513,"CRB_Construct",134488
514,"CRB_Contact_Name",134489
515,"CRB_Copy",134490
516,"CRB_Copy_Shortcut_Set",134491
517,"CRB_Cost",134492
518,"CRB_Craft",134493
519,"CRB_Crate",134494
520,"CRB_Crate_whats_already_there",134495
521,"CRB_Create_New",134496
522,"CRB_Create_new_open_group",134497
523,"CRB_CreatedByString",134498
524,"CRB_Created_By",134499
525,"CRB_Critical_Hit",134500
526,"CRB_Currency",134501
527,"CRB_Current_Enhancement",134502
528,"CRB_Current_Upgrade",134503
529,"CRB_Current_Zone_Only",134504
530,"CRB_Currently",134505
531,"CRB_Currently_Equipped",134506
532,"CRB_Custom",134507
533,"CRB_Customize",134508
534,"CRB_Customize_Appearance",134509
535,"CRB_Customize_Property",134510
536,"CRB_DECLINE",134511
537,"CRB_DPS",134512
538,"CRB_Damage",134513
539,"CRB_Debug",134514
540,"CRB_Decorate",134515
541,"CRB_Default_Ceiling",134516
542,"CRB_Default_Entryway",134517
543,"CRB_Default_Ext_Wallpaper",134518
544,"CRB_Default_Flooring",134519
545,"CRB_Default_Roof",134520
546,"HoldType_Stun",20389
547,"HoldType_Sleep",20390
548,"HoldType_Root",20391
549,"HoldType_Disarm",20392
550,"HoldType_Silence",20393
551,"HoldType_Pacify",20394
552,"SpellClass_Magic",20395
553,"SpellClass_Poison",20396
554,"SpellClass_Curse",20397
555,"Death_Tar1st",20514
556,"Death_Src1st Tar1st",20516
557,"ClassResourceLow_Warrior",20522
558,"ClassResourceLow_ESPer",20523
559,"ClassResourceLow_Spellslinger",20524
560,"ClassResourceLow_Stalker",20525
561,"ClassResourceLow_Engineer",20526
562,"ClassResourceLow_Default",20527
563,"DamageType_Omni",20662
564,"DamageType_Elemental",20663
565,"DamageType_Innate",20664
566,"DamageType_Physical",20666
567,"DamageType_Crushing",20667
568,"DamageType_Cutting",20668
569,"DamageType_Fire",20669
570,"DamageType_Cold",20670
571,"DamageType_Electric",20671
572,"DamageType_Nature",20672
573,"DamageType_Mental",20673
574,"DamageType_Shadow",20674
575,"DialogResponse_ViewQuestAccept",20678
576,"DialogResponse_Goodbye",20679
577,"Dialog_YouWillReceive",20680
578,"Dialog_YouCanChoose",20681
579,"DialogResponse_ViewQuestIncomplete",20683
580,"DialogResponse_ViewQuestComplete",20684
581,"DialogResponse_ChooseReward",20685
582,"DialogResponse_QuestComplete",20686
583,"DialogResponse_QuestAccept",20687
584,"DialogResponse_Training",20689
585,"DialogResponse_Vending",20690
586,"EnergyLow",20725
587,"FontAlias_ThickPlain",21221
588,"FontAlias_NPCDialog",21222
589,"FontAlias_PlayerDialog",21223
590,"Command_Datachron",23039
591,"Group_PartyName",23447
592,"Group_RaidName",23448
593,"Group_BatallionName",23449
594,"FormatQuestReward_Reputation",23708
595,"FormatQuestReward_Item",23709
596,"DialogResponse_Decline",23966
597,"GLT_FreeForAll",24671
598,"GLT_Group",24672
599,"GLT_NeedBeforeGreed",24673
600,"GLT_Master",24674
601,"GroupPlayerRole_Tank",24675
602,"GroupPlayerRole_DPS",24676
603,"GroupPlayerRole_Heal",24677
604,"PlayerGroupType_Party",24678
605,"PlayerGroupType_Raid",24679
606,"PlayerGroupType_Batallion",24680
607,"GroupPlayerRole_None",24682
608,"GVT_Need",24795
609,"GVT_Greed",24796
610,"GVT_Uninterested",24797
611,"GVT_Salvage",24798
612,"GVT_Undecided",24799
613,"GVT_LeftGroup",24800
614,"LootRule",24925
615,"LootThreshold",24926
616,"DungeonDifficulty",24927
617,"PartyType",24928
618,"IconDisplay",24929
619,"IconMarking",24930
620,"PromotePlayer",24931
621,"DemotePlayer",24932
622,"UninvitePlayer",24933
623,"ItemAddedToLootBag",25063
624,"CRB_Elder_Gems",79450
625,"CRB_Renown",79452
626,"SpellFailure_IsP2PTrading",79532
627,"ChatMessage_ExperienceGained_PathEpisode",106378
628,"CombatFloaterType_PlayerPath",106418
629,"ChatMessage_ExperienceGained_PathMission",106419
630,"CRB__days",135441
631,"CRB_Expired",135442
632,"CRB_0f_minutes",135443
633,"CRB_0f_hours",135444
634,"CRB_0f_days",135445
635,"CRB_PPActive_Spell_",135446
636,"CRB_PPTarget_",135447
637,"CRB_Core_",135448
638,"CRB_Duration_",135449
639,"CRB_0f",135450
640,"CRB_And_",135451
641,"CRB__other_unit",135452
642,"CRB__other_units",135453
643,"CRB_Draining",135454
644,"CRB_Not_Hold",135455
645,"CRB_That_was_close__idiot",135456
646,"CRB_ZOMG_DONT_LET_GO",135457
647,"CRB_Keep_Clicking",135458
648,"CRB_Dismiss",135459
649,"CRB_Pet_Points_Used_2",135460
650,"CRB_Pet_Point_Capacity__",135461
651,"CRB_Death_Timer_",135462
652,"CRB__complete",135463
653,"CRB__not_complete",135464
654,"CRB_Acquiring_Scan_Data",135465
655,"CRB_Soldier_holdout_starting",135466
656,"CRB_Select_Player_ticket_cat",135467
657,"CRB_Accept_sub_mission_2",135468
658,"CRB__wants_to_share_quest_",135469
659,"CRB__with_you",135470
660,"CRB_Show_Details_dd",135471
661,"CRB_Botched",135472
662,"CRB_SetRewardIcon_s_does_not_know_how_to",135473
663,"CRB_Failed",135474
664,"CRB_Complete",135475
665,"CRB_Time_Remaining",135476
666,"CRB_Characters",135477
667,"CRB_Elemental_Echoes",135478
668,"CRB_Echoes_are_the_residual_elemental_po",135479
669,"CRB_Points_to_spend_in_this_sphere_",135480
670,"CRB_Points_Invested_",135481
671,"CRB_Current_Tier",135482
672,"CRB_Next_Tier",135483
673,"CRB_Default_Trim",134521
674,"CRB_Default_Wallpaper",134522
675,"CRB_Defiance",134523
676,"CRB_Delete",134524
677,"CRB_Destroy",134525
678,"CRB_Destroy_whats_already_there",134526
679,"CRB_Dev_Create",134527
680,"CRB_Difficulty",134528
681,"CRB_Disable_Flux_Effect",134529
682,"CRB_Display",134530
683,"CRB_Done",134531
684,"CRB_Drag_items_to_be_broken_down_onto_th",134532
685,"CRB_Drain",134533
686,"CRB_Duplicating_this_set_will_replace_al",134534
687,"CRB_ENTRY",134535
688,"CRB_Edit",134536
689,"CRB_Elementalist",134537
690,"CRB_Enable_Camera_Shake",134538
691,"CRB_Enchant",134539
692,"CRB_EnchantString",134540
693,"CRB_Endurance",134541
694,"CRB_Energy",134542
695,"CRB_Engineer",134543
696,"CRB_Enter_Name",134544
697,"CRB_Enter_the_key_you_wish_to_bind_for_A",134545
698,"CRB_Episode_01",134546
699,"CRB_ErrorCodes",134547
700,"CRB_Esper",134548
701,"CRB_EvalString",134549
702,"CRB_Evaluation",134550
703,"CRB_Exclusive",134551
704,"CRB_Exit",134552
705,"CRB_Exit_Game",134553
706,"CRB_Exploration",134554
707,"CRB_Explorer",134555
708,"CRB_Eye_Color",134556
709,"CRB_FLOOR",134557
710,"CRB_FOR",134558
711,"CRB_Female",134559
712,"CRB_Fish",134560
713,"CRB_Fishing",134561
714,"CRB_FlavorString",134562
715,"CRB_Flux_Reaver",134563
716,"CRB_Flying_Mounts",134564
717,"CRB_Free",134565
718,"CRB_From",134566
719,"CRB_Full_Screen",134567
720,"CRB_Game_Menu",134568
721,"CRB_Goal_1_has_lots_of_information",134569
722,"CRB_Goal_Completion_Time",134570
723,"CRB_Greed",134571
724,"CRB_Group_Bag",134572
725,"CRB_Group_Loot",134573
726,"CRB_Groups",134574
727,"CRB_Groups_in_my_level_range",134575
728,"CRB_Groups_requiring_my_role",134576
729,"CRB_Groups_with_my_quests",134577
730,"CRB_HEIGHT",134578
731,"CRB_HIGH",134579
732,"CRB_Healer",134580
733,"CRB_Health",134581
