"ID","luaVariableName","soundEventId"
140,"PlayUIExplorerSignalDetection4",8120
141,"PlayUISoldierBossReleased",8407
142,"PlayUISoldierEnteredRestPeriod",8408
143,"PlayUISoldierHoldoutAchieved",8409
144,"PlayUISoldierHoldoutFailed",8410
145,"PlayUISoldierWaveReleased",8411
146,"PlayUISoldierHoldoutScreenFlashes",8414
149,"PlayUIMissionUnlockSolider",8945
150,"PlayUIPathEpisodeComplete",13723
151,"PlayUIPathMissionComplete",13711
152,"PlayUIPathMissionExplorerVistaComplete",13722
153,"PlayUIPathMissionExplorerPowerMapComplete",13714
154,"PlayUIPathMissionExplorerExploreZoneComplete",13706
155,"PlayUIPathMissionExplorerScavengerHuntComplete",13720
156,"PlayUIPathMissionSettlerHubComplete",13707
157,"PlayUIPathMissionUnlock",13712
158,"PlayUISettlerInfrastructureStarted",13708
159,"PlayUISettlerInfrastructureComplete",13709
160,"PlayUISettlerInfrastructureAdvanced",13710
161,"PlayUISettlerHubPayoffComplete",13713
162,"PlayUIExplorerPowerMapStarted",13717
163,"PlayUIExplorerPowerMapAdvanced",13716
164,"PlayUIExplorerScavengerHuntAdvanced",13718
165,"PlayUIExplorerClaimTerritoryAdvanced",13721
166,"PlayUIChallengeStarted",14134
167,"PlayUIChallengeFailed",14133
168,"PlayUIChallengeComplete",14132
169,"PlayUIChallengeBronze",14131
170,"PlayUIChallengeSilver",14139
171,"PlayUIChallengeGold",14135
172,"PlayUIAchievementGranted",61350
173,"PlayUIMemoryStart",51146
174,"PlayUIMemoryWin",51145
175,"PlayUIMemoryLose",51144
176,"PlayUIMemoryButton1",51140
177,"PlayUIMemoryButton2",51141
178,"PlayUIMemoryButton3",51142
179,"PlayUIMemoryButton4",51143
180,"PlayUIMiniMapPing",3100
181,"PlayUIArkshipDominionWarp",51073
182,"PlayUIArkshipExileWarp",51075
184,"PlayUIButtonMetalLarge",60364
185,"PlayUIButtonMetalSmall",60365
186,"PlayUIWindowMetalOpen",60396
187,"PlayUIWindowMetalClose",60395
188,"PlayUIWindowAccordionClose",60388
189,"PlayUIWindowAccordionOpen",60389
190,"PlayUIWindowHoloOpen",60394
191,"PlayUIWindowHoloClose",60393
192,"PlayUIButtonHoloLarge",60362
193,"PlayUIButtonHoloSmall",60363
194,"PlayUINotificationBannerHolo",60373
195,"PlayUIAnimPulseHolo",60361
196,"PlayUIQueuePopsPvP",60376
197,"PlayUIQueuePopsDungeon",60375
198,"PlayUIQueuePopsAdventure",60374
199,"PlayUIWindowNeedVsGreedOpen",60397
200,"PlayUISocialMail",60378
201,"PlayUISocialPartyInviteSent",60381
202,"PlayUISocialPartyInviteAccept",60379
203,"PlayUISocialPartyInviteDecline",60380
204,"PlayUISocialFriendAlert",60377
205,"PlayUIUnlockAbility",60384
206,"PlayUISocialWhisper",60382
207,"PlayChallengeQuestCancelled",60360
208,"PlayUICraftingOverchargeWarning",60371
209,"PlayUICraftingSuccess",60372
210,"PlayUICraftingFailure",60370
211,"PlayUICraftingCoordinateHit",60368
212,"PlayUICraftingCoordinateMiss",60369
213,"PlayUIWindowCraftingOpen",60392
214,"PlayUIWindowPublicEventVoteOpen",60399
215,"PlayUIWindowPublicEventVoteClose",60398
216,"PlayUIWindowPublicEventVoteVotingEnd",60400
217,"PlayRingtoneExplorer",60009
218,"PlayRingtoneScientist",60010
219,"PlayRingtoneSettler",60011
220,"PlayRingtoneSoldier",60012
221,"PlayUIStoryPanelUrgent",60383
222,"PlayUIWindowAuctionHouseOpen",60390
223,"PlayUIWindowCommoditiesExchangeOpen",60391
224,"PlayUIVendorBuy",60385
225,"PlayUIVendorSell",60387
226,"PlayUIVendorRepair",60386
227,"PlayUIPlayerSelectButton",51071
228,"PlayUIContractAbandonContract",65967
229,"PlayUIContractAcceptContract",65968
230,"PlayUIContractClickContract",65969
231,"PlayUIContractGoldMilestoneAchieved",65970
232,"PlayUIContractGoldMilestoneTurnIn",65971
233,"PlayUIContractMilestoneAchieved",65972
234,"PlayUIContractMilestoneTurnIn",65973
235,"PlayUIContractProgressComplete",65974
236,"PlayUIContractTurnInContract",65975
237,"PlayUIAddRuneSlot",68265
238,"PlayUIEquipAirRune",68266
239,"PlayUIEquipAirSetRune",68267
240,"PlayUIEquipEarthRune",68268
241,"PlayUIEquipEarthSetRune",68269
242,"PlayUIEquipFireRune",68270
243,"PlayUIEquipFireSetRune",68271
244,"PlayUIEquipFusionRune",68272
245,"PlayUIEquipLifeRune",68273
246,"PlayUIEquipLifeSetRune",68274
247,"PlayUIEquipLogicRune",68275
248,"PlayUIEquipLogicSetRune",68276
249,"PlayUIEquipWaterRune",68277
250,"PlayUIEquipWaterSetRune",68278
251,"PlayUIMTXStoreChoosePaymentOption",68309
252,"PlayUIMTXStoreClaimCounter",68310
253,"PlayUIMTXStoreClose",68312
254,"PlayUIMTXStoreClaimItem",68311
255,"PlayUIMTXStoreOpen",68313
256,"PlayUIMTXStorePurchase",68314
257,"PlayUIMTXStorePurchaseConfirmation",68315
258,"PlayUIMTXStorePurchaseFailed",68316
259,"PlayUIMTXStoreSignatureScreen",68317
260,"PlayUIAccountInventoryClose",68318
261,"PlayUIAccountInventoryOpen",68319
262,"PlayUIMTXCosmicRewardsUnlock01",68320
263,"PlayUIMTXCosmicRewardsUnlock02",68321
264,"PlayUIMTXCosmicRewardsUnlock03",68322
265,"PlayUIMTXCosmicRewardsUnlock04",68323
266,"PlayUIMTXCosmicRewardsUnlock05",68324
267,"PlayUIMTXLoyaltyBarTierHover",68325
268,"PlayUIMTXLoyaltyBarTierHoverTopTier",68326
269,"PlayUIMTXLoyaltyRewardsBarFillingUp",68327
270,"PlayUILoginRewardsClaimRewards",68332
271,"PlayUILoginRewardsIconAppears",68333
272,"PlayUILoginRewardsIconTravel",68334
273,"PlayUILoginRewardsPurpleHover",68335
274,"PlayUIMouseDeselectUnit",6254
275,"PlayUICharacterSelectScreen",68424
278,"PlayUIPublicEventPlugsDiscovery",69062
279,"PlayUIPublicEventPlugsCompletion",69061
281,"PlayUINCoinArrival",69863
288,"PlayUINewMailReceivedSFX",69912
289,"PlayUIPrimalMatrixSFXStandardClick",70329
290,"PlayUIPrimalMatrixSFXSave",70328
291,"PlayUIPrimalMatrixSFXVectorComplete",70330
