"ID","localizedTextIdClue","explorerScavengerClueTypeEnum","creature2Id","targetGroupId","activeRadius","worldLocation2IdMiniMap"
330,362335,0,38246,0,0,31547
331,362336,0,38258,0,0,31549
332,362338,0,38104,0,0,31550
336,363745,2,0,0,0,31777
338,363749,2,0,0,0,31778
339,363750,1,39632,0,25,31779
340,363778,2,0,0,0,31808
342,363781,1,0,0,15,31809
343,364611,2,0,0,0,31930
344,364615,1,50268,0,20,31931
345,364621,1,50266,0,15,31932
347,366874,0,38246,0,0,31547
348,366875,0,38258,0,0,31549
349,366876,0,38104,0,0,31550
350,366879,0,38246,0,0,32075
351,366880,0,38258,0,0,32076
352,366881,0,38104,0,0,32077
353,195213,1,23135,0,10,17222
354,195213,1,23135,0,10,17222
355,374554,2,0,0,0,32587
356,374555,1,53960,0,10,32589
357,374556,0,0,7050,0,32590
376,524895,0,0,5645,0,34476
377,395663,1,54737,0,15,34613
378,395694,1,42820,0,10,34619
415,404396,2,0,0,0,35786
416,404396,2,0,0,0,35786
440,404541,2,0,0,0,0
452,412063,2,0,0,0,22466
454,412065,2,0,0,0,22462
455,412066,2,0,0,0,22459
466,269459,1,31119,0,18,24078
467,419414,2,0,0,0,24040
468,431506,1,0,6532,15,23562
469,433534,0,29714,0,0,38333
470,433779,1,47346,0,15,38335
471,433788,1,49648,0,15,38334
472,435506,1,49653,0,15,38423
473,435507,2,0,0,0,38427
474,435514,1,47492,0,15,38428
475,278360,0,31533,0,0,24379
476,436648,0,31533,0,0,24379
477,436649,2,0,0,0,24389
479,453270,0,40044,0,0,31807
486,453542,1,50236,0,40,39849
487,453544,1,50237,0,40,39851
488,453550,1,50238,0,40,39853
489,453551,1,50239,0,40,39854
490,453573,0,50157,0,0,39856
493,453768,1,50236,0,40,39940
494,453769,1,50237,0,40,39942
495,453770,1,50238,0,40,39944
496,453771,1,50239,0,40,39946
498,467301,0,0,5645,0,34476
499,467302,2,0,0,0,34613
500,467303,1,42820,0,2,34619
502,473689,1,54737,0,15,41054
503,473690,1,42820,0,2,41055
504,494821,2,0,0,0,41769
506,494849,2,0,0,0,41774
508,494866,1,53158,0,20,41775
509,494866,1,53158,0,20,41775
510,494880,1,53158,0,20,41776
512,495319,0,0,8051,0,43632
513,495437,2,0,0,0,43633
514,508463,2,0,0,0,42365
516,508445,1,61375,0,15,42371
518,508523,1,61378,0,15,42378
519,524890,0,0,5645,0,41053
520,533110,0,0,8051,0,43632
521,533111,2,0,0,0,43633
