"ID","housingContributionTypeId","contributionPointRequirement","item2IdTier00","item2IdTier01","item2IdTier02","item2IdTier03","item2IdTier04","contributionPointValueTier00","contributionPointValueTier01","contributionPointValueTier02","contributionPointValueTier03","contributionPointValueTier04"
65,2,1,20565,0,0,0,0,1,0,0,0,0
66,2,1,20587,0,0,0,0,1,0,0,0,0
71,2,1,20695,0,0,0,0,1,0,0,0,0
73,2,1,20548,0,0,0,0,1,0,0,0,0
90,2,1,20554,0,0,0,0,1,0,0,0,0
92,2,1,20728,0,0,0,0,1,0,0,0,0
94,2,1,20552,0,0,0,0,1,0,0,0,0
96,1,2000,0,0,0,0,0,0,0,0,0,0
98,2,1,20750,0,0,0,0,1,0,0,0,0
99,2,1,20665,0,0,0,0,1,0,0,0,0
100,2,1,20704,0,0,0,0,1,0,0,0,0
102,4,30,0,0,0,0,0,1,0,0,0,0
103,2,1,20656,0,0,0,0,1,0,0,0,0
104,2,1,20692,0,0,0,0,1,0,0,0,0
105,4,45,0,0,0,0,0,1,0,0,0,0
106,4,60,0,0,0,0,0,1,0,0,0,0
107,4,150,0,0,0,0,0,1,0,0,0,0
108,4,180,0,0,0,0,0,1,0,0,0,0
109,4,54,0,0,0,0,0,1,0,0,0,0
110,4,65,0,0,0,0,0,1,0,0,0,0
111,4,72,0,0,0,0,0,1,0,0,0,0
112,4,86,0,0,0,0,0,1,0,0,0,0
113,4,84,0,0,0,0,0,1,0,0,0,0
114,4,100,0,0,0,0,0,1,0,0,0,0
115,4,72,0,0,0,0,0,1,0,0,0,0
116,4,86,0,0,0,0,0,1,0,0,0,0
117,4,104,0,0,0,0,0,1,0,0,0,0
118,4,100,0,0,0,0,0,1,0,0,0,0
119,4,120,0,0,0,0,0,1,0,0,0,0
120,4,84,0,0,0,0,0,1,0,0,0,0
121,4,100,0,0,0,0,0,1,0,0,0,0
122,4,120,0,0,0,0,0,1,0,0,0,0
123,4,118,0,0,0,0,0,1,0,0,0,0
124,4,142,0,0,0,0,0,1,0,0,0,0
125,4,36,0,0,0,0,0,1,0,0,0,0
126,4,44,0,0,0,0,0,1,0,0,0,0
127,4,215,0,0,0,0,0,1,0,0,0,0
128,4,260,0,0,0,0,0,1,0,0,0,0
129,4,60,0,0,0,0,0,1,0,0,0,0
130,4,72,0,0,0,0,0,1,0,0,0,0
131,4,86,0,0,0,0,0,1,0,0,0,0
132,4,70,0,0,0,0,0,1,0,0,0,0
133,4,82,0,0,0,0,0,1,0,0,0,0
134,4,100,0,0,0,0,0,1,0,0,0,0
135,4,78,0,0,0,0,0,1,0,0,0,0
136,4,94,0,0,0,0,0,1,0,0,0,0
137,4,112,0,0,0,0,0,1,0,0,0,0
138,4,180,0,0,0,0,0,1,0,0,0,0
139,4,215,0,0,0,0,0,1,0,0,0,0
140,4,210,0,0,0,0,0,1,0,0,0,0
141,4,250,0,0,0,0,0,1,0,0,0,0
142,2,1,20641,0,0,0,0,1,0,0,0,0
143,2,1,20673,0,0,0,0,1,0,0,0,0
144,2,1,20648,0,0,0,0,1,0,0,0,0
145,2,1,20681,0,0,0,0,1,0,0,0,0
146,2,1,20649,0,0,0,0,1,0,0,0,0
147,2,1,20682,0,0,0,0,1,0,0,0,0
148,2,1,20675,0,0,0,0,1,0,0,0,0
149,2,1,20662,0,0,0,0,1,0,0,0,0
150,2,1,20619,0,0,0,0,1,0,0,0,0
151,2,1,31350,0,0,0,0,1,0,0,0,0
152,2,1,31354,0,0,0,0,1,0,0,0,0
153,2,1,31351,0,0,0,0,1,0,0,0,0
154,2,1,31355,0,0,0,0,1,0,0,0,0
155,2,1,31368,0,0,0,0,1,0,0,0,0
156,2,1,31369,0,0,0,0,1,0,0,0,0
157,2,1,31370,0,0,0,0,1,0,0,0,0
158,2,1,31371,0,0,0,0,1,0,0,0,0
159,2,1,31372,0,0,0,0,1,0,0,0,0
160,2,1,31373,0,0,0,0,1,0,0,0,0
161,2,1,31356,0,0,0,0,1,0,0,0,0
162,2,1,31357,0,0,0,0,1,0,0,0,0
163,2,1,31358,0,0,0,0,1,0,0,0,0
164,2,1,31359,0,0,0,0,1,0,0,0,0
165,2,1,31374,0,0,0,0,1,0,0,0,0
166,2,1,31375,0,0,0,0,1,0,0,0,0
167,2,1,31376,0,0,0,0,1,0,0,0,0
168,2,1,31377,0,0,0,0,1,0,0,0,0
169,2,1,31378,0,0,0,0,1,0,0,0,0
170,2,1,31360,0,0,0,0,1,0,0,0,0
171,2,1,31379,0,0,0,0,1,0,0,0,0
172,2,1,31361,0,0,0,0,1,0,0,0,0
173,2,1,31380,0,0,0,0,1,0,0,0,0
174,2,1,31381,0,0,0,0,1,0,0,0,0
175,2,1,31382,0,0,0,0,1,0,0,0,0
176,2,1,31363,0,0,0,0,1,0,0,0,0
177,2,1,31384,0,0,0,0,1,0,0,0,0
178,2,1,31385,0,0,0,0,1,0,0,0,0
179,2,1,31364,0,0,0,0,1,0,0,0,0
180,2,1,31386,0,0,0,0,1,0,0,0,0
181,2,1,31388,0,0,0,0,1,0,0,0,0
182,2,1,31389,0,0,0,0,1,0,0,0,0
183,2,1,31390,0,0,0,0,1,0,0,0,0
184,2,1,31392,0,0,0,0,1,0,0,0,0
185,2,1,31391,0,0,0,0,1,0,0,0,0
186,2,1,31366,0,0,0,0,1,0,0,0,0
187,2,1,31393,0,0,0,0,1,0,0,0,0
188,2,1,31394,0,0,0,0,1,0,0,0,0
189,2,1,31367,0,0,0,0,1,0,0,0,0
190,2,1,31396,0,0,0,0,1,0,0,0,0
191,2,1,31397,0,0,0,0,1,0,0,0,0
192,2,1,31398,0,0,0,0,1,0,0,0,0
193,2,1,31399,0,0,0,0,1,0,0,0,0
194,2,1,31401,0,0,0,0,1,0,0,0,0
195,2,1,20747,0,0,0,0,1,0,0,0,0
196,2,1,20746,0,0,0,0,1,0,0,0,0
197,2,1,20614,0,0,0,0,1,0,0,0,0
198,2,1,31383,0,0,0,0,1,0,0,0,0
199,2,1,20647,0,0,0,0,1,0,0,0,0
200,2,1,20552,0,0,0,0,1,0,0,0,0
201,2,1,20652,0,0,0,0,1,0,0,0,0
202,2,1,20735,0,0,0,0,1,0,0,0,0
203,2,1,20666,0,0,0,0,1,0,0,0,0
204,2,1,20696,0,0,0,0,1,0,0,0,0
205,2,1,20667,0,0,0,0,1,0,0,0,0
206,2,1,31387,0,0,0,0,1,0,0,0,0
207,2,1,20654,0,0,0,0,1,0,0,0,0
208,2,1,20707,0,0,0,0,1,0,0,0,0
209,2,1,31365,0,0,0,0,1,0,0,0,0
210,2,1,20643,0,0,0,0,1,0,0,0,0
211,2,1,20644,0,0,0,0,1,0,0,0,0
212,2,1,31395,0,0,0,0,1,0,0,0,0
213,2,1,20686,0,0,0,0,1,0,0,0,0
214,2,1,20698,0,0,0,0,1,0,0,0,0
215,1,10000,0,0,0,0,0,0,0,0,0,0
216,1,3000000,0,0,0,0,0,0,0,0,0,0
217,1,5000,0,0,0,0,0,0,0,0,0,0
218,1,7500,0,0,0,0,0,0,0,0,0,0
219,1,15000,0,0,0,0,0,0,0,0,0,0
220,3,750,0,0,0,0,0,0,0,0,0,0
221,2,1,37182,0,0,0,0,1,0,0,0,0
222,1,7500,0,0,0,0,0,0,0,0,0,0
223,1,12500,0,0,0,0,0,0,0,0,0,0
224,1,10000,0,0,0,0,0,0,0,0,0,0
225,1,12500,0,0,0,0,0,0,0,0,0,0
226,1,20000,0,0,0,0,0,0,0,0,0,0
227,1,15000,0,0,0,0,0,0,0,0,0,0
228,1,20000,0,0,0,0,0,0,0,0,0,0
229,1,22500,0,0,0,0,0,0,0,0,0,0
230,1,25000,0,0,0,0,0,0,0,0,0,0
231,1,25000,0,0,0,0,0,0,0,0,0,0
232,1,27500,0,0,0,0,0,0,0,0,0,0
233,1,30000,0,0,0,0,0,0,0,0,0,0
234,1,30000,0,0,0,0,0,0,0,0,0,0
235,1,35000,0,0,0,0,0,0,0,0,0,0
236,1,40000,0,0,0,0,0,0,0,0,0,0
237,1,40000,0,0,0,0,0,0,0,0,0,0
238,1,45000,0,0,0,0,0,0,0,0,0,0
239,1,55000,0,0,0,0,0,0,0,0,0,0
240,1,55000,0,0,0,0,0,0,0,0,0,0
241,1,65000,0,0,0,0,0,0,0,0,0,0
242,1,75000,0,0,0,0,0,0,0,0,0,0
243,1,75000,0,0,0,0,0,0,0,0,0,0
244,1,85000,0,0,0,0,0,0,0,0,0,0
245,1,100000,0,0,0,0,0,0,0,0,0,0
246,1,8500,0,0,0,0,0,0,0,0,0,0
247,1,12500,0,0,0,0,0,0,0,0,0,0
248,1,14500,0,0,0,0,0,0,0,0,0,0
249,1,14500,0,0,0,0,0,0,0,0,0,0
250,1,17500,0,0,0,0,0,0,0,0,0,0
251,1,22500,0,0,0,0,0,0,0,0,0,0
252,1,22500,0,0,0,0,0,0,0,0,0,0
253,1,26000,0,0,0,0,0,0,0,0,0,0
254,1,28000,0,0,0,0,0,0,0,0,0,0
255,1,28000,0,0,0,0,0,0,0,0,0,0
256,1,32000,0,0,0,0,0,0,0,0,0,0
257,1,36000,0,0,0,0,0,0,0,0,0,0
258,1,36000,0,0,0,0,0,0,0,0,0,0
259,1,39000,0,0,0,0,0,0,0,0,0,0
260,1,44000,0,0,0,0,0,0,0,0,0,0
261,1,44000,0,0,0,0,0,0,0,0,0,0
262,1,50000,0,0,0,0,0,0,0,0,0,0
263,1,58000,0,0,0,0,0,0,0,0,0,0
264,1,58000,0,0,0,0,0,0,0,0,0,0
265,1,70000,0,0,0,0,0,0,0,0,0,0
266,1,82000,0,0,0,0,0,0,0,0,0,0
267,1,82000,0,0,0,0,0,0,0,0,0,0
268,1,90000,0,0,0,0,0,0,0,0,0,0
269,1,125000,0,0,0,0,0,0,0,0,0,0
270,4,50,0,0,0,0,0,1,0,0,0,0
271,4,60,0,0,0,0,0,1,0,0,0,0
272,4,72,0,0,0,0,0,1,0,0,0,0
273,4,40,0,0,0,0,0,1,0,0,0,0
274,4,48,0,0,0,0,0,1,0,0,0,0
275,4,58,0,0,0,0,0,1,0,0,0,0
276,2,1,40856,0,0,0,0,1,0,0,0,0
277,2,1,40857,0,0,0,0,1,0,0,0,0
278,2,1,40858,0,0,0,0,1,0,0,0,0
279,2,1,40853,0,0,0,0,1,0,0,0,0
280,2,1,40854,0,0,0,0,1,0,0,0,0
281,2,1,40855,0,0,0,0,1,0,0,0,0
282,4,22,0,0,0,0,0,1,0,0,0,0
283,4,28,0,0,0,0,0,1,0,0,0,0
284,4,32,0,0,0,0,0,1,0,0,0,0
285,4,45,0,0,0,0,0,1,0,0,0,0
286,4,54,0,0,0,0,0,1,0,0,0,0
287,4,64,0,0,0,0,0,1,0,0,0,0
288,4,62,0,0,0,0,0,1,0,0,0,0
289,4,76,0,0,0,0,0,1,0,0,0,0
290,4,52,0,0,0,0,0,1,0,0,0,0
291,4,62,0,0,0,0,0,1,0,0,0,0
292,4,74,0,0,0,0,0,1,0,0,0,0
293,4,72,0,0,0,0,0,1,0,0,0,0
294,4,86,0,0,0,0,0,1,0,0,0,0
295,4,58,0,0,0,0,0,1,0,0,0,0
296,4,70,0,0,0,0,0,1,0,0,0,0
297,4,84,0,0,0,0,0,1,0,0,0,0
298,4,82,0,0,0,0,0,1,0,0,0,0
299,4,98,0,0,0,0,0,1,0,0,0,0
300,4,112,0,0,0,0,0,1,0,0,0,0
301,4,135,0,0,0,0,0,1,0,0,0,0
302,4,162,0,0,0,0,0,1,0,0,0,0
303,4,158,0,0,0,0,0,1,0,0,0,0
304,4,190,0,0,0,0,0,1,0,0,0,0
305,2,1,40859,0,0,0,0,1,0,0,0,0
306,2,1,40860,0,0,0,0,1,0,0,0,0
307,2,1,40861,0,0,0,0,1,0,0,0,0
308,2,1,40862,0,0,0,0,1,0,0,0,0
309,2,1,40863,0,0,0,0,1,0,0,0,0
310,2,1,40864,0,0,0,0,1,0,0,0,0
311,2,1,40865,0,0,0,0,1,0,0,0,0
312,2,1,40866,0,0,0,0,1,0,0,0,0
313,2,1,40868,0,0,0,0,1,0,0,0,0
314,2,1,40869,0,0,0,0,1,0,0,0,0
315,2,1,40870,0,0,0,0,1,0,0,0,0
316,2,1,40871,0,0,0,0,1,0,0,0,0
317,2,1,40872,0,0,0,0,1,0,0,0,0
318,2,1,40873,0,0,0,0,1,0,0,0,0
319,2,1,40874,0,0,0,0,1,0,0,0,0
320,2,1,40875,0,0,0,0,1,0,0,0,0
321,2,1,40876,0,0,0,0,1,0,0,0,0
322,2,1,40877,0,0,0,0,1,0,0,0,0
323,2,1,40878,0,0,0,0,1,0,0,0,0
324,2,1,40879,0,0,0,0,1,0,0,0,0
325,2,1,40880,0,0,0,0,1,0,0,0,0
326,2,1,40881,0,0,0,0,1,0,0,0,0
327,2,1,40882,0,0,0,0,1,0,0,0,0
328,2,1,40883,0,0,0,0,1,0,0,0,0
329,2,1,40884,0,0,0,0,1,0,0,0,0
330,2,1,40885,0,0,0,0,1,0,0,0,0
331,2,1,40886,0,0,0,0,1,0,0,0,0
332,2,1,40887,0,0,0,0,1,0,0,0,0
333,2,1,40888,0,0,0,0,1,0,0,0,0
334,2,1,40889,0,0,0,0,1,0,0,0,0
335,2,1,40890,0,0,0,0,1,0,0,0,0
336,2,1,40891,0,0,0,0,1,0,0,0,0
337,2,1,40892,0,0,0,0,1,0,0,0,0
338,2,1,40893,0,0,0,0,1,0,0,0,0
339,2,1,40894,0,0,0,0,1,0,0,0,0
340,2,1,40895,0,0,0,0,1,0,0,0,0
341,2,1,40896,0,0,0,0,1,0,0,0,0
342,2,1,40867,0,0,0,0,1,0,0,0,0
343,2,1,44805,0,0,0,0,1,0,0,0,0
344,2,1,44806,0,0,0,0,1,0,0,0,0
345,2,1,44808,0,0,0,0,1,0,0,0,0
346,2,1,44807,0,0,0,0,1,0,0,0,0
347,2,1,45433,0,0,0,0,1,0,0,0,0
348,1,4255000,0,0,0,0,0,0,0,0,0,0
349,2,1,48172,0,0,0,0,1,0,0,0,0
350,2,1,48892,0,0,0,0,1,0,0,0,0
351,2,1,49084,0,0,0,0,1,0,0,0,0
352,2,1,49715,0,0,0,0,1,0,0,0,0
353,2,1,50634,0,0,0,0,1,0,0,0,0
354,4,0,0,0,0,0,0,1,0,0,0,0
355,2,1,74929,0,0,0,0,1,0,0,0,0
356,2,1,74932,0,0,0,0,1,0,0,0,0
357,2,1,74933,0,0,0,0,1,0,0,0,0
358,2,1,74934,0,0,0,0,1,0,0,0,0
359,2,1,83673,0,0,0,0,1,0,0,0,0
360,2,1,83763,0,0,0,0,1,0,0,0,0
364,2,1,85780,0,0,0,0,1,0,0,0,0
365,2,1,85820,0,0,0,0,1,0,0,0,0
366,2,1,85867,0,0,0,0,1,0,0,0,0
367,2,1,86551,0,0,0,0,1,0,0,0,0
368,1,1,0,0,0,0,0,0,0,0,0,0
370,2,1,90492,0,0,0,0,1,0,0,0,0
371,2,1,90569,0,0,0,0,1,0,0,0,0
372,2,1,90610,0,0,0,0,1,0,0,0,0
373,2,1,90840,0,0,0,0,1,0,0,0,0
374,2,1,91012,0,0,0,0,1,0,0,0,0
375,2,1,92101,0,0,0,0,1,0,0,0,0
376,2,1,92276,0,0,0,0,1,0,0,0,0
377,2,1,92526,0,0,0,0,1,0,0,0,0
