"ID","description","worldId","eventTypeEnum","eventData","prerequisiteId","priority","delayMS","clientEventActionId"
164,"Q6677- NEast Embertree Not burning Celestion T1",51,1,6677,19442,0,0,96
165,"Q6677- Western Embertree Not burning Celestion T1",51,5,1641,19438,2,0,96
166,"Q6677- Eastern Embertree Not burning Celestion T1",51,5,1640,19440,0,0,96
167,"Q6677- NEast Embertree Not burning Celestion T1",51,5,1639,19442,0,0,96
168,"QTI - Client Event - Skybox with Interior",625,0,2564,19507,20,0,97
170,"Shiphand: DSD - Lights Off - KMS",2188,5,2627,0,9,0,98
171,"Shiphand: DSD - Lights On - KMS",2188,7,1851,20365,9,0,99
173,"Celestion-Tract 2-ICI Falling Debris On 1-DJU",51,1,6986,22829,9,0,101
175,"Q7862 - Lights On Quest - Fist of Azrion - MLB1",1061,1,7682,23554,50,0,102
176,"Q7862 - Lights On Zone - Fist of Azrion - MLB1",1061,5,4236,23554,0,0,102
177,"Q8096 - Lights On Zone - Widowmaker - MLB1/CSC1",1061,5,4249,23555,0,0,103
178,"Q8096 - Lights On Quest - Widowmaker - MLB1/CSC1",1061,1,8096,23555,50,0,103
182,"w2967 - Drusera Instance 4 - Entity Sky",2967,7,2290,23911,1,5000,104
183,"SpellSlinger Void Plane Sky (Interior)",0,9,0,28187,0,0,105
184,"Grimvault - PE523 - Attack Phase - JBN/MLB8",1061,0,3034,26237,1,0,106
185,"Grimvault - PE523 - Attack Phase 1 - JBN/MLB8",1061,7,2402,26237,1,0,106
186,"Grimvault - PE523 - Attack Phase 2 - JBN/MLB8",1061,7,2405,26237,1,0,106
187,"Grimvault - PE523 - Attack Phase 3 - JBN/MLB8",1061,7,2408,26237,1,0,106
189,"Q7685 - Red Sky on Quest - MLB1",1061,1,7685,28019,100,0,108
190,"Q8099 - Red Sky on Quest - MLB1/CSC1",1061,1,8099,28020,100,0,108
191,"Q7898  Generator 4 state - Prop Load",1666,4,2184149,28065,2,0,110
192,"Q7898 Generator4 state - Quest change",1666,1,2184149,28065,1,0,110
193,"Q7898  Generator 1 state - Prop Load",1666,4,2184451,28065,2,0,111
194,"Q7898  Generator 1 state -Quest",1666,1,2184451,28065,1,0,111
195,"Q7898  Generator 2 state - Prop Load",1666,4,2184448,28065,2,0,112
196,"Q7898  Generator 2 state -Quest",1666,1,2184448,28065,1,0,112
197,"Q7898  Generator 3 state - Prop Load",1666,4,2184445,28065,2,0,113
198,"Q7898  Generator 3 state -Quest",1666,1,2184445,28065,1,0,113
199,"Q7898  Generator 5 state - Prop Load",1666,4,2184461,28065,2,0,114
200,"Q7898  Generator 5 state -Quest",1666,1,2184461,28065,1,0,114
201,"Q7898  Generator 6 state - Prop Load",1666,4,2184464,28065,2,0,115
202,"Q7898  Generator 6 state -Quest",1666,1,2184464,28065,1,0,115
203,"Q7898  Generator 7 state - Prop Load",1666,4,2184467,28065,2,0,116
204,"Q7898  Generator 7 state -Quest",1666,1,2184467,28065,1,0,116
205,"Q7898  Generator 8 state - Prop Load",1666,4,2184470,28065,2,0,117
206,"Q7898  Generator 8 state -Quest",1666,1,2184470,28065,1,0,117
207,"Q8042  Generator 1 state - Prop Load",1666,4,2386254,28065,2,0,118
208,"Q8042  Generator 1 state -Quest",1666,1,2386254,28065,1,0,118
209,"Q8042  Generator 2 state - Prop Load",1666,4,2386255,28065,2,0,119
210,"Q8042  Generator 2 state -Quest",1666,1,2386255,28065,1,0,119
211,"Q8042  Generator 3 state - Prop Load",1666,4,2386253,28065,2,0,120
212,"Q8042  Generator 3 state -Quest",1666,1,2386253,28065,1,0,120
213,"Q8042  Generator 4 state - Prop Load",1666,4,2386248,28065,2,0,121
214,"Q8042  Generator 4 state -Quest",1666,1,2386248,28065,1,0,121
215,"Q8042  Generator 5 state - Prop Load",1666,4,2386260,28065,2,0,122
216,"Q8042  Generator 5 state -Quest",1666,1,2386260,28065,1,0,122
217,"Q8042  Generator 6 state - Prop Load",1666,4,2386259,28065,2,0,123
218,"Q8042  Generator 6 state -Quest",1666,1,2386259,28065,1,0,123
219,"Q8042  Generator 7 state - Prop Load",1666,4,2386258,28065,2,0,124
220,"Q8042  Generator 7 state -Quest",1666,1,2386258,28065,1,0,124
221,"Q8042  Generator 8 state - Prop Load",1666,4,2386261,28065,2,0,125
222,"Q8042  Generator 8 state -Quest",1666,1,2386261,28065,1,0,125
223,"Grimvault - Desolate Highland DOM - Sky Change",1061,0,2119,28493,0,0,126
224,"Grimvault - Desolate Highland EXILE - Sky Change",1061,0,2687,28494,0,0,126
225,"Q7685 - Red Sky on Zone - Fist of Azrion - MLB1",1061,5,4236,28019,0,0,108
226,"Q8099 - Red Sky On Zone - Widowmaker - MLB1/CSC1",1061,5,4232,28020,0,0,108
227,"Q7685 - Abandoned - SWC/MLB1",1061,1,7685,28555,0,0,102
228,"Q7685 - Known - SWC/MLB1",1061,1,7685,28558,90,0,102
229,"Q8099 - Known - SWC/MLB1",1061,1,8099,28565,90,0,103
230,"Q8099 - Abandoned - SWC/MLB1",1061,1,8099,28566,0,0,103
231,"Q7691 - Boss Sky on Quest - MLB1",1061,1,7691,28782,100,0,127
232,"Q7691 - Boss Sky on Zone - Department YYZ - MLB1",1061,0,2243,28782,0,0,127
235,"Q8105 - Boss Sky on Quest - MLB1",1061,1,8105,28808,100,0,127
236,"Q8105 - Boss Sky on Zone - Department YYZ - MLB1",1061,0,2310,28808,0,0,127
238,"Q7771 - Megadroid Head - Off State - PWM",22,4,1541685,22109,2,0,128
239,"Q7771 - Megadroid Head - On State - PWM",22,4,1541685,29116,1,0,129
240,"Crimson Isle - Q5573 Act 1 Sky Change Zone",870,5,622,29205,5,0,55
241,"Grimvault - PE523 - Defend Phase - JBN/MLB8",1061,0,3034,29418,1,0,107
242,"Grimvault - PE523 - Defend Phase 1 - JBN/MLB8",1061,7,2401,29418,1,0,107
243,"Grimvault - PE523 - Defend Phase 2 - JBN/MLB8",1061,7,2404,29418,1,0,107
244,"Grimvault - PE523 - Defend Phase 3 - JBN/MLB8",1061,7,2407,29418,1,0,107
245,"w2173 - Red Alert Skybox",2173,7,1759,29495,10,0,130
249,"Q9064 - Lights Out - Mind of the Glo - MLB7",1061,1,9064,30793,50,0,133
250,"Q9123 - Lights Out - Mind of the Glo - MLB7",1061,1,9123,30794,50,0,134
251,"Q6283 - Vortex sky - Dominion - Halon Ring t1",1463,0,1583,31514,0,0,92
252,"Q6506 - Vortex sky - Exile - Halon Ring t1",1463,5,1583,31513,0,0,92
257,"Q9123 - Dead Globellum Sky - MLB7",1061,1,9123,33338,50,0,138
258,"Q9064 - Dead Globellum Sky - MLB7",1061,1,9064,33339,50,0,138
259,"Q9195: Black Focus - OnQuestChange",1061,1,9195,34079,1,0,139
260,"Q9195: Black Focus - Prop Load",1061,4,1790560,34079,2,0,139
261,"Q9195: Black Focus Beam 1 - OnQuestChange",1061,1,9195,34079,1,0,140
262,"Q9195: Black Focus Beam 1 - Prop Load",1061,4,3765620,34079,2,0,140
263,"Q9195: Black Focus Beam 2 - OnQuestChange",1061,1,9195,34079,1,0,141
264,"Q9195: Black Focus Beam 2 - Prop Load",1061,4,3765629,34079,2,0,141
265,"Q9195: Black Focus Beam 3 - OnQuestChange",1061,1,9195,34079,1,0,142
266,"Q9195: Black Focus Beam 3 - Prop Load",1061,4,3765611,34079,2,0,142
269,"q7496 Savage Coast Radar Dish - Prop Load",2997,4,5100066,26289,2,0,145
270,"q7496 Savage Coast Radar Dish - Quest Change",2997,1,5100066,26289,1,0,145
271,"WS0 - Q9792 Skybox Change",1061,0,4428,36065,100,0,147
272,"SE14 - Bunker Sound Zone Kit",3044,7,2840,37267,10,0,148
274,"GC030 Q5868 - Star Comm On Sky - MLB10",1387,1,5868,37416,50,0,150
275,"SE14 - Boss Fight Sound Zone Kit 1",3044,7,4770,37804,10,16000,151
276,"SE14 - Boss Fight Sound Zone Kit 2",3044,7,2840,37804,10,0,151
277,"Q6992 - Alert Sky on Quest - MLB12",1634,1,6992,38059,100,0,152
278,"Q6992 - Alery Sky on Zone - MLB12",1634,5,1679,38059,0,0,152
280,"W3404 PE781 - Etheric Skybox 1 PO4921 - KLW",3404,7,4921,38154,20,0,154
281,"W3404 PE781 - Etheric Skybox 2 PO4923 - KLW",3404,7,4923,38155,20,0,154
284,"W3404 PE781 - Selfdestruct Skybox PO4927 - KLW",3404,7,5013,38183,100,0,156
285,"DE324 - Arcterra T1 - Blizzard - KMS",3335,3,324,38485,10,1000,158
286,"DE324 - Arcterra T1 - Blizzard - KMS",3335,5,4763,38485,5,0,158
287,"Q7018 - Boss Room Skybox on Zone - MLB12",1634,0,2962,39906,100,0,159
289,"Bor Milug - Arcterra T1 - PE Interior Snow - KMS",3335,7,5058,39108,10,1000,161
290,"Bor Milug - Arcterra T1 - Z Interior Snow - KMS",3335,5,4774,39108,10,1000,161
292,"Q7018 - Aurin Room Skybox on Zone - MLB12",1634,0,2963,39904,100,0,163
293,"Q7018 - Mordesh Room Skybox on Zone - MLB12",1634,0,2964,39905,100,0,164
294,"Torment Zone - Matuk - Arcterra - ETS",3335,5,4945,40181,10,0,165
298,"Ring of Scorn - PEO - Matuk - Arcterra - Dom",3335,7,5032,40567,1,0,167
299,"Ring of Scorn - Zone - Matuk - Arcterra - Ex",3335,5,4768,40571,1,0,167
300,"Ring of Scorn - PEO - Matuk - Arcterra - Ex",3335,7,4807,40567,1,0,167
302,"Carrion Vale - PEO - Kundar - Arcterra - Dom",3335,7,5033,40573,1,0,168
303,"Carrion Vale - Zone - Kundar - Arcterra - Ex",3335,5,4785,40574,1,0,168
304,"Carrion Vale - PEO - Kundar - Arcterra - Ex",3335,7,4808,40573,1,0,168
306,"FG Nest - PEO - Frostgale - Arcterra - Dom",3335,7,5109,40576,1,0,169
307,"FG Nest - Zone - Frostgale - Arcterra - Ex",3335,5,4782,40577,1,0,169
308,"FG Nest - PEO - Frostgale - Arcterra - Dom",3335,7,5111,40576,1,0,169
309,"Winterbone Woods - Zone - Renhakul - Arcterra",3335,5,4960,40604,1,0,170
310,"Winterbone Woods - PEO - Renhakul - Arcterra",3335,7,5120,40605,1,0,170
311,"DE324-Arcterra T1-Blizzard Sound Event Start-DJU",3335,3,324,41711,10,1000,171
312,"W3009 - ws2 part 6 - Boss Sky - JBN",3009,7,4329,40684,99,0,172
313,"W3009 - ws2 part 6 - Boss Sky - JBN",3009,0,4966,40684,99,0,172
1312,"Renhakul - Zone - Music - Arcterra",3335,5,4960,40604,1,0,1172
1313,"Renhakul - PEO - Music - Arcterra",3335,7,5120,40605,1,0,1172
1315,"Ring of Scorn - PEO - Matuk - Music - Dom",3335,7,5032,40567,1,0,1174
1316,"Ring of Scorn - Zone - Matuk - Music - Ex",3335,5,4768,40571,1,0,1174
1317,"Ring of Scorn - PEO - Matuk - Music - Ex",3335,7,4807,40567,1,0,1174
1318,"Torment Zone - Matuk - Music - ETS",3335,5,4945,40181,10,0,1174
1320,"Carrion Vale - PEO - Kundar - Music - Dom",3335,7,5033,40573,1,0,1175
1321,"Carrion Vale - Zone - Kundar - Music - Ex",3335,5,4785,40574,1,0,1175
1322,"Carrion Vale - PEO - Kundar - Music - Ex",3335,7,4808,40573,1,0,1175
1324,"FG Nest - PEO - Frostgale - Arcterra - Dom",3335,7,5109,40576,1,0,1173
1325,"FG Nest - Zone - Frostgale - Music - Ex",3335,5,4782,40577,1,0,1173
1326,"FG Nest - PEO - Frostgale - Music - Dom",3335,7,5111,40576,1,0,1173
1327,"DE324-Arcterra T1-Blizzard Sound Zone Reenter-DJU",3335,5,4843,41711,10,1000,1176
1328,"NPEU - EXILE - Combat Area - Darken Sky - JBN",3460,5,5967,43175,100,5000,1177
1329,"NPEU - DOM - Combat Area - Darken Sky - JBN",3460,5,5967,43196,100,5000,1177
1330,"NPEU - EXILE - Quest Area - Darken Sky - JBN",3460,5,5968,43197,100,5000,1178
1331,"NPEU - DOM - Quest Area - Darken Sky - JBN",3460,5,5968,43198,100,5000,1178
1333,"e4552 - w3202 - RMT Engineer MiniBoss Sky",3032,0,6017,43845,20,0,1180
1334,"e4550 - w3202 - RMT Engineer Boss Sky",3032,7,4550,43786,20,0,1181
1335,"e4558 w3032 - RMT - Shredder boss sky",3032,0,5975,43797,20,0,1182
1336,"e4554 w3032 - RMT - Airlock Mordechai boss sky",3032,0,5989,43801,20,0,1183
1337,"e4552 - w3202 - RMT Engineer Sky (ZoneChange)",3032,0,5978,43804,20,0,1181
1338,"[CBC] End Room boss Music",3522,0,6028,44326,0,0,1184
