"ID","modelSequenceId","modelSequenceIdSwim","modelSequenceIdHover","modelSequenceIdFly"
118,1640,4143,4076,4004
119,1641,4144,4077,4005
120,1642,4145,4078,4006
121,289,1960,620,591
122,151,1141,622,592
123,152,161,612,593
124,1589,4146,4079,4007
125,625,1872,1904,1964
126,282,1959,614,619
127,150,163,611,594
128,556,1961,1962,1963
129,429,1821,1708,1883
130,278,1957,1903,1958
131,475,1819,1710,1885
132,153,1143,613,595
133,154,162,1952,1953
134,157,1150,616,596
135,1283,1740,1703,1877
136,1475,1743,1706,1880
137,1473,1742,1705,1879
138,1472,1741,1704,1878
139,1474,1744,1707,1881
140,1717,1724,1723,2054
141,687,2302,2168,2055
142,1525,2303,2169,2056
143,2037,2304,2170,2057
144,1522,2305,2171,2058
145,2038,2306,2172,2059
146,1523,2307,2173,2060
147,2039,2308,2174,2061
148,1524,2309,2175,2062
149,2040,2310,2176,2063
150,1235,2311,2177,2064
151,2041,2312,2178,2065
152,2042,2313,2179,2066
153,688,2314,2180,2067
154,2043,2315,2181,2068
155,915,2316,2182,2069
156,920,2317,2183,2070
157,925,2318,2184,2071
158,930,2319,2185,2072
159,935,2320,2186,2073
160,916,2321,2187,2074
161,921,2322,2188,2075
162,926,2323,2189,2076
163,931,2324,2190,2077
164,936,2325,2191,2078
165,1842,2333,2199,2086
166,917,2339,2205,2092
167,922,2340,2206,2093
168,927,2341,2207,2094
169,932,2342,2208,2095
170,937,2343,2209,2096
171,914,2346,2212,2099
172,919,2347,2213,2100
173,924,2348,2214,2101
174,929,2349,2215,2102
175,934,2350,2216,2103
176,913,2351,2217,2104
177,918,2352,2218,2105
178,923,2353,2219,2106
179,928,2354,2220,2107
180,933,2355,2221,2108
181,128,2356,2222,2109
182,126,2357,2223,2110
183,127,2358,2224,2111
184,275,2359,2225,2112
185,269,2360,2226,2113
186,268,2361,2227,2114
187,2275,2362,2228,2115
188,2276,2363,2229,2116
189,2277,2364,2230,2117
190,1847,2366,2232,2119
191,2279,2367,2233,2120
192,2280,2368,2234,2121
193,2281,2369,2235,2122
194,2282,2370,2236,2123
195,1846,2371,2237,2124
196,2283,2372,2238,2125
197,2284,2373,2239,2126
198,2285,2374,2240,2127
199,2286,2375,2241,2128
200,2287,2376,2242,2129
201,2288,2377,2243,2130
202,2289,2378,2244,2131
203,2290,2379,2245,2132
204,2291,2380,2246,2133
205,1845,2381,2247,2134
206,2292,2382,2248,2135
207,2293,2383,2249,2136
208,2294,2384,2250,2137
209,2295,2385,2251,2138
210,1844,2386,2252,2139
211,2296,2387,2253,2140
212,2297,2388,2254,2141
213,2298,2389,2255,2142
214,2299,2390,2256,2143
215,677,2391,2257,2144
216,678,1277,2258,2145
217,679,1278,2259,2146
218,1590,2392,2260,2147
219,680,2393,2261,2148
220,281,2396,2264,2151
221,681,2397,2265,2152
222,567,2398,2266,2153
223,2301,2399,2267,2154
224,648,2402,2270,2157
225,649,2403,2271,2158
226,2407,2404,2272,2159
227,685,2405,2273,2160
228,125,1279,2274,2161
229,686,1752,1746,2162
230,1343,1753,1745,2163
231,1498,1757,1750,2164
232,1496,1754,1748,2165
233,1495,1755,1747,2166
234,1497,1756,1751,2167
235,1668,1726,1725,2427
236,107,2676,2541,2428
237,1529,2677,2542,2429
238,2408,2678,2543,2430
239,1526,2679,2544,2431
240,2409,2680,2545,2432
241,1527,2681,2546,2433
242,2410,2682,2547,2434
243,1528,2683,2548,2435
244,2411,2684,2549,2436
245,1236,2685,2550,2437
246,2412,2686,2551,2438
247,110,2687,2552,2439
248,109,2688,2553,2440
249,108,2689,2554,2441
250,890,2690,2555,2442
251,895,2691,2556,2443
252,900,2692,2557,2444
253,905,2693,2558,2445
254,910,2694,2559,2446
255,891,2695,2560,2447
256,896,2696,2561,2448
257,901,2697,2562,2449
258,906,2698,2563,2450
259,911,2699,2564,2451
260,1519,2707,2572,2459
261,892,2713,2578,2465
262,897,2714,2579,2466
263,902,2715,2580,2467
264,907,2716,2581,2468
265,912,2717,2582,2469
266,889,2720,2585,2472
267,894,2721,2586,2473
268,899,2722,2587,2474
269,904,2723,2588,2475
270,909,2724,2589,2476
271,888,2725,2590,2477
272,893,2726,2591,2478
273,898,2727,2592,2479
274,903,2728,2593,2480
275,908,2729,2594,2481
276,129,2730,2595,2482
277,213,2731,2596,2483
278,214,2732,2597,2484
279,267,2733,2598,2485
280,105,2734,2599,2486
281,101,2735,2600,2487
282,2648,2736,2601,2488
283,2649,2737,2602,2489
284,2650,2738,2603,2490
285,2652,2740,2605,2492
286,2653,2741,2606,2493
287,2654,2742,2607,2494
288,2655,2743,2608,2495
289,2656,2744,2609,2496
290,1850,2745,2610,2497
291,2657,2746,2611,2498
292,2658,2747,2612,2499
293,2659,2748,2613,2500
294,2660,2749,2614,2501
295,1851,2750,2615,2502
296,2661,2751,2616,2503
297,2662,2752,2617,2504
298,2663,2753,2618,2505
299,2664,2754,2619,2506
300,1849,2755,2620,2507
301,2665,2756,2621,2508
302,2666,2757,2622,2509
303,2667,2758,2623,2510
304,2668,2759,2624,2511
305,1848,2760,2625,2512
306,2669,2761,2626,2513
307,2670,2762,2627,2514
308,2671,2763,2628,2515
309,2672,2764,2629,2516
310,196,2765,2630,2517
311,86,1263,2631,2518
312,97,1262,2632,2519
313,1591,2766,2633,2520
314,645,2767,2634,2521
315,280,2770,2637,2524
316,94,2771,2638,2525
317,559,2772,2639,2526
318,2675,2773,2640,2527
319,651,2776,2643,2530
320,650,2777,2644,2531
321,2782,2778,2645,2532
322,119,2779,2646,2533
323,98,1264,2647,2534
324,117,1764,1758,2535
325,1342,1765,1759,2536
326,1485,1768,1762,2537
327,1483,1766,1760,2538
328,1482,1767,1761,2539
329,1484,1769,1763,2540
330,1718,1730,1729,2812
331,2783,3094,2940,2813
332,2784,3095,2941,2814
333,2785,3096,2942,2815
334,2786,3097,2943,2816
335,2787,3098,2944,2817
336,2788,3099,2945,2818
337,2789,3100,2946,2819
338,2790,3101,2947,2820
339,2791,3102,2948,2821
340,2792,3103,2949,2822
341,2793,3104,2950,2823
342,2794,3105,2951,2824
343,2795,3106,2952,2825
344,2796,3107,2953,2826
345,965,3108,2954,2827
346,970,3109,2955,2828
347,975,3110,2956,2829
348,980,3111,2957,2830
349,985,3112,2958,2831
350,1899,3113,2959,2832
351,966,3114,2960,2833
352,971,3115,2961,2834
353,976,3116,2962,2835
354,981,3117,2963,2836
355,986,3118,2964,2837
356,2797,3119,2965,2838
357,2804,3126,2972,2845
358,967,3132,2978,2851
359,972,3133,2979,2852
360,977,3134,2980,2853
361,982,3135,2981,2854
362,987,3136,2982,2855
363,964,3139,2985,2858
364,969,3140,2986,2859
365,974,3141,2987,2860
366,979,3142,2988,2861
367,984,3143,2989,2862
368,963,3144,2990,2863
369,968,3145,2991,2864
370,973,3146,2992,2865
371,978,3147,2993,2866
372,983,3148,2994,2867
373,1140,3149,2995,2868
374,710,3150,2996,2869
375,767,3151,2997,2870
376,768,3152,2998,2871
377,769,3153,2999,2872
378,770,3154,3000,2873
379,771,3155,3001,2874
380,3061,3156,3002,2875
381,3062,3157,3003,2876
382,3063,3158,3004,2877
383,3065,3160,3006,2879
384,3066,3161,3007,2880
385,3067,3162,3008,2881
386,3068,3163,3009,2882
387,3069,3164,3010,2883
388,3070,3165,3011,2884
389,3071,3166,3012,2885
390,3072,3167,3013,2886
391,3073,3168,3014,2887
392,3074,3169,3015,2888
393,3075,3170,3016,2889
394,3076,3171,3017,2890
395,3077,3172,3018,2891
396,3078,3173,3019,2892
397,3079,3174,3020,2893
398,3080,3175,3021,2894
399,3081,3176,3022,2895
400,3082,3177,3023,2896
401,3083,3178,3024,2897
402,3084,3179,3025,2898
403,3085,3180,3026,2899
404,3086,3181,3027,2900
405,3087,3182,3028,2901
406,3088,3183,3029,2902
407,3089,3184,3030,2903
408,772,3185,3031,2904
409,704,3186,3032,2905
410,723,3187,3033,2906
411,724,3188,3034,2907
412,739,1276,3042,2915
413,1049,1273,3043,2916
414,1595,3194,3044,2917
415,3092,3198,3048,2921
416,707,3199,3049,2922
417,1602,3200,3050,2923
418,3093,3201,3051,2924
419,3211,3206,3056,2929
420,738,3207,3057,2930
421,1047,3208,3058,2931
422,740,1274,3059,2932
423,1048,1275,3060,2933
424,777,1789,1783,2934
425,1346,1790,1784,2935
426,1489,1793,1787,2936
427,1487,1791,1785,2937
428,1486,1792,1786,2938
429,1488,1794,1788,2939
430,1667,1728,1727,3232
431,576,3448,3346,3233
432,1533,3449,1912,3234
433,3212,3450,3347,3235
434,1530,3451,1914,3236
435,3213,3452,3348,3237
436,1531,3453,1915,3238
437,3214,3454,3349,3239
438,1532,3455,1913,3240
439,3215,3456,3350,3241
440,1237,3457,3351,3242
441,3216,3458,3352,3243
442,3217,3459,3353,3244
443,691,3460,3354,3245
444,3218,3461,3355,3246
445,940,3462,3356,3247
446,945,3463,3357,3248
447,950,3464,3358,3249
448,955,3465,3359,3250
449,960,3466,3360,3251
450,941,3467,3361,3252
451,946,3468,3362,3253
452,951,3469,3363,3254
453,956,3470,3364,3255
454,961,3471,3365,3256
455,1666,3479,3371,3264
456,942,3485,1907,3270
457,947,3486,3377,3271
458,952,3487,3378,3272
459,957,3488,3379,3273
460,962,3489,3380,3274
461,939,3492,1918,3277
462,944,3493,1919,3278
463,949,3494,3383,3279
464,954,3495,3384,3280
465,959,3496,3385,3281
466,938,3497,3386,3282
467,943,3498,3387,3283
468,948,3499,3388,3284
469,953,3500,3389,3285
470,958,3501,3390,3286
471,588,3502,1916,3287
472,628,3503,3391,3288
473,629,3504,3392,3289
474,630,3505,3393,3290
475,631,3506,3394,3291
476,632,3507,3395,3292
477,3436,3508,3396,3293
478,3437,3509,3397,3294
479,3438,3510,3398,3295
480,3440,3512,3400,3297
481,3441,3513,3401,3298
482,3442,3514,3402,3299
483,3443,3515,3403,3300
484,3444,3516,3404,3301
485,1681,3517,3405,3302
486,1682,3518,3406,3303
487,1683,3519,3407,3304
488,1684,3520,3408,3305
489,1685,3521,3409,3306
490,1686,3522,3410,3307
491,1687,3523,3411,3308
492,1688,3524,3412,3309
493,1689,3525,3413,3310
494,1690,3526,3414,3311
495,1676,3527,3415,3312
496,1677,3528,3416,3313
497,1678,3529,3417,3314
498,1679,3530,3418,3315
499,1680,3531,3419,3316
500,1671,3532,3420,3317
501,1672,3533,3421,3318
502,1673,3534,3422,3319
503,1674,3535,3423,3320
504,1675,3536,3424,3321
505,639,3537,1917,3322
506,575,1280,1911,3323
507,574,1281,1908,3324
508,1592,3538,3425,3325
509,641,3542,3429,3329
510,572,3543,1910,3330
511,1599,3544,3430,3331
512,3447,3545,1950,3332
513,3554,3550,3434,3337
514,573,3551,1909,3338
515,1139,1282,3435,3339
516,586,1776,1770,3340
517,1345,1777,1771,3341
518,1479,1780,1774,3342
519,1477,1778,1772,3343
520,1476,1779,1773,3344
521,1478,1781,1775,3345
522,1721,1736,1735,3581
523,1156,3835,3695,3582
524,1537,3836,3696,3583
525,1534,3838,3698,3585
526,1535,3840,3700,3587
527,1536,3842,3702,3589
528,3559,3844,3704,3591
529,3560,3845,3705,3592
530,3561,3846,3706,3593
531,1573,3847,3707,3594
532,3562,3848,3708,3595
533,1177,3849,3709,3596
534,1178,3850,3710,3597
535,1179,3851,3711,3598
536,1180,3852,3712,3599
537,1181,3853,3713,3600
538,1182,3854,3714,3601
539,1183,3855,3715,3602
540,1184,3856,3716,3603
541,1185,3857,3717,3604
542,1186,3858,3718,3605
543,1568,3866,3726,3613
544,3574,3872,3732,3619
545,3575,3873,3733,3620
546,3576,3874,3734,3621
547,3577,3875,3735,3622
548,3578,3876,3736,3623
549,1172,3879,3739,3626
550,1173,3880,3740,3627
551,1174,3881,3741,3628
552,1175,3882,3742,3629
553,1176,3883,3743,3630
554,1167,3884,3744,3631
555,1168,3885,3745,3632
556,1169,3886,3746,3633
557,1170,3887,3747,3634
558,1171,3888,3748,3635
559,1158,3889,3749,3636
560,1163,3890,3750,3637
561,1164,3891,3751,3638
562,1165,3892,3752,3639
563,1192,3893,3753,3640
564,1166,3894,3754,3641
565,3802,3895,3755,3642
566,3803,3896,3756,3643
567,3804,3897,3757,3644
568,3806,3899,3759,3646
569,3807,3900,3760,3647
570,3808,3901,3761,3648
571,3809,3902,3762,3649
572,3810,3903,3763,3650
573,3811,3904,3764,3651
574,3812,3905,3765,3652
575,3813,3906,3766,3653
576,3814,3907,3767,3654
577,3815,3908,3768,3655
578,3816,3909,3769,3656
579,3817,3910,3770,3657
580,3818,3911,3771,3658
581,3819,3912,3772,3659
582,3820,3913,3773,3660
583,3821,3914,3774,3661
584,3822,3915,3775,3662
585,3823,3916,3776,3663
586,3824,3917,3777,3664
587,3825,3918,3778,3665
588,3826,3919,3779,3666
589,3827,3920,3780,3667
590,3828,3921,3781,3668
591,3829,3922,3782,3669
592,3830,3923,3783,3670
593,1159,3924,3784,3671
594,1155,1867,3785,3672
595,1154,3925,3786,3673
596,1593,3926,3787,3674
597,3833,3930,3791,3678
598,1151,3931,3792,3679
599,1600,3932,3793,3680
600,3834,3933,3794,3681
601,3943,3938,3799,3686
602,1152,3939,3800,3687
603,1153,3940,3801,3688
604,1157,1813,1807,3689
605,1347,1814,1808,3690
606,1510,1818,1812,3691
607,1508,1815,1809,3692
608,1507,1816,1810,3693
609,1509,1817,1811,3694
610,1722,1738,1737,4183
611,1415,4443,4297,4184
612,4158,4444,4298,4185
613,4159,4445,4299,4186
614,4160,4446,4300,4187
615,4161,4447,4301,4188
616,4162,4448,4302,4189
617,4163,4449,4303,4190
618,4164,4450,4304,4191
619,4165,4451,4305,4192
620,1416,4452,4306,4193
621,4166,4453,4307,4194
622,4167,4454,4308,4195
623,1511,4455,4309,4196
624,4168,4456,4310,4197
625,1353,4457,4311,4198
626,1354,4458,4312,4199
627,1355,4459,4313,4200
628,1356,4460,4314,4201
629,1357,4461,4315,4202
630,1358,4462,4316,4203
631,1359,4463,4317,4204
632,1360,4464,4318,4205
633,1361,4465,4319,4206
634,1362,4466,4320,4207
635,1521,4474,4328,4215
636,1363,4480,4334,4221
637,1364,4481,4335,4222
638,1365,4482,4336,4223
639,1366,4483,4337,4224
640,1367,4484,4338,4225
641,1368,4487,4341,4228
642,1369,4488,4342,4229
643,1370,4489,4343,4230
644,1371,4490,4344,4231
645,1372,4491,4345,4232
646,1373,4492,4346,4233
647,1374,4493,4347,4234
648,1375,4494,4348,4235
649,1376,4495,4349,4236
650,1377,4496,4350,4237
651,1390,4497,4351,4238
652,1391,4498,4352,4239
653,1392,4499,4353,4240
654,1393,4500,4354,4241
655,1394,4501,4355,4242
656,1395,4502,4356,4243
657,4410,4503,4357,4244
658,4411,4504,4358,4245
659,4412,4505,4359,4246
660,4414,4507,4361,4248
661,4415,4508,4362,4249
662,4416,4509,4363,4250
663,4417,4510,4364,4251
664,4418,4511,4365,4252
665,4419,4512,4366,4253
666,4420,4513,4367,4254
667,4421,4514,4368,4255
668,4422,4515,4369,4256
669,4423,4516,4370,4257
670,4424,4517,4371,4258
671,4425,4518,4372,4259
672,4426,4519,4373,4260
673,4427,4520,4374,4261
674,4428,4521,4375,4262
675,4429,4522,4376,4263
676,4430,4523,4377,4264
677,4431,4524,4378,4265
678,4432,4525,4379,4266
679,4433,4526,4380,4267
680,4434,4527,4381,4268
681,4435,4528,4382,4269
682,4436,4529,4383,4270
683,4437,4530,4384,4271
684,4438,4531,4385,4272
685,1396,4532,4386,4273
686,1397,1400,4387,4274
687,1401,1408,4388,4275
688,1594,4533,4389,4276
689,4441,4537,4393,4280
690,1403,4538,4394,4281
691,1601,4539,4395,4282
692,4442,4540,4396,4283
693,4555,4545,4401,4288
694,1409,4546,4402,4289
695,1411,1406,4403,4290
696,1413,4547,4404,4291
697,1414,4548,4405,4292
698,1501,4549,4406,4293
699,1500,4550,4407,4294
700,1499,4551,4408,4295
701,1502,4552,4409,4296
702,1720,1734,1733,4581
703,1288,4840,4695,4582
704,4556,4841,4696,4583
705,4557,4842,4697,4584
706,4558,4843,4698,4585
707,4559,4844,4699,4586
708,4560,4845,4700,4587
709,4561,4846,4701,4588
710,4562,4847,4702,4589
711,4563,4848,4703,4590
712,1289,4849,4704,4591
713,4564,4850,4705,4592
714,4565,4851,4706,4593
715,1513,4852,4707,4594
716,4566,4853,4708,4595
717,1290,4854,4709,4596
718,1291,4855,4710,4597
719,1292,4856,4711,4598
720,1293,4857,4712,4599
721,1294,4858,4713,4600
722,1295,4859,4714,4601
723,1296,4860,4715,4602
724,1297,4861,4716,4603
725,1298,4862,4717,4604
726,1299,4863,4718,4605
727,1520,4871,4726,4613
728,1300,4877,4732,4619
729,1301,4878,4733,4620
730,1302,4879,4734,4621
731,1303,4880,4735,4622
732,1304,4881,4736,4623
733,1305,4884,4739,4626
734,1306,4885,4740,4627
735,1307,4886,4741,4628
736,1308,4887,4742,4629
737,1309,4888,4743,4630
738,1538,4889,4744,4631
739,1539,4890,4745,4632
740,1540,4891,4746,4633
741,1541,4892,4747,4634
742,1542,4893,4748,4635
743,1310,4894,4749,4636
744,1311,4895,4750,4637
745,1312,4896,4751,4638
746,1313,4897,4752,4639
747,1314,4898,4753,4640
748,1315,4899,4754,4641
749,4808,4900,4755,4642
750,4809,4901,4756,4643
751,4810,4902,4757,4644
752,4812,4904,4759,4646
753,4813,4905,4760,4647
754,4814,4906,4761,4648
755,4815,4907,4762,4649
756,4816,4908,4763,4650
757,4817,4909,4764,4651
758,4818,4910,4765,4652
759,4819,4911,4766,4653
760,4820,4912,4767,4654
761,4821,4913,4768,4655
762,4822,4914,4769,4656
763,4823,4915,4770,4657
764,4824,4916,4771,4658
765,4825,4917,4772,4659
766,4826,4918,4773,4660
767,4827,4919,4774,4661
768,4828,4920,4775,4662
769,4829,4921,4776,4663
770,4830,4922,4777,4664
771,4831,4923,4778,4665
772,4832,4924,4779,4666
773,4833,4925,4780,4667
774,4834,4926,4781,4668
775,4835,4927,4782,4669
776,4836,4928,4783,4670
777,1317,4929,4784,4671
778,1318,1319,4785,4672
779,1320,1324,4786,4673
780,1597,4930,4787,4674
781,4839,1326,4791,4678
782,1322,4934,4792,4679
783,1604,4935,4793,4680
784,1323,4936,4794,4681
785,4949,4940,4799,4686
786,1330,4941,4800,4687
787,1331,1325,4801,4688
788,1332,1327,4802,4689
789,1348,4942,4803,4690
790,1506,4943,4804,4691
791,1504,4944,4805,4692
792,1503,4945,4806,4693
793,1505,4946,4807,4694
794,1719,1732,1731,4993
795,4950,5277,5122,4994
796,4951,5278,5123,4995
797,4952,5279,5124,4996
798,4953,5280,5125,4997
799,4954,5281,5126,4998
800,4955,5282,5127,4999
801,4956,5283,5128,5000
802,4957,5284,5129,5001
803,4958,5285,5130,5002
804,4959,5286,5131,5003
805,4960,5287,5132,5004
806,4961,5288,5133,5005
807,1512,5289,5134,5006
808,4962,5290,5135,5007
809,1548,5291,5136,5008
810,1549,5292,5137,5009
811,1550,5293,5138,5010
812,1551,5294,5139,5011
813,1552,5295,5140,5012
814,1207,5296,5141,5013
815,1204,5297,5142,5014
816,4963,5298,5143,5015
817,4964,5299,5144,5016
818,4965,5300,5145,5017
819,4966,5301,5146,5018
820,4967,5302,5147,5019
821,4975,5313,5158,5030
822,1212,5314,5159,5031
823,4976,5315,5160,5032
824,4977,5316,5161,5033
825,1208,5317,5162,5034
826,4978,5318,5163,5035
827,4979,5319,5164,5036
828,4980,5320,5165,5037
829,4981,5321,5166,5038
830,4982,5322,5167,5039
831,4983,5323,5168,5040
832,4984,5324,5169,5041
833,4985,5325,5170,5042
834,4988,5328,5173,5045
835,4989,5329,5174,5046
836,4990,5330,5175,5047
837,4991,5331,5176,5048
838,4992,5332,5177,5049
839,1553,5333,5178,5050
840,1554,5334,5179,5051
841,1555,5335,5180,5052
842,1556,5336,5181,5053
843,1557,5337,5182,5054
844,454,5338,5183,5055
845,491,5339,5184,5056
846,1205,5340,5185,5057
847,1206,5341,5186,5058
848,1133,5342,5187,5059
849,1135,5343,5188,5060
850,1134,5344,5189,5061
851,1560,5345,5190,5062
852,1137,5346,5191,5063
853,1136,5347,5192,5064
854,5244,5348,5193,5065
855,5245,5349,5194,5066
856,5246,5350,5195,5067
857,5248,5352,5197,5069
858,5249,5353,5198,5070
859,5250,5354,5199,5071
860,5251,5355,5200,5072
861,5252,5356,5201,5073
862,5253,5357,5202,5074
863,5254,5358,5203,5075
864,5255,5359,5204,5076
865,5256,5360,5205,5077
866,5257,5361,5206,5078
867,5258,5362,5207,5079
868,5259,5363,5208,5080
869,5260,5364,5209,5081
870,5261,5365,5210,5082
871,5262,5366,5211,5083
872,5263,5367,5212,5084
873,5264,5368,5213,5085
874,5265,5369,5214,5086
875,5266,5370,5215,5087
876,5267,5371,5216,5088
877,5268,5372,5217,5089
878,5269,5373,5218,5090
879,5270,5374,5219,5091
880,5271,5375,5220,5092
881,5272,5376,5221,5093
882,461,5377,5222,5094
883,326,1265,5223,5095
884,1203,1266,5224,5096
885,1138,1267,5225,5097
886,1068,1268,5226,5098
887,1596,5378,5227,5099
888,1130,5379,5228,5100
889,5273,5380,5229,5101
890,5275,5382,5231,5103
891,452,5383,5232,5104
892,1603,5384,5233,5105
893,5276,5385,5234,5106
894,5393,5386,5235,5107
895,5395,5390,5239,5111
896,372,5391,5240,5112
897,1070,5392,5241,5113
898,373,1269,5242,5114
899,1069,1270,5243,5115
900,436,1801,1795,5116
901,1344,1802,1796,5117
902,1493,1805,1800,5118
903,1491,1803,1797,5119
904,1490,1804,1798,5120
905,1492,1806,1799,5121
906,5420,5424,5428,5432
907,5421,5425,5429,5433
908,5422,5426,5430,5434
909,5423,5427,5431,5435
910,5614,161,612,593
911,5438,5603,5669,0
912,5439,5604,5670,0
913,5440,5605,5671,0
914,6711,7201,6899,6771
915,6712,7202,6900,6772
916,6713,7203,6901,6773
917,6714,7204,6902,6774
918,6715,7205,6903,6775
919,6716,7206,6904,6776
920,6717,7207,6905,6777
921,6718,7208,6906,6778
922,6719,7209,6907,6779
923,6720,7210,6908,6780
924,6721,7211,6909,6781
925,6723,7212,6910,6782
926,6725,7213,6911,6783
927,6726,7214,6912,6784
928,6727,7215,6913,6785
929,6728,7216,6914,6786
930,6729,7217,6915,6787
931,6730,7218,6916,6788
932,6731,7219,6917,6789
933,6732,7220,6918,6790
934,6733,7221,6919,6791
935,6734,7222,6920,6792
936,6735,7223,6921,6793
937,6736,7224,6922,6794
938,6737,7225,6923,6795
939,6738,7226,6924,6796
940,6739,7227,6925,6797
941,6740,7228,6926,6798
942,6741,7229,6927,6799
943,6742,7230,6928,6800
944,6743,7231,6929,6801
945,6744,7232,6930,6802
946,6745,7233,6931,6803
947,6746,7234,6932,6804
948,6747,7235,6933,6805
949,6748,7236,6934,6806
950,6749,7237,6935,6807
951,6750,7238,6936,6808
952,6751,7239,6937,6809
953,6752,7240,6938,6810
954,6753,7241,6939,6811
955,6754,7242,6940,6812
956,6755,7243,6941,6813
957,6756,7244,6942,6814
958,6757,7245,6943,6815
959,6758,7246,6944,6816
960,6759,7247,6945,6817
961,6760,7248,6946,6818
962,6761,7249,6947,6819
963,6762,7250,6948,6820
964,6763,7251,6949,6821
965,6764,7252,6950,6822
966,6765,7253,6951,6823
967,6766,7254,6952,6824
968,6767,7255,6953,6825
969,6768,7256,6954,6826
970,6769,7257,6955,6827
971,6770,7258,6956,6828
972,7027,7259,6957,6829
973,7028,7260,6958,6830
974,7029,7261,6959,6831
975,7030,7262,6960,6832
976,7031,7263,6961,6833
977,7032,7264,6962,6834
978,7033,7265,6963,6835
979,7034,7266,6964,6836
980,7035,7267,6965,6837
981,7036,7268,6966,6838
982,7037,7269,6967,6839
983,7038,7270,6968,6840
984,7039,7271,6969,6841
985,7040,7272,6970,6842
986,7041,7273,6971,6843
987,7042,7274,6972,6844
988,7043,7275,6973,6845
989,7044,7276,6974,6846
990,7045,7277,6975,6847
991,7046,7278,6976,6848
992,7047,7279,6977,6849
993,7048,7280,6978,6850
994,7049,7281,6979,6851
995,7050,7282,6980,6852
996,7051,7283,6981,6853
997,7052,7284,6982,6854
998,7053,7285,6983,6855
999,7054,7286,6984,6856
1000,7055,7287,6985,6857
1001,7056,7288,6986,6858
1002,7057,7289,6987,6859
1003,7058,7290,6988,6860
1004,7059,7291,6989,6861
1005,7060,7292,6990,6862
1006,7174,7293,6991,6863
1007,7175,7294,6992,6864
1008,7176,7295,6993,6865
1009,7177,7296,6994,6866
1010,7178,7297,6995,6867
1011,7179,7298,6996,6868
1012,7180,7299,6997,6869
1013,7181,7300,6998,6870
1014,7182,7301,6999,6871
1015,7183,7302,7000,6872
1016,7184,7303,7001,6873
1017,7189,7304,7002,6874
1018,7190,7305,7003,6875
1019,7191,7306,7004,6876
1020,7192,7307,7005,6877
1021,7193,7308,7006,6878
1022,7194,7309,7007,6879
1023,7195,7310,7008,6880
1024,7198,7311,7009,6881
1025,7199,7312,7010,6882
1026,7200,7313,7011,6883
1027,7329,7314,7012,6884
1028,7331,7315,7013,6885
1029,7332,7316,7014,6886
1030,7333,7317,7015,6887
1031,7334,7318,7016,6888
1032,7335,7319,7017,6889
1033,7336,7320,7018,6890
1034,7337,7321,7019,6891
1035,7338,7322,7020,6892
1036,7339,7323,7021,6893
1037,7340,7324,7022,6894
1038,7341,7325,7023,6895
1039,7342,7326,7024,6896
1040,7343,7327,7025,6897
1041,7344,7328,7026,6898
1042,7493,0,7494,6684
1043,5642,163,611,594
1044,5643,161,612,593
1045,5644,162,1952,1953
1046,7593,7593,7593,7593
1047,7594,7594,7594,7594
1048,7595,7595,7595,7595
1049,7669,7701,7719,0
1050,7672,7702,7721,0
1051,7670,7701,7722,0
