"ID","displayRow","displayColumn","classId","powerCost","eldanAugmentationIdRequired","spell4IdAugment","item2IdUnlock","eldanAugmentationCategoryId","categoryTier","localizedTextIdTitle","localizedTextIdTooltip"
51,5,6,0,3,0,0,0,2,1,466869,466870
52,1,6,1,1,0,56896,0,2,0,466878,466879
53,2,6,1,1,52,56897,0,2,0,466885,466886
54,3,6,1,1,53,56898,0,2,0,466887,466888
55,5,6,1,4,0,59159,0,2,1,466889,466890
56,5,2,1,4,0,59160,0,2,1,466904,466905
58,1,6,1,1,0,56908,0,6,0,466910,466911
59,2,6,1,1,58,56909,0,6,0,466915,466916
60,3,6,1,1,59,56910,0,6,0,466918,466919
61,5,4,1,4,0,59165,0,2,1,466930,466931
62,6,5,1,4,0,59166,0,6,1,467305,467306
63,9,4,0,1,0,0,0,2,2,467307,467308
64,10,4,0,1,63,0,0,2,2,467310,467311
65,11,4,0,1,64,0,0,2,2,467312,467313
66,10,4,1,2,0,59170,0,2,2,467317,467318
67,2,5,0,1,0,0,0,2,0,467344,467345
68,3,5,0,1,67,0,0,2,0,467346,467347
69,5,5,0,1,68,0,0,2,1,467348,467349
70,6,3,0,3,0,0,0,2,1,467350,467351
71,10,6,1,6,0,59176,0,2,2,467352,467353
72,6,3,1,4,0,59177,0,6,1,467362,467363
73,5,2,1,4,0,59178,0,6,1,467365,467366
74,5,2,0,1,0,0,0,2,1,467413,467414
75,6,2,0,1,74,0,0,2,1,467415,467416
76,7,2,0,1,75,0,0,2,1,467417,467418
77,8,2,0,2,76,0,0,2,1,467420,467421
78,6,3,0,3,0,0,0,1,1,467486,467487
79,1,5,0,1,0,0,0,1,0,467495,467496
80,2,5,0,1,79,0,0,1,0,467501,467502
81,3,5,0,1,80,0,0,1,0,467503,467504
82,5,5,0,2,81,0,0,1,1,467507,467508
83,5,4,1,4,0,59188,0,1,1,467509,467510
84,1,6,1,1,0,56979,0,1,0,467511,467512
85,2,6,1,1,84,57045,0,1,0,467514,467515
86,3,6,1,1,85,57046,0,1,0,467517,467518
87,5,2,0,4,0,0,0,1,1,467521,467522
88,6,2,0,1,0,0,0,1,1,467552,467553
89,7,2,0,1,88,0,0,1,1,467560,467561
90,8,2,0,1,89,0,0,1,1,467562,467563
91,5,2,1,4,0,59197,0,1,1,467564,467565
92,1,2,1,1,0,59198,0,1,0,467582,467583
93,2,2,1,1,92,59199,0,1,0,467584,467585
94,3,2,1,1,93,59200,0,1,0,467604,467605
95,1,4,1,1,0,57379,0,1,0,467610,467611
96,2,4,1,1,95,57380,0,1,0,467612,467613
97,3,4,1,1,96,57381,0,1,0,467614,467615
98,10,4,1,2,0,59204,0,1,2,467616,467617
99,6,7,0,1,0,0,0,1,1,467666,467667
100,7,7,0,1,99,0,0,1,1,467668,467669
101,8,7,0,1,100,0,0,1,1,467670,467671
102,6,3,1,4,0,59208,0,4,1,467674,467675
103,5,2,1,4,0,59209,0,4,1,467677,467678
104,10,6,1,6,0,59210,0,1,2,467680,467681
109,5,6,1,4,0,59215,0,1,1,467730,467731
110,6,3,0,3,0,0,0,3,1,467766,467767
111,7,2,0,1,0,0,0,4,1,467782,467783
112,8,2,0,1,111,0,0,4,1,467793,467794
113,10,2,1,6,0,59082,0,3,2,467795,467796
115,7,6,0,1,0,0,0,4,1,467874,467875
116,8,6,0,1,115,0,0,4,1,467887,467888
117,10,6,0,1,116,0,0,4,2,467891,467892
118,10,2,1,6,0,59087,0,4,2,467898,467899
119,6,4,0,1,0,0,0,4,1,467907,467908
120,7,4,0,1,119,0,0,4,1,467920,467921
121,9,4,0,1,120,59090,0,4,2,467950,467951
122,10,4,0,1,121,0,0,4,2,467953,467954
123,6,5,1,4,0,59092,0,4,1,467957,467958
124,10,6,0,4,0,0,0,4,2,467959,467960
125,6,5,0,3,0,0,0,4,1,467961,467962
126,1,4,1,1,0,56879,0,2,0,467963,467964
127,2,4,1,1,126,56880,0,2,0,467965,467966
128,3,4,1,1,127,56881,0,2,0,467967,467968
132,1,2,1,1,0,57104,0,5,0,468002,468003
133,2,2,1,1,132,57105,0,5,0,468004,468005
134,3,2,1,1,133,57106,0,5,0,468006,468007
135,10,6,1,6,0,59104,0,5,2,468008,468009
136,5,6,1,4,0,59105,0,5,1,468012,468013
137,6,3,1,4,0,59106,0,5,1,468021,468022
138,1,6,1,1,0,57100,0,4,0,468023,468024
139,2,6,1,1,138,57101,0,4,0,468025,468026
140,3,6,1,1,139,57102,0,4,0,468027,468028
143,10,2,1,6,0,59121,0,1,2,468035,468036
144,10,2,1,6,0,59122,0,5,2,468047,468048
145,1,6,1,1,0,57050,0,5,0,468051,468052
146,2,6,1,1,145,57051,0,5,0,468053,468054
147,3,6,1,1,146,57052,0,5,0,468056,468057
148,6,5,1,4,0,59126,0,5,1,468059,468060
149,10,6,0,4,0,0,0,5,2,468061,468062
151,6,5,1,4,0,59129,0,1,1,468094,468095
154,6,2,0,1,0,0,0,6,1,468101,468102
155,7,2,0,1,154,0,0,6,1,468103,468104
156,8,2,0,1,155,0,0,6,1,468105,468106
157,6,3,1,4,0,59136,0,1,1,468109,468110
158,6,5,1,4,0,59137,0,2,1,468111,468112
160,1,2,1,1,0,57047,0,6,0,468121,468122
161,2,2,1,1,160,57048,0,6,0,468123,468124
162,3,2,1,1,161,57049,0,6,0,468125,468126
163,10,2,1,6,0,59142,0,6,2,468127,468128
164,10,2,1,6,0,59143,0,2,2,468129,468130
165,10,6,1,6,0,59144,0,6,2,468131,468132
166,5,5,0,1,0,0,0,6,1,468133,468134
167,6,5,0,1,166,0,0,6,1,468135,468136
168,7,5,0,1,167,0,0,6,1,468137,468138
169,5,6,1,4,0,59148,0,6,1,468140,468141
172,10,6,7,6,0,56580,0,3,2,488180,492810
173,2,5,0,1,172,56582,0,3,0,488181,492811
174,3,5,0,1,173,56583,0,3,0,488182,492812
175,1,2,7,1,0,56845,0,4,0,488183,492814
176,2,2,7,1,175,56846,0,4,0,488184,492815
177,3,2,7,1,176,56847,0,4,0,488185,492816
178,5,6,7,4,0,56590,0,3,1,488186,492817
179,1,6,7,1,0,56866,0,4,0,488187,493080
180,2,6,7,1,179,56868,0,4,0,488188,493081
181,5,2,0,2,0,56595,0,3,1,488189,493082
182,1,6,7,1,0,56851,0,3,0,488190,493095
183,2,6,7,1,182,56853,0,3,0,488191,493096
184,3,6,7,1,183,56857,0,3,0,488192,493098
185,6,3,7,4,0,56600,0,3,1,488193,493099
186,6,1,0,1,0,56606,0,3,1,488194,493128
187,7,1,0,1,186,56607,0,3,1,488195,493130
188,8,1,0,1,187,56608,0,3,1,488196,493131
189,5,6,0,1,0,56625,0,3,1,488197,493442
190,6,6,0,1,189,56626,0,3,1,488199,493443
191,7,6,0,1,190,56627,0,3,1,488200,493445
192,10,6,0,2,0,56628,0,3,2,488201,493446
193,1,4,7,1,0,56848,0,3,0,488203,493570
194,2,4,7,1,193,56849,0,3,0,488204,493571
195,3,4,7,1,194,56850,0,3,0,488206,493573
196,10,4,7,2,0,56645,0,3,2,488207,493574
197,5,2,0,3,0,57220,30706,3,1,488208,496751
198,5,6,7,4,0,57223,0,4,1,488209,496762
199,10,6,7,6,0,57028,0,5,2,488210,495422
200,6,3,0,4,0,57237,0,3,1,488211,493780
201,10,2,7,6,0,61163,0,3,2,488212,496785
202,6,3,7,4,0,61162,0,4,1,488213,496753
203,5,4,7,4,0,57253,0,3,1,488214,497155
204,1,2,7,1,0,87480,0,2,0,488215,493893
205,2,2,7,1,204,87481,0,2,0,488216,493895
206,3,2,7,1,205,87482,0,2,0,488217,493897
207,4,2,0,2,0,56673,0,2,0,488218,493900
208,5,4,0,1,0,56675,0,2,0,488219,494070
209,2,4,0,1,208,56676,0,2,0,488222,494071
210,3,4,0,1,209,56677,0,2,0,488223,494072
211,5,6,0,1,0,56679,0,2,0,488224,494233
212,3,6,0,1,211,56680,0,2,0,488225,494234
213,5,6,0,1,212,56681,0,2,1,488226,494235
214,5,6,7,4,0,56692,0,2,1,488227,494236
215,8,7,0,1,214,56694,0,2,1,488228,494237
216,9,7,0,1,215,56695,0,2,1,488229,494238
217,6,1,0,1,0,56699,0,2,1,488230,494242
218,7,1,0,1,217,56700,0,2,1,488231,494244
219,8,1,0,1,218,56701,0,2,1,488232,494246
220,1,4,7,1,0,57379,0,1,0,488233,494258
221,2,4,7,1,220,57380,0,1,0,488234,494262
222,3,4,7,1,221,57381,0,1,0,488237,494263
223,1,4,7,1,0,56879,0,2,0,488238,494272
224,2,4,7,1,223,56880,0,2,0,488239,494273
225,3,4,7,1,224,56881,0,2,0,488241,494274
226,5,6,0,3,0,57031,30713,2,1,488246,495430
227,5,4,7,4,0,57641,0,2,1,488247,499281
228,6,3,7,4,0,61170,0,2,1,488249,499253
229,5,2,7,4,0,57644,0,2,1,488251,499254
230,10,2,0,4,0,57335,30717,2,2,488252,497959
231,6,5,7,4,0,61351,0,2,1,488253,499282
232,10,6,7,6,0,57339,0,2,2,488269,497968
233,1,7,0,1,0,56936,0,1,0,488270,494678
234,2,7,0,1,233,56937,0,1,0,488271,494680
235,3,7,0,1,234,56938,0,1,0,488272,494681
236,1,3,0,1,0,56946,0,1,0,488273,494689
237,2,3,0,1,236,56947,0,1,0,488274,494690
238,3,3,0,1,237,56948,0,1,0,488275,494692
240,5,1,0,1,0,56952,0,1,0,488277,494699
241,3,1,0,1,240,56955,0,1,0,488280,494708
242,4,1,0,1,241,56956,0,1,0,488283,494711
243,6,2,0,1,0,56957,0,1,1,488286,494712
244,7,2,0,1,243,56958,0,1,1,488287,494713
245,8,2,0,1,244,56959,0,1,1,488288,494714
246,10,2,0,2,0,56964,0,1,2,488289,494716
247,1,6,7,1,0,56908,0,6,0,488290,494717
248,2,6,7,1,247,56909,0,6,0,488291,494718
249,3,6,7,1,248,56910,0,6,0,488292,494719
251,1,6,7,1,0,56979,0,1,0,488294,494721
252,2,6,7,1,251,57045,0,1,0,488296,494724
253,3,6,7,1,252,57046,0,1,0,488297,494725
254,10,4,7,2,0,56973,0,1,2,488299,494726
255,5,3,0,1,0,61017,0,1,1,488301,513391
256,6,3,0,1,255,61018,0,1,1,488303,513394
257,7,3,0,1,256,61019,0,1,1,488304,513397
259,6,3,7,4,0,57035,0,1,1,488307,495445
260,10,6,7,6,0,57034,0,6,2,488308,495442
261,10,2,0,3,0,57038,30722,6,2,488310,495467
262,5,6,7,4,0,57297,0,1,1,488315,497692
263,5,6,7,4,0,57044,0,6,1,488316,495471
264,10,6,7,6,0,57657,0,4,2,488318,500158
265,5,4,7,4,0,57138,0,1,1,488319,496431
266,7,1,0,1,0,56713,0,4,1,488320,494290
267,8,1,0,1,266,56714,0,4,1,488321,494291
268,9,1,0,1,267,56715,0,4,1,488322,494292
269,5,6,0,1,0,56718,0,4,1,488324,494322
270,6,6,0,1,269,56719,0,4,1,488325,494325
271,7,6,0,1,270,56720,0,4,1,488326,494326
272,0,0,16,1,271,0,0,4,1,488327,0
273,6,4,0,1,0,56721,0,4,1,488329,494346
274,7,4,0,1,273,56722,0,4,1,488331,494347
275,8,4,0,1,274,56723,0,4,1,488332,494348
276,10,4,0,1,275,56724,0,4,2,488333,494349
277,5,2,0,3,0,57796,0,4,1,488334,497140
278,6,5,7,4,0,57143,0,4,1,488335,496443
279,5,6,7,4,0,61174,0,5,1,488336,497148
280,10,2,7,6,0,61214,0,4,2,488337,497145
281,5,2,7,4,0,57803,0,1,1,488338,497144
282,1,2,7,1,0,57104,0,3,0,488339,494648
283,2,2,7,1,282,57105,0,3,0,488340,494650
284,3,2,7,1,283,57106,0,3,0,488341,494651
285,6,5,7,4,0,56856,0,5,1,488342,494655
286,1,2,7,1,0,57100,0,5,0,488343,494658
287,2,2,7,1,286,57101,0,5,0,488344,494660
288,3,2,7,1,287,57102,0,5,0,488345,494663
290,1,6,7,1,0,57050,0,5,0,488347,494664
291,2,6,7,1,290,57051,0,5,0,488348,494667
292,3,6,7,1,291,57052,0,5,0,488349,494669
293,6,5,7,4,0,56876,0,3,1,488350,494673
294,5,2,7,4,0,57075,0,5,1,488351,495836
295,6,5,7,4,0,57067,0,1,1,488352,495806
296,10,2,7,6,0,56655,0,5,2,488353,496420
297,6,3,0,4,0,57341,30735,5,1,488354,497150
298,10,6,7,6,0,57072,0,1,2,488355,495820
299,7,1,0,1,0,56883,0,6,1,488356,494615
300,8,1,0,1,299,56884,0,6,1,488357,494616
301,9,1,0,1,300,56885,0,6,1,488358,494617
302,11,1,0,2,0,56886,0,6,2,488359,494618
303,5,6,0,1,0,56901,0,6,1,488360,494620
304,6,6,0,1,303,56902,0,6,1,488361,494621
305,7,6,0,1,304,56903,0,6,1,488362,494622
306,8,6,0,2,0,56906,0,6,1,488363,494627
307,1,2,7,1,0,57047,0,6,0,488364,494632
308,2,2,7,1,307,57048,0,6,0,488365,494633
309,3,2,7,1,308,57049,0,6,0,488366,494634
310,10,4,0,5,0,56917,0,6,2,488367,494637
311,5,6,0,3,0,57078,30737,5,1,488368,495865
312,5,2,7,4,0,57772,0,6,1,488369,501040
313,6,3,7,4,0,57135,0,6,1,488372,496429
314,6,5,0,4,0,57348,30740,5,1,488374,498021
315,6,5,7,4,0,57085,0,6,1,488375,495877
316,5,2,7,4,0,56609,0,3,1,493123,493132
320,7,1,0,1,0,56919,0,3,1,495061,493535
321,8,1,0,1,320,56927,0,3,1,495062,493536
322,9,1,0,1,321,56931,0,3,1,495063,493537
324,10,2,3,6,0,56943,0,5,2,493458,493459
325,5,2,0,3,0,56982,34027,3,1,495262,493541
326,5,4,3,4,0,56992,0,3,1,495317,493545
327,1,2,3,1,0,56845,0,4,0,495333,493562
328,2,2,3,1,327,56846,0,4,0,495334,493565
329,3,2,3,1,328,56847,0,4,0,495335,493566
330,6,3,3,4,0,57005,0,3,1,495345,493567
331,7,3,0,1,0,57009,0,3,1,495351,493579
332,8,3,0,1,331,57010,0,3,1,495354,493581
333,5,6,3,4,0,57012,0,3,1,495366,493582
334,1,4,3,1,0,56848,0,3,0,495388,493599
335,2,4,3,1,334,56849,0,3,0,495389,493600
336,3,4,3,1,335,56850,0,3,0,495390,493602
337,6,5,3,4,0,57019,0,4,1,495401,493601
338,1,6,3,1,0,56866,0,4,0,495407,493605
339,2,6,3,1,338,56868,0,4,0,495408,495409
340,5,2,3,4,0,57027,0,3,1,495428,495429
343,5,6,3,4,0,57037,0,5,1,497984,493757
344,10,2,3,6,0,61006,0,3,2,496534,493773
345,1,6,3,1,0,56851,0,3,0,495461,493784
346,2,6,3,1,345,56853,0,3,0,495462,493785
347,3,6,3,1,346,56857,0,3,0,495463,493786
348,11,7,0,2,0,57043,0,3,2,495464,493787
349,10,6,3,6,0,41587,0,3,2,497990,493781
350,6,1,0,1,0,57066,0,2,1,495810,493815
351,7,1,0,1,350,57068,0,2,1,495816,493816
352,8,1,0,1,351,57069,0,2,1,495817,493817
353,9,1,0,1,352,57071,0,2,1,495818,493814
354,5,4,3,4,0,57073,0,2,1,495826,493819
355,10,2,3,6,0,57077,0,2,2,495854,493823
356,1,2,3,1,0,87480,0,2,0,495869,493829
357,2,2,3,1,356,87481,0,2,0,495868,493830
358,3,2,3,1,357,87482,0,2,0,495867,493831
359,5,2,0,2,358,57083,0,2,1,495866,493832
360,10,2,3,6,0,41599,0,6,2,495888,493839
361,6,3,3,4,0,57089,0,2,1,495893,493850
362,7,3,0,1,0,57090,0,2,1,495900,493851
363,8,3,0,1,362,57091,0,2,1,495904,493852
365,1,4,3,1,0,56879,0,2,0,496402,493866
366,2,4,3,1,365,56880,0,2,0,496403,493867
367,3,4,3,1,366,56881,0,2,0,496411,493868
368,6,5,3,4,0,57133,0,2,1,496422,493873
369,5,6,3,4,0,57159,0,2,1,496591,496589
370,3,4,0,1,369,57161,0,2,0,496592,496590
371,5,6,0,2,0,57164,0,2,1,496696,496697
372,1,6,3,1,0,60997,0,2,0,496714,496710
373,2,6,3,1,372,60998,0,2,0,496715,496711
374,3,6,3,1,373,60999,0,2,0,496716,496712
375,10,6,3,6,0,41595,0,2,2,496516,494073
376,5,2,3,4,0,41593,0,2,1,496727,494078
377,1,4,3,1,0,57379,0,1,0,496536,496537
378,2,4,3,1,377,57380,0,1,0,496539,496540
379,1,6,3,1,0,56908,0,6,0,496744,494119
380,2,6,3,1,379,56909,0,6,0,496743,494121
381,3,6,3,1,380,56910,0,6,0,496742,494122
382,10,6,3,6,0,57191,0,1,2,496783,494124
383,6,5,3,4,0,41581,0,6,1,497056,494146
384,1,2,0,1,0,57201,0,1,0,497089,494147
385,2,2,0,1,384,57202,0,1,0,497088,494153
386,5,2,0,2,0,57203,0,1,0,497098,494154
387,6,3,0,3,0,41582,34038,1,1,497129,494155
388,6,5,3,4,0,41584,0,1,1,497154,494156
389,8,4,0,1,0,57206,0,1,1,497239,497240
390,10,4,0,1,389,57208,0,1,2,497241,497242
393,5,2,0,1,0,56819,0,3,1,494640,494641
394,6,2,0,1,393,56820,0,3,1,494644,494642
395,7,2,0,1,394,56822,0,3,1,494646,494643
396,1,6,3,1,0,56979,0,1,0,497322,494168
397,2,6,3,1,396,57045,0,1,0,497323,494169
398,6,3,3,4,0,57213,0,1,1,497324,494170
399,10,6,2,6,0,57178,0,5,2,496704,496705
400,5,6,2,4,0,57468,0,5,1,496231,496225
401,2,4,0,1,0,57196,0,3,0,497130,497131
402,3,4,0,1,401,57198,0,3,0,497134,497132
403,5,4,0,1,402,57199,0,3,1,497135,497133
404,10,2,2,6,0,43211,0,4,2,495305,495306
405,10,7,0,1,0,57216,0,1,2,497455,494171
406,11,7,0,1,405,57217,0,1,2,497456,494172
407,12,7,0,1,406,57218,0,1,2,497459,494173
408,6,5,2,4,0,57403,0,4,1,498458,498459
409,10,2,3,6,0,57227,0,1,2,497502,494174
410,1,6,2,1,0,56845,0,3,0,494732,494733
411,2,6,2,1,410,56846,0,3,0,494734,494736
412,3,6,2,1,411,56847,0,3,0,494735,494737
413,1,2,2,1,0,56866,0,3,0,494781,494782
414,2,2,2,1,413,56868,0,3,0,494794,494798
415,3,2,2,1,414,56869,0,3,0,494795,494799
416,5,5,0,1,0,57242,0,1,1,497541,494176
417,5,2,2,4,0,57204,0,3,1,497946,497947
418,6,5,0,1,416,57243,0,1,1,497542,494177
419,7,5,0,1,418,57244,0,1,1,497543,494178
420,1,4,2,1,0,56848,0,3,0,494743,494744
422,2,4,2,1,420,56849,0,3,0,494745,494748
423,3,4,2,1,422,56850,0,3,0,494746,494747
424,10,4,2,2,0,60638,0,3,2,498713,498714
425,1,2,2,1,0,56851,0,4,0,494828,494829
426,2,2,2,1,425,56853,0,4,0,494830,494832
427,3,2,2,1,426,56857,0,4,0,494831,494833
428,5,6,2,4,0,57472,0,4,1,498836,498837
429,6,3,2,4,0,57437,0,3,1,498647,498648
430,6,7,0,1,0,56834,0,3,1,494698,494700
431,7,7,0,1,430,56836,0,3,1,494706,494709
432,8,7,0,1,431,56837,0,3,1,494707,494710
433,10,6,2,6,0,43160,0,3,2,497920,497921
434,5,2,3,4,0,41586,0,1,1,497553,494188
435,10,6,3,6,0,41589,0,5,2,497554,494189
440,5,4,3,4,0,41594,0,1,1,497556,494194
441,5,2,3,4,0,41598,0,4,1,498069,494199
442,10,2,3,6,0,41579,0,4,2,498070,494202
443,5,6,3,4,0,57747,0,1,1,500888,500889
444,8,2,0,4,443,57751,0,4,1,500892,500890
445,10,2,0,1,444,57752,0,4,2,500893,500891
446,11,2,0,2,0,57762,0,4,2,500895,500896
447,1,2,3,1,0,59198,0,1,0,500925,500926
448,2,2,3,1,447,59199,0,1,0,500927,500928
449,3,2,3,1,448,59200,0,1,0,500930,500931
450,5,6,3,4,0,41590,0,4,1,498071,494209
451,6,3,3,4,0,57745,0,4,1,500942,500943
452,10,7,0,1,0,57360,0,4,2,498098,494239
453,11,7,0,2,0,56697,0,2,2,494222,494223
454,11,7,0,1,452,57361,0,4,2,498101,494240
455,12,7,0,1,454,57362,0,4,2,498102,494241
456,13,7,0,2,455,57363,0,4,2,498103,494245
457,10,6,3,6,0,41600,0,4,2,498091,494248
458,9,1,0,1,219,56702,0,2,1,494249,494250
459,10,2,7,6,0,56703,0,2,2,494251,494252
460,1,6,3,1,0,57050,0,5,0,501062,494254
461,2,6,3,1,460,57051,0,5,0,501063,494255
462,3,6,3,1,461,57052,0,5,0,501064,494256
463,6,3,3,4,0,57777,0,5,1,501087,494257
464,6,5,3,4,0,57786,0,3,1,501135,494264
465,5,2,3,4,0,57788,0,5,1,501143,501144
466,1,2,3,1,0,57104,0,3,0,501145,494275
467,2,2,3,1,466,57105,0,3,0,501146,494276
468,3,2,3,1,467,57106,0,3,0,501147,494277
469,11,4,0,1,468,61003,0,5,2,501148,494278
470,10,4,7,2,0,60956,0,2,2,494279,494280
471,12,4,0,2,469,61004,0,5,2,501149,494281
472,6,3,0,3,0,57791,34050,5,1,501158,501159
474,6,5,3,4,0,57792,0,5,1,501166,494288
475,6,7,0,1,0,57821,0,5,1,501311,494289
476,7,7,0,1,475,57822,0,5,1,501312,501313
477,8,7,0,1,476,57823,0,5,1,501314,501315
479,6,1,0,1,0,57250,0,6,1,497567,494297
480,7,1,0,1,479,57251,0,6,1,497570,494298
481,8,1,0,1,480,57252,0,6,1,497571,494299
482,5,6,0,2,0,57254,0,4,1,497589,494300
483,6,3,7,4,0,56716,0,5,1,494301,494302
484,5,5,0,1,0,57260,0,6,1,497683,494304
485,6,5,0,1,484,57292,0,6,1,497684,494305
486,7,5,0,1,485,57293,0,6,1,497685,494306
487,5,6,3,4,0,57295,0,6,1,497688,494307
488,6,3,0,4,0,57800,34053,6,1,501225,501226
489,5,2,3,4,0,57806,0,6,1,501244,501245
490,9,4,0,1,0,57307,0,6,2,497726,494310
491,10,4,0,1,490,57322,0,6,2,497929,494312
492,11,4,0,1,491,57324,0,6,2,497930,494314
493,12,4,0,1,0,61010,0,6,2,522561,494315
494,10,6,3,6,0,57346,0,6,2,498018,494323
495,1,2,3,1,0,57047,0,6,0,497942,494327
496,2,2,3,1,495,57048,0,6,0,497943,494330
497,3,2,3,1,496,57049,0,6,0,497944,494331
498,6,3,3,4,0,57336,0,6,1,497975,494332
499,5,2,7,4,0,56725,0,4,1,494350,494351
500,6,1,0,1,0,57463,0,2,1,500606,500607
501,7,1,0,1,500,57464,0,2,1,500608,500609
502,8,1,0,1,501,57465,0,2,1,500610,500611
503,9,1,0,2,502,57466,0,2,1,500612,500613
504,5,2,0,4,0,57423,34741,6,1,498602,498603
505,10,2,2,6,0,57332,0,2,2,497952,497956
506,1,3,0,1,0,56887,0,2,0,494871,494872
507,2,3,0,1,506,56888,0,2,0,494873,494875
508,3,3,0,1,507,56889,0,2,0,494874,494876
509,1,2,2,1,0,59198,0,1,0,498661,498662
510,2,2,2,1,509,59199,0,1,0,498665,498663
511,3,2,2,1,510,59200,0,1,0,498666,498664
512,4,1,0,2,511,57442,0,1,0,498668,498669
513,6,3,0,1,0,57444,0,2,1,498692,498693
514,7,3,0,1,513,57445,0,2,1,498697,498694
515,5,2,2,4,0,57446,0,6,1,498695,498696
516,6,5,2,4,0,57431,0,6,1,498626,498627
517,1,4,2,1,0,56879,0,2,0,494845,494846
518,2,4,2,1,517,56880,0,2,0,494851,494847
519,3,4,2,1,518,56881,0,2,0,494852,494848
520,10,4,2,2,0,60639,0,2,2,498716,498717
521,5,4,2,4,0,57334,0,2,1,500604,500605
522,1,6,2,1,0,56896,0,2,0,494927,494928
523,2,6,2,1,522,56897,0,2,0,494930,494932
524,3,6,2,1,523,56898,0,2,0,494931,494933
525,5,2,2,4,0,43205,0,2,1,496166,496167
526,5,6,2,4,0,57387,0,2,1,498181,498182
527,1,4,2,1,0,57379,0,1,0,498161,498162
528,2,4,2,1,527,57380,0,1,0,498163,498165
529,3,4,2,1,528,57381,0,1,0,498164,498166
530,4,4,0,2,529,57453,0,1,0,498711,498712
531,10,6,2,6,0,57433,0,2,2,498640,498641
532,1,2,2,1,0,56900,0,2,0,494938,494939
533,2,2,2,1,532,56904,0,2,0,494940,494944
534,3,2,2,1,533,56905,0,2,0,494942,494946
535,4,1,0,2,534,57429,0,2,0,498622,498623
536,5,4,2,4,0,43210,0,1,1,496176,496177
537,6,3,2,4,0,43187,0,1,1,496168,496169
538,1,6,2,1,0,56908,0,6,0,494968,494969
539,2,6,2,1,538,56909,0,6,0,494976,494972
540,3,6,2,1,539,56910,0,6,0,494978,494973
541,4,6,0,2,540,57095,0,6,0,496174,496175
542,6,3,2,4,0,43167,0,6,1,496191,496192
543,6,3,0,1,0,56920,0,1,1,494999,495000
544,7,3,0,1,543,56921,0,1,1,495001,495003
545,8,3,0,1,544,56922,0,1,1,495002,495004
546,1,4,0,1,0,56923,0,1,0,495026,495027
547,2,4,0,1,546,56924,0,1,0,495036,495038
548,3,4,0,1,547,56925,0,1,0,495037,495043
549,9,4,0,1,0,56928,0,1,2,495055,495058
550,10,4,0,1,549,56929,0,1,2,495056,495059
551,11,4,0,1,550,56930,0,1,2,495057,495060
