"ID","interactionType","threshold","duration","incrementValue","windowSize","decay","flags","tapTime0","tapTime1","visualEffectId0","visualEffectId1","visualEffectId2","visualEffectId3","visualEffectIdTarget00","visualEffectIdTarget01","visualEffectIdTarget02","visualEffectIdTarget03","visualEffectIdTarget04","visualEffectIdCaster00","visualEffectIdCaster01","visualEffectIdCaster02","visualEffectIdCaster03","visualEffectIdCaster04","localizedTextIdContext"
74,2,0,4000,0,500,0,0,2200,2900,255,112,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,10000,15000,2000,0,1000,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,0,3000,0,450,0,0,1000,2750,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,0,3000,0,400,0,0,1000,2250,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2,0,2000,0,450,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,0,2500,0,600,0,0,1000,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,0,6000,0,500,0,0,2000,4000,366,366,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2,0,2000,0,100,0,0,1000,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
82,0,2000,5000,0,0,300,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
83,1,10000,20000,350,0,300,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
84,2,0,4000,0,400,0,0,1000,3000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
85,1,1200,15000,600,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2,0,8000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,0,3500,0,500,0,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2,0,3000,0,500,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2,0,4000,0,1000,0,0,1000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,0,6000,0,400,2000,0,750,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,0,3000,0,350,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,9000,15000,500,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2,0,10000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,0,2500,0,350,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,10000,15000,500,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,2000,15000,200,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2,0,3000,0,500,0,0,750,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,5000,0,700,0,0,2000,4000,812,813,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2,0,2000,0,500,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,4000,7000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3,0,20000,0,300,1000,0,200,0,3,65,112,0,0,0,0,0,0,0,0,0,0,0,0
104,0,3000,6000,0,0,3000,0,0,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,0,3000,0,450,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,1200,15000,200,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2,0,10000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,5260,5299,5261,0,0,0
108,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,5262,0,5263,0,0,0
111,3,0,16000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,43,15,0,0,0,3385,5272,0
116,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,5268,0,5269,0,0,0
119,2,0,3000,0,350,0,0,1000,2000,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2,0,5000,0,800,0,0,2000,4000,0,0,0,0,0,0,0,0,0,5337,5339,5344,0,0,0
121,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,5345,0,5346,0,0,0
122,2,0,8000,0,800,0,0,2000,4000,0,0,0,0,0,0,0,0,0,5342,5343,5341,0,0,0
123,3,0,6000,0,500,3000,0,1500,0,3,65,112,0,0,0,0,0,0,0,0,0,0,0,0
124,0,1200,3000,0,0,4000,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
125,2,0,10000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,5416,5418,5417,0,0,0
126,2,0,10000,0,1000,0,0,3000,5000,0,0,0,0,0,0,0,0,0,5435,5437,5436,0,0,0
127,0,1200,2400,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2,0,4000,0,400,0,0,1500,3000,1362,0,0,0,0,0,0,0,0,5678,5679,5261,0,0,0
130,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,247181
133,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2,0,2000,0,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2,0,3500,0,500,0,0,1000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2,0,4000,0,500,0,0,1500,3000,6332,0,0,0,0,0,0,0,0,6328,6329,6331,0,0,0
138,3,0,9000,0,500,3000,0,1000,2250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2,0,4000,0,1000,0,0,2000,0,6332,0,0,0,0,0,0,0,0,6328,0,6331,0,0,0
140,2,0,4000,0,750,0,0,1500,3000,6332,0,0,0,0,0,0,0,0,6328,0,6331,0,0,0
141,2,0,3000,0,400,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2,0,3000,0,500,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2,0,2000,0,400,0,0,1100,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,1000,3000,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,0,3000,0,400,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,2,0,5000,0,500,0,0,2000,3500,0,0,0,0,0,0,0,0,0,7678,7678,0,0,0,0
152,2,0,3000,0,400,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2,0,2000,0,500,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,3000,7000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,0,8000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,3,0,4200,0,600,1400,0,800,0,0,0,0,0,1061,1061,0,0,0,0,0,0,0,0,0
163,0,2000,8000,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2,0,2000,0,500,0,0,1000,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
165,2,0,1000,0,150,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2,0,2000,0,400,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2,0,2000,0,300,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2,0,3000,0,700,0,0,1000,2000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,242123
169,2,0,3000,0,400,0,0,1000,2000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
170,1,1200,15000,300,0,1200,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
171,3,0,8000,0,500,2000,0,1000,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
172,2,0,2000,0,500,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,3,0,4000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,33737,0,21591,0,0,96113
176,1,900,10000,100,0,100,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,172478
179,0,1000,3000,0,0,800,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,178186
180,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181968
181,2,0,2000,0,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181969
182,3,0,8000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181970
183,1,1500,12000,300,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181973
184,1,1800,9000,300,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181975
185,2,0,1800,0,500,0,0,600,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181983
186,2,0,1500,0,500,0,0,500,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181984
187,3,0,6000,0,500,2000,0,333,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181985
188,3,0,4000,0,500,2000,0,333,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181986
189,1,2000,4000,300,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181988
191,2,0,4000,0,500,1200,0,1800,3300,0,0,0,0,11201,11201,0,0,0,0,0,11204,0,0,185654
192,5,1,2000,3,0,0,0,0,0,0,0,0,0,0,0,11547,0,0,0,0,11546,0,0,0
195,3,0,4000,0,400,2000,0,800,1200,2715,0,0,0,0,0,0,0,0,0,0,21591,0,0,187442
196,1,8000,8000,500,0,300,0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0,0,0,0
197,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,192776
198,1,2000,4000,500,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192949
199,5,3,4000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193072
201,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,194138
202,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,194371
203,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,194376
204,7,10000,10000,700,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195426
205,7,1,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195446
206,2,0,3000,0,300,0,0,1000,2000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
207,0,1000,5000,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198933
208,2,0,2000,0,500,0,0,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199941
209,2,0,2000,0,500,0,0,1000,1500,0,0,0,0,10651,0,0,0,0,0,0,0,0,0,199942
210,2,0,2000,0,500,0,0,1000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199943
211,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,200488
212,3,0,6000,0,400,2000,0,800,1200,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,223888
213,1,5000,10000,500,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,5,5,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,6,1125,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229284
216,6,5440,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,5,5,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1,8000,8000,500,0,300,0,0,0,0,0,0,0,16881,16881,0,16881,16881,0,0,0,0,0,0
219,0,2500,8000,500,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,5,6,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,5,5,2000,1,0,0,0,0,0,15841,15841,15841,15841,0,0,16796,0,0,15841,15841,370,15841,15841,303248
222,0,2000,15000,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,2,0,4000,0,800,0,0,1200,2800,0,0,0,0,0,0,0,0,0,0,0,0,68,68,0
224,1,10000,15000,2000,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3,0,4200,0,250,2100,0,700,1400,0,0,0,0,13049,13049,0,0,0,36747,36748,12279,0,0,0
226,4,0,60000,0,0,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,216006
228,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223294
230,2,0,6000,0,500,0,0,1500,4500,0,0,0,0,0,13350,13348,0,0,0,0,0,0,0,0
231,2,0,5000,0,400,0,0,1500,3500,0,0,0,0,13352,0,13349,0,0,0,0,0,0,0,0
232,1,1200,10000,100,0,100,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,223889
233,5,2,3000,2,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,228985
235,2,0,2000,0,200,0,0,750,1250,0,0,0,0,13881,13881,0,0,0,15841,15841,0,0,0,225952
236,2,0,2000,0,250,0,0,750,1250,0,0,0,0,0,0,0,0,0,1369,1369,0,0,0,0
237,5,3,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226612
238,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,227787
239,3,0,6000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,230031
241,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,230032
242,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,230033
243,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,230034
244,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,230035
245,2,0,3000,0,400,0,0,1000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230434
246,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232093
247,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232094
248,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232095
249,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232096
250,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232097
251,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232098
252,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232099
253,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232100
254,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232101
255,4,0,30000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,232102
256,6,808,6000,1,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,306598
257,2,0,5000,0,500,0,0,2500,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,6,2147483647,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233102
259,2,0,5000,0,500,0,0,1500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2,0,2000,0,500,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234378
261,2,0,2000,0,100,1000,0,700,1400,0,0,0,0,13049,13049,0,0,0,13080,13081,12279,0,0,306498
262,3,0,4200,0,500,2100,0,700,1400,0,0,0,0,13049,13049,0,0,0,13080,13081,12279,0,0,0
263,6,2141689751,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235164
264,6,2141397912,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235165
265,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,235532
266,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,236496
267,4,0,60000,0,0,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,238249
268,5,3,2000,2,0,0,0,0,0,1365,0,0,0,12978,0,0,0,0,0,0,21591,13149,0,242042
269,6,6295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242633
270,5,5,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,3,2,8000,0,500,2000,0,500,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243246
272,2,0,5000,0,500,0,0,2000,4000,0,0,0,0,0,0,0,0,0,11434,0,0,0,0,0
273,5,5,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1,1250,15000,250,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244033
275,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244599
276,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244600
277,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244601
278,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244602
279,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244603
280,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244604
281,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244605
282,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244606
283,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244609
284,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,244610
285,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245744
286,7,2000,5000,350,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,4,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247119
288,4,0,60000,0,0,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,246996
289,5,3,7000,2,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,248443
290,5,3,7000,3,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,248448
291,5,4,7000,3,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,248449
292,5,3,5000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248721
293,2,0,4000,0,400,0,0,1000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248739
294,5,3,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,6,60191,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,249078
296,1,2000,5000,400,0,500,0,0,0,0,0,0,0,0,0,0,0,0,21837,0,0,0,0,0
297,2,0,1500,0,200,0,0,500,1000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,250389
298,2,0,1000,0,200,0,0,350,650,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,250390
299,1,1200,10000,300,0,1200,0,0,0,1362,0,0,0,0,0,0,0,0,14654,0,21591,0,0,0
300,1,1700,8000,300,0,1200,0,0,0,1362,0,0,0,0,0,0,0,0,14654,0,21591,0,0,0
301,1,2200,6000,300,0,1200,0,0,0,1362,0,0,0,0,0,0,0,0,14654,0,21591,0,0,0
302,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,250934
303,2,0,5000,0,400,0,0,1000,4000,0,0,0,0,0,0,0,0,0,49490,0,0,0,0,0
304,2,0,3000,0,250,0,0,1000,2000,0,0,0,0,0,0,0,0,0,43056,0,0,0,0,0
305,4,0,60000,0,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,250951
306,0,2000,5000,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251467
307,1,1200,15000,300,0,1200,0,0,0,0,0,0,0,10582,0,0,0,0,0,0,0,0,0,251514
308,2,0,2000,0,300,0,0,1000,1500,0,0,0,0,8431,0,0,0,0,0,0,0,0,0,251725
309,2,0,3000,0,400,0,0,1000,2000,0,0,0,0,0,0,14572,0,0,0,0,0,0,0,251747
310,1,1200,10000,100,0,100,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,252048
311,1,1200,10000,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252860
312,6,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252896
313,6,2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252897
314,6,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252898
315,2,0,2000,0,300,0,0,900,1500,0,0,0,0,13881,13881,0,0,0,0,0,0,0,0,252903
316,3,0,6000,0,500,2000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1,800,5000,100,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,4,0,60000,0,0,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,254998
319,2,0,2000,0,300,0,0,800,1400,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,255408
320,5,2,2000,3,0,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,255421
322,4,0,60000,0,0,0,1,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,258236
323,4,0,60000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1,40,10000,8,0,8,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,259270
325,7,10000,10000,700,1000,0,0,0,0,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,259875
326,1,800,15000,100,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259876
328,1,1200,15000,300,0,1200,0,0,0,46291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,2000,5000,0,0,4000,0,0,0,46292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,2,0,3000,0,500,0,0,1000,2500,0,0,0,0,15808,15808,0,0,0,0,0,0,0,0,261493
331,1,3000,10000,350,0,400,0,0,0,27666,0,0,0,0,0,0,0,0,15805,0,21591,0,0,261921
332,1,4000,12000,300,0,400,0,0,0,27666,0,0,0,0,0,0,0,0,15805,0,21591,0,0,261924
333,1,4000,15000,280,0,650,0,0,0,27666,0,0,0,0,0,0,0,0,15805,0,21591,0,0,261925
334,2,0,2000,0,500,0,0,1000,0,1362,0,0,0,0,0,0,0,0,0,0,0,0,0,262467
335,3,0,6000,0,500,3000,0,1000,2000,1362,0,0,0,0,0,0,0,0,0,0,21591,0,0,0
