"ID","soundEventIdStart","soundEventIdStop","restartDelayMin","restartDelayMax","flags"
373,68339,5627,0,0,1
374,68340,5627,0,0,1
375,68341,5627,0,0,1
376,68342,5627,0,0,1
377,68343,5627,0,0,1
378,68344,5627,0,0,1
379,68345,5627,0,0,1
380,68346,5627,0,0,1
381,68347,5627,0,0,1
382,68348,5627,0,0,1
383,68349,5627,0,0,1
384,68350,5627,0,0,1
385,68351,5627,0,0,1
386,68352,5627,0,0,1
387,68381,5627,0,0,1
388,68380,5627,0,0,1
389,68379,5627,0,0,1
390,68378,5627,0,0,1
391,68377,5627,0,0,1
392,40767,5627,0,0,1
393,68397,5627,0,0,1
394,68399,5627,0,0,1
395,68398,5627,0,0,0
396,68400,5627,0,0,0
397,69027,5627,0,0,1
398,69035,5627,0,0,1
399,69044,5627,0,0,1
400,69043,5627,0,0,1
401,69042,5627,0,0,1
402,69064,5627,0,0,1
403,69065,5627,0,0,1
404,69068,5627,0,0,1
405,69067,5627,0,0,1
406,69659,5627,0,0,1
407,69658,5627,0,0,1
408,69657,5627,0,0,1
409,69661,5627,0,0,1
410,69671,5627,0,0,1
411,69670,5627,0,0,1
412,69672,5627,0,0,1
413,69914,5627,0,0,0
414,69931,69932,0,0,1
415,70020,5627,0,0,0
416,70217,5627,0,0,1
417,70229,5627,0,0,0
418,70254,5627,0,0,1
419,70292,70293,0,0,1
420,70319,70320,0,0,1
421,70323,5627,0,0,1
422,70324,70326,0,0,1
423,70325,70327,0,0,1
