"ID","description","RippleColorTex","RippleNormalTex","Scale","Rotation","Speed","OscFrequency","OscMagnitude","OscRotation","OscPhase","OscMinLayerWeight","OscMaxLayerWeight","OscLayerWeightPhase","materialBlend"
61,"River_vert_splash_slow","Art\Water\Temp\test_003_color.tex","Art\Water\Temp\water_003_normal.tex",0.15625,1.5708,0.4,0,0.601563,1.12901,0,0,1,5,0
62,"River_vert_splash_fast","Art\Water\Temp\test_003_color.tex","Art\Water\Temp\water_003_normal.tex",0.15625,1.5708,0.7,0,0.6,1.12901,0,0,1,5,0
67,"River_base_alt","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\water_river_ripples_000_normal.tex",1.25,-1.5708,0.859375,0,0,1.12901,0,0,0.117188,-4.14063,0.460938
68,"waterfall_med","Art\Water\Temp\waterfall_001_color.tex","Art\Water\Temp\waterfall_000_normal.tex",0.25,1.5708,3,0,0.609375,1.12901,0,1,1,5,0.570313
70,"waterfall_large","Art\Water\Temp\waterfall_001_color.tex","Art\Water\Temp\waterfall_000_normal.tex",0.1,1.53589,7,0,0.617188,1.12901,1.37445,1,1,5,1
74,"Shoreline03","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,0,0,1.5,0.0546875,0,1.42353,0.601563,0.789063,-5,0
75,"Foam","Art\Water\Temp\test_005_color.tex","Art\Water\Temp\Water_Pond_Ripple_001_normal.tex",1,1.5708,0.00310057,1.17188,0.0625,1.48353,1.37445,0.664063,0.9375,0,0
76,"Lake_ripples_Original","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,0,0.3,0,0,1.12901,0,0.85,1,0,0
78,"Shoreline05","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",0.1,0,0,1.5,0.05,0,4.12334,0.71875,1,2,0
79,"Tar_base","Art\Water\Temp\Water_TarPit_000_Color.tex","Art\Water\Temp\tar_000_Normal.tex",1.5,0,0,1.60156,0.000625,0,0.785398,0.734375,1,0,0
80,"Ocean_small_wave_eastcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.07,-1.5708,3,0,0,0.539961,5.39961,1,1,5,0
81,"Ocean_base_Small02","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.08,1.27627,0,0.195313,0.789063,3.38703,5.49779,0.492188,0.6875,-4.92188,0.21875
82,"Ocean_large_wave_eastcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.01,-1.309,3,0,0,0,6.28319,1,1,5,0
83,"River_ripples_falls_splash_small","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_02_normal.tex",0.4,1.5708,1,0,0,1.12901,0,1,1,-5,0
84,"River_ripples_falls_splash_medium","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_02_normal.tex",0.15625,1.5708,0.5,0,0,1.12901,0,1,1,-5,0
85,"Test_lake","Art\Water\Waterfall\Deradune\PRP_Waterfall_DeraduneLargeWaterfall_000_Color.tex","Art\Dev\Temp\Temp_Water_Normal.tex",0.9375,1.5708,0.052696,0,0.046875,3.14159,1.76715,0.148438,0.148438,-4.14063,0.0546875
86,"Andy Normal Test Lake_ripples","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_normal.tex",0.390625,0,0.382802,0,0,1.12901,0.0174533,0.484375,0.554688,-0.234375,0
87,"f Andy Normal Test Lake_ripples 2","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\water_002_normal.tex",0.3125,0,0.382802,0,0,1.12901,0.0174533,0.875,1,-0.234375,0
88,"of Andy Normal Test Lake_ripples","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\water_002_normal.tex",0.3125,0,0.382802,0,0,1.12901,0.0174533,0.875,1,-0.234375,0
89,"Copy of Lake_ripples 1","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,0.261799,0.3,0,0,1.12901,0,0.85,1,0,0
90,"Copy of Copy of Lake_ripples 1","Art\Water\Temp\Water_Pond_Ripple_001_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,-0.261799,0.3,0,0,1.12901,0,0.85,1,0,0
91,"Jason of Lake_nipples 1","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.5,3.14159,0.0721191,0,0.273438,1.12901,0,0.625,0.929688,0.390625,1
93,"Shoreline_E","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,0,0.184749,0,0.0859375,0,4.56513,1,1,3.04688,0.304688
94,"Shoreline_N","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,1.5708,0,3.71094,0.015625,0,1.32536,1,1,0,0
95,"Shoreline_W","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,3.14159,0,3.98438,0.03125,0,0.834486,1,1,0,0
96,"Shoreline_S","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,4.71239,0,3.71094,0.015625,0,1.32536,1,1,0,0
97,"Lake_ripples_N","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.390625,3.14159,0.18,0,0.015625,0,2.74889,0.929688,1,0,0
98,"Lake_ripples_S","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,0,0.15,0,0,1.12901,1.76715,0.648438,1,0,0
99,"Lake_ripples_E","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,1.5708,0.15,0,0,1.12901,0,0.85,1,0,0
100,"Lake_ripples_W","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.351563,4.71239,0.15,0,0,1.12901,0,0.85,1,0,0
105,"Copy of Shoreline_W","Art\Water\Temp\Waterfall_Foam_001_color.tex","Art\Water\Temp\Water_TestRef_000_Normal.tex",3.67188,1.5708,0,2.53906,0.3,0,3.97608,1,1,4.14063,0.382813
106,"Copy of Copy of Shoreline_W","Art\Water\Temp\Waterfall_Foam_001_color.tex","Art\Water\Temp\Water_TestRef_000_Normal.tex",1,1.5708,0,1.95313,0.6875,0,3.97608,1,1,4.14063,0.382813
110,"Shoreline_Default_001","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Shorline_Wave_000_normal.tex",1,0,0.4,0,0.0859375,0,4.56514,1,1,0,0
111,"Shoreline_Default_002","Art\Water\Temp\Water_Shorline_Wave_000_color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.625,0,0.404583,0,0.28125,0,4.56514,1,1,0,0
112,"lake_calm","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_CircularRipples_Grey_000_Normal.tex",0.18,1.5708,0.0210801,0.273438,0.125,3.14159,1.76715,0.265625,0.421875,-4.14063,0
113,"River_base_slow","Art\Water\Temp\test_001_color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.3125,1.5708,1.5,0,0,3.14159,0,0.09375,0.12,-4.14063,0
114,"lake_calm2","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_CircularRipples_Grey_000_Normal.tex",0.18,1.5708,0.003,0.4,0.03,3.14159,3.33794,0.257813,0.476563,-4.14063,0
116,"test_blend","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\waterfall_001_normal.tex",0.18,1.5708,0,0,0,3.14159,0,0,0,-5,1
118,"Slow_Lake_ripples_N","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.25,3.14159,0.08,1.64,0,0,2.74889,0.65,0.75,0,0
119,"Slow_Lake_ripples_S","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.25,0,0.08,1.64,0,1.12901,1.76715,0.65,0.75,0,0
120,"Slow_Lake_ripples_E","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.39,1.5708,0.08,1.64,0,1.12901,0,0.65,0.75,0,0
121,"Slow_Lake_ripples_W","Art\Water\Temp\Water_Pond_Ripple_002_color.tex","Art\Water\Temp\Water_Test_001_normal.tex",0.39,4.71239,0.08,1.64,0,1.12901,2.74889,0.65,0.75,0,0
122,"river_base_fast","Art\Water\Temp\test_001_color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.3125,1.5708,7,0,0,3.14159,0,0.09375,0.12,-4.14063,0
123,"waterfall_foam_fast","Art\Water\Temp\test_001_color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.3125,1.5708,7,0,0,3.14159,0,0.09375,0.12,-4.14063,0
124,"Lava_medium","Art\Terrain\_Skullcano\Terrain_Lava_Water_Skullcano_000_Color.tex","Art\Terrain\_Skullcano\terrain_lava_skullcano_000_dxtnormal.tex",0.15625,1.5708,0.5,0,0,1.12901,0,1,1,-5,1
125,"Lava_medium_slow","Art\Terrain\_Skullcano\Terrain_Lava_Water_Skullcano_000_Color.tex","Art\Terrain\_Skullcano\terrain_lava_skullcano_000_dxtnormal.tex",0.15625,1.5708,0.0561731,0,0,1.12901,0,1,1,-5,1
126,"Toxic_calm","Art\Terrain\_Whitevale\terrain_toxic_water_000_color.tex","Art\Terrain\_Whitevale\terrain_toxic_water_000_normal.tex",0.382813,1.5708,0.00382755,0.625,0.03125,4.46695,0.687223,1,1,-2.65625,0
127,"Tech_calm","Art\Terrain\_Whitevale\terrain_toxic_water_000_color.tex","Art\Terrain\_Whitevale\terrain_toxic_water_000_normal.tex",0.382813,1.5708,0.00382755,0.625,0.03125,4.46695,0.687223,1,1,-2.65625,0
128,"Blood_-Z","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",0.7,0,0,0,0,0,0,0,0,0,1
129,"Blood_-X","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Normal.tex",0.7,1.5708,0,0,0,0,0,0,0,0,1
130,"Warplots_Toxic_calm","Art\Terrain\_Whitevale\terrain_toxic_water_000_color.tex","Art\Terrain\_Whitevale\terrain_toxic_water_000_normal.tex",0.390625,1.5708,0.00382755,0.625,0.03125,4.46695,0.687223,1,1,-2.65625,0
131,"Lava_medium_slow - 90","Art\Terrain\_Skullcano\Terrain_Lava_Water_Skullcano_000_Color.tex","Art\Terrain\_Skullcano\terrain_lava_skullcano_000_dxtnormal.tex",0.15625,-1.5708,0.0561731,0,0,1.12901,0,1,1,-5,1
132,"Ocean_calm","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\water_ocean_calm_normal.tex",0.3,-1.22173,1.14593,0.664063,0,0,0,1,1,-5,0
133,"Ocean_small02_wave_eastcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.08,-0.349066,2.6,0,0,0.539961,5.39961,1,1,5,0
134,"Copy of Ocean_small02_wave_westcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.08,0.349066,2.6,0,0,0.539961,5.39961,1,1,5,0
136,"Copy of Ocean_small01_wave_westcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.07,1.5708,3,0,0,0.539961,5.39961,1,1,5,0
137,"Copy of Ocean_large_wave_westcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.01,-1.5708,6,0,0.015625,0,0,1,1,5,1
138,"Copy of Shoreline_Default_001","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Dev\BLANK_Normal.tex",0.5,-0.785398,0.3,0.1,0.05,0,3.49066,1,1,1,0
139,"Ocean_small_wave_westcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.01,1.309,3,0.75,0.05,3.14159,6.28319,1,1,0.1,0
140,"Ocean_large_wave_westcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.03,1.309,4,0.75,0.05,0,6.28319,1,1,5,0
141,"Strain_calm","Art\Terrain\_Whitevale\terrain_toxic_water_000_color.tex","Art\Terrain\_Whitevale\terrain_toxic_water_000_normal.tex",0.382813,1.5708,0.00382755,0.625,0.03125,4.46695,0.687223,1,1,-2.65625,0
142,"Ocean_small_wave_northcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.01,0,3,0.75,0.05,0,0,1,1,5,0
143,"Ocean_large_wave_northcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.03,0,4,0.75,0.05,0,0,1,1,5,0
144,"Ocean_small_wave_southcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.01,2.87979,3,0.75,0.05,0,6.28319,1,1,5,0
145,"Ocean_large_wave_southcoast","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",0.03,2.87979,4,0.75,0.05,0,6.28319,1,1,5,0
146,"Liquid_Metal_000","Art\Water\Temp\Liquid_Metal_000_color.tex","Art\Water\Temp\Liquid_Metal_000_normal.tex",0.15625,-1.76715,0.0285709,1.875,0,1.91441,0,1,1,5,1
147,"Copy of Tar_base","Art\Water\Temp\Water_TarPit_000_Color.tex","Art\Water\Temp\tar_000_Normal.tex",1.5,0,0,1.60156,0.000625,0,0.785398,0.734375,1,0,0
148,"Lazy_river","Art\Water\Temp\Water_BaseTEMP_BlueGreen_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",0.3125,1.5708,0.5,0,0,3.14159,0,0.09375,0.12,-4.14063,0
1150,"NPE_Ocean_calm_W>E","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_001_Normal.tex",3.28125,0.392699,0.0194467,0.546875,0.304688,1.9635,0.392699,0.0859375,0.125,0.15625,0.265625
1152,"NPE_River_calm","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\water_ocean_calm_normal.tex",3,0,0,0.273438,0.0625,0,0.736311,0.242188,0.429688,-5,1
1153,"NPE_Ocean_calm_N>S","Art\Water\Temp\Water_Ocean_Generic_000_Color.tex","Art\Water\Temp\Water_Ocean_Generic_000_Normal.tex",4.14063,3.33794,0.0194467,0.351563,0.257813,0.834486,5.79231,0.015625,0.109375,2.1875,0.359375
