"ID","raceId","genderEnum","modelBoneId","customizationParameterId","dataOrder","flags"
651,4,0,84,16,4,0
652,4,0,83,16,1,0
653,4,0,83,15,2,0
654,4,0,83,14,3,0
655,4,0,83,13,4,0
656,4,0,87,5,1,0
657,4,0,87,6,2,0
658,4,0,87,7,3,0
659,4,0,87,11,4,0
660,4,0,88,11,1,0
661,4,0,88,7,2,0
662,4,0,88,6,3,0
663,4,0,88,5,4,0
664,4,1,88,5,1,0
665,4,1,88,6,2,0
666,4,1,88,7,3,0
667,4,1,88,11,4,0
668,4,1,87,11,1,0
669,4,1,87,7,2,0
670,4,1,87,6,3,0
671,4,1,87,5,4,0
672,4,1,89,20,1,0
673,4,1,89,21,2,0
674,4,1,89,22,3,0
675,4,1,89,23,4,0
676,4,1,89,24,5,0
679,4,0,89,20,1,0
680,4,0,89,21,2,0
681,4,0,89,22,3,0
682,4,0,89,23,4,0
683,4,0,89,24,5,0
684,13,0,80,1,1,0
685,13,0,80,2,2,0
686,13,0,80,3,3,0
687,13,0,80,4,4,0
688,13,0,87,5,1,0
689,13,0,87,6,2,0
690,13,0,87,7,3,0
691,13,0,87,11,4,0
692,13,0,88,5,1,0
693,13,0,88,6,2,0
694,13,0,88,7,3,0
695,13,0,88,11,4,0
696,13,0,83,13,1,0
697,13,0,83,14,2,0
698,13,0,83,15,3,0
699,13,0,83,16,4,0
700,13,0,84,13,1,0
701,13,0,84,14,2,0
702,13,0,84,15,3,0
703,13,0,84,16,4,0
704,13,0,81,8,1,0
705,13,0,81,9,2,0
706,13,0,81,10,3,0
707,13,0,82,8,1,0
708,13,0,82,9,2,0
709,13,0,82,10,3,0
710,13,0,79,17,1,0
711,13,0,79,18,2,0
712,13,0,79,19,3,0
713,13,0,89,20,1,0
714,13,0,89,21,2,0
715,13,0,89,22,3,0
716,13,0,89,23,4,0
717,13,0,89,24,5,0
718,3,1,80,1,1,0
719,3,1,80,2,2,0
720,3,1,80,3,3,0
721,3,1,80,4,4,0
722,3,1,87,5,1,0
723,3,1,87,6,2,0
724,3,1,87,7,3,0
725,3,1,87,11,4,0
726,3,1,88,5,1,0
727,3,1,88,6,2,0
728,3,1,88,7,3,0
729,3,1,88,11,4,0
730,3,1,83,13,1,0
731,3,1,83,14,2,0
732,3,1,83,15,3,0
733,3,1,83,16,4,0
734,3,1,84,13,1,0
735,3,1,84,14,2,0
736,3,1,84,15,3,0
737,3,1,84,16,4,0
738,3,1,81,8,1,0
739,3,1,81,9,2,0
740,3,1,81,10,3,0
741,3,1,82,8,1,0
742,3,1,82,9,2,0
743,3,1,82,10,3,0
744,3,1,79,17,1,0
745,3,1,79,18,2,0
746,3,1,79,19,3,0
747,3,1,89,20,1,0
748,3,1,89,21,2,0
749,3,1,89,22,3,0
750,3,1,89,23,4,0
751,3,1,89,24,5,0
752,12,1,80,1,1,0
753,12,1,80,2,2,0
754,12,1,80,3,3,0
755,12,1,80,4,4,0
756,12,1,87,5,1,0
757,12,1,87,6,2,0
758,12,1,87,7,3,0
759,12,1,87,11,4,0
760,12,1,88,5,1,0
761,12,1,88,6,2,0
762,12,1,88,7,3,0
763,12,1,88,11,4,0
764,12,1,83,13,1,0
765,12,1,83,14,2,0
766,12,1,83,15,3,0
767,12,1,83,16,4,0
768,12,1,84,13,1,0
769,12,1,84,14,2,0
770,12,1,84,15,3,0
771,12,1,84,16,4,0
772,12,1,81,8,1,0
773,12,1,81,9,2,0
774,12,1,81,10,3,0
775,12,1,82,8,1,0
776,12,1,82,9,2,0
777,12,1,82,10,3,0
778,12,1,79,17,1,0
779,12,1,79,18,2,0
780,12,1,79,19,3,0
781,16,0,80,1,1,0
782,16,0,80,2,2,0
783,16,0,80,3,3,0
784,16,0,80,4,4,0
785,16,0,87,5,1,0
786,16,0,87,6,2,0
787,16,0,87,7,3,0
788,16,0,87,11,4,0
789,16,0,88,5,1,0
790,16,0,88,6,2,0
791,16,0,88,7,3,0
792,16,0,88,11,4,0
793,16,0,83,13,1,0
794,16,0,83,14,2,0
795,16,0,83,15,3,0
796,16,0,83,16,4,0
797,16,0,84,13,1,0
798,16,0,84,14,2,0
799,16,0,84,15,3,0
800,16,0,84,16,4,0
801,16,0,81,8,1,0
802,16,0,81,9,2,0
803,16,0,81,10,3,0
804,16,0,82,8,1,0
805,16,0,82,9,2,0
806,16,0,82,10,3,0
807,16,0,79,17,1,0
808,16,0,79,18,2,0
809,16,0,79,19,3,0
810,16,0,89,20,1,0
811,16,0,89,21,2,0
812,16,0,89,22,3,0
813,16,0,89,23,4,0
814,16,0,89,24,5,0
815,16,1,80,1,1,0
816,16,1,80,2,2,0
817,16,1,80,4,3,0
818,16,1,80,3,4,0
820,16,1,87,5,1,0
821,16,1,87,6,2,0
822,16,1,87,7,3,0
823,16,1,87,11,4,0
824,16,1,88,5,1,0
825,16,1,88,6,2,0
826,16,1,88,7,3,0
827,16,1,88,11,4,0
828,16,1,83,13,1,0
829,16,1,83,14,2,0
830,16,1,83,15,3,0
831,16,1,83,16,4,0
832,16,1,84,13,1,0
833,16,1,84,14,2,0
834,16,1,84,15,3,0
835,16,1,84,16,4,0
836,16,1,81,8,1,0
837,16,1,81,9,2,0
838,16,1,81,10,3,0
839,16,1,82,8,1,0
840,16,1,82,9,2,0
841,16,1,82,10,3,0
842,16,1,79,17,1,0
843,16,1,79,18,2,0
844,16,1,79,19,3,0
845,16,1,89,20,1,0
846,16,1,89,21,2,0
847,16,1,89,22,3,0
848,16,1,89,23,4,0
849,16,1,89,24,5,0
