"ID","minXpForLevel","baseQuestXpPerLevel","abilityPointsPerLevel","attributePointsPerLevel","baseRepRewardPerLevel"
76,2147483647,0,5,5,650
77,2147483647,0,5,5,650
78,2147483647,0,5,5,650
79,2147483647,0,5,5,650
80,2147483647,0,5,5,650
81,2147483647,0,5,5,650
82,2147483647,0,5,5,650
83,2147483647,0,5,5,650
84,2147483647,0,5,5,650
85,2147483647,0,5,5,650
86,2147483647,0,5,5,650
87,2147483647,0,5,5,650
88,2147483647,0,5,5,650
89,2147483647,0,5,5,650
90,2147483647,0,5,5,650
91,2147483647,0,5,5,650
92,2147483647,0,5,5,650
93,2147483647,0,5,5,650
94,2147483647,0,5,5,650
95,2147483647,0,5,5,650
96,2147483647,0,5,5,650
97,2147483647,0,5,5,650
98,2147483647,0,5,5,650
99,2147483647,0,5,5,650
100,2147483647,0,5,5,650
101,2147483647,0,5,5,650
102,2147483647,0,5,5,650
103,2147483647,0,5,5,650
104,2147483647,0,5,5,650
105,2147483647,0,5,5,650
106,2147483647,0,5,5,650
107,2147483647,0,5,5,650
108,2147483647,0,5,5,650
109,2147483647,0,5,5,650
110,2147483647,0,5,5,650
111,2147483647,0,5,5,650
112,2147483647,0,5,5,650
113,2147483647,0,5,5,650
114,2147483647,0,5,5,650
115,2147483647,0,5,5,650
116,2147483647,0,5,5,650
117,2147483647,0,5,5,650
118,2147483647,0,5,5,650
119,2147483647,0,5,5,650
120,2147483647,0,5,5,650
121,2147483647,0,5,5,650
122,2147483647,0,5,5,650
123,2147483647,0,5,5,650
124,2147483647,0,5,5,650
125,2147483647,0,5,5,650
126,2147483647,0,5,5,650
127,2147483647,0,5,5,650
128,2147483647,0,5,5,650
129,2147483647,0,5,5,650
130,2147483647,0,5,5,650
131,2147483647,0,5,5,650
132,2147483647,0,5,5,650
133,2147483647,0,5,5,650
134,2147483647,0,5,5,650
135,2147483647,0,5,5,650
136,2147483647,0,5,5,650
137,2147483647,0,5,5,650
138,2147483647,0,5,5,650
139,2147483647,0,5,5,650
140,2147483647,0,5,5,650
141,2147483647,0,5,5,650
142,2147483647,0,5,5,650
143,2147483647,0,5,5,650
144,2147483647,0,5,5,650
145,2147483647,0,5,5,650
146,2147483647,0,5,5,650
147,2147483647,0,5,5,650
148,2147483647,0,5,5,650
149,2147483647,0,5,5,650
150,2147483647,0,5,5,650
151,2147483647,0,5,5,650
152,2147483647,0,5,5,650
153,2147483647,0,5,5,650
154,2147483647,0,5,5,650
155,2147483647,0,5,5,650
156,2147483647,0,5,5,650
157,2147483647,0,5,5,650
158,2147483647,0,5,5,650
159,2147483647,0,5,5,650
160,2147483647,0,5,5,650
161,2147483647,0,5,5,650
162,2147483647,0,5,5,650
163,2147483647,0,5,5,650
164,2147483647,0,5,5,650
165,2147483647,0,5,5,650
166,2147483647,0,5,5,650
167,2147483647,0,5,5,650
168,2147483647,0,5,5,650
169,2147483647,0,5,5,650
170,2147483647,0,5,5,650
171,2147483647,0,5,5,650
172,2147483647,0,5,5,650
173,2147483647,0,5,5,650
174,2147483647,0,5,5,650
175,2147483647,0,5,5,650
176,2147483647,0,5,5,650
177,2147483647,0,5,5,650
178,2147483647,0,5,5,650
179,2147483647,0,5,5,650
180,2147483647,0,5,5,650
181,2147483647,0,5,5,650
182,2147483647,0,5,5,650
183,2147483647,0,5,5,650
184,2147483647,0,5,5,650
185,2147483647,0,5,5,650
186,2147483647,0,5,5,650
187,2147483647,0,5,5,650
188,2147483647,0,5,5,650
189,2147483647,0,5,5,650
190,2147483647,0,5,5,650
191,2147483647,0,5,5,650
192,2147483647,0,5,5,650
193,2147483647,0,5,5,650
194,2147483647,0,5,5,650
195,2147483647,0,5,5,650
196,2147483647,0,5,5,650
197,2147483647,0,5,5,650
198,2147483647,0,5,5,650
199,2147483647,0,5,5,650
200,2147483647,0,5,5,650
201,2147483647,0,5,5,650
