"ID","phaseDelay","phaseFlags","orderIndex","spell4IdOwner"
411,100,0,7,34150
412,634,0,8,34150
413,2000,20,0,34226
414,120,0,1,34226
415,120,0,2,34226
416,120,0,3,34226
417,640,0,4,34226
418,333,0,0,34227
419,1067,0,1,34227
420,1033,0,2,34227
421,1200,0,3,34227
422,366,0,0,34234
423,834,0,1,34234
424,533,0,2,34234
425,1233,0,3,34234
426,800,0,4,34234
427,600,0,0,34239
428,533,0,1,34239
429,467,0,2,34239
430,533,0,3,34239
431,967,0,4,34239
432,1250,0,5,34239
433,2000,4,0,34241
434,100,0,1,34241
435,900,0,2,34241
436,0,0,0,34252
437,1,0,1,34252
438,199,0,2,34252
439,500,0,3,34252
440,500,0,4,34252
441,500,0,5,34252
442,1100,0,6,34252
443,700,0,0,34253
444,1250,0,1,34253
445,200,0,2,34253
446,100,0,3,34253
447,100,4,4,34253
448,300,0,5,34253
449,0,0,0,34254
450,2500,4,1,34254
451,700,0,2,34254
452,100,0,3,34254
453,100,0,4,34254
454,66,0,5,34254
455,67,0,6,34254
456,100,0,7,34254
457,100,0,8,34254
458,600,0,9,34254
459,200,0,0,34262
460,466,0,1,34262
461,434,0,2,34262
462,500,4,3,34262
463,266,0,0,34264
464,667,0,1,34264
465,667,0,2,34264
466,1000,4,3,34264
467,1700,4,0,34265
468,300,0,1,34265
469,50,0,2,34265
470,100,0,3,34265
471,100,0,4,34265
472,100,0,5,34265
473,650,0,6,34265
474,2500,0,0,34276
475,0,0,0,34280
476,3000,4,1,34280
477,600,0,2,34280
478,900,0,3,34280
479,0,0,0,34285
480,2500,4,1,34285
481,233,0,2,34285
482,900,0,3,34285
483,900,0,4,34285
484,2000,0,0,34286
485,500,0,1,34286
486,500,0,2,34286
487,500,0,3,34286
488,500,0,4,34286
489,500,0,5,34286
490,500,0,6,34286
491,500,0,7,34286
492,0,0,0,34299
493,2666,0,1,34299
494,500,0,2,34299
495,500,0,3,34299
496,500,0,4,34299
497,0,0,0,34308
498,1000,0,1,34308
499,500,0,2,34308
500,200,0,3,34308
501,300,0,4,34308
502,166,0,5,34308
503,500,0,6,34308
504,566,0,7,34308
505,234,0,8,34308
506,1500,0,0,34309
507,2500,20,0,34320
508,200,0,1,34320
509,800,0,2,34320
510,2500,4,0,34327
511,1000,16,1,34327
512,1000,0,2,34327
513,1000,0,3,34327
514,1000,0,4,34327
515,1000,0,5,34327
516,1000,0,6,34327
517,1000,0,7,34327
518,0,0,0,34347
519,2967,4,1,34347
520,200,0,2,34347
521,2500,4,0,34348
522,100,0,1,34348
523,100,0,2,34348
524,100,0,3,34348
525,100,0,4,34348
526,66,0,5,34348
527,434,0,6,34348
528,3000,4,0,34349
529,200,0,1,34349
530,83,0,2,34349
531,83,0,3,34349
532,1867,0,4,34349
533,0,0,0,34363
534,166,0,1,34363
535,167,0,2,34363
536,167,0,3,34363
537,0,0,0,34371
538,1250,0,1,34371
539,1,0,2,34371
540,1,0,3,34371
541,2000,4,0,34433
542,120,0,1,34433
543,120,0,2,34433
544,120,0,3,34433
545,640,0,4,34433
546,2000,0,0,34446
547,1000,4,0,34447
548,500,0,1,34447
549,500,0,2,34447
550,500,0,3,34447
551,500,0,4,34447
552,500,0,5,34447
553,1750,4,0,34454
554,63,0,1,34454
555,62,0,2,34454
556,63,0,3,34454
557,62,0,4,34454
558,0,0,0,34455
559,50,0,1,34455
560,400,0,2,34455
561,775,0,3,34455
562,950,0,4,34455
563,325,0,5,34455
564,0,0,0,34457
565,533,0,1,34457
566,1100,0,2,34457
567,1267,0,3,34457
568,1233,0,4,34457
569,1700,0,5,34457
570,2500,4,0,34483
571,150,16,1,34483
572,850,0,2,34483
573,9001,0,3,34483
574,2000,4,0,34502
575,42,0,1,34502
576,42,0,2,34502
577,42,0,3,34502
578,40,0,4,34502
579,834,0,5,34502
580,2000,4,0,34503
581,333,0,1,34503
583,600,0,0,34504
584,300,0,1,34504
585,1133,0,2,34504
586,934,4,3,34504
587,2500,0,0,34518
588,33,0,1,34518
589,3500,0,0,34523
590,6500,0,1,34523
591,800,0,0,34529
592,666,0,1,34529
593,667,0,2,34529
594,867,0,3,34529
595,1000,0,4,34529
596,2500,20,0,34531
597,625,0,1,34531
598,700,0,2,34531
599,100,0,3,34531
600,8075,0,4,34531
601,0,0,0,34552
602,300,0,1,34552
603,200,0,2,34552
604,316,0,3,34552
605,250,0,4,34552
606,384,0,5,34552
607,250,0,6,34552
608,416,0,7,34552
609,150,0,8,34552
610,200,0,9,34552
611,100,0,10,34552
612,500,0,11,34552
613,500,0,0,34562
614,500,0,1,34562
615,500,0,2,34562
616,500,0,3,34562
617,500,0,4,34562
618,500,0,5,34562
619,500,0,6,34562
620,500,0,7,34562
621,500,0,8,34562
622,500,0,9,34562
623,500,0,10,34562
624,500,0,11,34562
625,500,0,12,34562
626,500,0,13,34562
627,500,0,14,34562
628,500,0,15,34562
629,500,0,0,34563
630,500,0,1,34563
631,500,0,2,34563
632,500,0,3,34563
633,500,0,4,34563
634,500,0,5,34563
635,500,0,6,34563
636,500,0,7,34563
637,500,0,8,34563
638,500,0,9,34563
639,500,0,10,34563
640,500,0,11,34563
641,500,0,12,34563
642,500,0,13,34563
643,500,0,14,34563
644,500,0,15,34563
645,0,0,0,34564
646,333,0,1,34564
647,600,0,2,34564
648,1733,0,3,34564
649,634,0,4,34564
650,2000,4,0,34565
651,58,0,1,34565
652,58,0,2,34565
653,50,0,3,34565
654,58,0,4,34565
655,276,0,5,34565
656,0,0,0,34584
657,2500,4,1,34584
658,200,0,2,34584
659,333,0,3,34584
660,0,0,0,34585
661,2000,8,1,34585
662,1000,4,2,34585
663,0,0,0,34602
664,1000,0,1,34602
665,1,0,0,34617
666,499,0,1,34617
667,0,0,0,34634
668,4000,0,1,34634
669,400,0,2,34634
670,100,0,3,34634
671,100,0,4,34634
672,100,0,5,34634
673,1367,0,6,34634
674,6000,4,0,34637
675,0,0,0,34696
676,1333,0,1,34696
677,500,0,2,34696
678,500,16,3,34696
679,1000,0,4,34696
680,1000,0,5,34696
681,2200,4,0,34702
682,300,0,1,34702
683,500,0,2,34702
684,500,0,3,34702
685,500,0,0,34703
686,500,0,1,34703
687,500,0,2,34703
688,500,0,3,34703
689,500,0,4,34703
690,500,0,5,34703
691,500,0,6,34703
692,500,0,7,34703
693,500,0,8,34703
694,500,0,9,34703
695,500,0,10,34703
696,500,0,11,34703
697,1000,0,12,34703
698,1000,0,13,34703
699,1000,0,0,34704
700,1000,0,1,34704
701,1000,0,2,34704
702,1000,0,3,34704
703,1000,0,4,34704
704,1000,0,5,34704
705,1000,0,6,34704
706,1000,0,7,34704
707,0,0,0,34736
708,2000,4,1,34736
709,2000,0,0,34745
710,333,0,1,34745
711,333,0,2,34745
712,333,0,3,34745
713,333,0,4,34745
23355,0,512,0,34772
23356,250,0,1,34772
23357,250,0,2,34772
23358,250,0,3,34772
23359,250,0,4,34772
23360,250,0,5,34772
23361,250,0,6,34772
23362,250,0,7,34772
23363,250,0,8,34772
23364,250,0,9,34772
23365,250,4,10,34772
23248,0,640,0,34773
23249,250,0,1,34773
23258,250,0,2,34773
23259,250,0,3,34773
23260,250,0,4,34773
23261,250,0,5,34773
23262,250,0,6,34773
23263,250,0,7,34773
23264,250,0,8,34773
23265,250,0,9,34773
23266,250,4,10,34773
714,1500,20,0,34788
715,1000,0,1,34788
716,1,512,0,34836
717,1,0,1,34836
718,1,0,2,34836
719,1,0,0,34887
720,1499,0,1,34887
721,500,0,2,34887
722,266,0,0,34906
723,467,0,1,34906
724,500,0,2,34906
725,467,0,3,34906
726,900,0,4,34906
727,0,0,0,34913
728,833,0,1,34913
729,66,0,2,34913
730,367,0,3,34913
731,267,0,4,34913
732,1134,0,5,34913
733,200,0,6,34913
734,200,0,7,34913
735,0,0,0,34914
736,1500,0,1,34914
737,0,0,0,34961
738,2000,0,1,34961
739,1,0,2,34961
740,0,16,0,34964
741,500,0,1,34964
742,500,0,2,34964
743,500,0,3,34964
744,500,0,4,34964
745,500,0,5,34964
746,500,0,6,34964
747,500,0,7,34964
748,500,0,8,34964
749,500,0,9,34964
750,500,0,10,34964
751,500,0,11,34964
752,500,0,12,34964
753,2250,4,0,34967
754,250,0,1,34967
755,500,0,2,34967
756,2000,4,0,34969
757,0,0,0,34972
758,800,0,1,34972
759,567,0,2,34972
760,500,0,3,34972
761,100,0,4,34972
762,333,0,5,34972
763,567,0,6,34972
764,700,0,7,34972
765,0,0,0,34980
766,1000,0,1,34980
767,166,0,2,34980
768,200,0,3,34980
769,167,0,4,34980
770,200,0,5,34980
771,433,0,6,34980
772,400,0,7,34980
773,1500,4,0,34981
774,1000,0,1,34981
775,500,0,2,34981
776,500,0,3,34981
777,500,0,4,34981
778,500,0,5,34981
779,500,0,6,34981
780,500,0,7,34981
781,500,0,8,34981
782,500,0,9,34981
783,500,0,10,34981
784,500,0,11,34981
785,500,0,12,34981
786,500,0,13,34981
787,500,0,14,34981
788,500,0,15,34981
789,0,0,0,34982
790,2000,0,1,34982
791,120,0,2,34982
792,120,0,3,34982
793,120,4,4,34982
794,1640,0,5,34982
795,0,0,0,35000
796,2400,0,1,35000
797,766,0,2,35000
798,567,8,3,35000
799,2400,0,4,35000
800,766,0,5,35000
801,2000,0,0,35068
802,600,0,1,35068
803,0,0,0,35153
804,500,0,1,35153
805,500,0,2,35153
806,500,0,3,35153
807,500,0,4,35153
808,500,4,5,35153
809,300,0,6,35153
810,0,0,0,35167
811,1500,0,1,35167
812,1300,16,2,35167
813,200,4,3,35167
814,1000,0,4,35167
815,0,0,0,35171
816,1,0,1,35171
817,2000,4,0,35187
818,120,0,1,35187
819,120,0,2,35187
820,120,0,3,35187
821,640,0,4,35187
822,2500,4,0,35189
823,100,0,1,35189
824,0,0,0,35192
825,1500,0,1,35192
826,900,0,2,35192
827,500,0,0,35223
828,500,0,1,35223
829,500,0,2,35223
830,500,0,3,35223
831,500,0,4,35223
832,500,4,5,35223
833,1000,0,0,35234
834,1067,0,1,35234
835,1483,0,2,35234
836,2500,4,0,35242
837,333,0,1,35242
838,200,0,2,35242
839,200,0,3,35242
840,200,0,4,35242
841,167,0,5,35242
842,1000,0,0,35246
843,300,0,1,35246
844,633,0,2,35246
845,367,0,3,35246
846,633,0,4,35246
847,1033,0,5,35246
848,2500,0,0,35248
849,933,0,1,35248
850,667,0,2,35248
851,0,0,0,35254
852,1000,0,1,35254
853,1000,0,2,35254
854,2000,20,0,35274
855,1000,0,1,35274
856,750,0,2,35274
857,500,0,3,35274
858,500,0,4,35274
859,500,0,5,35274
860,200,0,0,35275
861,400,0,1,35275
862,400,0,2,35275
863,200,0,3,35275
864,400,0,4,35275
865,400,0,5,35275
866,200,0,6,35275
867,400,0,7,35275
868,400,0,8,35275
869,200,0,9,35275
870,400,0,10,35275
871,400,4,11,35275
872,900,0,0,35282
873,1600,0,1,35282
874,500,4,2,35282
875,1500,0,3,35282
876,0,0,0,35284
877,3000,4,1,35284
878,250,0,2,35284
879,250,0,3,35284
880,800,0,4,35284
881,0,0,0,35302
882,66,0,1,35302
883,334,0,2,35302
884,333,0,3,35302
885,333,0,4,35302
886,667,0,5,35302
887,334,0,6,35302
888,333,0,7,35302
889,333,0,8,35302
890,267,4,9,35302
891,2000,0,10,35302
892,1000,4,0,35304
893,233,0,1,35304
894,66,0,2,35304
895,800,0,3,35304
896,866,0,4,35304
897,34,0,5,35304
898,200,0,6,35304
899,551,0,7,35304
900,750,0,8,35304
901,2000,4,0,35323
902,1,0,1,35323
903,2500,4,0,35324
904,100,0,1,35324
905,2000,4,0,35328
906,1000,0,1,35328
907,0,0,0,35336
908,2000,0,1,35336
909,0,0,0,35343
910,2500,0,1,35343
911,2500,4,0,35351
912,100,0,1,35351
913,1000,4,0,35352
914,1000,16,1,35352
915,1000,0,2,35352
916,750,0,3,35352
917,500,0,4,35352
918,500,0,5,35352
919,500,0,6,35352
920,183,0,0,35360
921,83,0,1,35360
922,83,0,2,35360
923,150,0,3,35360
924,183,0,0,35361
925,83,0,1,35361
926,83,0,2,35361
927,150,0,3,35361
928,400,0,0,35362
929,333,0,1,35362
930,77,0,2,35362
931,190,0,3,35362
932,233,0,0,35363
933,67,0,1,35363
934,67,0,2,35363
935,133,0,3,35363
936,2000,20,0,35376
937,1000,0,1,35376
938,1500,0,2,35376
939,2000,20,0,35378
940,400,0,1,35378
941,100,0,2,35378
942,100,0,3,35378
943,1400,0,4,35378
944,1900,4,0,35379
945,1100,0,1,35379
946,83,0,2,35379
947,83,0,3,35379
948,834,0,4,35379
949,2000,20,0,35382
950,1000,0,1,35382
951,250,0,2,35382
952,250,0,3,35382
953,500,0,4,35382
954,1900,4,0,35388
955,1100,0,1,35388
956,83,0,2,35388
957,83,0,3,35388
958,834,0,4,35388
959,1400,4,0,35389
960,1100,0,1,35389
961,83,0,2,35389
962,83,0,3,35389
963,834,0,4,35389
964,900,4,0,35390
965,1100,0,1,35390
966,83,0,2,35390
967,83,0,3,35390
968,834,0,4,35390
969,1500,4,0,35400
970,566,0,1,35400
971,684,0,2,35400
972,2000,4,0,35403
973,1,0,1,35403
974,2000,4,0,35406
975,500,0,1,35406
976,0,0,0,35411
977,5000,0,1,35411
978,1000,0,2,35411
979,500,0,3,35411
980,250,0,4,35411
981,250,0,5,35411
982,250,0,6,35411
983,3000,0,7,35411
984,533,0,0,35417
985,667,0,1,35417
986,300,0,2,35417
987,1033,0,3,35417
988,333,0,4,35417
989,667,0,5,35417
990,667,0,6,35417
991,1300,0,7,35417
992,1000,20,0,35439
993,400,0,1,35439
994,600,0,2,35439
995,1000,0,0,35440
996,1000,0,1,35440
997,1000,0,2,35440
998,1000,0,3,35440
999,1000,0,4,35440
1000,1000,4,5,35440
1001,2000,4,0,35441
1002,300,0,1,35441
1003,0,0,0,35443
1004,1500,4,1,35443
1005,866,0,2,35443
1006,167,0,3,35443
1007,167,0,4,35443
1008,300,0,5,35443
1009,1000,16,0,35454
1010,400,0,1,35454
1011,600,0,2,35454
1012,6500,0,3,35454
1013,1500,16,0,35456
1014,2500,0,1,35456
1015,500,0,2,35456
1016,500,0,3,35456
1017,500,0,4,35456
1018,500,0,5,35456
1019,500,0,6,35456
1020,2200,4,0,35459
1021,300,0,1,35459
1022,500,0,2,35459
1023,500,0,3,35459
1024,2500,4,0,35460
1025,100,0,1,35460
1026,0,32,0,35461
1027,1000,32,1,35461
1028,1000,32,2,35461
1029,1000,4,3,35461
1030,1000,16,4,35461
1031,2000,32,5,35461
1032,1500,0,0,35478
1033,1000,0,1,35478
1034,1000,20,2,35478
1035,1000,0,3,35478
1036,2500,4,0,35481
1037,100,0,1,35481
1038,2500,4,0,35482
1039,100,0,1,35482
1040,2500,4,0,35483
1041,100,0,1,35483
1042,300,0,0,35487
1043,667,0,1,35487
1044,667,0,2,35487
1045,933,0,3,35487
1046,433,4,4,35487
1047,2000,4,0,35494
1048,300,0,1,35494
1049,200,0,2,35494
1050,0,0,0,35495
1051,1000,0,1,35495
1052,1000,0,2,35495
1053,1000,0,3,35495
1054,1000,0,4,35495
1055,200,0,0,35496
1056,1800,4,1,35496
1057,300,0,2,35496
1058,700,0,3,35496
1059,2200,4,0,35505
1060,300,0,1,35505
1061,500,0,2,35505
1062,500,16,3,35505
1063,200,0,4,35505
1064,300,0,5,35505
1065,500,0,6,35505
1066,500,0,7,35505
1067,2000,4,0,35507
1068,300,0,1,35507
1069,1000,0,2,35507
1070,2200,12,0,35510
1071,300,0,1,35510
1072,500,0,2,35510
1073,500,0,3,35510
1074,500,0,4,35510
1075,1500,4,0,35519
1076,500,0,1,35519
1077,833,0,2,35519
1078,1000,4,0,35520
1079,500,0,1,35520
1080,933,0,2,35520
1081,555,0,3,35520
1082,1000,0,4,35520
1083,1000,4,0,35521
1084,500,0,1,35521
1085,933,0,2,35521
1086,555,0,3,35521
1087,1100,0,4,35521
1088,500,0,5,35521
1089,1000,0,6,35521
1090,2000,4,0,35523
1091,75,0,1,35523
1092,75,0,2,35523
1093,100,0,3,35523
1094,500,0,4,35523
1095,10,12,5,35523
1096,2000,12,0,35524
1097,75,0,1,35524
1098,75,0,2,35524
1099,100,0,3,35524
1100,500,0,4,35524
1101,2000,12,5,35524
1102,75,0,6,35524
1103,75,0,7,35524
1104,100,0,8,35524
1105,500,0,9,35524
1106,2000,4,0,35525
1107,75,0,1,35525
1108,75,0,2,35525
1109,100,0,3,35525
1110,500,0,4,35525
1111,2000,20,0,35526
1112,400,0,1,35526
1113,100,0,2,35526
1114,100,0,3,35526
1115,1400,0,4,35526
1116,2000,8,0,35527
1117,75,0,1,35527
1118,75,0,2,35527
1119,100,0,3,35527
1120,500,0,4,35527
1121,2000,4,0,35528
1122,75,0,1,35528
1123,75,0,2,35528
1124,100,0,3,35528
1125,500,0,4,35528
1126,2000,4,0,35530
1127,75,0,1,35530
1128,75,0,2,35530
1129,100,0,3,35530
1130,500,0,4,35530
1131,0,0,0,35535
1132,500,0,1,35535
1133,500,0,2,35535
1134,500,0,3,35535
1135,700,4,4,35535
1136,300,0,5,35535
1137,500,0,6,35535
1138,500,0,7,35535
1139,1300,0,0,35541
1140,333,0,1,35541
1141,367,0,2,35541
1142,466,0,3,35541
1143,334,0,4,35541
1144,700,0,5,35541
1145,1300,0,6,35541
1146,0,32,0,35543
1147,1000,32,1,35543
1148,1000,32,2,35543
1149,1000,4,3,35543
1150,1000,16,4,35543
1151,2000,32,5,35543
1152,0,32,0,35550
1153,500,32,1,35550
1154,500,32,2,35550
1155,500,32,3,35550
1156,500,32,4,35550
1157,1000,36,5,35550
1158,1000,48,6,35550
1159,2000,32,7,35550
1160,0,0,0,35553
1161,833,0,1,35553
1162,66,0,2,35553
1163,367,0,3,35553
1164,267,0,4,35553
1165,1134,0,5,35553
1166,566,0,6,35553
1167,602,0,7,35553
1168,0,0,0,35554
1169,833,0,1,35554
1170,66,0,2,35554
1171,367,0,3,35554
1172,267,0,4,35554
1173,1134,0,5,35554
1174,566,0,6,35554
1175,602,0,7,35554
1176,0,0,0,35555
1177,833,0,1,35555
1178,66,0,2,35555
1179,367,0,3,35555
1180,267,0,4,35555
1181,1134,0,5,35555
1182,566,0,6,35555
1183,602,0,7,35555
1184,0,0,0,35556
1185,1100,0,1,35556
1186,400,0,2,35556
1187,500,0,3,35556
1188,400,0,4,35556
1189,600,0,5,35556
1190,0,0,0,35559
1191,833,0,1,35559
1192,66,0,2,35559
1193,367,0,3,35559
1194,267,0,4,35559
1195,1134,0,5,35559
1196,566,0,6,35559
1197,602,0,7,35559
1198,0,0,0,35560
1199,833,0,1,35560
1200,66,0,2,35560
1201,367,0,3,35560
1202,267,0,4,35560
1203,1134,0,5,35560
1204,566,0,6,35560
1205,602,0,7,35560
1206,2000,20,0,35563
1207,400,0,1,35563
1208,100,0,2,35563
1209,100,0,3,35563
1210,400,0,4,35563
1211,0,32,0,35564
1212,500,32,1,35564
1213,500,32,2,35564
1214,500,32,3,35564
1215,500,32,4,35564
