"ID","positionX","positionY","primalMatrixNodeTypeEnum","flags","maxAllocations","costRedEssence","costBlueEssence","costGreenEssence","costPurpleEssence","primalMatrixRewardIdWarrior","primalMatrixRewardIdEngineer","primalMatrixRewardIdEsper","primalMatrixRewardIdMedic","primalMatrixRewardIdStalker","primalMatrixRewardIdSpellslinger"
31,0,4,0,0,3,0,0,7500,0,64,64,64,64,64,64
32,1,4,0,0,3,0,7500,0,0,56,56,56,56,56,56
33,1,5,0,0,3,7500,0,0,0,53,53,53,53,53,53
34,0,6,0,0,3,0,0,7500,0,55,55,55,55,55,55
35,4294967295,6,0,0,3,0,7500,0,0,61,61,61,61,61,61
36,4294967295,5,0,0,3,7500,0,0,0,58,58,58,58,58,58
37,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0
38,4294967294,7,2,0,1,0,0,0,7500,4,10,22,28,16,34
39,0,7,2,0,1,0,0,0,7500,52,52,52,52,52,52
40,2,5,2,0,1,0,0,0,7500,7,13,25,31,19,37
41,4294967288,0,0,0,5,0,0,10000,0,43,43,43,43,43,43
42,4294967289,0,0,0,5,10000,0,0,0,39,39,39,39,39,39
43,4294967289,1,0,0,5,0,10000,0,0,40,40,40,40,40,40
44,4294967288,2,0,0,5,0,0,10000,0,50,50,50,50,50,50
45,4294967287,2,0,0,5,10000,0,0,0,46,46,46,46,46,46
46,4294967287,1,0,0,5,0,10000,0,0,47,47,47,47,47,47
47,4294967288,1,1,0,1,0,0,0,0,0,0,0,0,0,0
48,4294967290,4294967295,2,0,1,0,0,0,10000,51,51,51,51,51,51
49,4294967288,3,2,0,1,0,0,0,10000,52,52,52,52,52,52
50,4294967292,4294967292,0,0,5,10000,0,0,0,49,49,49,49,49,49
51,4294967293,4294967292,0,0,5,0,10000,0,0,45,45,45,45,45,45
52,4294967293,4294967293,0,0,5,0,0,10000,0,43,43,43,43,43,43
53,4294967292,4294967294,0,0,5,10000,0,0,0,49,49,49,49,49,49
54,4294967291,4294967294,0,0,5,0,10000,0,0,47,47,47,47,47,47
55,4294967291,4294967293,0,0,5,0,0,10000,0,48,48,48,48,48,48
56,4294967292,4294967293,1,0,1,0,0,0,0,0,0,0,0,0,0
57,4294967294,4294967291,2,0,1,0,0,0,10000,51,51,51,51,51,51
58,0,4294967288,0,0,5,0,10000,0,0,42,42,42,42,42,42
59,1,4294967288,0,0,5,0,0,10000,0,43,43,43,43,43,43
60,1,4294967289,0,0,5,10000,0,0,0,49,49,49,49,49,49
61,0,4294967290,0,0,5,0,10000,0,0,45,45,45,45,45,45
62,4294967295,4294967290,0,0,5,0,0,10000,0,48,48,48,48,48,48
63,4294967295,4294967289,0,0,5,10000,0,0,0,44,44,44,44,44,44
64,0,4294967289,1,0,1,0,0,0,0,0,0,0,0,0,0
65,2,4294967289,2,0,1,0,0,0,10000,52,52,52,52,52,52
66,4,4294967288,0,0,5,0,10000,0,0,47,47,47,47,47,47
67,5,4294967288,0,0,5,10000,0,0,0,49,49,49,49,49,49
68,5,4294967289,0,0,5,0,0,10000,0,41,41,41,41,41,41
69,4,4294967290,0,0,5,0,10000,0,0,40,40,40,40,40,40
70,3,4294967290,0,0,5,10000,0,0,0,46,46,46,46,46,46
71,3,4294967289,0,0,5,0,0,10000,0,43,43,43,43,43,43
72,4,4294967289,1,0,1,0,0,0,0,0,0,0,0,0,0
73,6,4294967289,2,0,1,0,0,0,10000,52,52,52,52,52,52
74,8,4294967288,0,0,5,0,0,10000,0,48,48,48,48,48,48
75,9,4294967288,0,0,5,0,10000,0,0,45,45,45,45,45,45
76,9,4294967289,0,0,5,10000,0,0,0,46,46,46,46,46,46
77,8,4294967290,0,0,5,0,0,10000,0,50,50,50,50,50,50
78,7,4294967290,0,0,5,0,10000,0,0,47,47,47,47,47,47
79,7,4294967289,0,0,5,10000,0,0,0,39,39,39,39,39,39
80,8,4294967289,1,0,1,0,0,0,0,0,0,0,0,0,0
81,8,4294967291,2,0,1,0,0,0,10000,52,52,52,52,52,52
82,8,4294967292,0,0,5,10000,0,0,0,46,46,46,46,46,46
83,9,4294967292,0,0,5,0,10000,0,0,42,42,42,42,42,42
84,9,4294967293,0,0,5,0,0,10000,0,41,41,41,41,41,41
85,8,4294967294,0,0,5,10000,0,0,0,39,39,39,39,39,39
86,7,4294967294,0,0,5,0,10000,0,0,40,40,40,40,40,40
87,7,4294967293,0,0,5,0,0,10000,0,48,48,48,48,48,48
88,8,4294967293,1,0,1,0,0,0,0,0,0,0,0,0,0
89,8,4294967295,2,0,1,0,0,0,10000,51,51,51,51,51,51
90,8,0,0,0,5,0,10000,0,0,45,45,45,45,45,45
91,9,0,0,0,5,10000,0,0,0,44,44,44,44,44,44
92,9,1,0,0,5,0,0,10000,0,50,50,50,50,50,50
93,8,2,0,0,5,0,10000,0,0,40,40,40,40,40,40
94,7,2,0,0,5,10000,0,0,0,49,49,49,49,49,49
95,7,1,0,0,5,0,0,10000,0,43,43,43,43,43,43
96,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0
97,6,3,2,0,1,0,0,0,10000,52,52,52,52,52,52
98,4,4,0,0,5,10000,0,0,0,46,46,46,46,46,46
99,5,4,0,0,5,0,10000,0,0,45,45,45,45,45,45
100,5,5,0,0,5,0,0,10000,0,48,48,48,48,48,48
101,4,6,0,0,5,10000,0,0,0,44,44,44,44,44,44
102,3,6,0,0,5,0,10000,0,0,42,42,42,42,42,42
103,3,5,0,0,5,0,0,10000,0,41,41,41,41,41,41
104,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0
105,2,7,2,0,1,0,0,0,10000,52,52,52,52,52,52
106,0,8,0,0,5,0,10000,0,0,47,47,47,47,47,47
107,1,8,0,0,5,10000,0,0,0,39,39,39,39,39,39
108,1,9,0,0,5,0,0,10000,0,50,50,50,50,50,50
109,0,10,0,0,5,0,10000,0,0,40,40,40,40,40,40
110,4294967295,10,0,0,5,10000,0,0,0,49,49,49,49,49,49
111,4294967295,9,0,0,5,0,0,10000,0,48,48,48,48,48,48
112,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0
113,4294967294,9,2,0,1,0,0,0,10000,51,51,51,51,51,51
114,4294967292,8,0,0,5,10000,0,0,0,49,49,49,49,49,49
115,4294967293,8,0,0,5,0,0,10000,0,41,41,41,41,41,41
116,4294967293,9,0,0,5,0,10000,0,0,42,42,42,42,42,42
117,4294967292,10,0,0,5,10000,0,0,0,44,44,44,44,44,44
118,4294967291,10,0,0,5,0,0,10000,0,43,43,43,43,43,43
119,4294967291,9,0,0,5,0,10000,0,0,45,45,45,45,45,45
120,4294967292,9,1,0,1,0,0,0,0,0,0,0,0,0,0
121,4294967290,9,2,0,1,0,0,0,10000,52,52,52,52,52,52
122,4294967288,8,0,0,5,0,10000,0,0,40,40,40,40,40,40
123,4294967289,8,0,0,5,0,0,10000,0,48,48,48,48,48,48
124,4294967289,9,0,0,5,10000,0,0,0,44,44,44,44,44,44
125,4294967288,10,0,0,5,0,10000,0,0,45,45,45,45,45,45
126,4294967287,10,0,0,5,0,0,10000,0,50,50,50,50,50,50
127,4294967287,9,0,0,5,10000,0,0,0,46,46,46,46,46,46
128,4294967288,9,1,0,1,0,0,0,0,0,0,0,0,0,0
129,4294967288,7,2,0,1,0,0,0,10000,51,51,51,51,51,51
130,4294967288,4,0,0,5,10000,0,0,0,46,46,46,46,46,46
131,4294967289,4,0,0,5,0,10000,0,0,42,42,42,42,42,42
132,4294967289,5,0,0,5,0,0,10000,0,43,43,43,43,43,43
133,4294967288,6,0,0,5,10000,0,0,0,39,39,39,39,39,39
134,4294967287,6,0,0,5,0,10000,0,0,40,40,40,40,40,40
135,4294967287,5,0,0,5,0,0,10000,0,41,41,41,41,41,41
136,4294967288,5,1,0,1,0,0,0,0,0,0,0,0,0,0
