"ID","lootSpellTypeEnum","lootSpellPickupEnumFlags","creature2Id","buttonIcon","localizedTextIdName","localizedTextIdDescription","visualEffectId","data","dataValue"
237,0,11,29354,"Icon_ItemMisc_UI_Item_Potion_001",348133,348134,0,40608,0
238,4,0,38055,"",351505,0,0,18,10
239,4,0,38055,"",351506,0,0,18,30
240,4,0,38055,"",351508,0,0,18,90
241,4,0,38055,"",351509,0,0,18,270
242,4,0,38055,"",351510,0,0,18,810
243,0,0,29916,"",0,0,14797,41558,0
244,0,0,39990,"",367399,367400,0,41789,0
245,0,0,19059,"",375428,375429,0,42246,0
246,0,11,41769,"Icon_ItemMisc_UI_Item_Potion_001",382626,382627,0,42581,0
247,5,0,19830,"",385959,385961,14797,0,180
248,0,0,42600,"",391646,391647,0,42808,0
249,0,11,42777,"Icon_ItemMisc_UI_Item_Potion_001",393757,393758,0,46112,0
250,0,0,29916,"",0,0,14797,42932,0
251,0,0,29916,"",0,0,14797,42933,0
252,0,0,29916,"",0,0,14797,42935,0
253,0,0,29916,"",0,0,14797,42936,0
254,0,11,43357,"Icon_ItemMisc_UI_Item_Potion_001",401103,401104,0,41389,0
255,0,1,29918,"",405429,405430,0,43483,0
256,0,0,45260,"",416432,416433,0,44302,0
257,0,0,45588,"",419995,0,21710,44543,0
258,0,12,45702,"",420856,420857,21710,44543,0
259,1,0,29916,"",0,0,14797,0,250
260,1,0,29916,"",0,0,14797,0,750
261,1,0,29916,"",0,0,14797,0,1500
262,1,0,29916,"",0,0,14797,0,2500
264,0,0,47007,"",427236,427237,0,45244,0
265,0,0,46642,"",427742,427743,0,45281,0
266,0,5,46687,"",428391,0,0,45374,0
267,0,5,46707,"",428392,0,0,45738,0
268,0,11,35322,"Icon_ItemMisc_UI_Item_Potion_001",428448,428449,18148,45398,0
269,0,0,46752,"",429528,429529,0,45517,0
270,0,0,46642,"",430861,430862,0,45518,0
271,0,11,47731,"ClientSprites:Icon_ItemMisc_herb_0004",435412,435413,23276,46018,0
272,0,11,47842,"ClientSprites:Icon_ItemMisc_herb_0001",436265,436266,23339,46035,0
274,0,11,47718,"ClientSprites:Icon_SkillIce_UI_srcr_avlnch",436862,436863,23259,35238,0
275,0,11,47731,"ClientSprites:Icon_ItemMisc_herb_0004",439405,439406,0,46336,0
276,0,1,29918,"",441060,441061,0,46779,0
277,0,11,48716,"ClientSprites:Icon_SkillShadow_UI_SM_ghstshft",442565,442566,23943,46986,0
278,0,11,48758,"ClientSprites:Icon_ItemMisc_herb_0004",442742,442743,0,46999,0
279,0,11,48807,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",442938,442939,24030,27641,0
280,0,11,48808,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",442940,442941,24030,47034,0
281,0,11,48809,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",442942,442943,24030,47035,0
282,0,11,49259,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",445205,445206,24030,47287,0
283,0,11,50038,"ClientSprites:Icon_SkillMisc_UI_ss_sglfire",451710,451711,23006,48019,0
284,0,11,50094,"ClientSprites:Icon_SkillMisc_UI_ss_sglfire",452214,452215,0,48151,0
285,0,11,50095,"ClientSprites:Icon_SkillMisc_UI_ss_sglfire",452216,452217,0,48153,0
286,0,11,50096,"ClientSprites:Icon_SkillMisc_UI_ss_sglfire",452218,452219,0,48156,0
287,0,11,50269,"ClientSprites:Icon_SkillMisc_UI_ss_sglfire",453646,453647,0,28026,0
288,0,11,50285,"ClientSprites:Icon_ItemMisc_herb_0004",453949,453950,0,38888,0
289,0,11,50285,"ClientSprites:Icon_ItemMisc_herb_0004",453951,453952,0,38890,0
290,0,11,50285,"ClientSprites:Icon_ItemMisc_herb_0004",453953,453954,0,38891,0
291,5,0,19830,"",0,0,14797,0,60
292,5,0,19830,"",0,0,14797,0,12
293,0,11,51816,"ClientSprites:Icon_ItemMisc_potion_0002",475470,475471,0,53006,0
294,0,11,51858,"ClientSprites:Icon_ItemMisc_potion_0002",475970,475971,0,40563,0
295,0,11,52252,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",480937,480938,0,29654,0
296,0,11,52253,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",480957,480958,0,29655,0
297,0,11,52254,"ClientSprites:Icon_ItemMisc_UI_Item_Crystal",480960,480961,0,29656,0
298,0,11,52302,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",481750,481751,28077,38884,0
299,0,11,52302,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",481754,481755,28077,38885,0
300,0,11,52302,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",481758,481759,28077,38886,0
301,0,11,52312,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",482674,482675,28084,29646,0
302,0,11,52312,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",482689,482690,28084,29647,0
303,0,11,52312,"ClientSprites:Icon_SkillNature_UI_srcr_wndwlk",482692,482693,28084,29648,0
304,0,11,52333,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",482990,482991,28084,54386,0
305,0,0,29167,"",492728,492729,0,56547,0
306,1,0,29916,"",0,0,14797,0,3727
307,1,0,29916,"",0,0,14797,0,6212
308,1,0,29916,"",0,0,14797,0,14908
309,1,0,29916,"",0,0,14797,0,9198
310,1,0,29916,"",0,0,14797,0,35696
311,1,0,29916,"",0,0,14797,0,59493
312,1,0,29916,"",0,0,14797,0,142784
313,1,0,29916,"",0,0,14797,0,80087
314,1,0,29916,"",0,0,14797,0,133479
315,1,0,29916,"",0,0,14797,0,320349
316,1,0,29916,"",0,0,14797,0,170506
317,1,0,29916,"",0,0,14797,0,284177
318,1,0,29916,"",0,0,14797,0,682026
319,1,0,29916,"",0,0,14797,0,2299
320,1,0,29916,"",0,0,14797,0,3832
321,0,11,54612,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",521496,521497,30736,60948,0
322,0,11,54613,"ClientSprites:Icon_ItemArmorFace_UI_Item_Reflex_Face",521500,521501,30737,60949,0
323,1,0,29916,"",0,0,14797,0,2470
324,1,0,29916,"",0,0,14797,0,8657
339,0,11,58740,"ClientSprites:Icon_SkillShadow_UI_SM_ghstshft",554263,554264,33382,66732,0
340,0,11,47842,"ClientSprites:Icon_ItemMisc_herb_0001",558067,558068,23339,63162,0
341,0,11,58813,"ClientSprites:Icon_ItemMisc_herb_0001",558076,558077,0,63167,0
342,0,11,58817,"ClientSprites:Icon_ItemMisc_herb_0001",558078,558079,0,63176,0
343,0,11,58816,"ClientSprites:Icon_ItemMisc_herb_0001",558082,558083,0,63185,0
344,0,11,58815,"ClientSprites:Icon_ItemMisc_herb_0001",558084,558085,0,63180,0
345,0,11,58814,"ClientSprites:Icon_ItemMisc_herb_0001",558086,558087,0,63172,0
346,0,0,29916,"",0,0,14797,69365,0
347,0,0,29916,"",0,0,14797,69366,0
354,1,0,29916,"",0,0,14797,0,23175
355,1,0,29916,"",0,0,14797,0,26000
451,0,11,61514,"Icon_SkillEnergy_UI_srcr_shckcntrp",578075,578076,38304,36733,0
453,0,0,29916,"",0,0,14797,72367,0
454,0,0,29916,"",0,0,14797,72368,0
456,1,0,29916,"",0,0,14797,0,2825
457,1,0,29916,"",0,0,14797,0,3129
458,1,0,29916,"",0,0,14797,0,4708
459,1,0,29916,"",0,0,14797,0,5214
460,1,0,29916,"",0,0,14797,0,11299
461,1,0,29916,"",0,0,14797,0,12514
462,1,0,29916,"",0,0,14797,0,60962
463,1,0,29916,"",0,0,14797,0,76550
464,1,0,29916,"",0,0,14797,0,92919
465,1,0,29916,"",0,0,14797,0,101603
466,1,0,29916,"",0,0,14797,0,127584
467,1,0,29916,"",0,0,14797,0,154865
468,1,0,29916,"",0,0,14797,0,243846
469,1,0,29916,"",0,0,14797,0,306202
470,1,0,29916,"",0,0,14797,0,371677
471,1,0,29916,"",0,0,14797,0,42547
472,1,0,29916,"",0,0,14797,0,47313
473,1,0,29916,"",0,0,14797,0,70912
474,1,0,29916,"",0,0,14797,0,78855
475,1,0,29916,"",0,0,14797,0,170189
476,1,0,29916,"",0,0,14797,0,189253
477,1,0,29916,"",0,0,14797,0,124335
478,1,0,29916,"",0,0,14797,0,171365
480,1,0,29916,"",0,0,14797,0,220748
481,1,0,29916,"",0,0,14797,0,207225
482,1,0,29916,"",0,0,14797,0,285608
483,1,0,29916,"",0,0,14797,0,367913
484,1,0,29916,"",0,0,14797,0,497340
485,1,0,29916,"",0,0,14797,0,685460
486,1,0,29916,"",0,0,14797,0,882992
487,1,0,29916,"",0,0,14797,0,102169
488,1,0,29916,"",0,0,14797,0,125024
489,1,0,29916,"",0,0,14797,0,170281
490,1,0,29916,"",0,0,14797,0,208374
491,1,0,29916,"",0,0,14797,0,169376
492,1,0,29916,"",0,0,14797,0,279070
493,1,0,29916,"",0,0,14797,0,394253
494,1,0,29916,"",0,0,14797,0,408674
495,1,0,29916,"",0,0,14797,0,500097
496,1,0,29916,"",0,0,14797,0,282294
497,1,0,29916,"",0,0,14797,0,465117
498,1,0,29916,"",0,0,14797,0,657088
499,1,0,29916,"",0,0,14797,0,677504
500,1,0,29916,"",0,0,14797,0,1116281
501,1,0,29916,"",0,0,14797,0,1577011
502,1,0,29916,"",0,0,14797,0,263283
503,1,0,29916,"",0,0,14797,0,316337
504,1,0,29916,"",0,0,14797,0,438806
505,1,0,29916,"",0,0,14797,0,527228
506,1,0,29916,"",0,0,14797,0,1053134
507,1,0,29916,"",0,0,14797,0,1265346
508,1,0,29916,"",0,0,14797,0,339125
509,1,0,29916,"",0,0,14797,0,413686
510,1,0,29916,"",0,0,14797,0,565773
511,1,0,29916,"",0,0,14797,0,565209
512,1,0,29916,"",0,0,14797,0,689476
513,1,0,29916,"",0,0,14797,0,942955
514,1,0,29916,"",0,0,14797,0,1356500
515,1,0,29916,"",0,0,14797,0,1654742
516,1,0,29916,"",0,0,14797,0,2263092
517,1,0,29916,"",0,0,14797,0,4796
518,1,0,29916,"",0,0,14797,0,5439
519,1,0,29916,"",0,0,14797,0,7994
520,1,0,29916,"",0,0,14797,0,9066
521,1,0,29916,"",0,0,14797,0,19185
522,1,0,29916,"",0,0,14797,0,21757
523,1,0,29916,"",0,0,14797,0,2469
524,1,0,29916,"",0,0,14797,0,4115
525,1,0,29916,"",0,0,14797,0,9875
526,1,0,29916,"",0,0,14797,0,3102
527,1,0,29916,"",0,0,14797,0,3493
528,1,0,29916,"",0,0,14797,0,5170
529,1,0,29916,"",0,0,14797,0,5822
530,1,0,29916,"",0,0,14797,0,12408
531,1,0,29916,"",0,0,14797,0,13973
532,0,6,63523,"",0,0,0,73131,0
534,2,0,0,"",0,0,0,903,70
535,2,0,0,"",0,0,0,914,70
536,2,0,0,"",0,0,0,903,135
537,2,0,0,"",0,0,0,914,135
538,2,0,0,"",0,0,0,914,85
539,2,0,0,"",0,0,0,903,85
540,2,0,0,"",0,0,0,903,135
541,2,0,0,"",0,0,0,914,135
542,2,0,0,"",0,0,0,914,200
543,2,0,0,"",0,0,0,903,200
544,2,0,0,"",0,0,0,903,415
545,2,0,0,"",0,0,0,914,415
546,2,0,0,"",0,0,0,914,250
547,2,0,0,"",0,0,0,903,250
548,2,0,0,"",0,0,0,903,400
549,2,0,0,"",0,0,0,914,400
550,2,0,0,"",0,0,0,914,600
551,2,0,0,"",0,0,0,903,600
552,2,0,0,"",0,0,0,903,105
553,2,0,0,"",0,0,0,914,105
554,2,0,0,"",0,0,0,914,140
555,2,0,0,"",0,0,0,903,140
556,2,0,0,"",0,0,0,903,250
557,2,0,0,"",0,0,0,914,250
558,2,0,0,"",0,0,0,903,320
559,2,0,0,"",0,0,0,914,320
560,2,0,0,"",0,0,0,914,430
561,2,0,0,"",0,0,0,903,430
562,2,0,0,"",0,0,0,903,645
563,2,0,0,"",0,0,0,914,645
588,0,11,65323,"IconSprites:Icon_ItemMisc_Generic_Battery_02",615175,615176,42444,74680,0
589,0,1,29918,"IconSprites:Icon_BuffBattlegrounds_Power_Up_Health",617765,617764,0,74984,0
590,0,6,63579,"",0,0,0,76180,0
591,0,6,63580,"",0,0,0,76181,0
592,0,6,63581,"",0,0,0,76182,0
597,0,1,66023,"IconSprites:Icon_BuffBattlegrounds_Power_Up_Health",622103,622104,0,74984,0
598,0,11,67396,"Icon_ItemMisc_UI_Item_Potion_001",626492,626493,17395,75842,0
599,0,11,67811,"IconSprites:Icon_CraftingUI_Item_Crafting_Powder_Curry",630174,630175,0,76073,0
600,2,0,0,"",0,0,0,903,21
601,2,0,0,"",0,0,0,914,21
602,2,0,0,"",0,0,0,903,50
603,2,0,0,"",0,0,0,914,50
604,2,0,0,"",0,0,0,903,21
605,2,0,0,"",0,0,0,914,21
606,0,6,67860,"",0,0,0,76574,0
607,0,6,67861,"",0,0,0,76575,0
608,2,0,0,"",0,0,0,903,21
609,2,0,0,"",0,0,0,914,21
617,1,0,29916,"",0,0,14797,0,900000
618,0,16,65323,"IconSprites:Icon_ItemWeapon_Primal_Knife_01",640684,640685,44867,78126,0
619,0,16,65323,"IconSprites:Icon_ItemWeapon_Primal_Knife_01",640686,640687,44867,78127,0
620,0,16,65323,"IconSprites:Icon_ItemWeapon_Primal_Knife_01",640688,640689,44867,78128,0
621,0,16,65323,"IconSprites:Icon_ItemWeapon_Primal_Knife_01",640690,640691,44867,78129,0
622,0,16,65323,"IconSprites:Icon_ItemWeapon_Primal_Knife_01",640692,640693,44867,78130,0
625,0,0,69484,"IconSprites:Icon_ItemWeapon_Flash_Grenade",648197,648198,46177,78988,0
626,0,0,69493,"IconSprites:Icon_ItemWeapon_Water_Grenade",648217,648218,46183,78982,0
627,0,0,69494,"IconSprites:Icon_ItemWeapon_Toxic_Grenade",648219,648220,46180,78989,0
628,0,0,69495,"IconSprites:Icon_ItemWeapon_Magma_Grenade",648221,648222,46181,78993,0
629,0,0,69498,"IconSprites:Icon_ItemMisc_EMP_Grenade",648223,648224,46179,78990,0
630,0,0,69496,"IconSprites:Icon_ItemWeapon_Frost_Grenade",648225,648226,46182,78991,0
631,0,0,69497,"IconSprites:Icon_ItemWeapon_Corrupted_Grenade",648227,648228,46178,78992,0
632,0,3,69786,"IconSprites:Icon_Modifier_movement_speedup_001",652254,652255,3285,79001,0
633,0,3,69787,"IconSprites:Icon_Modifier_health_regen_001",652681,652682,3285,79006,0
634,0,3,69788,"IconSprites:Icon_Modifier_damage_absorption_001",652683,652684,3285,79007,0
635,0,3,69789,"IconSprites:Icon_Modifier_crit_chance_001",652685,652686,3285,79008,0
660,1,0,29916,"",0,0,14797,0,28918
661,1,0,29916,"",0,0,14797,0,78918
662,1,0,29916,"",0,0,14797,0,103918
663,1,0,29916,"",0,0,14797,0,154823
664,1,0,29916,"",0,0,14797,0,229823
665,1,0,29916,"",0,0,14797,0,267323
666,1,0,29916,"",0,0,14797,0,31561
667,1,0,29916,"",0,0,14797,0,76561
668,1,0,29916,"",0,0,14797,0,99061
669,1,0,29916,"",0,0,14797,0,69652
670,1,0,29916,"",0,0,14797,0,132153
671,1,0,29916,"",0,0,14797,0,163402
672,1,0,29916,"",0,0,14797,0,148446
673,1,0,29916,"",0,0,14797,0,223446
674,1,0,29916,"",0,0,14797,0,260946
675,1,0,29916,"",0,0,14797,0,298378
676,1,0,29916,"",0,0,14797,0,410878
677,1,0,29916,"",0,0,14797,0,467128
678,1,0,29916,"",0,0,14797,0,90014
679,1,0,29916,"",0,0,14797,0,140014
680,1,0,29916,"",0,0,14797,0,165014
681,1,0,29916,"",0,0,14797,0,210
682,1,0,29916,"",0,0,14797,0,245
683,1,0,29916,"",0,0,14797,0,350
684,1,0,29916,"",0,0,14797,0,1750
685,1,0,29916,"",0,0,14797,0,30314
686,1,0,29916,"",0,0,14797,0,63532
687,1,0,29916,"",0,0,14797,0,95297
688,1,0,29916,"",0,0,14797,0,65352
689,1,0,29916,"",0,0,14797,0,47649
690,1,0,29916,"",0,0,14797,0,63532
691,1,0,29916,"",0,0,14797,0,190595
692,1,0,29916,"",0,0,14797,0,95297
693,1,0,29916,"",0,0,14797,0,63532
694,1,0,29916,"",0,0,14797,0,256693
695,1,0,29916,"",0,0,14797,0,256693
696,1,0,29916,"",0,0,14797,0,256693
699,0,22,70519,"",0,0,0,80037,0
700,6,16,29917,"",0,0,0,0,8787
701,6,16,29917,"",0,0,0,0,13180
702,6,16,29917,"",0,0,0,0,16475
703,6,16,29917,"",0,0,0,0,32000
705,1,0,29916,"",0,0,14797,0,271772
708,1,0,29916,"",0,0,14797,0,452953
711,1,0,29916,"",0,0,14797,0,1087088
713,0,16,29916,"",684099,684100,14797,80232,0
714,1,0,29916,"",0,0,14797,0,892500
717,0,1,73025,"IconSprites:Icon_BuffBattlegrounds_Power_Up_Health",742109,742110,0,83947,0
718,0,0,29916,"",0,0,14797,83957,0
719,0,0,29916,"",0,0,14797,83959,0
720,1,0,29916,"",0,0,14797,0,248
721,1,0,29916,"",0,0,14797,0,753
722,1,0,29916,"",0,0,14797,0,1055
723,1,0,29916,"",0,0,14797,0,3166
724,1,0,29916,"",0,0,14797,0,8640
725,1,0,29916,"",0,0,14797,0,11377
726,1,0,29916,"",0,0,14797,0,5776
727,1,0,29916,"",0,0,14797,0,14011
728,1,0,29916,"",0,0,14797,0,18128
729,1,0,29916,"",0,0,14797,0,38470
730,1,0,29916,"",0,0,14797,0,72990
731,1,0,29916,"",0,0,14797,0,90250
732,1,0,29916,"",0,0,14797,0,113031
733,1,0,29916,"",0,0,14797,0,170138
734,1,0,29916,"",0,0,14797,0,198692
735,1,0,29916,"",0,0,14797,0,292632
736,1,0,29916,"",0,0,14797,0,402966
737,1,0,29916,"",0,0,14797,0,458132
738,1,0,29916,"",0,0,14797,0,244785
739,1,0,29916,"",0,0,14797,0,380755
