"ID","angle","targetCount","minRange","maxRange","targetSelection"
741,360,48,0,10,1
742,360,48,0,50,1
743,360,10,0,35,1
744,360,48,0,35,1
745,360,48,0,60,1
746,360,48,0,40,1
747,360,48,0,15,1
748,360,4,0,12,1
749,360,40,0,300,1
750,360,20,0,40,1
751,360,6,0,40,2
752,360,20,0,70,1
753,360,8,0,100,3
754,360,10,0,200,1
755,360,20,0,50,1
756,360,6,0,200,2
757,360,3,0,6.5,1
758,360,7,0,100,3
759,360,2,0,200,3
760,360,5,0,8,2
762,360,1,0,200,1
763,360,4,0,10,3
764,360,1,0,80,3
765,360,19,0,25,1
766,360,5,0,12,5
767,90,4,0,30,3
770,360,9,0,8,1
771,360,6,0,5,1
772,0,120,0,100,1
773,180,10,0,17,1
774,360,2,0,8,5
775,360,4,0,8,5
777,360,20,0,45,1
778,360,5,0,5,5
779,360,5,45,200,3
780,360,5,0,6.5,1
781,360,2,0,20,4
782,360,1,10,30,3
783,360,5,35,200,3
784,360,2,18,200,3
785,360,4,35,200,3
786,360,2,0,60,5
787,360,1,0,120,1
789,360,1,0,60,5
790,360,1,5,40,3
