"ID","spell4EffectsId","effectTypeEnum","modificationParameterEnum","priority","modificationTypeEnum","data00","data01","data02","data03"
345,16636,8,6,0,0,1.03,0,10000,0
346,16638,8,7,0,0,1.03,0,10000,0
347,16642,8,6,0,0,1.04,0,10000,0
348,16644,8,7,0,0,1.04,0,10000,0
349,16649,8,6,0,0,1.05,0,10000,0
350,16651,8,7,0,0,1.05,0,10000,0
351,16750,8,6,0,0,1.02,0,1000,0
352,16751,8,7,0,0,1.02,0,1000,0
353,16753,8,6,0,0,1.03,0,1000,0
354,16754,8,7,0,0,1.03,0,1000,0
355,16756,8,6,0,0,1.04,0,1000,0
356,16757,8,7,0,0,1.04,0,1000,0
357,16759,8,6,0,0,1.05,0,1000,0
358,16760,8,7,0,0,1.05,0,1000,0
359,16812,8,6,0,0,1.02,0,1000,0
360,16813,8,7,0,0,1.02,0,1000,0
361,16815,8,6,0,0,1.03,0,1000,0
362,16816,8,7,0,0,1.03,0,1000,0
363,16818,8,6,0,0,1.04,0,1000,0
364,16819,8,7,0,0,1.04,0,1000,0
365,16821,8,6,0,0,1.05,0,1000,0
366,16822,8,7,0,0,1.05,0,1000,0
367,16832,8,6,0,0,1.02,0,1000,0
368,16833,8,7,0,0,1.02,0,1000,0
369,16835,8,6,0,0,1.03,0,1000,0
370,16836,8,7,0,0,1.03,0,1000,0
371,16838,8,6,0,0,1.04,0,1000,0
372,16839,8,7,0,0,1.04,0,1000,0
373,16841,8,6,0,0,1.05,0,1000,0
374,16842,8,7,0,0,1.05,0,1000,0
375,18438,8,7,0,0,1.2,0,100,0
376,18439,8,6,0,0,1.2,0,100,0
377,18441,8,7,0,0,1.2,0,100,0
378,18442,8,6,0,0,1.2,0,100,0
385,23944,8,4,0,0,1,3000,100000,0
387,25053,8,6,1,0,1.5,100,10,0
388,25745,8,2,0,0,0,-1000,0,1
389,25750,8,7,0,0,1,100,1000000,0
390,25830,8,7,0,0,1,100,100000,0
391,25831,8,7,0,0,1,100,100000,0
392,25832,8,7,0,0,1,100,100000,0
393,25833,8,7,0,0,1,100,100000,0
394,25834,8,7,0,0,1,100,100000,0
395,25961,10,7,0,0,1,100,100000,0
396,25962,10,7,0,0,1,100,100000,0
397,25963,10,7,0,0,1,100,100000,0
398,25964,10,7,0,0,1,100,100000,0
399,25965,10,7,0,0,1,100,100000,0
400,25966,0,9,0,0,1,100,10000,0
401,25967,0,9,0,0,1,100,10000,0
402,25968,0,9,0,0,1,100,10000,0
403,25969,0,9,0,0,1,100,10000,0
404,25970,0,9,0,0,1,100,10000,0
405,25996,8,7,0,0,1,100,10000,0
406,25998,8,7,0,0,1,100,10000,0
407,26000,8,7,0,0,1,100,10000,0
408,26002,8,7,0,0,1,100,10000,0
409,26004,8,7,0,0,1,100,10000,0
415,26017,29,7,0,0,1,500,10000,0
416,26018,29,6,0,0,1,500,10000,0
417,26019,29,7,0,0,1,500,10000,0
430,26032,10,7,0,0,1,500,100000,0
431,26033,10,7,0,0,1,500,100000,0
432,26034,10,7,0,0,1,500,100000,0
433,26035,10,7,0,0,1,500,100000,0
434,26036,10,7,0,0,1,500,100000,0
435,35590,8,7,0,0,1,100,10000,0
436,35595,10,7,1,0,1,25,1000,0
437,35600,5,10,0,0,1,25,100,0
438,35769,4,4,0,0,1,2000,10000,0
441,36589,4,4,0,0,1,2000,10000,0
444,38775,8,1,0,3,64,0,0,0
451,42453,8,6,0,0,2,0,1000,0
453,42453,8,7,0,0,1.5,0,1000,0
454,42461,8,6,0,0,1.5,0,1000,0
455,42461,8,7,0,0,1.5,0,1000,0
456,45436,8,7,0,0,1,10,10,0
457,45438,8,7,0,0,1,10,10,0
458,45443,8,7,0,0,1,10,10,0
459,45447,8,7,0,0,1,20,20,0
460,45449,8,7,0,0,1,20,20,0
461,45451,8,7,0,0,1,20,20,0
462,45453,8,7,0,0,1,30,30,0
463,45455,8,7,0,0,1,30,30,0
464,45457,8,7,0,0,1,30,30,0
466,56010,8,7,0,0,1,5,5,0
467,56018,8,7,0,0,1,10,10,0
468,56025,8,7,0,0,1,5,15,0
469,56027,26,4,0,0,1,2000,15000,0
471,56053,8,7,0,0,1,10,10,0
472,56054,26,4,0,0,1,2000,2000,0
473,57080,8,7,0,0,1,15,1000000000,0
520,59922,1,7,0,2,15,1,0,0
526,59922,1,8,1,2,15,1,0,0
531,59965,1,7,0,2,15,1,0,0
532,59965,1,8,0,2,15,1,0,0
537,59966,1,7,0,2,15,1,0,0
538,59966,1,8,0,2,15,1,0,0
539,61549,0,8,0,2,1,1,0,0
540,65442,8,6,0,0,1,0.06,10,0
546,99029,10,4,0,0,1,4000,20000,0
549,147641,0,4,0,0,1,800,10000,0
550,147654,0,4,0,0,1,1600,10000,0
551,147656,0,4,0,0,1,2400,10000,0
552,158887,0,9,0,0,1,0.02,5,0
553,158910,0,9,0,0,1,0.02,5,0
554,158912,0,9,0,0,1,0.02,5,0
555,136481,0,9,0,0,1,0.02,1.1,0
556,159911,0,9,0,0,1,0.02,1.1,0
557,159913,0,9,0,0,1,0.02,1.1,0
558,160024,0,8,0,0,1,0.01,5,0
559,160051,0,8,0,0,1,0.01,5,0
560,160053,0,8,0,0,1,0.01,5,0
561,160068,0,9,0,0,1,0.01,5,0
562,160074,0,9,0,0,1,0.01,5,0
563,160076,0,9,0,0,1,0.01,5,0
570,191057,8,10,0,0,1,1,6000,0
590,228124,8,6,0,0,1,5,20,0
591,228125,8,6,0,0,1,5,20,0
594,228141,8,6,0,0,1,2,20,0
600,228265,10,6,0,0,1,1,20,0
601,228265,118,0,0,0,1,1,20,0
602,228266,10,6,0,0,1,1,20,0
605,228297,8,6,0,0,1,3,20,0
607,228273,8,6,0,0,1,1,20,0
615,228314,11,4,0,0,1,15000,30000,0
619,228315,121,4,0,0,1,15000,30000,0
621,228318,10,6,0,0,1,0.5,10,0
623,228310,10,4,0,0,1,15000,30000,0
624,228310,10,6,0,0,1,1,5,0
625,228319,10,6,0,0,1,0.5,5,0
630,228453,1,7,0,0,1,1,0,0
631,228453,1,8,0,3,1,0,0,0
633,174723,1,7,0,0,0.8,0,0,0
634,174723,1,8,0,0,0.8,0,0,0
635,228531,1,7,0,0,0.8,0,0,0
636,228531,1,8,0,0,0.8,0,0,0
637,228533,11,4,0,0,1,2000,10000,0
639,228534,10,4,0,0,1,2000,10000,0
643,228546,8,6,0,0,1,0.4,10,0
644,228547,8,6,0,0,1,0.4,10,0
646,228560,118,6,0,0,1,1,20,0
647,228300,8,6,0,0,1,3,20,0
648,228321,5,8,0,0,1,1,10,0
649,228600,5,8,0,0,1,3,10,0
650,178836,29,6,0,0,1,0.1,5,0
652,228821,10,6,0,0,1,0.15,15,0
653,228830,10,6,0,0,1,0.15,15,0
654,228936,8,6,0,0,1,1,5,0
655,228948,8,6,0,0,1,0.35,5,0
666,230321,8,6,0,0,1,0.1,5,0
669,231205,8,6,0,0,1,0.1,5,0
670,231755,8,6,0,0,1,0.1,5,0
673,231842,8,6,0,0,1,0.15,5,0
674,231845,8,6,0,0,1,0.15,5,0
