"ID","unlockBitIndex00","unlockBitIndex01","type","spell4Id","localizedTextIdTooltip","itemDisplayId00","itemDisplayId01","prerequisiteId"
93,18,0,5,63782,543605,7117,0,0
94,17,0,6,63783,543608,7118,0,0
95,16,0,7,63784,543610,7119,0,0
96,15,0,5,63785,543616,7120,0,0
97,14,0,6,63786,543619,7121,0,0
98,13,0,7,63787,543623,7122,0,0
99,12,0,5,63788,543631,7123,0,0
100,11,0,6,63789,543636,7124,0,0
101,10,0,7,63790,543641,7125,0,0
102,9,0,5,72147,584448,7291,0,0
103,8,0,6,72148,584449,7292,0,0
104,7,0,7,72149,584450,7293,0,0
105,6,0,2,72160,584477,7797,0,0
106,5,0,3,72161,584481,7799,0,0
107,4,3,4,72162,584485,7796,7798,0
108,2,0,2,72270,585327,7811,0,0
109,1,0,3,72271,585328,7812,0,0
110,128,0,2,75138,585329,7831,0,0
111,129,0,3,75139,618689,7832,0,0
112,130,131,4,75140,618688,7833,7834,0
113,132,0,5,75164,618843,7840,0,0
114,133,0,6,75165,618846,7841,0,0
115,134,0,7,75166,618847,7842,0,0
116,135,0,2,76241,628600,7947,0,0
117,136,0,3,76242,628601,7948,0,0
118,137,138,4,76243,628602,7949,7950,0
119,139,0,5,77756,638013,8023,0,0
120,140,0,6,77757,638014,8024,0,0
121,141,0,7,77758,638015,8025,0,0
122,142,0,3,77850,638835,8027,0,0
123,143,0,2,78090,640514,8030,0,0
124,144,0,3,78091,640517,8031,0,0
125,145,146,4,78092,640518,8032,8033,0
126,147,0,5,79346,676660,8100,0,0
127,148,0,6,79347,676661,8101,0,0
128,149,0,7,79348,676662,8102,0,0
129,150,0,2,79368,676788,8105,0,39246
130,151,0,3,79369,676789,8106,0,39246
131,152,153,4,79370,676790,8107,8108,39246
132,154,0,2,79371,676802,8109,0,0
133,155,0,3,79372,676803,8110,0,0
134,156,157,4,79373,676804,8111,8112,0
135,158,0,5,79468,677713,8115,0,0
136,159,0,6,79469,677716,8116,0,0
137,160,0,7,79470,677717,8117,0,0
138,161,0,2,81644,690270,8241,0,0
139,162,0,3,81645,690271,8242,0,0
140,163,164,4,81646,690272,8243,8244,0
141,165,0,5,81766,691675,8245,0,0
142,166,0,6,81767,691676,8246,0,0
143,167,0,7,81768,691677,8247,0,0
144,168,0,5,82250,699777,8253,0,0
145,169,0,6,82251,699782,8254,0,0
146,170,0,7,82252,699783,8255,0,0
147,171,0,5,82758,718222,8277,0,0
148,172,0,6,82759,718223,8278,0,0
149,173,0,7,82760,718224,8279,0,0
153,174,0,5,82862,718866,8281,0,0
154,175,0,6,82863,718867,8282,0,0
155,176,0,7,82864,718868,8283,0,0
156,177,0,5,83059,721477,8297,0,0
157,178,0,7,83060,721478,8299,0,0
158,179,0,6,83061,721483,8298,0,0
159,180,0,2,83635,736042,7947,0,0
160,181,0,3,83636,736046,7948,0,0
161,182,183,4,83637,736049,7949,7950,0
162,184,0,7,83702,738617,8307,0,0
163,185,0,2,84062,743550,8473,0,0
164,186,0,3,84063,743551,8474,0,0
165,187,188,4,84064,743552,8475,8476,0
166,189,0,2,84065,743553,8477,0,0
167,190,0,3,84066,743554,8478,0,0
168,191,192,4,84067,743555,8479,8480,0
169,193,0,2,84085,743776,8481,0,0
170,194,0,3,84086,743778,8482,0,0
171,195,196,4,84087,743780,8483,8484,0
172,197,0,2,84165,744563,8416,0,0
173,198,0,3,84166,744564,8417,0,0
174,199,200,4,84167,744565,8418,8419,0
175,209,0,2,84150,744575,8473,0,0
176,210,0,3,84151,744576,8474,0,0
177,211,212,4,84152,744577,8475,8476,0
178,201,0,2,84197,744830,8481,0,0
179,202,0,3,84198,744831,8482,0,0
180,203,204,4,84199,744832,8483,8484,0
181,205,0,2,84244,745018,8477,0,0
182,206,0,3,84245,745022,8478,0,0
183,207,208,4,84246,745024,8479,8480,0
184,213,0,5,85420,748029,8504,0,0
185,214,0,6,85421,748030,8505,0,0
186,215,0,7,85422,748031,8506,0,0
187,216,0,2,85493,748847,8508,0,0
188,217,0,3,85494,748848,8509,0,0
189,218,219,4,85495,748849,8510,8511,0
190,220,0,5,85506,748888,8532,0,0
191,221,0,6,85508,748889,8531,0,0
192,222,0,7,85509,748890,8534,0,0
196,223,0,5,85571,749461,8553,0,0
197,224,0,6,85572,749462,8554,0,0
198,225,0,7,85573,749463,8555,0,0
199,226,0,5,85635,749856,8551,0,0
200,227,0,6,85636,749857,8550,0,0
201,228,0,7,85637,749858,8549,0,0
202,249,0,2,85652,750141,8597,0,0
203,250,0,3,85653,750142,8598,0,0
204,251,252,4,85654,750143,8599,8600,0
205,230,0,5,85740,750606,8601,0,0
206,231,0,6,85741,750607,8603,0,0
207,232,0,7,85742,750608,8602,0,0
1205,233,0,2,86830,753086,8605,0,0
1206,234,0,3,86831,753087,8606,0,0
1207,235,236,4,86832,753088,8607,8608,0
1208,237,0,5,86838,753118,8589,0,0
1209,238,0,6,86839,753119,8590,0,0
1210,239,0,7,86840,753120,8591,0,0
1211,240,0,5,86844,753167,8593,0,0
1212,241,0,6,86845,753168,8594,0,0
1213,242,0,7,86846,753169,8595,0,0
1214,243,0,5,86945,753726,8625,0,0
1215,244,0,7,86946,753727,8627,0,0
1216,245,0,6,86947,753728,8626,0,0
1217,246,0,5,86990,754547,8683,0,0
1218,247,0,6,86991,754548,8682,0,0
1219,248,0,7,86992,754549,8685,0,0
1220,253,0,5,87017,755181,8389,0,0
1221,254,0,7,87018,755183,8391,0,0
1222,255,0,6,87019,755185,8390,0,0
1223,256,0,5,87024,755198,8426,0,0
1224,257,0,7,87025,755202,8424,0,0
1225,258,0,6,87026,755203,8425,0,0
1226,259,0,5,87049,755562,8692,0,0
1227,260,0,6,87050,755566,8693,0,0
1228,261,0,7,87051,755567,8694,0,0
1229,262,0,5,87056,755582,8717,0,0
1230,263,0,6,87057,755586,8716,0,0
1231,264,0,7,87058,755587,8718,0,0
1232,265,0,5,87161,757364,8734,0,0
1233,266,0,6,87162,757365,8733,0,0
1234,267,0,7,87163,757366,8736,0,0
1235,268,0,2,87295,759233,8737,0,0
1236,269,0,3,87296,759234,8738,0,0
1237,270,271,4,87297,759235,8739,8740,0
1238,272,0,5,87361,759863,8678,0,0
1239,273,0,6,87362,759864,8679,0,0
1240,274,0,7,87363,759865,8680,0,0
1241,275,0,5,87418,760490,8759,0,0
1242,276,0,6,87419,760491,8758,0,0
1243,277,0,7,87420,760492,8761,0,0
1244,278,0,5,87426,760553,8826,0,0
1245,279,0,6,87427,760554,8825,0,0
1246,280,0,7,87428,760555,8824,0,0
1247,281,0,5,87608,763087,8842,0,0
1248,282,0,6,87609,763088,8841,0,0
1249,283,0,7,87610,763089,8840,0,0
1250,284,0,5,87624,763325,8858,0,0
1251,285,0,6,87625,763326,8859,0,0
1252,286,0,7,87626,763327,8860,0,0
1253,287,0,5,87666,763905,8870,0,0
1254,288,0,6,87667,763906,8871,0,0
1255,289,0,7,87668,763907,8872,0,0
1256,290,0,5,87806,765362,8898,0,0
1257,291,0,6,87807,765363,8897,0,0
1258,292,0,7,87808,765364,8896,0,0
1259,293,0,5,87913,766709,8966,0,0
1260,294,0,6,87914,766710,8965,0,0
1261,295,0,7,87915,766711,8964,0,0
1262,296,0,5,87941,766949,8941,0,0
1263,297,0,6,87942,766950,8940,0,0
1264,298,0,7,87943,766951,8939,0,0
1265,299,0,5,88328,767835,8908,0,0
1266,300,0,6,88329,767836,8907,0,0
1267,301,0,7,88330,767837,8906,0,0
1268,302,0,2,88355,768035,8909,0,0
1269,303,0,3,88356,768036,8910,0,0
1270,304,305,4,88357,768037,8911,8912,0
1271,306,0,5,88445,768908,8978,0,0
1272,307,0,6,88446,768909,8977,0,0
1273,308,0,7,88447,768910,8976,0,0
1274,309,0,5,88448,768911,8982,0,0
1275,310,0,6,88449,768912,8981,0,0
1276,311,0,7,88450,768913,8980,0,0
1277,312,0,5,88451,768914,8986,0,0
1278,313,0,6,88452,768915,8985,0,0
1279,314,0,7,88453,768916,8984,0,0
1280,315,0,5,88454,768917,8990,0,0
1281,316,0,6,88455,768918,8989,0,0
1282,317,0,7,88456,768919,8988,0,0
1283,318,0,5,88457,768920,8994,0,0
1284,319,0,6,88458,768921,8993,0,0
1285,320,0,7,88459,768922,8992,0,0
1286,321,0,5,88460,768923,8995,0,0
1287,322,0,6,88461,768924,8996,0,0
1288,323,0,7,88462,768925,8997,0,0
1289,324,0,5,88463,768926,8999,0,0
1290,325,0,6,88464,768927,9000,0,0
1291,326,0,7,88465,768928,9001,0,0
1292,327,0,5,88466,768929,9003,0,0
1293,328,0,6,88467,768930,9004,0,0
1294,329,0,7,88468,768931,9005,0,0
1295,330,0,5,88469,768932,9007,0,0
1296,331,0,6,88470,768933,9008,0,0
1297,332,0,7,88471,768934,9009,0,0
1298,333,0,5,88472,768935,9011,0,0
1299,334,0,6,88473,768936,9012,0,0
1300,335,0,7,88474,768937,9013,0,0
1301,336,0,5,88475,768938,9015,0,0
1302,337,0,6,88476,768939,9016,0,0
1303,338,0,7,88477,768940,9017,0,0
1304,339,0,5,88478,768941,9019,0,0
1305,340,0,6,88479,768942,9020,0,0
1306,341,0,7,88480,768943,9021,0,0
1307,342,0,5,88481,768944,9023,0,0
1308,343,0,6,88482,768945,9024,0,0
1309,344,0,7,88483,768946,9025,0,0
1310,345,0,5,88484,768947,9027,0,0
1311,346,0,6,88485,768948,9028,0,0
1312,347,0,7,88486,768949,9029,0,0
1313,348,0,5,88487,768950,9031,0,0
1314,349,0,6,88488,768951,9032,0,0
1315,350,0,7,88489,768952,9033,0,0
1316,351,0,5,88490,768953,9035,0,0
1317,352,0,6,88491,768954,9036,0,0
1318,353,0,7,88492,768955,9037,0,0
1319,354,0,5,88493,768956,9039,0,0
1320,355,0,6,88494,768957,9040,0,0
1321,356,0,7,88495,768958,9041,0,0
1322,357,0,5,88496,768959,9043,0,0
1323,358,0,6,88497,768960,9044,0,0
1324,359,0,7,88498,768961,9045,0,0
1325,360,0,5,88499,768962,9047,0,0
1326,361,0,6,88500,768963,9048,0,0
1327,362,0,7,88501,768964,9049,0,0
1328,363,0,5,88510,769471,8937,0,0
1329,364,0,6,88511,769472,8936,0,0
1330,365,0,7,88512,769473,8935,0,0
1331,366,0,2,88538,769648,9063,0,0
1332,367,0,3,88539,769649,9064,0,0
1333,368,369,4,88540,769651,9065,9066,0
1334,370,0,5,88543,769704,9060,0,0
1335,371,0,6,88544,769705,9061,0,0
1336,372,0,7,88545,769706,9062,0,0
1337,373,0,5,88607,770067,9100,0,0
1338,374,0,6,88608,770068,9101,0,0
1339,375,0,7,88609,770069,9102,0,0
