"ID","description","item2TypeId","objectModel","objectModelL","objectTexture0","objectTexture1","modelTextureIdObject00","modelTextureIdObject01","skinnedModel","skinnedModelL","skinnedTexture0","skinnedTexture1","modelTextureIdSkinned00","modelTextureIdSkinned01","attachedModel","modelAttachmentIdAttached","attachedTexture0","attachedTexture1","modelTextureIdAttached00","modelTextureIdAttached01","componentRegionFlags","componentPriority","skinMaskMap","skinColorMap","skinNormalMap","skinDyeMap","armorMaskMap","armorColorMap","armorNormalMap","armorDyeMap","modelMeshId00","modelMeshId01","modelMeshId02","modelMeshId03","soundImpactDescriptionId","ItemVisualTypeId","soundReplaceDescriptionId","itemColorSetId","dyeChannelFlags","modelPoseId","modelPoseBlend","shaderPreset00","shaderPreset01"
13,"AMR_A_Light_004_Boot",5,"","","","",0,0,"Art\Item\Armor\Light\Light_004\AMR_Light_Light_004_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\Light\Light_004\AMR_Light004_Color.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Normal.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Dye.tex",0,0,0,0,0,0,0,0,4,0,0,0,0
14,"AMR_A_Light_004_Chest",1,"","","","",0,0,"Art\Item\Armor\Light\Light_004\AMR_Light_Light_004_Chest.M3","","","",0,0,"",0,"","",0,0,2392064,110,"","","","","","Art\Item\Armor\Light\Light_004\AMR_Light004_Color.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Normal.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Dye.tex",0,0,0,0,0,0,0,0,3,0,0,0,0
15,"OLD_Ranger_02_Face",41,"","","","",0,0,"Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Face.M3","","","",0,0,"",0,"","",0,0,65536,90,"","","","","","Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Color.tex","Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
16,"AMR_Light_004_Gloves",6,"","","","",0,0,"Art\Item\Armor\Light\Light_004\AMR_Light_Light_004_Gloves.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Light\Light_004\AMR_Light004_Color.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Normal.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Dye.tex",0,0,0,0,0,0,0,0,4,0,0,0,0
17,"AMR_A_Light_004_Pants",2,"","","","",0,0,"Art\Item\Armor\Light\Light_004\AMR_Light_Light_004_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\Light\Light_004\AMR_Light004_Color.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Normal.tex","Art\Item\Armor\Light\Light_004\AMR_Light004_Dye.tex",0,0,0,0,0,0,0,0,1,0,0,0,0
18,"OLD_Ranger_02_Shoulders",36,"","","","",0,0,"Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Shoulders.M3","","","",0,0,"",0,"","",0,0,131072,120,"","","","","","Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Color.tex","Art\Item\Armor\Ranger\Ranger_M_002\AMR_Ranger_02_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
19,"CHR_Granok_M_Skin_LightGrey_01",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,1020,0,"","Art\Character\Granok\Male\Textures\CHR_Granok_M_Skin_LightGrey_01_Color.tex","Art\Character\Granok\Male\Textures\CHR_Granok_M_Skin_Default_01_Normal.tex","","","","","",41,0,0,0,0,0,0,0,7,0,0,0,0
20,"CHR_Granok_M_Eye_Brown",64,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,256,15,"","Art\Character\Granok\Male\Textures\CHR_Eyes_Brown_Color.tex","Art\Character\Granok\Male\Textures\CHR_Granok_M_Eyemouth_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
21,"WPN_Rifle2H_Sniper_000_Imperium",49,"Art\Item\Weapon\Rifle_2H\Rifle_Sniper\WPN_Rifle2H_Sniper_000.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,21,0,0,0,0,0,0,0,0
22,"WPN_A_Pistols1H_Generic_001",45,"Art\Item\Weapon\Pistols_1H\Pistols_1H_001\WPN_Pistols1H_Generic_001.m3","Art\Item\Weapon\Pistols_1H\Pistols_1H_001\WPN_Pistols1H_Generic_001.m3","Art\Item\Weapon\Pistols_1H\Pistols_1H_001\WPN_Pistols_1H_01_Color.tex","Art\Item\Weapon\Pistols_1H\Pistols_1H_001\WPN_Pistols_1h_01_Normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,21,0,0,0,0,0,0,0,0
24,"CHR_Human_M_Hair_Brown_02",66,"","","","",0,0,"Art\Character\Human\Male\Heads\Hair_02.M3","","","",0,0,"",0,"","",0,0,30,20,"Art\Character\Human\Male\Textures\CHR_Human_M_Hair_02_Mask.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Hair_Brown_02_Color.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Hair_02_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
25,"CHR_Human_M_Skin_Tan_01",62,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,248,0,"","Art\Character\Human\Male\Textures\CHR_Human_M_Skin_Tan_01_Color.tex","Art\Character\Human\Male\Textures\CHR_Human_M_Skin_01_Normal.tex","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
26,"CHR_Human_M_Face_Mannequin",63,"","","","",0,0,"Art\Item\Armor\NPC\Mannequin_000\Mannequin_000.m3","","","",0,0,"",0,"","",0,0,0,10,"","","","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
27,"CHR_Human_M_Face_A_02 ***",63,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,540,10,"","","","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
28,"CHR_Human_M_Face_B_01 ***",63,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,540,10,"","","","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
29,"CHR_Human_M_Face_B_02 ***",63,"","","","",0,0,"","","","",0,0,"",0,"","",0,0,540,10,"","","","","","","","",0,0,0,0,0,0,0,0,7,0,0,0,0
30,"WPN_Sword2H_Generic_000",51,"Art\Item\Weapon\Sword_2Hand\Sword_2H_000\WPN_Sword2H_Generic_000.m3","","Art\Item\Weapon\Sword_2Hand\Sword_2H_000\WPN_Sword_2H_000_Color.tex","Art\Item\Weapon\Sword_2Hand\Sword_2H_000\WPN_Sword_2H_000_Normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
31,"OLD_Warrior_00_Boots",37,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Color.tex","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
32,"OLD_Warrior_00_Pants",34,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Color.tex","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
33,"OLD_Warrior_00_Shirt",33,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Shirt.M3","","","",0,0,"",0,"","",0,0,2359296,110,"","","","","","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Color.tex","Art\Item\Armor\Warrior\Warrior_M_000\AMR_Warrior_00_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
34,"AMR_B_Light_006_Boots",5,"","","","",0,0,"Art\Item\Armor\Light\Light_006\AMR_Light_Light_006_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\Light\Light_006\AMR_Light006_Color.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Normal.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
35,"AMR_B_Light_006_Chest",1,"","","","",0,0,"Art\Item\Armor\Light\Light_006\AMR_Light_Light_006_Chest.M3","","","",0,0,"",0,"","",0,0,2392064,110,"","","","","","Art\Item\Armor\Light\Light_006\AMR_Light006_Color.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Normal.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
36,"AMR_B_Light_006_Pants",2,"","","","",0,0,"Art\Item\Armor\Light\Light_006\AMR_Light_Light_006_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\Light\Light_006\AMR_Light006_Color.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Normal.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Dye.tex",0,0,0,0,0,0,0,0,6,0,0,0,0
37,"AMR_B_Light_006_Gloves",6,"","","","",0,0,"Art\Item\Armor\Light\Light_006\AMR_Light_Light_006_Gloves.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Light\Light_006\AMR_Light006_Color.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Normal.tex","Art\Item\Armor\Light\Light_006\AMR_Light006_Dye.tex",0,0,0,0,0,0,0,0,4,0,0,0,0
38,"WPN_A_Pistol1H_Generic_002",45,"Art\Item\Weapon\Pistols_1H\Pistols_1H_002\WPN_Pistol1H_Generic_002.m3","Art\Item\Weapon\Pistols_1H\Pistols_1H_002\WPN_Pistol1H_Generic_002.m3","Art\Item\Weapon\Pistols_1H\Pistols_1H_002\wpn_pistols_1h_002_color.tex","Art\Item\Weapon\Pistols_1H\Pistols_1H_002\wpn_pistols_1h_002_normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,21,0,0,0,0,0,0,0,0
39,"WPN_Wrench_Smuggler_001",59,"Art\Item\Weapon\Wrench\Smuggler\WPN_Wrench_Smuggler_001.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,19,0,0,0,7,0,0,0,0
40,"WPN_Sword1H_Dominion_000",51,"Art\Item\Weapon\Sword_1Hand\Dominion_000\WPN_Sword1H_Dominion_000.M3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,1,0,0,0,0,0,0,0,0
42,"AMR_A_Medium_001_Chest",8,"","","","",0,0,"Art\Item\Armor\Medium\Medium_001\AMR_Medium_Medium_001_Chest.M3","","","",0,0,"",0,"","",0,0,2392064,120,"","","","","","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Color.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Normal.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
43,"AMR_Medium_001_Gloves",13,"","","","",0,0,"Art\Item\Armor\Medium\Medium_001\AMR_Medium_Medium_001_Gloves.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Color.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Normal.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
44,"AMR_A_Medium_001_Pants",9,"","","","",0,0,"Art\Item\Armor\Medium\Medium_001\AMR_Medium_Medium_001_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Color.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Normal.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Dye.tex",0,0,0,0,0,0,0,0,6,0,0,0,0
45,"AMR_A_Medium_001_Boots",12,"","","","",0,0,"Art\Item\Armor\Medium\Medium_001\AMR_Medium_Medium_001_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,120,"","","","","","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Color.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Normal.tex","Art\Item\Armor\Medium\Medium_001\AMR_Medium001_Dye.tex",0,0,0,0,0,0,0,0,5,0,0,0,0
46,"AMR_Medium_002_Gloves",13,"","","","",0,0,"Art\Item\Armor\Medium\Medium_002\AMR_Medium_Medium_002_Gloves.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Color.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Normal.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
47,"AMR_A_Medium_002_Boots",12,"","","","",0,0,"Art\Item\Armor\Medium\Medium_002\AMR_Medium_Medium_002_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Color.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Normal.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
48,"AMR_A_Medium_002_Chest",8,"","","","",0,0,"Art\Item\Armor\Medium\Medium_002\AMR_Medium_Medium_002_Chest.M3","","","",0,0,"",0,"","",0,0,2392064,110,"","","","","","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Color.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Normal.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
49,"WPN_C_Pistols1H_Smuggler_001",45,"Art\Item\Weapon\Pistols_1H\Pistols_1h_smuggler_01\WPN_Pistols1H_Smuggler_001.m3","Art\Item\Weapon\Pistols_1H\Pistols_1h_smuggler_01\WPN_Pistols1H_Smuggler_001.m3","Art\Item\Weapon\Pistols_1H\Pistols_1h_smuggler_01\WPN_Pistols_1H_smuggler_01_Color.tex","Art\Item\Weapon\Pistols_1H\Pistols_1h_smuggler_01\WPN_Pistols_1H_smuggler_01_Normal.tex",3,4,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,21,0,0,0,0,0,0,0,0
50,"AMR_A_Medium_002_Pants",9,"","","","",0,0,"Art\Item\Armor\Medium\Medium_002\AMR_Medium_Medium_002_Pants.M3","","","",0,0,"",0,"","",0,0,524288,110,"","","","","","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Color.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Normal.tex","Art\Item\Armor\Medium\Medium_002\AMR_Medium_002_Dye.tex",0,0,0,0,0,0,0,0,1,0,0,0,0
51,"OLD_General_Heavy_001_Chest",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Chest.M3","","","",0,0,"",0,"","",0,0,2359296,110,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
52,"OLD_General_Heavy_001_Gloves",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_001\AMR_General_Heavy_001_Hands.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Color.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Normal.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
53,"OLD_General_Heavy_001_Pants",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_001\AMR_General_Heavy_001_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Color.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Normal.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
54,"OLD_General_Heavy_001_Shoulders",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_001\AMR_General_Heavy_001_Shoulder.M3","","","",0,0,"",0,"","",0,0,131072,120,"","","","","","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Color.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Normal.tex","Art\Item\Armor\General\Heavy_001\AMR_Heavy_001_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
55,"WPN_Rifle2H_Sniper_000_Imperium_DUPLICATE",49,"Art\Item\Weapon\Rifle_2H\Rifle_Sniper\WPN_Rifle2H_Sniper_000.m3","","","",0,0,"","","","",0,0,"",0,"","",0,0,0,0,"","","","","","","","",166,170,0,0,21,0,0,0,0,0,0,0,0
56,"OLD_Warrior_OLD_Shoulders",7,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Shoulder.M3","","","",0,0,"",0,"","",0,0,131072,120,"","","","","","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Color.tex","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
57,"OLD_Warrior_OLD_Gloves",7,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Hands.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Color.tex","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
58,"OLD_Warrior_OLD_Pants",34,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Pants.M3","","","",0,0,"",0,"","",0,0,524288,120,"","","","","","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Color.tex","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
59,"OLD_Warrior_OLD_Boots",37,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,120,"","","","","","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Color.tex","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
60,"OLD_Warrior_OLD_Chest",33,"","","","",0,0,"Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Chest.M3","","","",0,0,"",0,"","",0,0,2359296,120,"","","","","","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Color.tex","Art\Item\Armor\Warrior\Warrior_001\AMR_Warrior_001_Normal.tex","",0,0,0,0,0,0,0,0,7,0,0,0,0
63,"OLD_General_Heavy_002_Boots",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Boots.M3","","","",0,0,"",0,"","",0,0,16777216,110,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
64,"OLD_General_Heavy_002_Chest",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Chest.M3","","","",0,0,"",0,"","",0,0,2359296,110,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
65,"OLD_General_Heavy_002_Gloves",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Hands.M3","","","",0,0,"",0,"","",0,0,8388608,120,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
66,"OLD_General_Heavy_002_Pants",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Pants.M3","","","",0,0,"",0,"","",0,0,524288,100,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
67,"OLD_General_Heavy_002_Shoulders",7,"","","","",0,0,"Art\Item\Armor\General\Heavy_002\AMR_General_Heavy_002_Shoulder.M3","","","",0,0,"",0,"","",0,0,131072,120,"","","","","","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Color.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Normal.tex","Art\Item\Armor\General\Heavy_002\AMR_Heavy_002_Dye.tex",0,0,0,0,0,0,0,0,7,0,0,0,0
