"id","loginDay","dailyLoginRewardTypeEnum","rewardObjectValue","dailyLoginRewardTierEnum"
198,163,0,607,0
248,164,0,245,0
228,165,0,189,0
259,166,0,610,0
265,167,0,603,0
280,168,0,188,0
284,169,0,217,0
183,170,0,577,1
85,171,0,212,0
217,172,0,216,0
231,173,0,606,0
249,174,0,245,0
229,175,0,189,0
260,176,0,610,0
271,177,0,604,0
281,178,0,188,0
285,179,0,217,0
184,180,0,227,1
448,181,0,212,0
449,182,0,216,0
450,183,0,608,0
451,184,0,245,0
452,185,0,189,0
453,186,0,610,0
454,187,0,605,0
455,188,0,188,0
456,189,0,217,0
457,190,0,612,0
458,191,0,212,0
459,192,0,216,0
460,193,0,609,0
461,194,0,245,0
462,195,0,189,0
463,196,0,610,0
464,197,0,603,0
465,198,0,188,0
466,199,0,217,0
467,200,0,938,1
468,201,0,212,0
469,202,0,216,0
470,203,0,182,0
471,204,0,245,0
472,205,0,189,0
473,206,0,610,0
474,207,0,604,0
475,208,0,188,0
476,209,0,217,0
477,210,0,181,0
478,211,0,212,0
479,212,0,216,0
480,213,0,607,0
481,214,0,245,0
482,215,0,189,0
483,216,0,610,0
484,217,0,605,0
485,218,0,188,0
486,219,0,217,0
432,220,0,924,1
308,221,0,212,0
320,222,0,216,0
426,223,0,606,0
342,224,0,245,0
354,225,0,189,0
378,226,0,610,0
390,227,0,603,0
402,228,0,188,0
414,229,0,217,0
287,230,0,824,1
309,231,0,212,0
321,232,0,216,0
332,233,0,608,0
343,234,0,245,0
355,235,0,189,0
379,236,0,610,0
398,237,0,604,0
403,238,0,188,0
415,239,0,217,0
433,240,0,918,1
310,241,0,212,0
322,242,0,216,0
334,243,0,609,0
344,244,0,245,0
356,245,0,189,0
380,246,0,610,0
394,247,0,605,0
404,248,0,188,0
416,249,0,217,0
429,250,0,922,1
311,251,0,212,0
323,252,0,216,0
340,253,0,182,0
345,254,0,245,0
357,255,0,189,0
381,256,0,610,0
391,257,0,603,0
405,258,0,188,0
417,259,0,217,0
289,260,0,853,1
312,261,0,212,0
324,262,0,216,0
336,263,0,607,0
346,264,0,245,0
358,265,0,189,0
382,266,0,610,0
399,267,0,604,0
406,268,0,188,0
418,269,0,217,0
435,270,0,920,1
313,271,0,212,0
325,272,0,216,0
338,273,0,606,0
347,274,0,245,0
359,275,0,189,0
383,276,0,610,0
395,277,0,605,0
407,278,0,188,0
419,279,0,217,0
430,280,0,925,1
314,281,0,212,0
326,282,0,216,0
333,283,0,608,0
348,284,0,245,0
360,285,0,189,0
384,286,0,610,0
392,287,0,603,0
408,288,0,188,0
420,289,0,217,0
434,290,0,919,1
315,291,0,212,0
327,292,0,216,0
335,293,0,609,0
349,294,0,245,0
361,295,0,189,0
385,296,0,610,0
400,297,0,604,0
409,298,0,188,0
421,299,0,217,0
437,300,0,903,1
316,301,0,212,0
328,302,0,216,0
341,303,0,182,0
350,304,0,245,0
362,305,0,189,0
386,306,0,610,0
396,307,0,605,0
410,308,0,188,0
422,309,0,217,0
431,310,0,923,1
317,311,0,212,0
329,312,0,216,0
337,313,0,607,0
351,314,0,245,0
363,315,0,189,0
387,316,0,610,0
393,317,0,603,0
411,318,0,188,0
423,319,0,217,0
288,320,0,849,1
318,321,0,212,0
330,322,0,216,0
339,323,0,606,0
352,324,0,245,0
364,325,0,189,0
388,326,0,610,0
401,327,0,604,0
412,328,0,188,0
424,329,0,217,0
436,330,0,921,1
319,331,0,212,0
331,332,0,216,0
427,333,0,608,0
353,334,0,245,0
365,335,0,189,0
389,336,0,610,0
397,337,0,605,0
413,338,0,188,0
425,339,0,217,0
428,340,0,926,1
438,341,0,212,0
439,342,0,216,0
440,343,0,609,0
441,344,0,245,0
442,345,0,189,0
444,346,0,610,0
445,347,0,603,0
446,348,0,188,0
447,349,0,217,0
491,350,0,2650,1
514,351,0,212,0
516,352,0,216,0
518,353,0,182,0
520,354,0,245,0
522,355,0,189,0
523,356,0,610,0
524,357,0,604,0
525,358,0,188,0
526,359,0,217,0
527,360,0,2651,1
515,361,0,212,0
517,362,0,216,0
519,363,0,607,0
521,364,0,245,0
528,365,0,2652,1
